date,external__sox_close,external__sox_adj_close,external__sox_volume,external__nasdaq_close,external__nasdaq_adj_close,external__nasdaq_volume,external__sp500_close,external__sp500_adj_close,external__sp500_volume,external__vix_yf_close,external__vix_yf_adj_close,external__vix_yf_volume,external__korea_etf_close,external__korea_etf_adj_close,external__korea_etf_volume,external__market_source_calendar_fill_status,external__market_source_original_min_date,external__market_source_original_max_date,external__market_source_calendar_start_date,external__market_source_calendar_end_date,external__market_source_calendar_generated_at,news__ticker,news__stock_code,news__data_cutoff_ok,news__close,news__volume,news__return_20d,news__return_60d,news__rsi_14,news__ma20_gap,news__ma60_gap,news__abnormal_volume,news__volume_z,news__volatility_20d,news__relative_strength_vs_sector,news__technical_signal,news__technical_reliability,news__dram_price_momentum,news__nand_price_momentum,news__global_chip_sales_momentum,news__chip_sales_momentum,news__capacity_utilization,news__inventory_change,news__bb_ratio,news__sox_momentum,news__semiconductor_export_momentum,news__semiconductor_inventory_momentum,news__semiconductor_production_momentum,news__semiconductor_shipment_momentum,news__oecd_cli_momentum,news__sector_cycle_signal,news__sector_cycle_reliability,news__usdkrw_change,news__raw_material_price_change,news__commodity_price_change,news__interest_rate_change,news__fx_beta,news__raw_material_beta,news__sox_beta,news__krx_sector_beta,news__export_sensitivity,news__import_cost_sensitivity,news__rate_sensitivity,news__supply_chain_sensitivity,news__firm_market_sensitivity_signal,news__firm_sensitivity_reliability,news__current_window_news_signal,news__lag_window_news_signal,news__news_attention_signal,news__news_count_current,news__news_count_lag,news__news_cutoff_applied,news__news_reliability,news__market_signal,news__market_recommendation,news__market_weighted_signal,news__signal_reliability,news__prob_sell,news__prob_hold,news__prob_buy,news__field,news__company,news__as_of_date,news__frequency,news__source_kind,news__market_source_calendar_fill_status,news__market_source_original_min_date,news__market_source_original_max_date,news__market_source_calendar_start_date,news__market_source_calendar_end_date,news__market_source_calendar_generated_at,cycle__data_cutoff_ok,cycle__sox_momentum,cycle__chip_sales_momentum,cycle__global_chip_sales_momentum,cycle__semiconductor_export_momentum,cycle__semiconductor_production_momentum,cycle__semiconductor_shipment_momentum,cycle__oecd_cli_momentum,cycle__sector_cycle_signal,cycle__sector_cycle_reliability,cycle__cycle_real_source_coverage,cycle__as_of_date,cycle__field,cycle__frequency,cycle__source_kind,cycle__market_source_calendar_fill_status,cycle__market_source_original_min_date,cycle__market_source_original_max_date,cycle__market_source_calendar_start_date,cycle__market_source_calendar_end_date,cycle__market_source_calendar_generated_at,market_semiconductor_data_status,market_semiconductor_source_min_date,market_semiconductor_source_max_date,market_semiconductor_generated_at
2021-01-01,2783.2099609375,4027.219970703125,0.0,12698.4501953125,15832.7998046875,6636170000.0,3700.64990234375,4796.56005859375,5015000000.0,26.96999931335449,16.600000381469727,0.0,34355.0,71.61161041259766,425277.0,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,123351.66666666669,123351.66666666669,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1333333333333333,1.0,0.0066666666666666,,,,,,,,반도체,네패스,2025-01-01,daily,issue_events_current_month_70_lag_month_30,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2021-01-01,반도체,daily,real_market_index_price_proxy,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:52,source_or_merged,2021-01-01,2025-10-31,2026-05-26T23:01:53
2021-01-02,2783.2099609375,4027.219970703125,0.0,12698.4501953125,15832.7998046875,6636170000.0,3700.64990234375,4796.56005859375,5015000000.0,26.96999931335449,16.600000381469727,0.0,34355.0,71.61161041259766,425277.0,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,123351.66666666669,123351.66666666669,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1333333333333333,1.0,0.0066666666666666,,,,,,,,반도체,네패스,2025-01-01,daily,issue_events_current_month_70_lag_month_30,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2021-01-02,반도체,daily,real_market_index_price_proxy,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:52,source_or_merged,2021-01-01,2025-10-31,2026-05-26T23:01:53
2021-01-03,2783.2099609375,4027.219970703125,0.0,12698.4501953125,15832.7998046875,6636170000.0,3700.64990234375,4796.56005859375,5015000000.0,26.96999931335449,16.600000381469727,0.0,34355.0,71.61161041259766,425277.0,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,123351.66666666669,123351.66666666669,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1333333333333333,1.0,0.0066666666666666,,,,,,,,반도체,네패스,2025-01-01,daily,issue_events_current_month_70_lag_month_30,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2021-01-03,반도체,daily,real_market_index_price_proxy,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:52,source_or_merged,2021-01-01,2025-10-31,2026-05-26T23:01:53
2021-01-04,2783.2099609375,4027.219970703125,0.0,12698.4501953125,15832.7998046875,6636170000.0,3700.64990234375,4796.56005859375,5015000000.0,26.96999931335449,16.600000381469727,0.0,34355.0,71.61161041259766,425277.0,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,123351.66666666669,123351.66666666669,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1333333333333333,1.0,0.0066666666666666,,,,,,,,반도체,네패스,2025-01-01,daily,issue_events_current_month_70_lag_month_30,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2021-01-04,반도체,daily,real_market_index_price_proxy,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:52,source_or_merged,2021-01-01,2025-10-31,2026-05-26T23:01:53
2021-01-05,2837.169921875,4027.219970703125,0.0,12818.9599609375,15832.7998046875,6971860000.0,3726.860107421875,4796.56005859375,4591020000.0,25.34000015258789,16.600000381469727,0.0,34710.0,71.61161041259766,310314.0,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,123351.66666666669,123351.66666666669,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1333333333333333,1.0,0.0066666666666666,,,,,,,,반도체,네패스,2025-01-01,daily,issue_events_current_month_70_lag_month_30,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2021-01-05,반도체,daily,real_market_index_price_proxy,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:52,source_or_merged,2021-01-01,2025-10-31,2026-05-26T23:01:53
2021-01-06,2827.9599609375,4027.219970703125,0.0,12740.7900390625,15832.7998046875,7689880000.0,3748.139892578125,4796.56005859375,6064110000.0,25.06999969482422,16.600000381469727,0.0,34670.0,71.61161041259766,378577.0,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,123351.66666666669,123351.66666666669,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1333333333333333,1.0,0.0066666666666666,,,,,,,,반도체,네패스,2025-01-01,daily,issue_events_current_month_70_lag_month_30,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2021-01-06,반도체,daily,real_market_index_price_proxy,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:52,source_or_merged,2021-01-01,2025-10-31,2026-05-26T23:01:53
2021-01-07,2937.0,4027.219970703125,0.0,13067.48046875,15832.7998046875,6841480000.0,3803.7900390625,4796.56005859375,5099160000.0,22.3700008392334,16.600000381469727,0.0,35225.0,71.61161041259766,228012.0,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,123351.66666666669,123351.66666666669,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1333333333333333,1.0,0.0066666666666666,,,,,,,,반도체,네패스,2025-01-01,daily,issue_events_current_month_70_lag_month_30,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2021-01-07,반도체,daily,real_market_index_price_proxy,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:52,source_or_merged,2021-01-01,2025-10-31,2026-05-26T23:01:53
2021-01-08,2936.469970703125,4027.219970703125,0.0,13201.98046875,15832.7998046875,7289390000.0,3824.679931640625,4796.56005859375,4773040000.0,21.559999465942383,16.600000381469727,0.0,35480.0,71.61161041259766,458312.0,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,123351.66666666669,123351.66666666669,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1333333333333333,1.0,0.0066666666666666,,,,,,,,반도체,네패스,2025-01-01,daily,issue_events_current_month_70_lag_month_30,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2021-01-08,반도체,daily,real_market_index_price_proxy,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:52,source_or_merged,2021-01-01,2025-10-31,2026-05-26T23:01:53
2021-01-09,2936.469970703125,4027.219970703125,0.0,13201.98046875,15832.7998046875,7289390000.0,3824.679931640625,4796.56005859375,4773040000.0,21.559999465942383,16.600000381469727,0.0,35480.0,71.61161041259766,458312.0,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,123351.66666666669,123351.66666666669,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1333333333333333,1.0,0.0066666666666666,,,,,,,,반도체,네패스,2025-01-01,daily,issue_events_current_month_70_lag_month_30,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2021-01-09,반도체,daily,real_market_index_price_proxy,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:52,source_or_merged,2021-01-01,2025-10-31,2026-05-26T23:01:53
2021-01-10,2936.469970703125,4027.219970703125,0.0,13201.98046875,15832.7998046875,7289390000.0,3824.679931640625,4796.56005859375,4773040000.0,21.559999465942383,16.600000381469727,0.0,35480.0,71.61161041259766,458312.0,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,123351.66666666669,123351.66666666669,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1333333333333333,1.0,0.0066666666666666,,,,,,,,반도체,네패스,2025-01-01,daily,issue_events_current_month_70_lag_month_30,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2021-01-10,반도체,daily,real_market_index_price_proxy,source_or_merged,2021-01-01,2025-10-31,2021-01-01,2025-10-31,2026-05-26T23:01:52,source_or_merged,2021-01-01,2025-10-31,2026-05-26T23:01:53
