date,open,high,low,close,adj_close,volume,daily_return,drawdown,ma20,ma60,ma120,rolling_vol_20,rolling_vol_60,return_20d,return_60d,return_120d,distance_to_ma20,distance_to_ma60,distance_to_ma120,rolling_high_52w,rolling_low_52w,price_to_52w_high,price_to_52w_low,shares_outstanding,market_cap,trading_value,trading_value_ma20,turnover_ratio,source,ticker
2021-01-04,71000.0,72300.0,67900.0,72200.0,72200.0,1060681.0,0.0,0.0,72200.0,72200.0,72200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72200.0,72200.0,0.0,0.0,36610338.0,2643266403600.0,76581168200.0,76581168200.0,0.0289721717401243,yfinance_download,141080.KQ
2021-01-05,70500.0,71800.0,68000.0,68400.0,68400.0,905841.0,-0.0526315789473684,-0.0526315789473684,70300.0,70300.0,70300.0,0.5907880084379914,0.5907880084379914,-0.0526315789473684,-0.0526315789473684,-0.0526315789473684,-0.0270270270270269,-0.0270270270270269,-0.0270270270270269,72200.0,68400.0,-0.0526315789473684,0.0,36610338.0,2504147119200.0,61959524400.0,69270346300.0,0.0247427652812164,yfinance_download,141080.KQ
2021-01-06,69000.0,71200.0,67500.0,69300.0,69300.0,977845.0,0.013157894736842,-0.0401662049861495,69966.66666666667,69966.66666666667,69966.66666666667,0.5526315789473686,0.5526315789473686,-0.0401662049861495,-0.0401662049861495,-0.0401662049861495,-0.0095283468318247,-0.0095283468318247,-0.0095283468318247,72200.0,68400.0,-0.0401662049861495,0.013157894736842,36610338.0,2537096423400.0,67764658500.0,68768450366.66667,0.0267095321545515,yfinance_download,141080.KQ
2021-01-07,69200.0,71600.0,67800.0,68200.0,68200.0,934651.0,-0.0158730158730159,-0.0554016620498615,69525.0,69525.0,69525.0,0.4517361360890218,0.4517361360890218,-0.0554016620498615,-0.0554016620498615,-0.0554016620498615,-0.0190578928443005,-0.0190578928443005,-0.0190578928443005,72200.0,68200.0,-0.0554016620498615,0.0,36610338.0,2496825051600.0,63743198200.0,67512137325.0,0.0255297014739388,yfinance_download,141080.KQ
2021-01-08,68800.0,69000.0,65200.0,65300.0,65300.0,972833.0,-0.0425219941348973,-0.095567867036011,68680.0,68680.0,68680.0,0.4410449729145349,0.4410449729145349,-0.095567867036011,-0.095567867036011,-0.095567867036011,-0.0492137449039021,-0.0492137449039021,-0.0492137449039021,72200.0,65300.0,-0.095567867036011,0.0,36610338.0,2390655071400.0,63525994900.0,66714908840.0,0.0265726309328255,yfinance_download,141080.KQ
2021-01-11,64300.0,66500.0,61900.0,62700.0,62700.0,981868.0,-0.0398162327718223,-0.131578947368421,67683.33333333333,67683.33333333333,67683.33333333333,0.4157239397059419,0.4157239397059419,-0.131578947368421,-0.131578947368421,-0.131578947368421,-0.0736271854223097,-0.0736271854223097,-0.0736271854223097,72200.0,62700.0,-0.131578947368421,0.0,36610338.0,2295468192600.0,61563123600.0,65856277966.66666,0.0268194191487661,yfinance_download,141080.KQ
2021-01-12,63100.0,63400.0,59900.0,60300.0,60300.0,734445.0,-0.0382775119617224,-0.1648199445983379,66628.57142857143,66628.57142857143,66628.57142857143,0.3904898744794217,0.3904898744794217,-0.1648199445983379,-0.1648199445983379,-0.1648199445983379,-0.094982847341338,-0.094982847341338,-0.094982847341338,72200.0,60300.0,-0.1648199445983379,0.0,36610338.0,2207603381400.0,44287033500.0,62774957328.57143,0.0200611368297118,yfinance_download,141080.KQ
2021-01-13,61200.0,62700.0,59600.0,61400.0,61400.0,562244.0,0.0182421227197346,-0.149584487534626,65975.0,65975.0,65975.0,0.4358618634757248,0.4358618634757248,-0.149584487534626,-0.149584487534626,-0.149584487534626,-0.0693444486547935,-0.0693444486547935,-0.0693444486547935,72200.0,60300.0,-0.149584487534626,0.0182421227197346,36610338.0,2247874753200.0,34521781600.0,59243310362.5,0.0153575200534887,yfinance_download,141080.KQ
2021-01-14,61400.0,61700.0,59900.0,60100.0,60100.0,391201.0,-0.021172638436482,-0.1675900277008309,65322.22222222222,65322.22222222222,65322.22222222222,0.4077843880981284,0.4077843880981284,-0.1675900277008309,-0.1675900277008309,-0.1675900277008309,-0.0799455689743152,-0.0799455689743152,-0.0799455689743152,72200.0,60100.0,-0.1675900277008309,0.0,36610338.0,2200281313800.0,23511180100.0,55273073666.66666,0.0106855336872333,yfinance_download,141080.KQ
2021-01-15,60300.0,60700.0,57300.0,57300.0,57300.0,626185.0,-0.0465890183028285,-0.2063711911357341,64520.0,64520.0,64520.0,0.4071764507363171,0.4071764507363171,-0.2063711911357341,-0.2063711911357341,-0.2063711911357341,-0.1119032858028518,-0.1119032858028518,-0.1119032858028518,72200.0,57300.0,-0.2063711911357341,0.0,36610338.0,2097772367400.0,35880400500.0,53333806350.0,0.01710404858868,yfinance_download,141080.KQ
2021-01-18,56000.0,58200.0,55700.0,55900.0,55900.0,414719.0,-0.0244328097731238,-0.2257617728531855,63736.36363636364,63736.36363636364,63736.36363636364,0.3863868055710418,0.3863868055710418,-0.2257617728531855,-0.2257617728531855,-0.2257617728531855,-0.122949650549137,-0.122949650549137,-0.122949650549137,72200.0,55900.0,-0.2257617728531855,0.0,36610338.0,2046517894200.0,23182792100.0,50592805054.545456,0.0113279205452842,yfinance_download,141080.KQ
2021-01-19,56000.0,59500.0,54300.0,58400.0,58400.0,650218.0,0.0447227191413237,-0.1911357340720221,63291.66666666666,63291.66666666666,63291.66666666666,0.4808743042374411,0.4808743042374411,-0.1911357340720221,-0.1911357340720221,-0.1911357340720221,-0.077287689269256,-0.077287689269256,-0.077287689269256,72200.0,55900.0,-0.1911357340720221,0.0447227191413237,36610338.0,2138043739200.0,37972731200.0,49541132233.333336,0.0177605025116129,yfinance_download,141080.KQ
2021-01-20,58400.0,60800.0,58100.0,60100.0,60100.0,472802.0,0.0291095890410959,-0.1675900277008309,63046.15384615384,63046.15384615384,63046.15384615384,0.5033501556017353,0.5033501556017353,-0.1675900277008309,-0.1675900277008309,-0.1675900277008309,-0.046730112249878,-0.046730112249878,-0.046730112249878,72200.0,55900.0,-0.1675900277008309,0.075134168157424,36610338.0,2200281313800.0,28415400200.0,47916075923.07692,0.0129144396317783,yfinance_download,141080.KQ
2021-01-21,59700.0,59800.0,58300.0,58400.0,58400.0,361051.0,-0.0282861896838602,-0.1911357340720221,62714.28571428572,62714.28571428572,62714.28571428572,0.4876305912264327,0.4876305912264327,-0.1911357340720221,-0.1911357340720221,-0.1911357340720221,-0.0687927107061503,-0.0687927107061503,-0.0687927107061503,72200.0,55900.0,-0.1911357340720221,0.0447227191413237,36610338.0,2138043739200.0,21085378400.0,45999597528.57143,0.0098619958111285,yfinance_download,141080.KQ
2021-01-22,58400.0,58400.0,56000.0,57400.0,57400.0,397070.0,-0.0171232876712328,-0.2049861495844875,62360.0,62360.0,62360.0,0.470006602328454,0.470006602328454,-0.2049861495844875,-0.2049861495844875,-0.2049861495844875,-0.0795381654906991,-0.0795381654906991,-0.0795381654906991,72200.0,55900.0,-0.2049861495844875,0.0268336314847943,36610338.0,2101433401200.0,22791818000.0,44452412226.66666,0.0108458435975106,yfinance_download,141080.KQ
2021-01-25,58200.0,62000.0,57000.0,61900.0,61900.0,559981.0,0.0783972125435539,-0.1426592797783933,62331.25,62331.25,62331.25,0.5855593978373972,0.5855593978373972,-0.1426592797783933,-0.1426592797783933,-0.1426592797783933,-0.0069186804371803,-0.0069186804371803,-0.0069186804371803,72200.0,55900.0,-0.1426592797783933,0.1073345259391771,36610338.0,2266179922200.0,34662823900.0,43840562956.25,0.0152957069120749,yfinance_download,141080.KQ
2021-01-26,62300.0,63300.0,60000.0,62200.0,62200.0,626006.0,0.0048465266558965,-0.1385041551246537,62323.52941176471,62323.52941176471,62323.52941176471,0.5694459607255373,0.5694459607255373,-0.1385041551246537,-0.1385041551246537,-0.1385041551246537,-0.0019820670127418,-0.0019820670127418,-0.0019820670127418,72200.0,55900.0,-0.1385041551246537,0.1127012522361359,36610338.0,2277163023600.0,38937573200.0,43552151794.117645,0.0170991592593327,yfinance_download,141080.KQ
2021-01-27,62600.0,63200.0,61200.0,61400.0,61400.0,348591.0,-0.0128617363344051,-0.149584487534626,62272.22222222222,62272.22222222222,62272.22222222222,0.5527270804931496,0.5527270804931496,-0.149584487534626,-0.149584487534626,-0.149584487534626,-0.0140066018378088,-0.0140066018378088,-0.0140066018378088,72200.0,55900.0,-0.149584487534626,0.0983899821109124,36610338.0,2247874753200.0,21403487400.0,42321670438.888885,0.00952165478505,yfinance_download,141080.KQ
2021-01-28,59300.0,62300.0,59300.0,60700.0,60700.0,393340.0,-0.011400651465798,-0.1592797783933518,62189.47368421053,62189.47368421053,62189.47368421053,0.537265689095294,0.537265689095294,-0.1592797783933518,-0.1592797783933518,-0.1592797783933518,-0.0239505754908598,-0.0239505754908598,-0.0239505754908598,72200.0,55900.0,-0.1592797783933518,0.0858676207513415,36610338.0,2222247516600.0,23875738000.0,41350831889.47369,0.0107439598071998,yfinance_download,141080.KQ
2021-01-29,61800.0,63900.0,59400.0,60800.0,60800.0,687138.0,0.00164744645799,-0.1578947368421053,62120.0,62120.0,62120.0,0.5241880866831562,0.5241880866831562,-0.1578947368421053,-0.1578947368421053,-0.1578947368421053,-0.021249195106246,-0.021249195106246,-0.021249195106246,72200.0,55900.0,-0.1578947368421053,0.0876565295169946,36610338.0,2225908550400.0,41777990400.0,41372189815.0,0.0187689608328663,yfinance_download,141080.KQ
