date,open,high,low,close,adj_close,volume,daily_return,drawdown,ma20,ma60,ma120,rolling_vol_20,rolling_vol_60,return_20d,return_60d,return_120d,distance_to_ma20,distance_to_ma60,distance_to_ma120,rolling_high_52w,rolling_low_52w,price_to_52w_high,price_to_52w_low,shares_outstanding,market_cap,trading_value,trading_value_ma20,turnover_ratio,source,ticker
2021-01-04,105800.0,106600.0,102500.0,103900.0,101221.234375,367699.0,0.0,0.0,103900.0,103900.0,103900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103900.0,103900.0,0.0,0.0,20701684.0,2150904967600.0,38203926100.0,38203926100.0,0.0177617917460241,yfinance_download,237690.KQ
2021-01-05,103800.0,103800.0,98500.0,99900.0,97324.3515625,390761.0,-0.0384985563041385,-0.0384985563041385,101900.0,101900.0,101900.0,0.4321452227265376,0.4321452227265376,-0.0384985563041385,-0.0384985563041385,-0.0384985563041385,-0.0196270853778214,-0.0196270853778214,-0.0196270853778214,103900.0,99900.0,-0.0384985563041385,0.0,20701684.0,2068098231600.0,39037023900.0,38620475000.0,0.0188758073980841,yfinance_download,237690.KQ
2021-01-06,100000.0,103700.0,99300.0,99400.0,96837.2421875,286476.0,-0.005005005005005,-0.0433108758421558,101066.66666666669,101066.66666666669,101066.66666666669,0.332292475737401,0.332292475737401,-0.0433108758421558,-0.0433108758421558,-0.0433108758421558,-0.016490765171504,-0.016490765171504,-0.016490765171504,103900.0,99400.0,-0.0433108758421558,0.0,20701684.0,2057747389600.0,28475714400.0,35238888133.333336,0.0138382945078284,yfinance_download,237690.KQ
2021-01-07,101000.0,101100.0,95300.0,97700.0,95181.0859375,418181.0,-0.0171026156941649,-0.0596727622714148,100225.0,100225.0,100225.0,0.2721002408846522,0.2721002408846522,-0.0596727622714148,-0.0596727622714148,-0.0596727622714148,-0.0251933150411574,-0.0251933150411574,-0.0251933150411574,103900.0,97700.0,-0.0596727622714148,0.0,20701684.0,2022554526800.0,40856283700.0,36643237025.0,0.0202003373252147,yfinance_download,237690.KQ
2021-01-08,97900.0,99300.0,93900.0,96100.0,93622.328125,465719.0,-0.0163766632548618,-0.0750721847930702,99400.0,99400.0,99400.0,0.2358061746698891,0.2358061746698891,-0.0750721847930702,-0.0750721847930702,-0.0750721847930702,-0.0331991951710262,-0.0331991951710262,-0.0331991951710262,103900.0,96100.0,-0.0750721847930702,0.0,20701684.0,1989431832400.0,44755595900.0,38265708800.0,0.0224966722513975,yfinance_download,237690.KQ
2021-01-11,94000.0,94900.0,90100.0,93100.0,90699.6875,475739.0,-0.0312174817898023,-0.1039461020211741,98350.0,98350.0,98350.0,0.234512892382062,0.234512892382062,-0.1039461020211741,-0.1039461020211741,-0.1039461020211741,-0.0533807829181495,-0.0533807829181495,-0.0533807829181495,103900.0,93100.0,-0.1039461020211741,0.0,20701684.0,1927326780400.0,44291300900.0,39269974150.0,0.0229806908462132,yfinance_download,237690.KQ
2021-01-12,91200.0,94100.0,90200.0,91500.0,89140.9296875,228087.0,-0.0171858216970999,-0.1193455245428296,97371.42857142857,97371.42857142857,97371.42857142857,0.2141403942625606,0.2141403942625606,-0.1193455245428296,-0.1193455245428296,-0.1193455245428296,-0.0602992957746478,-0.0602992957746478,-0.0602992957746478,103900.0,91500.0,-0.1193455245428296,0.0,20701684.0,1894204086000.0,20869960500.0,36641400771.42857,0.0110177993249244,yfinance_download,237690.KQ
2021-01-13,92400.0,92400.0,86700.0,88000.0,85731.171875,385751.0,-0.0382513661202186,-0.1530317613089509,96200.0,96200.0,96200.0,0.2287707860417183,0.2287707860417183,-0.1530317613089509,-0.1530317613089509,-0.1530317613089509,-0.0852390852390851,-0.0852390852390851,-0.0852390852390851,103900.0,88000.0,-0.1530317613089509,0.0,20701684.0,1821748192000.0,33946088000.0,36304486675.0,0.0186337981006762,yfinance_download,237690.KQ
2021-01-14,87400.0,91000.0,85600.0,89000.0,86705.3828125,282764.0,0.0113636363636364,-0.1434071222329163,95400.0,95400.0,95400.0,0.272289232642262,0.272289232642262,-0.1434071222329163,-0.1434071222329163,-0.1434071222329163,-0.0670859538784066,-0.0670859538784066,-0.0670859538784066,103900.0,88000.0,-0.1434071222329163,0.0113636363636364,20701684.0,1842449876000.0,25165996000.0,35066876600.0,0.0136589854236012,yfinance_download,237690.KQ
2021-01-15,90700.0,91200.0,86100.0,87300.0,85049.2109375,231649.0,-0.0191011235955056,-0.1597690086621751,94590.0,94590.0,94590.0,0.2569502846331371,0.2569502846331371,-0.1597690086621751,-0.1597690086621751,-0.1597690086621751,-0.077069457659372,-0.077069457659372,-0.077069457659372,103900.0,87300.0,-0.1597690086621751,0.0,20701684.0,1807257013200.0,20222957700.0,33582484710.0,0.0111898626218041,yfinance_download,237690.KQ
2021-01-18,86200.0,88700.0,84000.0,84100.0,81931.71875,242750.0,-0.0366552119129438,-0.190567853705486,93636.36363636365,93636.36363636365,93636.36363636365,0.2610519449257177,0.2610519449257177,-0.190567853705486,-0.190567853705486,-0.190567853705486,-0.1018446601941747,-0.1018446601941747,-0.1018446601941747,103900.0,84100.0,-0.190567853705486,0.0,20701684.0,1741011624400.0,20415275000.0,32385465645.454544,0.0117260991907711,yfinance_download,237690.KQ
2021-01-19,83900.0,85100.0,78700.0,81900.0,79788.4453125,473514.0,-0.0261593341260404,-0.2117420596727622,92658.33333333331,92658.33333333331,92658.33333333331,0.2511093087688159,0.2511093087688159,-0.2117420596727622,-0.2117420596727622,-0.2117420596727622,-0.1161075636298227,-0.1161075636298227,-0.1161075636298227,103900.0,81900.0,-0.2117420596727622,0.0,20701684.0,1695467919600.0,38780796600.0,32918409891.666668,0.0228732116672247,yfinance_download,237690.KQ
2021-01-20,81900.0,88500.0,81300.0,86900.0,84659.53125,354569.0,0.061050061050061,-0.1636188642925889,92215.3846153846,92215.3846153846,92215.3846153846,0.4285137083821924,0.4285137083821924,-0.1636188642925889,-0.1636188642925889,-0.1636188642925889,-0.0576409743076409,-0.0576409743076409,-0.0576409743076409,103900.0,81900.0,-0.1636188642925889,0.061050061050061,20701684.0,1798976339600.0,30812046100.0,32756381907.692307,0.0171275438268693,yfinance_download,237690.KQ
2021-01-21,88000.0,88300.0,84800.0,86200.0,83977.5703125,180297.0,-0.0080552359033371,-0.1703561116458133,91785.71428571428,91785.71428571428,91785.71428571428,0.4123077680234038,0.4123077680234038,-0.1703561116458133,-0.1703561116458133,-0.1703561116458133,-0.0608560311284047,-0.0608560311284047,-0.0608560311284047,103900.0,81900.0,-0.1703561116458133,0.0525030525030525,20701684.0,1784485160800.0,15541601400.0,31526754728.57143,0.0087092914759977,yfinance_download,237690.KQ
2021-01-22,86300.0,92100.0,83100.0,90500.0,88166.7109375,378256.0,0.0498839907192576,-0.1289701636188642,91700.0,91700.0,91700.0,0.4734631789647681,0.4734631789647681,-0.1289701636188642,-0.1289701636188642,-0.1289701636188642,-0.0130861504907306,-0.0130861504907306,-0.0130861504907306,103900.0,81900.0,-0.1289701636188642,0.105006105006105,20701684.0,1873502402000.0,34232168000.0,31707115613.33333,0.0182717502595441,yfinance_download,237690.KQ
2021-01-25,92200.0,94000.0,89000.0,93000.0,90602.2578125,344788.0,0.0276243093922652,-0.1049085659287776,91781.25,91781.25,91781.25,0.4796521679631746,0.4796521679631746,-0.1049085659287776,-0.1049085659287776,-0.1049085659287776,0.0132788559754852,0.0132788559754852,0.0132788559754852,103900.0,81900.0,-0.1049085659287776,0.1355311355311355,20701684.0,1925256612000.0,32065284000.0,31729501137.5,0.0166550701865606,yfinance_download,237690.KQ
2021-01-26,94800.0,95400.0,90000.0,90700.0,88361.5546875,308935.0,-0.0247311827956989,-0.1270452358036573,91717.64705882352,91717.64705882352,91717.64705882352,0.4697069823837079,0.4697069823837079,-0.1270452358036573,-0.1270452358036573,-0.1270452358036573,-0.0110954335556695,-0.0110954335556695,-0.0110954335556695,103900.0,81900.0,-0.1270452358036573,0.1074481074481075,20701684.0,1877642738800.0,28020404500.0,31511318982.35294,0.0149231820947513,yfinance_download,237690.KQ
2021-01-27,92500.0,92500.0,89200.0,89300.0,86997.6484375,196389.0,-0.0154355016538036,-0.1405197305101059,91583.33333333331,91583.33333333331,91583.33333333331,0.4566359456867107,0.4566359456867107,-0.1405197305101059,-0.1405197305101059,-0.1405197305101059,-0.0249317561419472,-0.0249317561419472,-0.0249317561419472,103900.0,81900.0,-0.1405197305101059,0.0903540903540902,20701684.0,1848660381200.0,17537537700.0,30734997800.0,0.009486619542642,yfinance_download,237690.KQ
2021-01-28,86100.0,89000.0,85300.0,85700.0,83490.4609375,199879.0,-0.0403135498320268,-0.1751684311838306,91273.68421052632,91273.68421052632,91273.68421052632,0.4591166205376569,0.4591166205376569,-0.1751684311838306,-0.1751684311838306,-0.1751684311838306,-0.061065621035636,-0.061065621035636,-0.061065621035636,103900.0,81900.0,-0.1751684311838306,0.0463980463980464,20701684.0,1774134318800.0,17129630300.0,30018925826.31579,0.0096552048615948,yfinance_download,237690.KQ
2021-01-29,85800.0,93700.0,85800.0,88600.0,86315.6953125,624321.0,0.0338389731621937,-0.1472569778633301,91140.0,91140.0,91140.0,0.4728333258331119,0.4728333258331119,-0.1472569778633301,-0.1472569778633301,-0.1472569778633301,-0.0278692122010094,-0.0278692122010094,-0.0278692122010094,103900.0,81900.0,-0.1472569778633301,0.0818070818070817,20701684.0,1834169202400.0,55314840600.0,31283721565.0,0.0301579813506959,yfinance_download,237690.KQ
2021-02-01,89300.0,94300.0,89000.0,90800.0,88458.9765625,441416.0,0.0248306997742664,-0.1260827718960538,90485.0,91123.80952380953,91123.80952380953,0.4860975724764558,0.4742876682172443,-0.1260827718960538,-0.1260827718960538,-0.1260827718960538,0.0034812399845278,-0.0035535117056856,-0.0035535117056856,103900.0,81900.0,-0.1260827718960538,0.1086691086691087,20701684.0,1879712907200.0,40080572800.0,31377553900.0,0.0213227097853488,yfinance_download,237690.KQ
2021-02-02,92600.0,94300.0,89900.0,93800.0,91381.625,331173.0,0.0330396475770924,-0.0972088546679499,90180.0,91245.45454545454,91245.45454545454,0.489514961368454,0.4813245614887265,-0.061061061061061,-0.0972088546679499,-0.0972088546679499,0.0401419383455312,0.0279964132708976,0.0279964132708976,103900.0,81900.0,-0.0972088546679499,0.1452991452991452,20701684.0,1941817959200.0,31064027400.0,30978904075.0,0.0159973942216488,yfinance_download,237690.KQ
