application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020240160874,1020260072107,,공개,공개,실리콘 커패시터 반도체 장치 및 이의 제조 방법,주식회사 디비하이텍
1020220029487,1020230132224,,공개,공개,이미지 센서,주식회사 디비하이텍
1020240033749,1020250137287,,공개,공개,SPAD 구조 및 그 제조방법,주식회사 디비하이텍
1020230015422,1020240123001,,공개,공개,저전압 감지 플로팅 N-웰 바이어스 회로,주식회사 디비하이텍
1020220048639,1020230149433,1029628710000,등록,등록,반도체 소자 및 제조방법,주식회사 디비하이텍
1020230099421,1020250018611,,공개,공개,고전압 반도체 소자 및 그 제조방법,주식회사 디비하이텍
1020170115697,1020190028874,1024247740000,소멸,소멸,멤스 마이크로폰 및 이의 제조 방법,주식회사 디비하이텍
1020160121820,1020180032771,1024247620000,소멸,소멸,쇼트키 배리어 다이오드 및 그 제조 방법,주식회사 디비하이텍
1020180008940,1020190090270,1024247710000,소멸,소멸,반도체 소자 및 그 제조 방법,주식회사 디비하이텍
1020170087879,1020190006764,1024247720000,소멸,소멸,후면 조사형 이미지 센서 및 그 제조 방법,주식회사 디비하이텍
1020220047299,1020230148502,1029606910000,등록,등록,알에프 스위치 소자,주식회사 디비하이텍
1020180013236,1020190093879,1024247640000,소멸,소멸,수평형 이중 확산 모스 트랜지스터,주식회사 디비하이텍
1020170120910,1020190032736,1024247690000,소멸,소멸,드레인 확장형 모스 트랜지스터 및 이의 제조 방법,주식회사 디비하이텍
1020170170918,1020190070431,1024247680000,소멸,소멸,PLDMOS 트랜지스터 및 이의 제조 방법,주식회사 디비하이텍
1020230068165,1020240170117,,공개,공개,고전압 반도체 소자 및 제조방법,주식회사 디비하이텍
1020230070955,1020240173250,,공개,공개,실리콘 카바이드 전력 반도체 소자,주식회사 디비하이텍
1020230114744,1020250032218,,공개,공개,딥 트렌치 커패시터 및 제조방법,주식회사 디비하이텍
1020170118743,1020190030986,1024236740000,소멸,소멸,"소스 드라이버, 및 이를 포함하는 디스플레이 장치",주식회사 디비하이텍
1020220133652,1020240054426,,공개,공개,MOSFET 영역과 다이오드 영역을 포함하는 반도체 소자 및 제조방법,주식회사 디비하이텍
1020220127497,1020240048104,,공개,공개,LDMOS 반도체 소자 및 제조방법,주식회사 디비하이텍
1020220032769,1020230135384,,공개,공개,저항 변화 메모리 장치 및 그 제조 방법,주식회사 디비하이텍
1020240042320,1020250145210,,공개,공개,고전압 반도체 소자 및 제조방법,주식회사 디비하이텍
1020220134680,1020240055192,,공개,공개,SiC MOSFET 반도체 소자 및 제조방법,주식회사 디비하이텍
1020230009484,1020240117301,,공개,공개,고전압 반도체 소자 및 제조방법,주식회사 디비하이텍
1020230015999,1020240123534,,공개,공개,고전압 반도체 소자 및 제조방법,주식회사 디비하이텍
1020230005849,1020240114006,,공개,공개,반도체 소자 및 제조방법,주식회사 디비하이텍
1020230041618,1020240146704,,공개,공개,고전압 반도체 소자 및 제조방법,주식회사 디비하이텍
1020230001936,1020240109859,,공개,공개,반도체 소자 및 그 제조 방법,주식회사 디비하이텍
1020180090424,1020200015093,1024226200000,소멸,소멸,고전압 반도체 소자 및 제조방법,주식회사 디비하이텍
1020080091016,1020100032057,1009713250000,소멸,소멸,반도체 소자의 MIM 커패시터 제조 방법,주식회사 디비하이텍
1020080092696,1020100033703,,거절,거절,플래시 메모리 소자의 터널 절연막 형성 방법,주식회사 디비하이텍
1020080135609,1020100077611,,취하,취하,증착 장치용 가스 노즐,주식회사 디비하이텍
1020070131355,1020090063845,,포기,포기,웨이퍼의 습식 세정 장치,주식회사 디비하이텍
1020070139657,1020090071773,1009199990000,소멸,소멸,다마신 배선을 갖는 반도체 소자의 층간 절연막 제조 방법,주식회사 디비하이텍
1020080122538,1020100064108,,취하,취하,반도체 소자의 슈퍼 콘택 형성 방법,주식회사 디비하이텍
1020080136741,1020100078469,1015318800000,소멸,소멸,반도체 소자 및 그 제조 방법,주식회사 디비하이텍
1020080111420,1020100052619,1011165740000,소멸,소멸,이미지 센서의 제조 방법,주식회사 디비하이텍
1020180003123,1020190085241,1025986730000,등록,등록,소자 분리막 구조물의 제조방법,주식회사 디비하이텍
1020090136293,1020110079275,,취하,취하,반도체 메모리 소자 및 그 제조방법,주식회사 디비하이텍
1020090072664,1020110015115,,취하,취하,구리 배선을 사용하는 반도체 소자의 제조방법,주식회사 디비하이텍
1020080100100,1020100041096,,거절,거절,반도체 메모리 제조 방법,주식회사 디비하이텍
1020080135541,1020100077570,,취하,취하,PVD 장비,주식회사 디비하이텍
1020070124459,1020090057748,,거절,거절,반도체 테스트용 프로브 장치,주식회사 디비하이텍
1020080097636,1020100038602,,거절,거절,반도체 소자의 제조 방법,주식회사 디비하이텍
1020070104014,1020090038625,1009060490000,소멸,소멸,위상 반전 마스크,주식회사 디비하이텍
1020070088250,1020090022688,1008978250000,소멸,소멸,비휘발성 메모리 및 그 제조방법,주식회사 디비하이텍
1020090062479,1020110005008,1015859740000,소멸,소멸,플래시 메모리 소자의 제조 방법,주식회사 디비하이텍
1020080091387,1020100032481,1010171930000,소멸,소멸,"반도체 소자 형성 방법, ILD라이너 형성 방법",주식회사 디비하이텍
1020070103370,1020090038082,1009347910000,소멸,소멸,전류특성 측정용 반도체 소자 및 반도체 소자의 전류특성측정 방법,주식회사 디비하이텍
1020070132394,1020090064991,1009229250000,소멸,소멸,이미지 센서의 제조 방법,주식회사 디비하이텍
1020070122572,1020090055764,1009406650000,소멸,소멸,반도체 소자의 제조 방법,주식회사 디비하이텍
1020090121288,1020110064608,,취하,취하,스핀 스크러버에 의한 반도체 웨이퍼의 세정 장치 및 이를 이용한 세정 방법,주식회사 디비하이텍
1020090095499,1020110038275,,취하,취하,이미지 센서 및 그 제조 방법,주식회사 디비하이텍
1020070139761,1020090071843,,거절,거절,웨이퍼 결함 검사 방법 및 장치,주식회사 디비하이텍
1020070131939,1020090064659,,거절,거절,반도체 소자 및 이의 제조방법,주식회사 디비하이텍
1020070086550,1020090021759,1009079000000,소멸,소멸,반도체 소자 제조 방법,주식회사 디비하이텍
1020070062644,,1008729800000,소멸,소멸,반도체 소자의 금속 배선 형성 방법,주식회사 디비하이텍
1020070124921,1020090058235,1009133280000,소멸,소멸,반도체 소자의 테스트 패턴 및 그의 형성 방법과 테스트방법,주식회사 디비하이텍
1020070092923,1020090027823,,거절,거절,반도체 구리배선 연마용 콜로이달 실리카 슬러리의제조방법,주식회사 디비하이텍
1020070136244,1020090068568,1009285090000,소멸,소멸,반도체 소자 및 그의 제조 방법,주식회사 디비하이텍
1020080113584,1020100054603,,거절,거절,반도체 장치 및 그 제조방법,주식회사 디비하이텍
1020070048048,,1008478410000,소멸,소멸,반도체 소자의 제조방법 및 그에 사용되는 노광장치,주식회사 디비하이텍
1020070136500,1020090068752,,거절,거절,반도체 소자의 프로파일 모니터링 방법,주식회사 디비하이텍
1020080132387,1020100073663,,취하,취하,반도체 소자의 제조 방법,주식회사 디비하이텍
1020070080046,,1008649330000,소멸,소멸,반도체 소자의 제조 방법,주식회사 디비하이텍
1020070139644,1020090071760,,거절,거절,반도체 소자의 소자분리막 형성 방법,주식회사 디비하이텍
1020080076050,1020100015128,,거절,거절,반도체 웨이퍼 및 그 제조 방법,주식회사 디비하이텍
1020070073325,,1008611970000,소멸,소멸,얼터너티브 위상반전마스크 및 이의 제작방법,주식회사 디비하이텍
1020070138928,1020090070798,1009078950000,소멸,소멸,반도체 소자 제조 장치,주식회사 디비하이텍
1020070141341,1020090073409,,거절,거절,반도체 소자 및 그 제조방법,주식회사 디비하이텍
1020080109880,1020100050807,,거절,거절,상감법에 의한 금속배선 측정용 PCM 테스트 패턴 및 제조 방법,주식회사 디비하이텍
1020070047950,1020080101330,,거절,거절,에천트의 선택적인 사용이 가능한 고밀도 플라즈마식각챔버,주식회사 디비하이텍
1020070125303,1020090058634,,거절,거절,반도체 소자의 게이트 형성방법,주식회사 디비하이텍
