record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020220168539|1025555430000|회전드럼 내에서 부순모래가 파쇄 분리되면서 회전드럼에 일체로 형성된 미분분리실에서 에어폭기를 통해 연속적으로 미분이 분리되는 미분 분리장치|(주)지에스티,회전드럼 내에서 부순모래가 파쇄 분리되면서 회전드럼에 일체로 형성된 미분분리실에서 에어폭기를 통해 연속적으로 미분이 분리되는 미분 분리장치,(주)지에스티,1020220168539,,1025555430000,등록,2022,2023,2023,B03B; B02C; B07B; B04C; F26B,,,False,True,False,32.0,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,14
1020220050959|1024582590000|전자부품용 핀프레임 절단장치|(주)지에스티,전자부품용 핀프레임 절단장치,(주)지에스티,1020220050959,,1024582590000,등록,2022,2022,2022,B21D; H01R,,,False,True,False,29.0,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,24
1020160082886|1019046020000|조절 가능한 셀 비트 형상을 가지는 비휘발성 메모리|에이취지에스티 네덜란드 비.브이.,조절 가능한 셀 비트 형상을 가지는 비휘발성 메모리,에이취지에스티 네덜란드 비.브이.,1020160082886,1020170003485,1019046020000,소멸,2016,2017,2018,G11C; H10N,,,False,True,True,20.0,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,15
1020160082752|1018840630000|전기 도금된 상 변화 스위치|에이취지에스티 네덜란드 비.브이.,전기 도금된 상 변화 스위치,에이취지에스티 네덜란드 비.브이.,1020160082752,1020170003483,1018840630000,소멸,2016,2017,2018,H10N,,,False,True,True,18.5,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,17
1020027017003|1004880340000|자기 기록 매체 및 그 제조 방법|에이취지에스티 네덜란드 비.브이.,자기 기록 매체 및 그 제조 방법,에이취지에스티 네덜란드 비.브이.,1020027017003,1020030010707,1004880340000,소멸,2001,2003,2005,G11B,,기판,False,True,True,17.5,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,12
1020050081538|1005384120000|창문 자동개폐장치|(주)지에스티기술산업,창문 자동개폐장치,(주)지에스티기술산업,1020050081538,,1005384120000,소멸,2005,2005,2005,E05F; E05B; E06B,,,False,True,True,17.5,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,13
1020037000803|1006110870000|적층 자기 기록 매체|에이취지에스티 네덜란드 비.브이.,적층 자기 기록 매체,에이취지에스티 네덜란드 비.브이.,1020037000803,1020030024794,1006110870000,소멸,2001,2003,2006,G11B; C23C,,,False,True,True,16.0,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,10
1020020025992|1004902140000|플라스마 용접기 및 이를 이용한 소형 용접형 벨로우즈제조방법|(주)지에스티산업,플라스마 용접기 및 이를 이용한 소형 용접형 벨로우즈제조방법,(주)지에스티산업,1020020025992,1020030088078,1004902140000,소멸,2002,2003,2005,B21D; B23K,,,False,True,True,16.0,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,21
1020010034451|1004707720000|이온 조사에 의해 패터닝된 자성 비트 영역을 갖는 자기 기록 매체|에이취지에스티 네덜란드 비.브이.,이온 조사에 의해 패터닝된 자성 비트 영역을 갖는 자기 기록 매체,에이취지에스티 네덜란드 비.브이.,1020010034451,1020010114151,1004707720000,소멸,2001,2001,2005,G11B,,,False,True,True,14.5,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,5
1020110033130|1011871070000|엔진 오일 품질 모니터링 장치|호서대학교 산학협력단|태성지에스티 주식회사,엔진 오일 품질 모니터링 장치,호서대학교 산학협력단|태성지에스티 주식회사,1020110033130,,1011871070000,소멸,2011,2012,2012,F01M,,,False,True,True,14.5,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,16
1020130151235|1016189250000|고착 고장을 갖는 메모리 셀에 비트를 저장하기 위한 기법|에이취지에스티 네덜란드 비.브이.,고착 고장을 갖는 메모리 셀에 비트를 저장하기 위한 기법,에이취지에스티 네덜란드 비.브이.,1020130151235,1020140076494,1016189250000,소멸,2013,2014,2016,G11C,,,False,True,True,14.5,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,23
1020130021189|1015748440000|SMR RAID용의 대블록 무작위 쓰기 핫 스페어 SSD 구현|에이취지에스티 네덜란드 비.브이.,SMR RAID용의 대블록 무작위 쓰기 핫 스페어 SSD 구현,에이취지에스티 네덜란드 비.브이.,1020130021189,1020130100722,1015748440000,소멸,2013,2013,2015,G06F,,,False,True,True,14.5,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,25
1020130066527|1015260480000|하드 디스크 드라이브 내의 원위치 접촉 퍼텐셜 측정|에이취지에스티 네덜란드 비.브이.,하드 디스크 드라이브 내의 원위치 접촉 퍼텐셜 측정,에이취지에스티 네덜란드 비.브이.,1020130066527,1020130139777,1015260480000,소멸,2013,2013,2015,G11B,,,False,True,True,14.5,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,26
1020070055023|1013003720000|자기 디스크 장치|에이취지에스티 네덜란드 비.브이.,자기 디스크 장치,에이취지에스티 네덜란드 비.브이.,1020070055023,1020070117474,1013003720000,소멸,2007,2007,2013,G11B,,,False,True,True,14.5,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,27
1020160146674||집중된 전계를 갖는 저항성 RAM 셀|에이취지에스티 네덜란드 비.브이.,집중된 전계를 갖는 저항성 RAM 셀,에이취지에스티 네덜란드 비.브이.,1020160146674,1020170058275,,거절,2016,2017,,H10N,,공정,False,False,True,11.5,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,18
1020190171105||수소가스배관 풀로테이션 방폭 천공기|주식회사 케이지에스티가스안전장비,수소가스배관 풀로테이션 방폭 천공기,주식회사 케이지에스티가스안전장비,1020190171105,1020210079039,,취하,2019,2021,,F16L; B23B; B26F,,,False,False,True,11.5,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,20
1020060037288||판독/기입 오프셋과 호환 가능한 스터드형 후미 차폐를갖춘 수직 자기 기입 헤드|에이취지에스티 네덜란드 비.브이.,판독/기입 오프셋과 호환 가능한 스터드형 후미 차폐를갖춘 수직 자기 기입 헤드,에이취지에스티 네덜란드 비.브이.,1020060037288,1020060113440,,취하,2006,2006,,G11B,,차폐; 소자,False,False,True,10.5,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,28
1020060066907||열어시스트 자기 기록 매체 및 자기 기록 재생 장치|에이취지에스티 네덜란드 비.브이.,열어시스트 자기 기록 매체 및 자기 기록 재생 장치,에이취지에스티 네덜란드 비.브이.,1020060066907,1020070024350,,취하,2006,2007,,G11B,,기판,False,False,True,7.5,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,7
1020050085138||수직 자기 기록 매체 및 그 제조 방법|에이취지에스티 네덜란드 비.브이.,수직 자기 기록 매체 및 그 제조 방법,에이취지에스티 네덜란드 비.브이.,1020050085138,1020060051245,,취하,2005,2006,,G11B,,기판,False,False,True,7.5,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,8
