company,slug,packet_final_recommendation,recomputed_recommendation,fixed_weighted_signal_packet,fixed_weighted_signal_recomputed,signal_gap,auditor_packet_path
DB하이텍,dbhitek,보유,보유,0.1066,0.10656999999999997,3e-05,C:/Agent_6.8/data/반도체/DB하이텍/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
GST,gst,보유,보유,0.1314,0.131445,-4.5e-05,C:/Agent_6.8/data/반도체/GST/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
ISC,isc,보유,보유,0.1692,0.16924499999999998,-4.5e-05,C:/Agent_6.8/data/반도체/ISC/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
LX세미콘,lxsemicon,보유,보유,0.0776,0.07758500000000002,1.5e-05,C:/Agent_6.8/data/반도체/LX세미콘/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
SFA반도체,sfa_semicon,매도,보유,-0.1727,-0.17265000000000003,-5e-05,C:/Agent_6.8/data/반도체/SFA반도체/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
가온칩스,gaochips,매도,매도,-0.2723,-0.27234499999999995,4.5e-05,C:/Agent_6.8/data/반도체/가온칩스/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
네패스,nepes,보유,보유,0.0999,0.09992500000000001,-2.5e-05,C:/Agent_6.8/data/반도체/네패스/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
넥스틴,nextin,매도,보유,-0.1966,-0.19660000000000002,0.0,C:/Agent_6.8/data/반도체/넥스틴/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
덕산테코피아,duksan,매도,보유,-0.2207,-0.22066,-4e-05,C:/Agent_6.8/data/반도체/덕산테코피아/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
동진쎄미켐,dongjin_semichem,보유,보유,0.1974,0.19736000000000004,4e-05,C:/Agent_6.8/data/반도체/동진쎄미켐/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
두산테스나,doosan_tesna,보유,보유,-0.0695,-0.06952000000000001,2e-05,C:/Agent_6.8/data/반도체/두산테스나/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
리노공업,leeno,보유,보유,0.1103,0.11031999999999999,-2e-05,C:/Agent_6.8/data/반도체/리노공업/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
미코,mico,보유,보유,0.0977,0.09768,2e-05,C:/Agent_6.8/data/반도체/미코/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
솔브레인,soulbrain,보유,보유,0.11,0.10998999999999999,1e-05,C:/Agent_6.8/data/반도체/솔브레인/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
어보브반도체,abov,보유,보유,-0.0774,-0.07739500000000002,-5e-06,C:/Agent_6.8/data/반도체/어보브반도체/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
에스티아이,sti,보유,보유,0.0096,0.009589999999999994,1e-05,C:/Agent_6.8/data/반도체/에스티아이/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
엘티씨,ltc,보유,보유,0.1867,0.186665,3.5e-05,C:/Agent_6.8/data/반도체/엘티씨/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
원익IPS,wonik_ips,보유,보유,0.1101,0.11006,4e-05,C:/Agent_6.8/data/반도체/원익IPS/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
원익머트리얼즈,wonik_materials,보유,보유,0.0591,0.05912500000000002,-2.5e-05,C:/Agent_6.8/data/반도체/원익머트리얼즈/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
월덱스,woldex,매수,매수,0.2868,0.28675,5e-05,C:/Agent_6.8/data/반도체/월덱스/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
유진테크,eugene_tech,보유,보유,0.1081,0.10806999999999997,3e-05,C:/Agent_6.8/data/반도체/유진테크/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
이엔에프테크놀로지,enf_tech,보유,보유,0.2499,0.249905,-5e-06,C:/Agent_6.8/data/반도체/이엔에프테크놀로지/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
제주반도체,jeju_semicon,보유,보유,0.0864,0.086395,5e-06,C:/Agent_6.8/data/반도체/제주반도체/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
코아시아,coasia,매도,보유,-0.1822,-0.182205,5e-06,C:/Agent_6.8/data/반도체/코아시아/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
텔레칩스,telechips,매도,보유,-0.164,-0.16402499999999998,2.5e-05,C:/Agent_6.8/data/반도체/텔레칩스/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
티씨케이,tck,보유,보유,0.06,0.05997999999999999,2e-05,C:/Agent_6.8/data/반도체/티씨케이/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
피에스케이,psk,보유,보유,0.1032,0.10316499999999999,3.5e-05,C:/Agent_6.8/data/반도체/피에스케이/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
한미반도체,hanmi,보유,보유,0.0474,0.047434999999999984,-3.5e-05,C:/Agent_6.8/data/반도체/한미반도체/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
한솔케미칼,hansol,보유,보유,0.1281,0.12811999999999998,-2e-05,C:/Agent_6.8/data/반도체/한솔케미칼/auditor/first_auditor/compact_agent_packets/auditor_chair_packet.json
