rank_desc,bucket,company,slug,sub_sector,vc_role,fixed_weighted_signal,fixed_weighted_signal_recomputed,fixed_recommendation_from_recomputed,fixed_final_recommendation,future_1m_return,future_1m_excess_return
1,Top5,월덱스,woldex,,,0.2868,0.28675,매수,매수,,
2,Top5,이엔에프테크놀로지,enf_tech,,,0.2499,0.249905,보유,보유,,
3,Top5,동진쎄미켐,dongjin_semichem,,,0.1974,0.19736000000000004,보유,보유,,
4,Top5,엘티씨,ltc,,,0.1867,0.186665,보유,보유,,
5,Top5,ISC,isc,,,0.1692,0.16924499999999998,보유,보유,,
6,Middle,테스,tes,,,0.1381,0.1381,보유,보유,,
7,Middle,GST,gst,,,0.1314,0.131445,보유,보유,,
8,Middle,한솔케미칼,hansol,,,0.1281,0.12811999999999998,보유,보유,,
9,Middle,리노공업,leeno,,,0.1103,0.11031999999999999,보유,보유,,
10,Middle,원익IPS,wonik_ips,,,0.1101,0.11006,보유,보유,,
11,Middle,솔브레인,soulbrain,,,0.11,0.10998999999999999,보유,보유,,
12,Middle,유진테크,eugene_tech,,,0.1081,0.10806999999999997,보유,보유,,
13,Middle,DB하이텍,dbhitek,,,0.1066,0.10656999999999997,보유,보유,,
14,Middle,피에스케이,psk,,,0.1032,0.10316499999999999,보유,보유,,
15,Middle,네패스,nepes,,,0.0999,0.09992500000000001,보유,보유,,
16,Middle,미코,mico,,,0.0977,0.09768,보유,보유,,
17,Middle,제주반도체,jeju_semicon,,,0.0864,0.086395,보유,보유,,
18,Middle,LX세미콘,lxsemicon,,,0.0776,0.07758500000000002,보유,보유,,
19,Middle,티씨케이,tck,,,0.06,0.05997999999999999,보유,보유,,
20,Middle,원익머트리얼즈,wonik_materials,,,0.0591,0.05912500000000002,보유,보유,,
21,Middle,한미반도체,hanmi,,,0.0474,0.047434999999999984,보유,보유,,
22,Middle,에스티아이,sti,,,0.0096,0.009589999999999994,보유,보유,,
23,Middle,두산테스나,doosan_tesna,,,-0.0695,-0.06952000000000001,보유,보유,,
24,Middle,어보브반도체,abov,,,-0.0774,-0.07739500000000002,보유,보유,,
25,Middle,텔레칩스,telechips,,,-0.164,-0.16402499999999998,보유,매도,,
26,Bottom5,SFA반도체,sfa_semicon,,,-0.1727,-0.17265000000000003,보유,매도,,
27,Bottom5,코아시아,coasia,,,-0.1822,-0.182205,보유,매도,,
28,Bottom5,넥스틴,nextin,,,-0.1966,-0.19660000000000002,보유,매도,,
29,Bottom5,덕산테코피아,duksan,,,-0.2207,-0.22066,보유,매도,,
30,Bottom5,가온칩스,gaochips,,,-0.2723,-0.27234499999999995,매도,매도,,
