as_of_date,field,company,company_dir,agent,source_file,payload_hash,payload_bytes,created_at
2025-05-01,반도체,어보브반도체,abov,chair,data\반도체\어보브반도체\chair\abov_chair_agent_packet.json,8c6dee24c33f20c53c46941b55fa5d7930e051ff844add1493e2a437590f7e4b,,2026-05-18T08:53:38
2025-05-01,반도체,어보브반도체,abov,finance,data\반도체\어보브반도체\finance\어보브반도체_finance_agent_packet.json,28c2dec96588b88e0d6984c5c121ef60a0a9d2fa8be635afe59a72bc6dc2c6d4,,2026-05-18T08:53:38
2025-05-01,반도체,어보브반도체,abov,issue,data\반도체\어보브반도체\issue\abov_issue_agent_packet.json,2101ac0e9925dc6c527aca94a501ad30daa85d14a617e401e5fc0e92c3654e08,,2026-05-18T08:53:38
2025-05-01,반도체,어보브반도체,abov,macro,data\반도체\어보브반도체\macro\abov_macro_agent_packet.json,235161cef6230bf1fb25be458a6034e26db16645dc2da6bda7c0029774cde938,,2026-05-18T08:53:38
2025-05-01,반도체,어보브반도체,abov,market,data\반도체\어보브반도체\market\abov_market_agent_packet.json,b8c1c2f64d519843057da5ed4de55d7873ad70ee112d0b59fd153526c53cd673,,2026-05-18T08:53:38
2025-05-01,반도체,어보브반도체,abov,tech,data\반도체\어보브반도체\tech\abov_tech_agent_packet.json,940b48afbdf02f5b6814ac5767cf5be43f770954609ad3e91a55c94bfd096f5c,,2026-05-18T08:53:38
2025-05-01,반도체,어보브반도체,abov,valuation,data\반도체\어보브반도체\valuation\abov_valuation_metrics.json,59945226d3fa45983d185966969adf0fc62d22c749a04fe695c48f6fc3576de4,,2026-05-18T08:53:38
2025-05-01,반도체,코아시아,coasia,chair,data\반도체\코아시아\chair\coasia_chair_agent_packet.json,0e731d263b3ce01c8a809e4e68c7047e00d13a0543a440fbd38c6d6afc511386,,2026-05-18T08:53:39
2025-05-01,반도체,코아시아,coasia,finance,data\반도체\코아시아\finance\코아시아_finance_agent_packet.json,f4583ec7337344665d750c5687f1f47e7fab733074642439e9311b4319500af3,,2026-05-18T08:53:38
2025-05-01,반도체,코아시아,coasia,issue,data\반도체\코아시아\issue\coasia_issue_agent_packet.json,3ee2f62e7c1d065b19c14fd205ba99f743685e8fbc08b45e2501ef1551b917ee,,2026-05-18T08:53:39
2025-05-01,반도체,코아시아,coasia,macro,data\반도체\코아시아\macro\coasia_macro_agent_packet.json,4b8924f8704eddd446c97f7f5446685f0271647417d661d184957a7d209c8f81,,2026-05-18T08:53:39
2025-05-01,반도체,코아시아,coasia,market,data\반도체\코아시아\market\coasia_market_agent_packet.json,3d961022854d800ac3cea062e279c85e0dfe3b147de49e61d770b6a901792b25,,2026-05-18T08:53:39
2025-05-01,반도체,코아시아,coasia,tech,data\반도체\코아시아\tech\coasia_tech_agent_packet.json,2b6ef17fe2c888963bda65c1211c52f22e62846aa7cb80177cd0c73e762ba150,,2026-05-18T08:53:39
2025-05-01,반도체,코아시아,coasia,valuation,data\반도체\코아시아\valuation\coasia_valuation_metrics.json,1ab4978d99895bc542f6bf3e836a785fa6399ce585f98704cf7e9bc7c2052b71,,2026-05-18T08:53:39
2025-05-01,반도체,DB하이텍,dbhitek,chair,data\반도체\DB하이텍\chair\dbhitek_chair_agent_packet.json,452edab01a948d0f53fb30455d6eb71bedb7824db5b9ae2df2eb5e11235bd836,,2026-05-18T08:53:36
2025-05-01,반도체,DB하이텍,dbhitek,finance,data\반도체\DB하이텍\finance\DB하이텍_finance_agent_packet.json,ec42b715ecbc8888d47385da52e095f7f1396bba0df98b1c273c77379db967ad,,2026-05-18T08:53:35
2025-05-01,반도체,DB하이텍,dbhitek,issue,data\반도체\DB하이텍\issue\dbhitek_issue_agent_packet.json,be6e0bca5a1ffdc6830bda0952a47405dbf39bf16a77bdd080a9c351a83272f9,,2026-05-18T08:53:35
2025-05-01,반도체,DB하이텍,dbhitek,macro,data\반도체\DB하이텍\macro\dbhitek_macro_agent_packet.json,aff96e4a48cd38b1383116f403e839c5c405338f7ae56c7e9db0000d76e5bb91,,2026-05-18T08:53:35
2025-05-01,반도체,DB하이텍,dbhitek,market,data\반도체\DB하이텍\market\dbhitek_market_agent_packet.json,abb41d290e52f8dd92ac656f9b391cef8fdda65ca80f4fbecf1b0b85a5e2cf30,,2026-05-18T08:53:35
2025-05-01,반도체,DB하이텍,dbhitek,tech,data\반도체\DB하이텍\tech\dbhitek_tech_agent_packet.json,90238b132f9996f1e62ef4a24ac89debd730239ccff0023c51dd7b4e35ad547b,,2026-05-18T08:53:35
2025-05-01,반도체,DB하이텍,dbhitek,valuation,data\반도체\DB하이텍\valuation\dbhitek_valuation_metrics.json,a7017b4ea241c3eb14aaa98e7a056180a5962a24ce6244b31281f47032431559,,2026-05-18T08:53:35
2025-05-01,반도체,동진쎄미켐,dongjin_semichem,chair,data\반도체\동진쎄미켐\chair\dongjin_semichem_chair_agent_packet.json,f04fdeb85b5723d920ab34902c47e73fd68bcacd4249c4f6d0f81c126b823517,,2026-05-18T08:53:42
2025-05-01,반도체,동진쎄미켐,dongjin_semichem,finance,data\반도체\동진쎄미켐\finance\동진쎄미켐_finance_agent_packet.json,db45bc87cf084bc54c69a3dfe29ef6ec918da9c3b23a01a7d42dc2727e2adcf3,,2026-05-18T08:53:42
2025-05-01,반도체,동진쎄미켐,dongjin_semichem,issue,data\반도체\동진쎄미켐\issue\dongjin_semichem_issue_agent_packet.json,23b90a5b836a8c6bbb98fa94bc5189b26a6a7238dbde73a2855e505fbe274a9e,,2026-05-18T08:53:42
2025-05-01,반도체,동진쎄미켐,dongjin_semichem,macro,data\반도체\동진쎄미켐\macro\dongjin_semichem_macro_agent_packet.json,2aa861855ecdc629906ac075ee5c9cd91fbf3344656f995cfbe59b3782aa65ca,,2026-05-18T08:53:42
2025-05-01,반도체,동진쎄미켐,dongjin_semichem,market,data\반도체\동진쎄미켐\market\dongjin_semichem_market_agent_packet.json,04b77c84956b71ca4b2117da6ffad9c3d430e7d0fe3edbd3ce668c7a65dd366e,,2026-05-18T08:53:42
2025-05-01,반도체,동진쎄미켐,dongjin_semichem,tech,data\반도체\동진쎄미켐\tech\dongjin_semichem_tech_agent_packet.json,c8a18aa2c0939f8265962e7a98be1b511118527c9cea16c2b1ef5ec3e3ec8d48,,2026-05-18T08:53:42
2025-05-01,반도체,동진쎄미켐,dongjin_semichem,valuation,data\반도체\동진쎄미켐\valuation\dongjin_semichem_valuation_metrics.json,60296ba9d7efd22d0c7dc8c7d8786d0bedff887517c128cbab9552bed26b0b2d,,2026-05-18T08:53:42
2025-05-01,반도체,두산테스나,doosan_tesna,chair,data\반도체\두산테스나\chair\doosan_tesna_chair_agent_packet.json,49da75e5860a35e5b2a7b4579bf18e80ead1505b24e15477a111213a8ca207e0,,2026-05-18T08:53:44
2025-05-01,반도체,두산테스나,doosan_tesna,finance,data\반도체\두산테스나\finance\두산테스나_finance_agent_packet.json,9d51cb6d3943673bd073d5b310c5398c63e9faceda3fa7fc71131141620c1f68,,2026-05-18T08:53:43
2025-05-01,반도체,두산테스나,doosan_tesna,issue,data\반도체\두산테스나\issue\doosan_tesna_issue_agent_packet.json,86fd63ee753491a41fa132792028d92a4b5a8b0c62d6ba749260db3ed5bcdce6,,2026-05-18T08:53:43
2025-05-01,반도체,두산테스나,doosan_tesna,macro,data\반도체\두산테스나\macro\doosan_tesna_macro_agent_packet.json,c82ac74dd7925ca2e37d2923d5616d3fe9eb56a87c7594143759967ba575aec5,,2026-05-18T08:53:44
2025-05-01,반도체,두산테스나,doosan_tesna,market,data\반도체\두산테스나\market\doosan_tesna_market_agent_packet.json,2f1065b4b57e20e6846807d5b8ff784f0e1558297b25803d2111dc5d68e5ecda,,2026-05-18T08:53:43
2025-05-01,반도체,두산테스나,doosan_tesna,tech,data\반도체\두산테스나\tech\doosan_tesna_tech_agent_packet.json,c01a7f126722a8ad2a5ccfac10bdd2e76ed3092c7fc786eaab24f3329a24a1a0,,2026-05-18T08:53:44
2025-05-01,반도체,두산테스나,doosan_tesna,valuation,data\반도체\두산테스나\valuation\doosan_tesna_valuation_metrics.json,e8af92e76c383936b3fef5b4c25bbb12e54433107e8c0f81fc1e26d69bc43f4c,,2026-05-18T08:53:44
2025-05-01,반도체,덕산테코피아,duksan,chair,data\반도체\덕산테코피아\chair\duksan_chair_agent_packet.json,c0bf00a7fbdf558e5cad00427e27d26d27230f6d927cb1f420c29ffda62a6940,,2026-05-18T08:53:35
2025-05-01,반도체,덕산테코피아,duksan,finance,data\반도체\덕산테코피아\finance\덕산테코피아_finance_agent_packet.json,443a9e89a843b2585ea88b6068dba88ccb205806234ef3e241813dc29f5ee280,,2026-05-18T08:53:35
2025-05-01,반도체,덕산테코피아,duksan,issue,data\반도체\덕산테코피아\issue\duksan_issue_agent_packet.json,36b6ee02912774bb581a11b86745e823871589dac2e3ab3cbdb872b40eec43de,,2026-05-18T08:53:35
2025-05-01,반도체,덕산테코피아,duksan,macro,data\반도체\덕산테코피아\macro\duksan_macro_agent_packet.json,be2a176b9c5886201cfea7a5be7e6254174953b1e8446ef45b23b87680e45b84,,2026-05-18T08:53:35
2025-05-01,반도체,덕산테코피아,duksan,market,data\반도체\덕산테코피아\market\duksan_market_agent_packet.json,a49e4691a1b835196188a5c304bc003d2865f015a488a608b6d604d29f62005f,,2026-05-18T08:53:35
2025-05-01,반도체,덕산테코피아,duksan,tech,data\반도체\덕산테코피아\tech\duksan_tech_agent_packet.json,4b8ea0084a18a3f6520cc47cb705d38388ea5438627c600d18eb4372f8713986,,2026-05-18T08:53:35
2025-05-01,반도체,덕산테코피아,duksan,valuation,data\반도체\덕산테코피아\valuation\duksan_valuation_metrics.json,5b58697df364639aacdf734d924b184fdf8586fac507e751c07b142d44d0968b,,2026-05-18T08:53:35
2025-05-01,반도체,이엔에프테크놀로지,enf_tech,chair,data\반도체\이엔에프테크놀로지\chair\enf_tech_chair_agent_packet.json,5d2854b12e372cc216ead43a8b306a59e201985884ae4a221ad85be225dfab74,,2026-05-18T08:53:42
2025-05-01,반도체,이엔에프테크놀로지,enf_tech,finance,data\반도체\이엔에프테크놀로지\finance\이엔에프테크놀로지_finance_agent_packet.json,785d9bf7eb309539b2473098320fa5643fc8bfeaf55df1147e0f1a5edf4e62d1,,2026-05-18T08:53:42
2025-05-01,반도체,이엔에프테크놀로지,enf_tech,issue,data\반도체\이엔에프테크놀로지\issue\enf_tech_issue_agent_packet.json,40939d759d718243d5ff737d27b1cfed32f4f5b9f76b9e4bb7ef8b709c910efa,,2026-05-18T08:53:42
2025-05-01,반도체,이엔에프테크놀로지,enf_tech,macro,data\반도체\이엔에프테크놀로지\macro\enf_tech_macro_agent_packet.json,9477580513079c42e0797b47a140926e6275cebdcb4b3f39d976e61ea250341e,,2026-05-18T08:53:42
2025-05-01,반도체,이엔에프테크놀로지,enf_tech,market,data\반도체\이엔에프테크놀로지\market\enf_tech_market_agent_packet.json,46b014757d04c0beb64b7023581e9454f743e8295fb0f53e86f0b90aaeb02a52,,2026-05-18T08:53:42
2025-05-01,반도체,이엔에프테크놀로지,enf_tech,tech,data\반도체\이엔에프테크놀로지\tech\enf_tech_tech_agent_packet.json,bb7754e206a181d47cc0c0b3576c1fbb48676117a402dd3e86fc484d2b727c99,,2026-05-18T08:53:42
2025-05-01,반도체,이엔에프테크놀로지,enf_tech,valuation,data\반도체\이엔에프테크놀로지\valuation\enf_tech_valuation_metrics.json,c88136df71e709d46b70892308733bbe2d6040ee6b2f539f02b9203846c08406,,2026-05-18T08:53:42
2025-05-01,반도체,유진테크,eugene_tech,chair,data\반도체\유진테크\chair\eugene_tech_chair_agent_packet.json,b40f2977556d920c577ad0e4654f2deb7e409510b9a248eeba1c2cd4a3a16254,,2026-05-18T08:53:40
2025-05-01,반도체,유진테크,eugene_tech,finance,data\반도체\유진테크\finance\유진테크_finance_agent_packet.json,f959de8f3cd225cefd3ddb65f65def0be783d0d9f8f7387886ff26f1c840d1b4,,2026-05-18T08:53:39
2025-05-01,반도체,유진테크,eugene_tech,issue,data\반도체\유진테크\issue\eugene_tech_issue_agent_packet.json,f9841254a61a0eee2ae464461ae960dbd32bf84019f38584d428ea1f84c223f4,,2026-05-18T08:53:39
2025-05-01,반도체,유진테크,eugene_tech,macro,data\반도체\유진테크\macro\eugene_tech_macro_agent_packet.json,d7c693428b45c00eaafc5ac943b235442a3babccedfc9ce4c9b73d721b78a77b,,2026-05-18T08:53:40
2025-05-01,반도체,유진테크,eugene_tech,market,data\반도체\유진테크\market\eugene_tech_market_agent_packet.json,ab3f0ebd224c394291783adafcf0dbf05a9044e759f4e703636ffe3a37380bf3,,2026-05-18T08:53:39
2025-05-01,반도체,유진테크,eugene_tech,tech,data\반도체\유진테크\tech\eugene_tech_tech_agent_packet.json,4d9e0389a639f0cc444194878d484570aa44ee1e5625ded9868c429adb5b50e3,,2026-05-18T08:53:40
2025-05-01,반도체,유진테크,eugene_tech,valuation,data\반도체\유진테크\valuation\eugene_tech_valuation_metrics.json,7053ab347075f57e60aa36b2d2207f5432755c18a089d5595af88cda7b874041,,2026-05-18T08:53:40
2025-05-01,반도체,가온칩스,gaochips,chair,data\반도체\가온칩스\chair\gaochips_chair_agent_packet.json,aae7b8998e046397c5a6cb1e86ed50473a2d086bc3fe5fc48ac278af298c2b31,,2026-05-18T08:53:39
2025-05-01,반도체,가온칩스,gaochips,finance,data\반도체\가온칩스\finance\가온칩스_finance_agent_packet.json,860d4b2662a4f21dc00315ce150a7b64ef2c8b685f7b55cf5a45ebccbd30e78b,,2026-05-18T08:53:39
2025-05-01,반도체,가온칩스,gaochips,issue,data\반도체\가온칩스\issue\gaochips_issue_agent_packet.json,6cf7c3807786b77a2cad8d2a499a8d416bcec449422c66a890c689a666bdd481,,2026-05-18T08:53:39
2025-05-01,반도체,가온칩스,gaochips,macro,data\반도체\가온칩스\macro\gaochips_macro_agent_packet.json,fe15189e159eb1f796e58639bd8005bbec1b358a97660d2dfe70822263cbf908,,2026-05-18T08:53:39
2025-05-01,반도체,가온칩스,gaochips,market,data\반도체\가온칩스\market\gaochips_market_agent_packet.json,1fb3a440becafa10de58553b441a139d74ce59964db098901b8e5b9401550611,,2026-05-18T08:53:39
2025-05-01,반도체,가온칩스,gaochips,tech,data\반도체\가온칩스\tech\gaochips_tech_agent_packet.json,c3f396c890d083d49940aae06aa8f8f4858cbec1384111a6f68b64f22e199294,,2026-05-18T08:53:39
2025-05-01,반도체,가온칩스,gaochips,valuation,data\반도체\가온칩스\valuation\gaochips_valuation_metrics.json,782216fbfed27198b66edfe829a8bee747a1b2582060d9ad421eb9ad2c797389,,2026-05-18T08:53:39
2025-05-01,반도체,GST,gst,chair,data\반도체\GST\chair\gst_chair_agent_packet.json,cd90d06230b58365dafcb3341dfe253bebca769a744205ae61a3eece559dba53,,2026-05-18T08:53:41
2025-05-01,반도체,GST,gst,finance,data\반도체\GST\finance\GST_finance_agent_packet.json,2b0f72a385a35f4c20b28766fa7aeabbc3874eedeedc2247c9a7ae036be32b7e,,2026-05-18T08:53:40
