as_of_date,field,company,company_dir,snapshot_agent_count,snapshot_agents,latest_run_id,chair_final_recommendation,chair_weighted_signal,auditor_packet_agent_count,auditor_packet_agents,auditor_packet_signals,auditor_packet_recommendations,auditor_final_recommendation,auditor_weighted_signal,auditor_passed,failed_agents,chair_created_at,auditor_packet_created_at
2025-05-01,반도체,어보브반도체,abov,7,"chair,finance,issue,macro,market,tech,valuation",chair_db_only_2025-05-01_20260518_085442,,,6,"finance,market,tech,valuation,issue,macro","{""finance"": 0.2125, ""market"": -0.34, ""tech"": -0.39, ""valuation"": -0.1902, ""issue"": 0.2222, ""macro"": -0.45}","{""finance"": ""보유"", ""market"": ""매도"", ""tech"": ""매도"", ""valuation"": ""보유"", ""issue"": ""보유"", ""macro"": ""매도""}",보유,-0.1367,True,,2026-05-18T08:55:26,2026-05-18T08:55:26
2025-05-01,반도체,코아시아,coasia,7,"chair,finance,issue,macro,market,tech,valuation",chair_db_only_2025-05-01_20260518_085442,,,6,"finance,market,tech,valuation,issue,macro","{""finance"": -0.6493, ""market"": -0.2, ""tech"": -0.39, ""valuation"": 0.0767, ""issue"": 0.4286, ""macro"": -0.45}","{""finance"": ""매도"", ""market"": ""보유"", ""tech"": ""매도"", ""valuation"": ""보유"", ""issue"": ""매수"", ""macro"": ""매도""}",매도,-0.2571,True,,2026-05-18T08:55:37,2026-05-18T08:55:37
2025-05-01,반도체,DB하이텍,dbhitek,7,"chair,finance,issue,macro,market,tech,valuation",chair_db_only_2025-05-01_20260518_085442,,,6,"finance,market,tech,valuation,issue,macro","{""finance"": 0.7078, ""market"": -0.0801, ""tech"": -0.39, ""valuation"": -0.1569, ""issue"": 0.375, ""macro"": -0.45}","{""finance"": ""매수"", ""market"": ""보유"", ""tech"": ""매도"", ""valuation"": ""보유"", ""issue"": ""매수"", ""macro"": ""매도""}",보유,0.0481,True,,2026-05-18T08:55:05,2026-05-18T08:55:05
2025-05-01,반도체,동진쎄미켐,dongjin_semichem,7,"chair,finance,issue,macro,market,tech,valuation",chair_db_only_2025-05-01_20260518_085442,,,6,"finance,market,tech,valuation,issue,macro","{""finance"": 0.5086, ""market"": -0.15, ""tech"": -0.39, ""valuation"": 0.3294, ""issue"": 0.8857, ""macro"": -0.45}","{""finance"": ""매수"", ""market"": ""보유"", ""tech"": ""매도"", ""valuation"": ""매수"", ""issue"": ""매수"", ""macro"": ""매도""}",보유,0.1361,True,,2026-05-18T08:57:09,2026-05-18T08:57:09
2025-05-01,반도체,두산테스나,doosan_tesna,7,"chair,finance,issue,macro,market,tech,valuation",chair_db_only_2025-05-01_20260518_085442,,,6,"finance,market,tech,valuation,issue,macro","{""finance"": -0.043, ""market"": -0.16, ""tech"": -0.39, ""valuation"": -0.3318, ""issue"": 0.5294, ""macro"": -0.45}","{""finance"": ""보유"", ""market"": ""보유"", ""tech"": ""매도"", ""valuation"": ""매도"", ""issue"": ""매수"", ""macro"": ""매도""}",매도,-0.1712,True,,2026-05-18T08:58:14,2026-05-18T08:58:14
2025-05-01,반도체,덕산테코피아,duksan,7,"chair,finance,issue,macro,market,tech,valuation",chair_db_only_2025-05-01_20260518_085442,,,6,"finance,market,tech,valuation,issue,macro","{""finance"": -0.646, ""market"": -0.22, ""tech"": -0.0658, ""valuation"": -0.4255, ""issue"": 0.661, ""macro"": -0.45}","{""finance"": ""매도"", ""market"": ""보유"", ""tech"": ""보유"", ""valuation"": ""매도"", ""issue"": ""매수"", ""macro"": ""매도""}",매도,-0.2717,True,,2026-05-18T08:54:58,2026-05-18T08:54:58
2025-05-01,반도체,이엔에프테크놀로지,enf_tech,7,"chair,finance,issue,macro,market,tech,valuation",chair_db_only_2025-05-01_20260518_085442,,,6,"finance,market,tech,valuation,issue,macro","{""finance"": 0.7567, ""market"": -0.058, ""tech"": -0.39, ""valuation"": 0.4063, ""issue"": 0.5238, ""macro"": -0.45}","{""finance"": ""매수"", ""market"": ""보유"", ""tech"": ""매도"", ""valuation"": ""매수"", ""issue"": ""매수"", ""macro"": ""매도""}",보유,0.1911,True,,2026-05-18T08:57:54,2026-05-18T08:57:54
2025-05-01,반도체,유진테크,eugene_tech,7,"chair,finance,issue,macro,market,tech,valuation",chair_db_only_2025-05-01_20260518_085442,,,6,"finance,market,tech,valuation,issue,macro","{""finance"": 0.6214, ""market"": -0.18, ""tech"": -0.39, ""valuation"": -0.2877, ""issue"": 0.8462, ""macro"": -0.45}","{""finance"": ""매수"", ""market"": ""보유"", ""tech"": ""매도"", ""valuation"": ""매도"", ""issue"": ""매수"", ""macro"": ""매도""}",보유,0.0324,True,,2026-05-18T08:55:51,2026-05-18T08:55:50
2025-05-01,반도체,가온칩스,gaochips,7,"chair,finance,issue,macro,market,tech,valuation",chair_db_only_2025-05-01_20260518_085442,,,6,"finance,market,tech,valuation,issue,macro","{""finance"": -0.7481, ""market"": -0.15, ""tech"": -0.39, ""valuation"": -0.3599, ""issue"": 0.4783, ""macro"": -0.45}","{""finance"": ""매도"", ""market"": ""보유"", ""tech"": ""매도"", ""valuation"": ""매도"", ""issue"": ""매수"", ""macro"": ""매도""}",매도,-0.3567,True,,2026-05-18T08:55:42,2026-05-18T08:55:41
2025-05-01,반도체,GST,gst,7,"chair,finance,issue,macro,market,tech,valuation",chair_db_only_2025-05-01_20260518_085442,,,6,"finance,market,tech,valuation,issue,macro","{""finance"": 0.7531, ""market"": -0.21, ""tech"": -0.39, ""valuation"": -0.1591, ""issue"": 0.4, ""macro"": -0.45}","{""finance"": ""매수"", ""market"": ""보유"", ""tech"": ""매도"", ""valuation"": ""보유"", ""issue"": ""매수"", ""macro"": ""매도""}",보유,0.042,True,,2026-05-18T08:56:07,2026-05-18T08:56:07
2025-05-01,반도체,한미반도체,hanmi,7,"chair,finance,issue,macro,market,tech,valuation",chair_db_only_2025-05-01_20260518_085442,,,6,"finance,market,tech,valuation,issue,macro","{""finance"": 0.0347, ""market"": -0.1, ""tech"": 0.3064, ""valuation"": -0.6883, ""issue"": 0.1818, ""macro"": -0.45}","{""finance"": ""보유"", ""market"": ""보유"", ""tech"": ""매수"", ""valuation"": ""매도"", ""issue"": ""보유"", ""macro"": ""매도""}",보유,-0.1095,True,,2026-05-18T08:54:51,2026-05-18T08:54:48
2025-05-01,반도체,한솔케미칼,hansol,7,"chair,finance,issue,macro,market,tech,valuation",chair_db_only_2025-05-01_20260518_085442,,,6,"finance,market,tech,valuation,issue,macro","{""finance"": 0.1894, ""market"": -0.21, ""tech"": 0.3406, ""valuation"": -0.4153, ""issue"": 0.3793, ""macro"": -0.45}","{""finance"": ""보유"", ""market"": ""보유"", ""tech"": ""매수"", ""valuation"": ""매도"", ""issue"": ""매수"", ""macro"": ""매도""}",보유,-0.0062,True,,2026-05-18T08:54:55,2026-05-18T08:54:55
2025-05-01,반도체,ISC,isc,7,"chair,finance,issue,macro,market,tech,valuation",chair_db_only_2025-05-01_20260518_085442,,,6,"finance,market,tech,valuation,issue,macro","{""finance"": 0.7991, ""market"": -0.14, ""tech"": -0.39, ""valuation"": -0.2354, ""issue"": 0.8298, ""macro"": -0.45}","{""finance"": ""매수"", ""market"": ""보유"", ""tech"": ""매도"", ""valuation"": ""보유"", ""issue"": ""매수"", ""macro"": ""매도""}",보유,0.0917,True,,2026-05-18T08:58:06,2026-05-18T08:58:06
2025-05-01,반도체,제주반도체,jeju_semicon,7,"chair,finance,issue,macro,market,tech,valuation",chair_db_only_2025-05-01_20260518_085442,,,6,"finance,market,tech,valuation,issue,macro","{""finance"": 0.7117, ""market"": -0.11, ""tech"": -0.39, ""valuation"": -0.2098, ""issue"": 0.1111, ""macro"": -0.45}","{""finance"": ""매수"", ""market"": ""보유"", ""tech"": ""매도"", ""valuation"": ""보유"", ""issue"": ""보유"", ""macro"": ""매도""}",보유,0.0076,True,,2026-05-18T08:55:18,2026-05-18T08:55:17
2025-05-01,반도체,리노공업,leeno,7,"chair,finance,issue,macro,market,tech,valuation",chair_db_only_2025-05-01_20260518_085442,,,6,"finance,market,tech,valuation,issue,macro","{""finance"": 0.5746, ""market"": -0.12, ""tech"": -0.39, ""valuation"": -0.1732, ""issue"": 0.7419, ""macro"": -0.45}","{""finance"": ""매수"", ""market"": ""보유"", ""tech"": ""매도"", ""valuation"": ""보유"", ""issue"": ""매수"", ""macro"": ""매도""}",보유,0.0422,True,,2026-05-18T08:58:17,2026-05-18T08:58:17
2025-05-01,반도체,엘티씨,ltc,7,"chair,finance,issue,macro,market,tech,valuation",chair_db_only_2025-05-01_20260518_085442,,,6,"finance,market,tech,valuation,issue,macro","{""finance"": 0.2361, ""market"": -0.16, ""tech"": 0.3406, ""valuation"": -0.1318, ""issue"": 0.8, ""macro"": -0.45}","{""finance"": ""보유"", ""market"": ""보유"", ""tech"": ""매수"", ""valuation"": ""보유"", ""issue"": ""매수"", ""macro"": ""매도""}",보유,0.1118,True,,2026-05-18T08:55:02,2026-05-18T08:55:02
2025-05-01,반도체,LX세미콘,lxsemicon,7,"chair,finance,issue,macro,market,tech,valuation",chair_db_only_2025-05-01_20260518_085442,,,6,"finance,market,tech,valuation,issue,macro","{""finance"": 0.4383, ""market"": -0.2, ""tech"": -0.39, ""valuation"": 0.0372, ""issue"": 0.76, ""macro"": -0.45}","{""finance"": ""매수"", ""market"": ""보유"", ""tech"": ""매도"", ""valuation"": ""보유"", ""issue"": ""매수"", ""macro"": ""매도""}",보유,0.04,True,,2026-05-18T08:55:11,2026-05-18T08:55:11
2025-05-01,반도체,미코,mico,7,"chair,finance,issue,macro,market,tech,valuation",chair_db_only_2025-05-01_20260518_085442,,,6,"finance,market,tech,valuation,issue,macro","{""finance"": 0.0794, ""market"": -0.0315, ""tech"": -0.39, ""valuation"": 0.7377, ""issue"": 0.4839, ""macro"": -0.45}","{""finance"": ""보유"", ""market"": ""보유"", ""tech"": ""매도"", ""valuation"": ""매수"", ""issue"": ""매수"", ""macro"": ""매도""}",보유,0.0881,True,,2026-05-18T08:55:08,2026-05-18T08:55:08
2025-05-01,반도체,네패스,nepes,7,"chair,finance,issue,macro,market,tech,valuation",chair_db_only_2025-05-01_20260518_085442,,,6,"finance,market,tech,valuation,issue,macro","{""finance"": -0.2121, ""market"": -0.2, ""tech"": 0.3029, ""valuation"": 0.2368, ""issue"": 0.5833, ""macro"": -0.45}","{""finance"": ""보유"", ""market"": ""보유"", ""tech"": ""매수"", ""valuation"": ""보유"", ""issue"": ""매수"", ""macro"": ""매도""}",보유,0.0382,True,,2026-05-18T08:54:45,2026-05-18T08:54:45
