record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020180028120|1020422280000|발광 다이오드 패키지|(주)코아시아,발광 다이오드 패키지,(주)코아시아,1020180028120,1020190108210,1020422280000,등록,2018,2019,2019,H10H,,소자; 방열,True,True,False,49.5,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,24
1020170027058|1020755470000|방열 기능이 구비된 엘이디 칩 스케일 패키지 및 방열 기능이 구비된 엘이디 패키지|(주)코아시아,방열 기능이 구비된 엘이디 칩 스케일 패키지 및 방열 기능이 구비된 엘이디 패키지,(주)코아시아,1020170027058,1020180100800,1020755470000,등록,2017,2018,2020,H10H,,소자; 방열,True,True,False,49.5,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,25
1020210033380|1025759360000|고화소 소형 매크로 광학계|(주)코아시아씨엠,고화소 소형 매크로 광학계,(주)코아시아씨엠,1020210033380,1020220128801,1025759360000,등록,2021,2022,2023,G02B,,,True,True,False,47.5,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,6
1020220107221|1028505960000|TOF 카메라용 광학계|(주)코아시아씨엠,TOF 카메라용 광학계,(주)코아시아씨엠,1020220107221,1020240029129,1028505960000,등록,2022,2024,2025,G02B,,,True,True,False,47.5,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,14
1020180054393|1020774940000|어라운드뷰 제공 방법 및 장치|주식회사 코아시아넥셀,어라운드뷰 제공 방법 및 장치,주식회사 코아시아넥셀,1020180054393,1020190129562,1020774940000,등록,2018,2019,2020,G06T; B60W,,,True,True,False,45.0,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,21
1020190032944|1021618110000|발광 다이오드 및 발광 다이오드 패키지|(주)코아시아,발광 다이오드 및 발광 다이오드 패키지,(주)코아시아,1020190032944,,1021618110000,등록,2019,2020,2020,H05B; H10H,,,True,True,False,45.0,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,23
1020160104233|1018117740000|그래픽 처리 장치 및 방법|주식회사 코아시아넥셀,그래픽 처리 장치 및 방법,주식회사 코아시아넥셀,1020160104233,1020170107350,1018117740000,등록,2016,2017,2017,H04N; G06T,,,True,True,False,45.0,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,30
1020200068001|1023394320000|소형 망원 광학계|(주)코아시아씨엠,소형 망원 광학계,(주)코아시아씨엠,1020200068001,1020210151332,1023394320000,등록,2020,2021,2021,G02B,,,True,True,False,43.5,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,1
1020200136656|1024484650000|초고화소 모바일 광학계|(주)코아시아씨엠,초고화소 모바일 광학계,(주)코아시아씨엠,1020200136656,1020220040960,1024484650000,등록,2020,2022,2022,G02B,,,True,True,False,43.5,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,2
1020200183231|1024958820000|고화소 초소형 이미지센서를 위한 모바일 소형 광학계|(주)코아시아씨엠,고화소 초소형 이미지센서를 위한 모바일 소형 광학계,(주)코아시아씨엠,1020200183231,1020220091964,1024958820000,등록,2020,2022,2023,G02B,,,True,True,False,43.5,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,3
1020200034939|1023681230000|광각 촬상 광학계|(주)코아시아씨엠,광각 촬상 광학계,(주)코아시아씨엠,1020200034939,1020210118553,1023681230000,등록,2020,2021,2022,G02B,,,True,True,False,43.5,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,4
1020200006011|1021499830000|초고화소 모바일 카메라 광학계|(주)코아시아씨엠,초고화소 모바일 카메라 광학계,(주)코아시아씨엠,1020200006011,,1021499830000,등록,2020,2020,2020,G02B,,,True,True,False,43.5,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,5
1020200068002|1023865960000|고화소 슈퍼 광각 모바일 광학계|(주)코아시아씨엠,고화소 슈퍼 광각 모바일 광학계,(주)코아시아씨엠,1020200068002,1020210151333,1023865960000,등록,2020,2021,2022,G02B,,,True,True,False,43.5,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,7
1020200136836|1024484690000|고화소 모바일 소형 망원 광학계|(주)코아시아씨엠,고화소 모바일 소형 망원 광학계,(주)코아시아씨엠,1020200136836,1020220040962,1024484690000,등록,2020,2022,2022,G02B,,,True,True,False,43.5,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,8
1020200136835|1024484500000|초고화소 모바일 소형 광학계|(주)코아시아씨엠,초고화소 모바일 소형 광학계,(주)코아시아씨엠,1020200136835,1020220040961,1024484500000,등록,2020,2022,2022,G02B,,,True,True,False,43.5,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,9
1020200098488|1023865890000|고화소 광각 모바일 광학계|(주)코아시아씨엠,고화소 광각 모바일 광학계,(주)코아시아씨엠,1020200098488,1020220018235,1023865890000,등록,2020,2022,2022,G02B,,,True,True,False,43.5,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,10
1020190103853|1020744290000|광시야각을 가지며 경량화한 안저 카메라용 광학계|(주)코아시아씨엠,광시야각을 가지며 경량화한 안저 카메라용 광학계,(주)코아시아씨엠,1020190103853,,1020744290000,등록,2019,2020,2020,A61B,,,True,True,False,43.5,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,11
1020180106399|1019648290000|자동 캘리브레이션 기능을 구비한 어라운드뷰 제공 방법 및 장치|주식회사 코아시아넥셀,자동 캘리브레이션 기능을 구비한 어라운드뷰 제공 방법 및 장치,주식회사 코아시아넥셀,1020180106399,,1019648290000,등록,2018,2019,2019,G06T,,,True,True,False,43.5,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,15
1020160030727|1020771460000|그래픽 처리 방법 및 장치|주식회사 코아시아넥셀,그래픽 처리 방법 및 장치,주식회사 코아시아넥셀,1020160030727,1020170107160,1020771460000,등록,2016,2017,2020,G06T,,,True,True,False,43.5,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,20
1020100051473|1010009010000|가상 키보드가 표시되는 터치패널을 구비한 리모콘이 적용된 IPTV 및 이를 이용한 문자입력방법|주식회사 코아시아넥셀,가상 키보드가 표시되는 터치패널을 구비한 리모콘이 적용된 IPTV 및 이를 이용한 문자입력방법,주식회사 코아시아넥셀,1020100051473,1020100067080,1010009010000,등록,2010,2010,2010,H04N; G06F,,,True,True,False,41.0,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,27
1020240064908||비접촉식 센서와 카메라 모듈을 이용한 도어락 보안 시스템|주식회사 코아시아씨엠코리아,비접촉식 센서와 카메라 모듈을 이용한 도어락 보안 시스템,주식회사 코아시아씨엠코리아,1020240064908,1020250165726,,공개,2024,2025,,G07C; G06V; H04N,,,True,False,False,40.5,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,19
1020150139480|1017304120000|웨어러블 디바이스와 이를 이용하는 웨어러블 시스템|주식회사 코아시아넥셀,웨어러블 디바이스와 이를 이용하는 웨어러블 시스템,주식회사 코아시아넥셀,1020150139480,1020170040472,1017304120000,등록,2015,2017,2017,G06F,,,True,True,False,39.5,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,12
1020110102329|1011367370000|그래픽 처리방법 및 그 장치|주식회사 코아시아넥셀,그래픽 처리방법 및 그 장치,주식회사 코아시아넥셀,1020110102329,,1011367370000,등록,2011,2012,2012,G06T,,,True,True,False,39.5,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,13
1020130050951|1014767890000|프로세싱 장치 및 방법|주식회사 코아시아넥셀,프로세싱 장치 및 방법,주식회사 코아시아넥셀,1020130050951,1020140131832,1014767890000,등록,2013,2014,2014,G06F,,,True,True,False,39.5,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,26
1020100051471|1010009000000|화면에 표시된 웹페이지의 링크 영역 선택이 용이한 IPTV 및 이를 이용한 웹브라우저 구동 방법|주식회사 코아시아넥셀,화면에 표시된 웹페이지의 링크 영역 선택이 용이한 IPTV 및 이를 이용한 웹브라우저 구동 방법,주식회사 코아시아넥셀,1020100051471,1020100067079,1010009000000,등록,2010,2010,2010,H04N,,,True,True,False,39.5,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,28
1020140006804|1015825780000|그래픽 처리 장치 및 방법|주식회사 코아시아넥셀,그래픽 처리 장치 및 방법,주식회사 코아시아넥셀,1020140006804,1020150086758,1015825780000,등록,2014,2015,2015,G06T,,,True,True,False,39.5,C:\Agent_6.9\data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,29
