source_application_number,source_invention_title,source_ipc_number,source_application_date,source_register_status,source_final_disposal,source_right_holder,citation_record_index,citation_direction,cited_application_number,citing_application_number,citing_invention_title,citing_applicant_name,citation_date,citation_category,is_self_citation_estimated,parse_type,http_status_code,request_ok,request_url
1020210179470,반도체 소자 및 제조방법,H10D 62/10|H10D 84/85|H10D 48/00|H10D 30/60|H10W 10/10,2021-12-15,등록,등록,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020210179470,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210179470&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020220047299,알에프 스위치 소자,H10D 30/60|H10D 48/00|H03K 17/687,2022-04-18,등록,등록,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020220047299,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020220047299&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020220048639,반도체 소자 및 제조방법,H10D 30/60|H10D 64/66|H10D 64/00|H10D 48/00,2022-04-20,등록,등록,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020220048639,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020220048639&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020180003123,소자 분리막 구조물의 제조방법,H10W 20/00|H10P 10/00,2018-01-10,등록,등록,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020180003123,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020180003123&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020070112547,이미지센서,H10F 39/12,2007-11-06,등록,등록,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020070112547,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020070112547&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020080099081,이미지센서 및 그 제조방법,H10F 39/12,2008-10-09,등록,등록,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020080099081,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020080099081&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020220029487,이미지 센서,H10F 39/12,2022-03-08,공개,공개,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020220029487,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020220029487&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020220032769,저항 변화 메모리 장치 및 그 제조 방법,H10B 63/00|H10N 70/00,2022-03-16,공개,공개,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020220032769,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020220032769&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020220127497,LDMOS 반도체 소자 및 제조방법,H10D 30/60|H10D 62/10|H10D 62/17|H10D 48/00,2022-10-06,공개,공개,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020220127497,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020220127497&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020220133652,MOSFET 영역과 다이오드 영역을 포함하는 반도체 소자 및 제조방법,H10D 30/60|H10D 48/00|H10D 62/10,2022-10-18,공개,공개,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020220133652,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020220133652&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020220134680,SiC MOSFET 반도체 소자 및 제조방법,H10D 30/60|H10D 62/10|H10D 62/13|H10D 62/83|H10D 48/00,2022-10-19,공개,공개,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020220134680,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020220134680&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230001936,반도체 소자 및 그 제조 방법,H10D 30/60|H10D 62/13|H10D 62/17|H10D 48/00,2023-01-05,공개,공개,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020230001936,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230001936&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230005849,반도체 소자 및 제조방법,H10D 30/60|H10D 62/10|H10D 48/00|H10W 10/10|H10P 50/20,2023-01-16,공개,공개,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020230005849,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230005849&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230009484,고전압 반도체 소자 및 제조방법,H10D 30/60|H10D 64/00|H10D 62/10|H10D 62/17|H10D 48/00,2023-01-25,공개,공개,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020230009484,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230009484&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230015999,고전압 반도체 소자 및 제조방법,H10D 30/60|H10D 62/17|H10D 62/10|H10D 64/00|H10D 48/00,2023-02-07,공개,공개,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020230015999,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230015999&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230041618,고전압 반도체 소자 및 제조방법,H10D 30/60|H10D 64/00|H10D 48/00|H10D 62/10,2023-03-30,공개,공개,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020230041618,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230041618&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230068165,고전압 반도체 소자 및 제조방법,H10D 30/60|H10D 62/10|H10D 48/00|H10W 10/10|H10P 50/20,2023-05-26,공개,공개,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020230068165,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230068165&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230070955,실리콘 카바이드 전력 반도체 소자,H10D 30/60|H10D 62/10|H10D 62/83,2023-06-01,공개,공개,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020230070955,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230070955&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230099421,고전압 반도체 소자 및 그 제조방법,H10D 62/10|H10D 48/00|H10D 30/60|H10W 10/10|H10D 84/83,2023-07-31,공개,공개,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020230099421,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230099421&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230114744,딥 트렌치 커패시터 및 제조방법,H10N 97/00|H10P 10/00,2023-08-30,공개,공개,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020230114744,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230114744&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240033749,SPAD 구조 및 그 제조방법,H10F 30/225|H10F 77/20,2024-03-11,공개,공개,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020240033749,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240033749&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240042320,고전압 반도체 소자 및 제조방법,H10D 30/60|H10D 64/00|H10D 48/00,2024-03-28,공개,공개,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020240042320,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240042320&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240160874,실리콘 커패시터 반도체 장치 및 이의 제조 방법,H10D 84/00|H10N 97/00|H10W 44/00,2024-11-13,공개,공개,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020240160874,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240160874&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020070131355,웨이퍼의 습식 세정 장치,H10P 52/00|H10P 72/30|H10P 10/00,2007-12-14,포기,포기,주식회사 디비하이텍,1,BACKWARD_CITATION_ESTIMATED,1020070131355,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020070131355&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
