application_number,application_no,open_number,publication_no,register_number,registration_no,register_status,final_disposal,legal_status,invention_title,title,right_holder,applicant,inventor,application_date,application_year,open_date,publication_date,register_date,registration_date,ipc_number,ipc,cpc_number,cpc,abstract,claim_text,claims,url,drawing,is_registered,is_alive_estimated,has_negative_disposal_estimated,tech_keyword_match_count,source_file,source_sheet,source_row,ipc_subclass_refined,ipc_main_refined,has_h01l_refined,has_semiconductor_related_ipc_refined,tech_keyword_match_count_refined,is_registered_bool,is_alive_estimated_bool,application_year_num
1020240160874,1020240160874,1020260072107.0,1020260072107.0,,,공개,공개,공개 공개,실리콘 커패시터 반도체 장치 및 이의 제조 방법,실리콘 커패시터 반도체 장치 및 이의 제조 방법,주식회사 디비하이텍,주식회사 디비하이텍,,20241113,2024,20260520,20260520,,,H10D 84/00|H10N 97/00|H10W 44/00,H10D 84/00|H10N 97/00|H10W 44/00,,,"본 발명은 실리콘 커패시터 반도체 장치 및 이의 제조 방법을 개시한다. 상기 실리콘 커패시터 반도체 장치는, 제1 기판, 상기 제1 기판을 구성하는 물질과 동일한 물질로 성장된 에피층, 상기 제1 기판에 형성된 제1 트렌치의 프로파일을 따라 형성된 제1 버퍼층, 상기 제1 버퍼층 상의 제1 커패시터 구조체, 상기 제1 커패시터 구조체 상의 제1 층간 절연막, 상기 에피층에 형성된 제2 트렌치의 프로파일을 따라 형성된 제2 버퍼층, 상기 제2 버퍼층 상의 제2 커패시터 구조체 및 상기 제1 층간 절연막과 상기 제2 커패시터 구조체 사이의 제2 층간 절연막을 포함할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c939ef37838d7979f248b24efc013628b24b7b09404a5e389fadd9133ce9e495d71bd603095c1486723c9486d7b624ce1d59d1cd4138b523b0e,False,False,False,2,C:\Agent_6.9\data\반도체\DB하이텍\tech\source\dbhitek_kipris_plus_bibliographic_raw.csv,,2,H10D,H10D 84,False,True,2,False,False,2024.0
1020220029487,1020220029487,1020230132224.0,1020230132224.0,,,공개,공개,공개 공개,이미지 센서,이미지 센서,주식회사 디비하이텍,주식회사 디비하이텍,,20220308,2022,20230915,20230915,,,H10F 39/12,H10F 39/12,,,"이미지 센서가 개시된다. 상기 이미지 센서는, 기판 내에 형성된 제1 도전형을 갖는 전하 축적 영역과, 상기 전하 축적 영역으로부터 일측으로 이격되도록 형성되며 상기 제1 도전형을 갖는 전하 저장 영역과, 상기 전하 축적 영역과 상기 전하 저장 영역 사이의 채널 영역 상에 형성되며 상기 전하 축적 영역으로부터 상기 전하 저장 영역으로 전하를 이동시키기 위한 전달 게이트 전극과, 제2 도전형을 갖고 상기 전하 저장 영역 아래에 형성되며 상기 전하 저장 영역의 아래에서 생성된 전하가 상기 전하 저장 영역으로 이동되는 것을 방지하기 위한 제1 웰 영역과, 이웃하는 이미지 셀에 인접하는 상기 제1 웰 영역의 일측 부위 아래에 형성되며 상기 제2 도전형을 갖는 제2 웰 영역을 포함한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93f6548c790985d9b458e5981014ad1bd1fed31dc4190d784df44ce97ae69b276929a3b95a8a5bbd80056f1626faa724fd9ee08fbfdf0e904b,False,False,False,1,C:\Agent_6.9\data\반도체\DB하이텍\tech\source\dbhitek_kipris_plus_bibliographic_raw.csv,,3,H10F,H10F 39,False,True,1,False,False,2022.0
1020240033749,1020240033749,1020250137287.0,1020250137287.0,,,공개,공개,공개 공개,SPAD 구조 및 그 제조방법,SPAD 구조 및 그 제조방법,주식회사 디비하이텍,주식회사 디비하이텍,,20240311,2024,20250918,20250918,,,H10F 30/225|H10F 77/20,H10F 30/225|H10F 77/20,,,"본 발명은 SPAD 구조 및 그 제조방법에 관한 것으로, 더욱 상세하게는 제1 불순물 도핑 영역과 제2 불순물 도핑 영역의 측부에 가이드 월(Guide Wall)을 형성하여, 광 생성된 전하가 상기 제1 불순물 도핑 영역과 제2 불순물 도핑 영역 사이의 PN 접합영역 측 애벌런시 영역(Avalanche Region; A)으로 확산되도록 유도함으로써, 광자 검출 효율(Photon Detection Efficiency; PDE)이 향상되도록 하는 SPAD 구조 및 그 제조방법에 관한 것이다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93079b542b4eafd37be8151017b864a5495c346e6bbc8cba20c3454c1b722a5d12761f185c0cc9d1881ed8db37eda5c40b8146bf0fe667117b,False,False,False,0,C:\Agent_6.9\data\반도체\DB하이텍\tech\source\dbhitek_kipris_plus_bibliographic_raw.csv,,4,H10F,H10F 30,False,True,0,False,False,2024.0
1020230015422,1020230015422,1020240123001.0,1020240123001.0,,,공개,공개,공개 공개,저전압 감지 플로팅 N-웰 바이어스 회로,저전압 감지 플로팅 N-웰 바이어스 회로,주식회사 디비하이텍,주식회사 디비하이텍,,20230206,2023,20240813,20240813,,,G01R 31/26|G01R 31/28|G01R 19/10,G01R 31/26|G01R 31/28|G01R 19/10,,,"본 발명은 저전압 감지 플로팅 N-웰 바이어스 회로를 제안한다. 본 발명 회로는, 서로 다른 전원 레벨의 제1 전원(VDD) 및 제2 전원(DVDD) 상태를 감지하는 전원 감지부와, 상기 제1 전원(VDD) 및 제2 전원(DVDD) 상태에 따라 스위칭 동작하는 스위칭부, 그리고 상기 제1 전원(VDD) 및 제2 전원(DVDD) 상태와, 상기 스위칭부의 스위칭 동작에 따라 제1 전원(VDD) 또는 제2 전원(DVDD)를 N-웰 바이어스 전압으로 출력하는 전압 출력부를 포함하여 구성된다. 이에 따라 제1전원(VDD)과 제2전원(DVDD)이 공급되는 상황에서 제2 전원(DVDD)이 저전압 상태를 가지는 경우에도 플로팅 N-웰 영역으로 제2 전원(DVDD)DMF 드롭(Drop)하지 않고 계속하여 바이어싱 할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c939c7a81f4c7db7c264c0b41e7ae73bc33025f3fddec1185779b546906c48eeb526d1250e5a250870bee440bda256a5b9568e83fdcf0f994b3,False,False,False,0,C:\Agent_6.9\data\반도체\DB하이텍\tech\source\dbhitek_kipris_plus_bibliographic_raw.csv,,5,G01R,G01R 31,False,True,0,False,False,2023.0
1020220048639,1020220048639,1020230149433.0,1020230149433.0,1029628710000.0,1029628710000.0,등록,등록,등록 등록,반도체 소자 및 제조방법,반도체 소자 및 제조방법,주식회사 디비하이텍,주식회사 디비하이텍,,20220420,2022,20231027,20231027,20260506.0,20260506.0,H10D 30/60|H10D 64/66|H10D 64/00|H10D 48/00,H10D 30/60|H10D 64/66|H10D 64/00|H10D 48/00,,,"본 발명은 고전압 반도체 소자(1)에 관한 것으로, 더욱 상세하게는 게이트 영역(150)의 측벽인 게이트 스페이서(155) 외측면 적어도 일부에 경사보정 구조물(180)을 추가로 형성함으로써 필드 플레이트(172) 코너 부분에서의 전계 집중을 방지하여 소자의 신뢰성 향상을 도모하도록 하는 반도체 소자(1)에 관한 것이다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9368411ab1e9d5975dcbad7225f7f781f9302968b1d8c9e1442edcdc1f3120bb00c63c44946b2af8e402f8ce74b9b7e9bcc2fb50ff46c35c4b,True,True,False,2,C:\Agent_6.9\data\반도체\DB하이텍\tech\source\dbhitek_kipris_plus_bibliographic_raw.csv,,6,H10D,H10D 30,False,True,2,True,True,2022.0
1020230099421,1020230099421,1020250018611.0,1020250018611.0,,,공개,공개,공개 공개,고전압 반도체 소자 및 그 제조방법,고전압 반도체 소자 및 그 제조방법,주식회사 디비하이텍,주식회사 디비하이텍,,20230731,2023,20250207,20250207,,,H10D 62/10|H10D 48/00|H10D 30/60|H10W 10/10|H10D 84/83,H10D 62/10|H10D 48/00|H10D 30/60|H10W 10/10|H10D 84/83,,,"본 발명은 고전압 반도체 소자 및 그 제조방법에 관한 것으로, 더욱 상세하게는 DTI 영역의 상부영역 저부가 STI 영역의 저부 대비 기판 내 깊은 위치에 형성되도록 함으로써 상기 DTI 영역 내 형성되는 에어갭의 상단부가 상기 DTI 영역 내 상대적으로 깊은 위치에 위치하도록 하는 고전압 반도체 소자 및 그 제조방법에 관한 것이다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9362e815cb512ea72b959f625e970fd32597c34962abe5fa5ae5f7904271afe4d6d597f6e5f6e52210d6f0cf015093ad1d82204fa30f1d60e0,False,False,False,3,C:\Agent_6.9\data\반도체\DB하이텍\tech\source\dbhitek_kipris_plus_bibliographic_raw.csv,,7,H10D,H10D 62,False,True,3,False,False,2023.0
1020170115697,1020170115697,1020190028874.0,1020190028874.0,1024247740000.0,1024247740000.0,소멸,소멸,소멸 소멸,멤스 마이크로폰 및 이의 제조 방법,멤스 마이크로폰 및 이의 제조 방법,주식회사 디비하이텍,주식회사 디비하이텍,,20170911,2017,20190320,20190320,20220720.0,20220720.0,H04R 19/00|H04R 19/04|B81C 1/00|H04R 31/00,H04R 19/00|H04R 19/04|B81C 1/00|H04R 31/00,,,"음을 전기 신호로 변환하는 멤스 마이크로폰이 개시된다. 멤스 마이크로폰은, 진동 영역과 진동 영역을 둘러싼 지지 영역 및 지지 영역을 둘러싼 주변 영역으로 구획되며 진동 영역에 캐비티를 구비하고 지지 영역의 상부면에 앵커 삽입홀이 구비된 기판과, 기판 상에서 캐비티를 덮도록 구비되고 기판으로부터 이격되어 위치하며 음압을 감지하여 변위를 발생시키는 진동판과, 진동판의 단부에 구비되어 지지 영역에 위치하며 앵커 삽입홀에 대응하여 구비되고 하부가 앵커 삽입홀에 삽입되어 기판에 고정되며 진동판을 지지하는 앵커과, 진동판의 상측에서 진동 영역에 위치하고 진동판과의 사이에 에어갭이 형성되며 복수의 음향홀을 구비하는 백 플레이트를 포함함할 수 있다. 이와 같이, 멤스 마이크로폰은 앵커를 기판에 결합시키기 위해 앵커 삽입홀과 같은 별도의 부재를 구비함으로써, 종래 대비 앵커와 기판의 결합 면적을 증가시키고, 앵커와 기판 간의 결합력을 향상시킬 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93d5280a6ea8dce91e692d3dbc32183f92a1bb58f59b3fdd120062b9c727b16ada486192faa844d674820932bf9b03d52fa3d6094566ee20a3,True,False,True,1,C:\Agent_6.9\data\반도체\DB하이텍\tech\source\dbhitek_kipris_plus_bibliographic_raw.csv,,8,H04R,H04R 19,False,True,1,True,False,2017.0
1020160121820,1020160121820,1020180032771.0,1020180032771.0,1024247620000.0,1024247620000.0,소멸,소멸,소멸 소멸,쇼트키 배리어 다이오드 및 그 제조 방법,쇼트키 배리어 다이오드 및 그 제조 방법,주식회사 디비하이텍,주식회사 디비하이텍,,20160923,2016,20180402,20180402,20220720.0,20220720.0,H10D 8/60|H10D 64/64|H10D 48/00|H10D 84/85|H10P 14/40,H10D 8/60|H10D 64/64|H10D 48/00|H10D 84/85|H10P 14/40,,,"쇼트키 배리어 다이오드는 기판 상에 위치하는 제1 도전형의 에피층과, 상기 제1 도전형 에피층 상에 위치하는 제2 도전형의 제1 웰과, 상기 제1 웰이 포함된 상기 기판의 표면에 서로 이격되도록 위치하는 다수의 제1 도전막과, 상기 제1 웰 상에 위치하며, 상기 제1 도전막에 대해 바깥쪽에 배치되는 제2 도전형의 불순물 영역 및 상기 불순물 영역 상에 위치하는 제2 도전막을 포함한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93d5280a6ea8dce91ea4f1ae90d7a67a0c8e4b6545ec0cb730964d787f28164faa24216a2aa9169dc121c7359697222cff675ee2b01203b7de,True,False,True,1,C:\Agent_6.9\data\반도체\DB하이텍\tech\source\dbhitek_kipris_plus_bibliographic_raw.csv,,9,H10D,H10D 8,False,True,1,True,False,2016.0
1020180008940,1020180008940,1020190090270.0,1020190090270.0,1024247710000.0,1024247710000.0,소멸,소멸,소멸 소멸,반도체 소자 및 그 제조 방법,반도체 소자 및 그 제조 방법,주식회사 디비하이텍,주식회사 디비하이텍,,20180124,2018,20190801,20190801,20220720.0,20220720.0,H10D 30/60|H10D 48/00|H10D 62/17|H10P 76/00|H10W 20/00,H10D 30/60|H10D 48/00|H10D 62/17|H10P 76/00|H10W 20/00,,,"반도체 소자가 개시된다. 상기 반도체 소자는, 기판 내에 형성되며 제1 도전형을 갖는 제1 바디 영역과, 상기 제1 바디 영역 상에 형성되며 상기 제1 바디 영역으로부터 채널 방향으로 돌출된 일부를 갖고 상기 제1 도전형을 갖는 제2 바디 영역과, 상기 제2 바디 영역의 내에 형성되며 제2 도전형을 갖는 소스 영역과, 상기 제2 바디 영역으로부터 상기 채널 방향으로 소정 간격 이격되며 상기 제2 도전형을 갖는 드레인 영역과, 상기 제2 바디 영역과 상기 드레인 영역 사이를 전기적으로 연결하며 상기 제2 도전형을 갖는 웰 영역과, 상기 제2 바디 영역의 상기 돌출된 일부 상에 배치되는 게이트 전극 구조물을 포함한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93d5280a6ea8dce91e20bc732ec9beb3e2adbcb18db1d6b8e6caee25c826d1584f06c2654e989393bdd42386557afb1fb7825c41618b1b2f60,True,False,True,3,C:\Agent_6.9\data\반도체\DB하이텍\tech\source\dbhitek_kipris_plus_bibliographic_raw.csv,,10,H10D,H10D 30,False,True,3,True,False,2018.0
1020170087879,1020170087879,1020190006764.0,1020190006764.0,1024247720000.0,1024247720000.0,소멸,소멸,소멸 소멸,후면 조사형 이미지 센서 및 그 제조 방법,후면 조사형 이미지 센서 및 그 제조 방법,주식회사 디비하이텍,주식회사 디비하이텍,,20170711,2017,20190121,20190121,20220720.0,20220720.0,H10F 39/12,H10F 39/12,,,"후면 조사형 이미지 센서와 그 제조 방법이 개시된다. 상기 후면 조사형 이미지 센서는, 화소 영역들이 형성된 기판과, 상기 기판의 후면 상에 배치된 반사 방지막과, 상기 반사 방지막 상에 배치되며 상기 화소 영역들과 대응하는 개구들을 갖는 차광 패턴과, 상기 차광 패턴 상에 배치된 컬러 필터층과, 상기 컬러 필터층 상에 배치된 마이크로렌즈 어레이를 포함하며, 상기 차광 패턴은 상기 기판의 후면을 향하여 감소하는 폭을 갖는다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93d5280a6ea8dce91e692d3dbc32183f924714e3fd688cb70aa8072fc4b0ff407f34552b638b437d1f307f01b9d4ae522b3e5af2a0207091fc,True,False,True,1,C:\Agent_6.9\data\반도체\DB하이텍\tech\source\dbhitek_kipris_plus_bibliographic_raw.csv,,11,H10F,H10F 39,False,True,1,True,False,2017.0
