application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020220077741,1020230001540,,공개,공개,디스플레이 패널의 전압 강하 보상 시스템 및 상기 디스플레이 패널의 전압 강하 보상을 위한 디스플레이 구동 장치,주식회사 엘엑스세미콘
1020200170270,1020220080953,,공개,공개,글러브 터치의 성능 향상을 위한 터치센싱회로 및 터치센싱회로의 구동 방법,주식회사 엘엑스세미콘
1020250100721,1020250117348,,공개,공개,감마전압생성장치 및 이를 포함하는 디스플레이장치,주식회사 엘엑스세미콘
1020210173345,1020230085302,,공개,공개,터치 센싱 장치 및 터치 센싱 방법,주식회사 엘엑스세미콘
1020220124362,1020240044855,,공개,공개,소스 드라이버 IC 및 소스 드라이버 IC의 전력 소모 감소 방법,주식회사 엘엑스세미콘
1020240031014,1020240032807,,공개,공개,"영상 부호화/복호화 방법, 장치 및 비트스트림을 저장한 기록 매체",주식회사 엘엑스세미콘
1020240158894,1020260070656,,공개,공개,터치 구동 회로 및 표시 장치,주식회사 엘엑스세미콘
1020230081592,1020240078299,,공개,공개,저전압 밴드갭 레퍼런스 회로,주식회사 엘엑스세미콘
1020210189392,1020230099940,,공개,공개,터치 센싱 장치 및 이를 포함하는 터치 디스플레이 구동장치,주식회사 엘엑스세미콘
1020210193097,1020230102735,,공개,공개,차량용 영상 데이터 처리 시스템,주식회사 엘엑스세미콘
1020210128572,1020230045817,,거절,거절,터치 센싱 신호 처리 회로,주식회사 엘엑스세미콘
1020240031020,1020240035967,,공개,공개,"영상 부호화/복호화 방법, 장치 및 비트스트림을 저장한 기록 매체",주식회사 엘엑스세미콘
1020240031018,1020240035965,,공개,공개,"영상 부호화/복호화 방법, 장치 및 비트스트림을 저장한 기록 매체",주식회사 엘엑스세미콘
1020240031021,1020240035968,,공개,공개,"영상 부호화/복호화 방법, 장치 및 비트스트림을 저장한 기록 매체",주식회사 엘엑스세미콘
1020210186738,1020230097340,,공개,공개,터치센싱장치 및 좌표 보정 방법,주식회사 엘엑스세미콘
1020230085519,1020240040606,,공개,공개,"이미지 센싱 장치, 이를 포함하는 전자 장치 및 이미지 센싱 장치의 구동 방법",주식회사 엘엑스세미콘
1020210151131,1020230065504,,공개,공개,전류공급회로 및 이를 포함하는 표시장치,주식회사 엘엑스세미콘
1020220095521,1020240017609,,공개,공개,디스플레이 구동 장치 및 디스플레이 구동 장치의 소스 증폭기 오류 판단 방법,주식회사 엘엑스세미콘
1020240013225,1020240017882,,공개,공개,"영상 부호화/복호화 방법, 장치 및 비트스트림을 저장한 기록 매체",주식회사 엘엑스세미콘
1020220080648,1020240003327,,공개,공개,디스플레이 구동 장치,주식회사 엘엑스세미콘
1020210145313,1020230060767,,공개,공개,디스플레이 패널 구동을 위한 영상데이터를 처리하는 디스플레이 프로세서 및 방법,주식회사 엘엑스세미콘
1020240031019,1020240035966,,공개,공개,"영상 부호화/복호화 방법, 장치 및 비트스트림을 저장한 기록 매체",주식회사 엘엑스세미콘
1020230081591,1020240078298,,공개,공개,오프셋 프리 차동 증폭기 및 차동 증폭기 오프셋 프리 방법,주식회사 엘엑스세미콘
1020210183281,1020230094271,,공개,공개,"메모리, 이를 포함하는 타이밍 컨트롤러 및 이를 포함하는 디스플레이 구동장치",주식회사 엘엑스세미콘
1020210123621,1020230040459,,공개,공개,전류공급회로 및 이를 포함하는 표시장치,주식회사 엘엑스세미콘
1020210194510,1020230103556,,공개,공개,아날로그-디지털 컨버터 및 카메라 모듈의 컨트롤 드라이버,주식회사 엘엑스세미콘
1020210118556,1020230035948,,거절,거절,터치 디스플레이 구동 장치 및 터치 디스플레이 구동 방법,주식회사 엘엑스세미콘
1020210183396,1020230094322,,공개,공개,터치센싱장치 및 터치센싱방법,주식회사 엘엑스세미콘
1020220117326,1020240038450,,공개,공개,칩 온 필름 반도체 패키지 및 칩 온 필름 기판,주식회사 엘엑스세미콘
1020210178610,1020230089870,,공개,공개,영상/음향 조절을 위한 디스플레이제어회로 및 이를 포함하는 표시장치,주식회사 엘엑스세미콘
1020150004623,1020160087088,1023601320000,등록,등록,리어 콤비네이션 램프 장치 및 그 제어 방법,주식회사 엘엑스세미콘|현대모비스 주식회사
1020170164978,1020190065626,1023718230000,등록,등록,디스플레이 장치에서의 데이터송수신방법 및 디스플레이 패널구동장치,주식회사 엘엑스세미콘
1020100057413,1020110137463,1011051540000,등록,등록,출력 드라이버의 출력 전압 안정화 회로,주식회사 엘엑스세미콘
1020110146978,1020130078182,1013682440000,등록,등록,유기발광다이오드 표시장치의 문턱전압 센싱 회로,주식회사 엘엑스세미콘
1020110041793,1020120124122,1012475020000,등록,등록,화상 안정화를 위한 액정패널 구동 회로,주식회사 엘엑스세미콘
1020210187929,1020230098941,1028972420000,등록,등록,디스플레이 구동 장치 및 디스플레이 구동 방법,주식회사 엘엑스세미콘
1020160023423,1020170100923,1024961200000,등록,등록,디스플레이 구동 장치,주식회사 엘엑스세미콘
1020130104263,1020150026000,1020708620000,등록,등록,평판 디스플레이 장치 및 소스 드라이버 집적회로,주식회사 엘엑스세미콘
1020130165838,1020140086909,1020769910000,등록,등록,차지 펌프 장치,주식회사 엘엑스세미콘
1020130116393,1020150037118,1020712980000,등록,등록,샘플 앤드 홀드 회로 및 이를 구비하는 소스 드라이버,주식회사 엘엑스세미콘
1020200178115,1020220087753,1028966730000,등록,등록,터치 디스플레이 장치,주식회사 엘엑스세미콘
1020140193968,1020160080999,1023601440000,등록,등록,리어 콤비네이션 램프 장치,주식회사 엘엑스세미콘
1020130035813,1020140120116,1020655760000,등록,등록,"스위칭 직류-직류 변환기, 그의 전압 변환 회로 및 전압 변환 방법",주식회사 엘엑스세미콘
1020210157366,1020230071309,1028957180000,등록,등록,"타이밍 컨트롤러, 이를 포함하는 디스플레이 구동장치 및 타이밍 컨트롤러를 구동하는 방법",주식회사 엘엑스세미콘
1020210192952,1020230102650,1028956370000,등록,등록,직류-직류 변환기 및 직류-직류 변환기를 포함하는 디스플레이 구동장치,주식회사 엘엑스세미콘
1020150058260,1020160126765,1023601710000,등록,등록,구동 드라이버,주식회사 엘엑스세미콘
1020200178632,1020220088020,1028956360000,등록,등록,출력 버퍼 및 그를 갖는 데이터 드라이버 회로,주식회사 엘엑스세미콘
1020130073300,1020150000768,1020708710000,등록,등록,디스플레이 구동회로 및 디스플레이 장치,주식회사 엘엑스세미콘
1020200172277,1020220082399,1028952040000,등록,등록,데이터구동장치 및 데이터구동장치의 패널 구동 방법,주식회사 엘엑스세미콘
1020210131771,1020230048856,1028958780000,등록,등록,디스플레이 장치의 타이밍 컨트롤러,주식회사 엘엑스세미콘
