record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020230091366||전력반도체 소자 및 이를 포함하는 전력변환 장치와 전력반도체 소자의 제조방법|주식회사 엘엑스세미콘,전력반도체 소자 및 이를 포함하는 전력변환 장치와 전력반도체 소자의 제조방법,주식회사 엘엑스세미콘,1020230091366,1020250011013,,공개,2023,2025,,H10D; H02M; H02P,,기판; 반도체; 소자,False,False,False,29.5,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,70
1020210187929|1028972420000|디스플레이 구동 장치 및 디스플레이 구동 방법|주식회사 엘엑스세미콘,디스플레이 구동 장치 및 디스플레이 구동 방법,주식회사 엘엑스세미콘,1020210187929,1020230098941,1028972420000,등록,2021,2023,2025,G09G,,,False,True,False,27.5,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,36
"1020210157366|1028957180000|타이밍 컨트롤러, 이를 포함하는 디스플레이 구동장치 및 타이밍 컨트롤러를 구동하는 방법|주식회사 엘엑스세미콘","타이밍 컨트롤러, 이를 포함하는 디스플레이 구동장치 및 타이밍 컨트롤러를 구동하는 방법",주식회사 엘엑스세미콘,1020210157366,1020230071309,1028957180000,등록,2021,2023,2025,G09G,,,False,True,False,27.5,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,44
1020210192952|1028956370000|직류-직류 변환기 및 직류-직류 변환기를 포함하는 디스플레이 구동장치|주식회사 엘엑스세미콘,직류-직류 변환기 및 직류-직류 변환기를 포함하는 디스플레이 구동장치,주식회사 엘엑스세미콘,1020210192952,1020230102650,1028956370000,등록,2021,2023,2025,G09G,,,False,True,False,27.5,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,45
1020210131771|1028958780000|디스플레이 장치의 타이밍 컨트롤러|주식회사 엘엑스세미콘,디스플레이 장치의 타이밍 컨트롤러,주식회사 엘엑스세미콘,1020210131771,1020230048856,1028958780000,등록,2021,2023,2025,G09G,,,False,True,False,27.5,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,50
1020210183618|1028956380000|백라이트 유닛 제어 시스템 및 방법|주식회사 엘엑스세미콘,백라이트 유닛 제어 시스템 및 방법,주식회사 엘엑스세미콘,1020210183618,1020230094431,1028956380000,등록,2021,2023,2025,G09G,,,False,True,False,27.5,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,54
1020210185133|1028959080000|디스플레이 드라이버 집적회로 및 디스플레이 드라이버 집적회로의 동작 방법|주식회사 엘엑스세미콘,디스플레이 드라이버 집적회로 및 디스플레이 드라이버 집적회로의 동작 방법,주식회사 엘엑스세미콘,1020210185133,1020230095545,1028959080000,등록,2021,2023,2025,G09G,,,False,True,False,27.5,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,56
1020230094912|1027547230000|화면 내 예측 방법 및 장치|주식회사 엘엑스세미콘,화면 내 예측 방법 및 장치,주식회사 엘엑스세미콘,1020230094912,1020230113267,1027547230000,등록,2023,2023,2025,H04N,,,False,True,False,27.5,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,67
1020230094909|1027550690000|화면 내 예측 방법 및 장치|주식회사 엘엑스세미콘,화면 내 예측 방법 및 장치,주식회사 엘엑스세미콘,1020230094909,1020230113265,1027550690000,등록,2023,2023,2025,H04N,,,False,True,False,27.5,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,68
1020230094910|1027547220000|화면 내 예측 방법 및 장치|주식회사 엘엑스세미콘,화면 내 예측 방법 및 장치,주식회사 엘엑스세미콘,1020230094910,1020230113266,1027547220000,등록,2023,2023,2025,H04N,,,False,True,False,27.5,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,74
1020210017540|1027526410000|엘이디 구동 장치 및 방법|주식회사 엘엑스세미콘,엘이디 구동 장치 및 방법,주식회사 엘엑스세미콘,1020210017540,1020210111154,1027526410000,등록,2021,2021,2025,G09G,,,False,True,False,27.5,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,89
1020220117326||칩 온 필름 반도체 패키지 및 칩 온 필름 기판|주식회사 엘엑스세미콘,칩 온 필름 반도체 패키지 및 칩 온 필름 기판,주식회사 엘엑스세미콘,1020220117326,1020240038450,,공개,2022,2024,,H10W,,기판; 반도체; 방열,False,False,False,26.5,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,29
1020180088352|1025527460000|터치구동장치 및 디스플레이장치|주식회사 엘엑스세미콘,터치구동장치 및 디스플레이장치,주식회사 엘엑스세미콘,1020180088352,1020200013319,1025527460000,등록,2018,2020,2023,G06F; H10K; H03M,,,False,True,False,26.5,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,58
1020230094577||전력반도체 소자 및 전력반도체 장치|주식회사 엘엑스세미콘,전력반도체 소자 및 전력반도체 장치,주식회사 엘엑스세미콘,1020230094577,1020250014489,,공개,2023,2025,,H10D,,기판; 반도체; 소자,False,False,False,26.5,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,66
"1020230085519||이미지 센싱 장치, 이를 포함하는 전자 장치 및 이미지 센싱 장치의 구동 방법|주식회사 엘엑스세미콘","이미지 센싱 장치, 이를 포함하는 전자 장치 및 이미지 센싱 장치의 구동 방법",주식회사 엘엑스세미콘,1020230085519,1020240040606,,공개,2023,2024,,G01S; G01R,,차폐; 기판,False,False,False,25.0,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,16
1020200165519|1028956390000|디스플레이 구동장치 및 디스플레이 구동방법|주식회사 엘엑스세미콘,디스플레이 구동장치 및 디스플레이 구동방법,주식회사 엘엑스세미콘,1020200165519,1020220076731,1028956390000,등록,2020,2022,2025,G09G; G05F,,,False,True,False,25.0,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,52
1020180171297|1027516660000|전류구동방식의 터치센싱장치 및 터치센싱장치 구동방법|주식회사 엘엑스세미콘,전류구동방식의 터치센싱장치 및 터치센싱장치 구동방법,주식회사 엘엑스세미콘,1020180171297,1020200081133,1027516660000,등록,2018,2020,2025,G06F; H03K,,,False,True,False,25.0,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,75
1020170164978|1023718230000|디스플레이 장치에서의 데이터송수신방법 및 디스플레이 패널구동장치|주식회사 엘엑스세미콘,디스플레이 장치에서의 데이터송수신방법 및 디스플레이 패널구동장치,주식회사 엘엑스세미콘,1020170164978,1020190065626,1023718230000,등록,2017,2019,2022,G09G,,,False,True,False,23.5,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,32
1020160023423|1024961200000|디스플레이 구동 장치|주식회사 엘엑스세미콘,디스플레이 구동 장치,주식회사 엘엑스세미콘,1020160023423,1020170100923,1024961200000,등록,2016,2017,2023,G09G,,,False,True,False,23.5,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,37
1020200178115|1028966730000|터치 디스플레이 장치|주식회사 엘엑스세미콘,터치 디스플레이 장치,주식회사 엘엑스세미콘,1020200178115,1020220087753,1028966730000,등록,2020,2022,2025,G06F,,,False,True,False,23.5,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,41
1020200178632|1028956360000|출력 버퍼 및 그를 갖는 데이터 드라이버 회로|주식회사 엘엑스세미콘,출력 버퍼 및 그를 갖는 데이터 드라이버 회로,주식회사 엘엑스세미콘,1020200178632,1020220088020,1028956360000,등록,2020,2022,2025,G09G,,,False,True,False,23.5,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,47
1020200172277|1028952040000|데이터구동장치 및 데이터구동장치의 패널 구동 방법|주식회사 엘엑스세미콘,데이터구동장치 및 데이터구동장치의 패널 구동 방법,주식회사 엘엑스세미콘,1020200172277,1020220082399,1028952040000,등록,2020,2022,2025,G09G,,,False,True,False,23.5,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,49
1020200178629|1028957020000|터치 디스플레이 장치 및 그 구동 방법|주식회사 엘엑스세미콘,터치 디스플레이 장치 및 그 구동 방법,주식회사 엘엑스세미콘,1020200178629,1020220088018,1028957020000,등록,2020,2022,2025,G06F,,,False,True,False,23.5,C:\Agent_6.9\data\반도체\LX세미콘\tech\source\lxsemicon_kipris_plus_bibliographic_raw.csv,51
