source,corp_code,company,company_dir,stock_code,year,fs_div,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,amount,frmtrm_amount,currency,ord
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 23 기,287546072339.0,240781973421.0,KRW,1
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 23 기,180517871638.0,150440759908.0,KRW,2
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 23 기,50148851248.0,34178349505.0,KRW,3
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,-,제 23 기,22803863606.0,24921787678.0,KRW,4
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 23 기,1421370.0,513936559.0,KRW,5
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 23 기,30884893996.0,27682405587.0,KRW,6
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 23 기,3189170481.0,3044734184.0,KRW,7
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 23 기,433991950728.0,278075564837.0,KRW,8
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타비유동채권,-,제 23 기,845313911.0,1158300007.0,KRW,9
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 23 기,20679244144.0,14152067522.0,KRW,10
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,-표준계정코드 미사용-,관계기업투자,-,제 23 기,69645825539.0,22371808485.0,KRW,11
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 23 기,321325235899.0,231151705140.0,KRW,12
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 23 기,3615910963.0,,KRW,13
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,영업권 이외의 무형자산,-,제 23 기,8825584863.0,6785981500.0,KRW,14
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 23 기,34257463.0,69141883.0,KRW,15
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 23 기,9020577946.0,2386560300.0,KRW,16
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 23 기,721538023067.0,518857538258.0,KRW,17
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 23 기,187679069363.0,136072588347.0,KRW,19
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,-,제 23 기,25061862525.0,25909968778.0,KRW,20
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,ifrs-full_ShorttermBorrowings,단기차입금,-,제 23 기,91848696614.0,52053282389.0,KRW,21
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,dart_CurrentPortionOfBonds,유동성사채,-,제 23 기,0.0,11588565801.0,KRW,22
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기차입금,-,제 23 기,19794634115.0,4082060000.0,KRW,23
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 23 기,15155106294.0,6972402078.0,KRW,24
OpenDART_fnlttSinglAcntAll,00366942,미코,mico,059090,2021,CFS,BS,재무상태표,ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,-,제 23 기,22940420669.0,26471936184.0,KRW,25
