source_application_number,source_invention_title,source_ipc_number,source_application_date,source_register_status,source_final_disposal,source_right_holder,citation_record_index,citation_direction,cited_application_number,citing_application_number,citing_invention_title,citing_applicant_name,citation_date,citation_category,is_self_citation_estimated,parse_type,http_status_code,request_ok,request_url
1020210067166,터치 감지 장치,G06F 3/044|G06F 3/041,2021-05-25,등록,등록,어보브반도체 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020210067166,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210067166&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020190056251,그립 센싱 방법 및 장치,G06F 3/041|G06F 3/044|H03K 17/955,2019-05-14,등록,등록,어보브반도체 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020190056251,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020190056251&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020190089315,고감도 터치 센서,G06F 3/041|G06F 3/044|H03K 17/96,2019-07-24,등록,등록,어보브반도체 주식회사|김윤기,1,BACKWARD_CITATION_ESTIMATED,1020190089315,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020190089315&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020110048995,마이크로 컨트롤러 및 그의 동작방법,G06F 9/30|G06F 9/50|G06F 11/16,2011-05-24,등록,등록,어보브반도체 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020110048995,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020110048995&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020110126336,오프셋 전하량이 제거된 터치 패널의 전하량 감지장치 및 방법,G01R 19/25|G01R 19/165|G01R 27/26|G06F 3/044|G01D 5/24,2011-11-29,등록,등록,어보브반도체 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020110126336,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020110126336&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020130036324,정전용량 방식 터치패널,G06F 3/044,2013-04-03,등록,등록,어보브반도체 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020130036324,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020130036324&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020140012386,근접 터치 방지용 터치 키 모듈 및 근접 터치 방지 방법,G06F 3/044|G06F 3/041,2014-02-04,등록,등록,어보브반도체 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020140012386,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020140012386&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200063226,압축기의 제어 장치 및 압축기의 제어 방법,F04B 49/06|F04B 49/02|F04B 49/20|F04B 35/04|F04B 39/00,2020-05-26,등록,등록,어보브반도체 주식회사|국립목포해양대학교산학협력단,1,BACKWARD_CITATION_ESTIMATED,1020200063226,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200063226&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200115677,영구자석 전동기의 센서리스 제어 장치 및 제어 방법,H02P 6/18|H02P 21/18|H02P 21/24,2020-09-09,등록,등록,어보브반도체 주식회사|국립목포해양대학교산학협력단,1,BACKWARD_CITATION_ESTIMATED,1020200115677,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200115677&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210056331,배터리 장착 감지 시스템,H02J 7/00|G01R 31/36,2021-04-30,등록,등록,어보브반도체 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020210056331,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210056331&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020220175685,전동기 부하 변동 보상 장치,H02P 6/10|H02P 23/14|H02P 25/098,2022-12-15,등록,등록,어보브반도체 주식회사|국립목포해양대학교산학협력단,1,BACKWARD_CITATION_ESTIMATED,1020220175685,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020220175685&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230180307,역률 보상 회로의 스위칭 지연 보상 장치 및 방법,H02M 1/42|H02M 1/00,2023-12-13,등록,등록,어보브반도체 주식회사|국립목포해양대학교산학협력단,1,BACKWARD_CITATION_ESTIMATED,1020230180307,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230180307&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
