application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020150175604,1020170068754,1021262860000,등록,등록,송신 전력을 조절하는 전자 장치 및 방법,삼성전자주식회사|어보브반도체 주식회사
1020240165268,,1029604750000,등록,등록,오프셋 자동제거 증폭기,어보브반도체 주식회사|충남대학교산학협력단
1020170027133,1020180100833,1020013660000,소멸,소멸,복수 기기의 저전력블루투스 연결방법,어보브반도체 주식회사
1020170184494,1020190081746,1021292850000,소멸,소멸,이원 상관기와 구간합 궤환을 이용하여 반송파 주파수 오프셋 추정 및 패킷 검출을 동시에 수행하는 방법 및 그 수신 장치,어보브반도체 주식회사
1020110126336,,1012662890000,등록,등록,오프셋 전하량이 제거된 터치 패널의 전하량 감지장치 및 방법,어보브반도체 주식회사
1020190056251,1020200131524,1022525720000,등록,등록,그립 센싱 방법 및 장치,어보브반도체 주식회사
1020130036320,1020140120502,1015134370000,등록,등록,동적으로 클럭 속도를 관리하는 시스템 및 그 방법,어보브반도체 주식회사
1020190089315,1020210012132,1022489840000,등록,등록,고감도 터치 센서,어보브반도체 주식회사|김윤기
1020210067166,1020220159161,1025519410000,등록,등록,터치 감지 장치,어보브반도체 주식회사
1020110048995,1020120130923,1012593950000,등록,등록,마이크로 컨트롤러 및 그의 동작방법,어보브반도체 주식회사
1020240085280,1020260001816,,공개,공개,파워 온 리셋 회로,어보브반도체 주식회사
1020240153040,,1029278550000,등록,등록,역률 보상 회로의 전류 검출 장치,어보브반도체 주식회사|국립목포해양대학교산학협력단
1020170160602,1020190061827,1021107740000,소멸,소멸,채널 코딩이 적용된 GFSK 신호의 연판정 복조 방법 및 그 방법을 사용하는 수신 장치,어보브반도체 주식회사
1020230180307,1020250090553,1028570390000,등록,등록,역률 보상 회로의 스위칭 지연 보상 장치 및 방법,어보브반도체 주식회사|국립목포해양대학교산학협력단
1020100097154,,1011064900000,소멸,소멸,웰 바이어스 제어 회로 및 제어 방법,어보브반도체 주식회사
1020040117196,1020060077680,,거절,거절,저 잡음 증폭장치,어보브반도체 주식회사
1020250211141,1020260010669,,공개,공개,조도 센서에서의 환경 보상 방법 및 개선된 환경 보상 기능을 갖는 조도센서,어보브반도체 주식회사
1020170176732,1020190075272,1020973660000,소멸,소멸,구간합 궤환을 이용하는 반송파 주파수 오프셋 추정 방법 및 그 수신 장치,어보브반도체 주식회사
1020210115502,1020230032542,,거절,거절,조도 센서에서의 환경 보상 방법 및 개선된 환경 보상 기능을 갖는 조도센서,어보브반도체 주식회사
1020170184495,1020190081747,1020973670000,소멸,소멸,직교성을 갖는 동기 워드를 이용한 독립적인 패킷 검출 방법 및 그 수신 장치,어보브반도체 주식회사
1020170157993,1020190060131,1020973650000,소멸,소멸,채널 코딩이 적용된 블루투스 신호의 액세스 어드레스 검출 방법 및 그 블루투스 장치,어보브반도체 주식회사
1020100024730,1020110105536,1011986980000,등록,등록,배터리 충전회로,어보브반도체 주식회사
1020250038101,,1028806010000,등록,등록,하이 사이드 스위치 제어를 이용한 DC-LINK 대용량 캐퍼시터 충전 시스템 및 방법,어보브반도체 주식회사
1020210056331,1020220149114,1025923310000,등록,등록,배터리 장착 감지 시스템,어보브반도체 주식회사
1020220175685,1020240092889,1027335270000,등록,등록,전동기 부하 변동 보상 장치,어보브반도체 주식회사|국립목포해양대학교산학협력단
1020200063226,1020210146137,1023420010000,등록,등록,압축기의 제어 장치 및 압축기의 제어 방법,어보브반도체 주식회사|국립목포해양대학교산학협력단
1020200115677,1020220033367,1024611280000,등록,등록,영구자석 전동기의 센서리스 제어 장치 및 제어 방법,어보브반도체 주식회사|국립목포해양대학교산학협력단
1020140012386,1020150091761,1015859290000,등록,등록,근접 터치 방지용 터치 키 모듈 및 근접 터치 방지 방법,어보브반도체 주식회사
1020130036324,1020140120504,1015859340000,등록,등록,정전용량 방식 터치패널,어보브반도체 주식회사
1020190005025,,1020973070000,등록,등록,무선 전력 전송 수신단의 전류 복조 장치,어보브반도체 주식회사
