source_application_number,source_invention_title,source_ipc_number,source_application_date,source_register_status,source_final_disposal,source_right_holder,citation_record_index,citation_direction,cited_application_number,citing_application_number,citing_invention_title,citing_applicant_name,citation_date,citation_category,is_self_citation_estimated,parse_type,http_status_code,request_ok,request_url
1020150139480,웨어러블 디바이스와 이를 이용하는 웨어러블 시스템,G06F 3/01|G06F 3/048|G06F 3/16,2015-10-05,등록,등록,주식회사 코아시아넥셀,1,BACKWARD_CITATION_ESTIMATED,1020150139480,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020150139480&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020170027058,방열 기능이 구비된 엘이디 칩 스케일 패키지 및 방열 기능이 구비된 엘이디 패키지,H10H 20/858|H10H 20/857|H10H 20/851,2017-03-02,등록,등록,(주)코아시아,1,BACKWARD_CITATION_ESTIMATED,1020170027058,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020170027058&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020180028120,발광 다이오드 패키지,H10H 20/831|H10H 20/858|H10H 20/857|H10H 20/854|H10H 29/20|H10H 20/85,2018-03-09,등록,등록,(주)코아시아,1,BACKWARD_CITATION_ESTIMATED,1020180028120,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020180028120&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020190032944,발광 다이오드 및 발광 다이오드 패키지,H05B 45/52|H10H 29/20|H05B 47/18|H10H 20/852,2019-03-22,등록,등록,(주)코아시아,1,BACKWARD_CITATION_ESTIMATED,1020190032944,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020190032944&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020100051473,가상 키보드가 표시되는 터치패널을 구비한 리모콘이 적용된 IPTV 및 이를 이용한 문자입력방법,H04N 21/475|H04N 21/4782|G06F 3/041,2010-05-31,등록,등록,주식회사 코아시아넥셀,1,BACKWARD_CITATION_ESTIMATED,1020100051473,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020100051473&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020130050951,프로세싱 장치 및 방법,G06F 9/50,2013-05-06,등록,등록,주식회사 코아시아넥셀,1,BACKWARD_CITATION_ESTIMATED,1020130050951,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020130050951&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200006011,초고화소 모바일 카메라 광학계,G02B 13/00|G02B 9/62|G02B 13/18|G02B 3/04,2020-01-16,등록,등록,(주)코아시아씨엠,1,BACKWARD_CITATION_ESTIMATED,1020200006011,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200006011&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200034939,광각 촬상 광학계,G02B 9/62|G02B 13/18,2020-03-23,등록,등록,(주)코아시아씨엠,1,BACKWARD_CITATION_ESTIMATED,1020200034939,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200034939&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200068001,소형 망원 광학계,G02B 13/00|G02B 13/02|G02B 9/62|G02B 13/18,2020-06-05,등록,등록,(주)코아시아씨엠,1,BACKWARD_CITATION_ESTIMATED,1020200068001,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200068001&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200068002,고화소 슈퍼 광각 모바일 광학계,G02B 13/06|G02B 13/04|G02B 13/00|G02B 9/62|G02B 3/02|G02B 13/18,2020-06-05,등록,등록,(주)코아시아씨엠,1,BACKWARD_CITATION_ESTIMATED,1020200068002,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200068002&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200098488,고화소 광각 모바일 광학계,G02B 13/00|G02B 9/62|G02B 3/04|G02B 13/04|G02B 13/18,2020-08-06,등록,등록,(주)코아시아씨엠,1,BACKWARD_CITATION_ESTIMATED,1020200098488,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200098488&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200136656,초고화소 모바일 광학계,G02B 13/00|G02B 9/64|G02B 3/00|G02B 3/04|G02B 13/18,2020-10-21,등록,등록,(주)코아시아씨엠,1,BACKWARD_CITATION_ESTIMATED,1020200136656,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200136656&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200136835,초고화소 모바일 소형 광학계,G02B 13/00|G02B 9/64|G02B 3/00|G02B 3/04|G02B 13/18,2020-10-21,등록,등록,(주)코아시아씨엠,1,BACKWARD_CITATION_ESTIMATED,1020200136835,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200136835&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200136836,고화소 모바일 소형 망원 광학계,G02B 13/00|G02B 13/02|G02B 9/34|G02B 3/04|G02B 3/00,2020-10-21,등록,등록,(주)코아시아씨엠,1,BACKWARD_CITATION_ESTIMATED,1020200136836,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200136836&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200183231,고화소 초소형 이미지센서를 위한 모바일 소형 광학계,G02B 13/00|G02B 9/64|G02B 3/00|G02B 13/18,2020-12-24,등록,등록,(주)코아시아씨엠,1,BACKWARD_CITATION_ESTIMATED,1020200183231,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200183231&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210033380,고화소 소형 매크로 광학계,G02B 13/00|G02B 9/12|G02B 3/00|G02B 13/18|G02B 13/24,2021-03-15,등록,등록,(주)코아시아씨엠,1,BACKWARD_CITATION_ESTIMATED,1020210033380,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210033380&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020220107221,TOF 카메라용 광학계,G02B 13/00|G02B 9/34|G02B 3/00|G02B 3/04,2022-08-26,등록,등록,(주)코아시아씨엠,1,BACKWARD_CITATION_ESTIMATED,1020220107221,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020220107221&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020160030727,그래픽 처리 방법 및 장치,G06T 15/08|G06T 19/00,2016-03-15,등록,등록,주식회사 코아시아넥셀,1,BACKWARD_CITATION_ESTIMATED,1020160030727,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020160030727&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020160104233,그래픽 처리 장치 및 방법,H04N 19/103|H04N 19/91|G06T 15/08|G06T 9/00,2016-08-17,등록,등록,주식회사 코아시아넥셀,1,BACKWARD_CITATION_ESTIMATED,1020160104233,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020160104233&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020180054393,어라운드뷰 제공 방법 및 장치,G06T 15/04|G06T 17/20|B60W 50/14,2018-05-11,등록,등록,주식회사 코아시아넥셀,1,BACKWARD_CITATION_ESTIMATED,1020180054393,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020180054393&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020180106399,자동 캘리브레이션 기능을 구비한 어라운드뷰 제공 방법 및 장치,G06T 3/00|G06T 17/10|G06T 7/80,2018-09-06,등록,등록,주식회사 코아시아넥셀,1,BACKWARD_CITATION_ESTIMATED,1020180106399,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020180106399&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020190103853,광시야각을 가지며 경량화한 안저 카메라용 광학계,A61B 3/10,2019-08-23,등록,등록,(주)코아시아씨엠,1,BACKWARD_CITATION_ESTIMATED,1020190103853,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020190103853&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020100051471,화면에 표시된 웹페이지의 링크 영역 선택이 용이한 IPTV 및 이를 이용한 웹브라우저 구동 방법,H04N 21/4782|H04N 21/422|H04N 21/431,2010-05-31,등록,등록,주식회사 코아시아넥셀,1,BACKWARD_CITATION_ESTIMATED,1020100051471,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020100051471&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020110102329,그래픽 처리방법 및 그 장치,G06T 15/00,2011-10-07,등록,등록,주식회사 코아시아넥셀,1,BACKWARD_CITATION_ESTIMATED,1020110102329,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020110102329&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020140006804,그래픽 처리 장치 및 방법,G06T 1/00,2014-01-20,등록,등록,주식회사 코아시아넥셀,1,BACKWARD_CITATION_ESTIMATED,1020140006804,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020140006804&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200020306,나노 와이어 LED 패키지,H10H 20/857|H10H 20/831|H10H 20/852|H10W 29/00|H10W 70/62|H10H 20/851|H10P 54/00,2020-02-19,거절,거절,(주)코아시아,1,BACKWARD_CITATION_ESTIMATED,1020200020306,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200020306&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210008776,합성곡면을 포함하는 촬상 광학계와 이를 구비한 촬상 장치 및 합성곡면의 설계 방법,G02B 13/00|G02B 3/04|G02B 27/00|G06F 30/10|G02B 13/18|G02B 3/00,2021-01-21,거절,거절,(주)코아시아씨엠,1,BACKWARD_CITATION_ESTIMATED,1020210008776,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210008776&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210103835,합성곡면을 포함하는 고화소 소형 촬상 광학계,G02B 13/00|G02B 3/04|G02B 27/00|G06F 30/10|G02B 13/18|G02B 3/00,2021-08-06,거절,거절,(주)코아시아씨엠,1,BACKWARD_CITATION_ESTIMATED,1020210103835,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210103835&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240141944,발광 다이오드 패키지,H10H 20/855|H10H 20/853|H10H 20/85|H10H 20/854|H10H 20/857|H10H 20/851|H05K 1/18,2024-10-17,거절,거절,(주)코아시아,1,BACKWARD_CITATION_ESTIMATED,1020240141944,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240141944&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240064908,비접촉식 센서와 카메라 모듈을 이용한 도어락 보안 시스템,G07C 9/00|G06V 40/16|G06V 40/18|H04N 23/11|H04N 23/611|H04N 23/65,2024-05-20,공개,공개,주식회사 코아시아씨엠코리아,1,BACKWARD_CITATION_ESTIMATED,1020240064908,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240064908&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
