application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020200068001,1020210151332,1023394320000,등록,등록,소형 망원 광학계,(주)코아시아씨엠
1020200136656,1020220040960,1024484650000,등록,등록,초고화소 모바일 광학계,(주)코아시아씨엠
1020200183231,1020220091964,1024958820000,등록,등록,고화소 초소형 이미지센서를 위한 모바일 소형 광학계,(주)코아시아씨엠
1020200034939,1020210118553,1023681230000,등록,등록,광각 촬상 광학계,(주)코아시아씨엠
1020200006011,,1021499830000,등록,등록,초고화소 모바일 카메라 광학계,(주)코아시아씨엠
1020210033380,1020220128801,1025759360000,등록,등록,고화소 소형 매크로 광학계,(주)코아시아씨엠
1020200068002,1020210151333,1023865960000,등록,등록,고화소 슈퍼 광각 모바일 광학계,(주)코아시아씨엠
1020200136836,1020220040962,1024484690000,등록,등록,고화소 모바일 소형 망원 광학계,(주)코아시아씨엠
1020200136835,1020220040961,1024484500000,등록,등록,초고화소 모바일 소형 광학계,(주)코아시아씨엠
1020200098488,1020220018235,1023865890000,등록,등록,고화소 광각 모바일 광학계,(주)코아시아씨엠
1020190103853,,1020744290000,등록,등록,광시야각을 가지며 경량화한 안저 카메라용 광학계,(주)코아시아씨엠
1020150139480,1020170040472,1017304120000,등록,등록,웨어러블 디바이스와 이를 이용하는 웨어러블 시스템,주식회사 코아시아넥셀
1020110102329,,1011367370000,등록,등록,그래픽 처리방법 및 그 장치,주식회사 코아시아넥셀
1020220107221,1020240029129,1028505960000,등록,등록,TOF 카메라용 광학계,(주)코아시아씨엠
1020180106399,,1019648290000,등록,등록,자동 캘리브레이션 기능을 구비한 어라운드뷰 제공 방법 및 장치,주식회사 코아시아넥셀
1020210008776,1020220063682,,거절,거절,합성곡면을 포함하는 촬상 광학계와 이를 구비한 촬상 장치 및 합성곡면의 설계 방법,(주)코아시아씨엠
1020210103835,1020220063711,,거절,거절,합성곡면을 포함하는 고화소 소형 촬상 광학계,(주)코아시아씨엠
1020240141944,1020250058677,,거절,거절,발광 다이오드 패키지,(주)코아시아
1020240064908,1020250165726,,공개,공개,비접촉식 센서와 카메라 모듈을 이용한 도어락 보안 시스템,주식회사 코아시아씨엠코리아
1020160030727,1020170107160,1020771460000,등록,등록,그래픽 처리 방법 및 장치,주식회사 코아시아넥셀
1020180054393,1020190129562,1020774940000,등록,등록,어라운드뷰 제공 방법 및 장치,주식회사 코아시아넥셀
1020200020306,1020210105620,,거절,거절,나노 와이어 LED 패키지,(주)코아시아
1020190032944,,1021618110000,등록,등록,발광 다이오드 및 발광 다이오드 패키지,(주)코아시아
1020180028120,1020190108210,1020422280000,등록,등록,발광 다이오드 패키지,(주)코아시아
1020170027058,1020180100800,1020755470000,등록,등록,방열 기능이 구비된 엘이디 칩 스케일 패키지 및 방열 기능이 구비된 엘이디 패키지,(주)코아시아
1020130050951,1020140131832,1014767890000,등록,등록,프로세싱 장치 및 방법,주식회사 코아시아넥셀
1020100051473,1020100067080,1010009010000,등록,등록,가상 키보드가 표시되는 터치패널을 구비한 리모콘이 적용된 IPTV 및 이를 이용한 문자입력방법,주식회사 코아시아넥셀
1020100051471,1020100067079,1010009000000,등록,등록,화면에 표시된 웹페이지의 링크 영역 선택이 용이한 IPTV 및 이를 이용한 웹브라우저 구동 방법,주식회사 코아시아넥셀
1020140006804,1020150086758,1015825780000,등록,등록,그래픽 처리 장치 및 방법,주식회사 코아시아넥셀
1020160104233,1020170107350,1018117740000,등록,등록,그래픽 처리 장치 및 방법,주식회사 코아시아넥셀
