application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder,claim_no,claim_text,claim_char_len,is_dependent_estimated,is_independent_estimated,dependency_source
1019930006483,1019940023853,,거절,거절,아조디카본아미드의제조방법,주식회사 동진쎄미켐,1,"1. <P>히드라조카본아미드를 산화크롬, 소디움브로마이드 및 액체염소를 사용하는 반응으로 산화시켜 아조디카본아미드를 제조하는 방법에 있어서, 소디움브로마이드를 히드라조카본아미드에 대하여 0.7~1.8중량부 첨가하고, 반응개시온도를 4~5℃의 저온에서 산화 반응시켜 아조디카본아미드를 제조하는 방법.</P><P>※ 참고사항 : 최초출원 내용에 의하여 공개하는 것임.</P><P></P>",214,False,True,explicit_or_regex_estimated
1019930006484,1019940024023,,거절,거절,발포제조성물,주식회사 동진쎄미켐,1,"1. <P>아조디카본아미드, 디니트로소펜타메틸렌테트라아민, 요소계 발포조제, 열안정제로 조성된 발포제 조성물에 있어서, 열안정제로서 칼슘포스페이트를 혼합하여 조성한 발포제 조성물.</P><P>※ 참고사항 : 최초출원 내용에 의하여 공개하는 것임.</P>",141,False,True,explicit_or_regex_estimated
1019930006485,1019940023865,,거절,거절,옥시비스벤젠설포닐하이드라지드의제조방법,주식회사 동진쎄미켐,1,"1. <P>디페닐 옥사이드와 클로로 설폰산을 원료로하여 옥시비스벤젠 설포닐 클로라이드(Oxybisbenzene sulfonyl chloride)를 제조하고, 옥시비스벤젠 설포닐 클로라이드를 하이드라진과 반응시켜 옥시비스벤젠 설포닐 하이드라지드를 제조하는 방법에 있어서, 옥시비스벤젠 설포닐 클로라이드 합성 반응액을 염화메틸렌을 사용하여 옥시비스벤젠 설포닐 클로라이드와 산폐액층을 분리 정제하는 옥시비스벤젠 설포닐 하이드라지드의 제조방법.</P><P>※ 참고사항 : 최초출원 내용에 의하여 공개하는 것임.</P>",285,False,True,explicit_or_regex_estimated
1019950014526,1019970002444,,거절,거절,컬러브라운관용감광성조성물,주식회사 동진쎄미켐,1,"1. <P>수용성 고분자 물질을 주성분으로 하는 컬러 브라운관 블랙매트릭스 제조용 감광성 주성물에 있어서, 하기 구조식(I)의 수용성 고분자 물질이 감광성 조성물에 대하여 0.5~15wt%이고, 수용성 고분자 물질에 대하여 비스아자이드가 5~30wt%이고, 살란이 2~20wt%이고, 감광성 조성물에 대하여 아민류가 0.001~5wt%이고, 계면활성체가 0.1~5wt%이고 나머지가 물인 컬러 브라운관 매트릭스 제조용 감광성 조성물.</P><P><EMI ID=1 HE=38 WI=71 FILE=""KPO00001.TIF""> (I)</P><P>여기에서 m+ℓ은 1이고 m은 0.2~0.8이고, ℓ은 0.2~0.8이다.</P>",347,False,True,explicit_or_regex_estimated
1019950014526,1019970002444,,거절,거절,컬러브라운관용감광성조성물,주식회사 동진쎄미켐,2,"2. <P>제1항에 있어서, 아민류가 트리에탄올아민, 트리에틸아민, 테트라알킬암모늄하이드록사이드, 테트라알킬암모늄클로라이드, N-메틸피롤리디논 중에서 선택된 것인 컬러 브라운관 매트릭스 제조용 감광성 조성물.</P>",120,True,False,explicit_or_regex_estimated
1019950014526,1019970002444,,거절,거절,컬러브라운관용감광성조성물,주식회사 동진쎄미켐,3,"3. <P>제1항에 있어서, 실란류가 3-아민노프로필-트리메톡시실란, N-메틸-3-아미노프로필-트리메톡시실란, 3-아미노프로필-트리에톡시실란, 3-아미노프로필-메틸-디메톡시실란, N-아미노에틸-3-아미노프로필-트리메톡시실란, N-아미노에틸-메틸-디메톡시실란 중에서 선택된 것인 컬러 브라운관 매트릭스 제조용 감광성 조성물. </P><P>※ 참고사항 : 최초출원 내용에 의하여 공개하는 것임.</P>",222,True,False,explicit_or_regex_estimated
1019960023200,1019980003887,1001843070000,소멸,소멸,포토레지스트 박리액 조성물,주식회사 동진쎄미켐,1,"1. <P>지방족 아민 10∼30중량%, 에틸렌글리콜모노알킬에테르 0∼70중량%, 비양자성 극성용제 20∼90중량%, 및 상기 3성분의 총중량을 기준으로 0.01∼10중량%의 알킬아릴폴리옥시에틸렌에테르를 포함하는 것을 특징으로 하는 포지형 포토레지스트 박리액 조성물.</P>",153,False,True,explicit_or_regex_estimated
1019960023200,1019980003887,1001843070000,소멸,소멸,포토레지스트 박리액 조성물,주식회사 동진쎄미켐,2,"2. <P>제1항에 있어서, 상기 지방족 아민은 모노에탄올아민, 디에탄올아민, 트리에탄올아민, 모노프로판올아민, 디프로판올아민, 트리프로판올아민 중에서 선택된 1종 이상의 지방족아민이고, 상기 에틸렌글리콜모노알킬에테르는 부틸글리콜, 부틸디글리콜, 메틸글리콜, 메틸디글리콜 중에서 선택된 1종 이상의 에틸렌글리콜모노알킬에테르이고, 비양자성 극성용제가 디메틸설폭사이드, N-메틸-2-피롤리돈, N,N-디메틸아세트아마이드, N,N-디메틸포름아마이드, N,N-디메틸이미다졸리디논, γ-부티로락톤 중에서 선택된 1종 이상이고, 상기 알킬아릴폴리옥시에틸렌에테르는 C<SB>6</SB>∼C<SB>12</SB>의 알킬기를 갖는 알킬페놀과 상기 알킬페놀 1몰당 에틸렌옥사이드 5∼25몰의 축합물인 것을 특징으로 하는 포지형 포토레지스트 박리액 조성물.</P>",415,True,False,explicit_or_regex_estimated
1019960023200,1019980003887,1001843070000,소멸,소멸,포토레지스트 박리액 조성물,주식회사 동진쎄미켐,3,"3. <P>제1항에 있어서, 상기 에틸렌글리콜모노알킬에테르와 상기 비양자성 극성용제와의 혼합용제가 40∼90중량%인 것을 특징으로 하는 포지형 포토레지스트 박리액 조성물.</P>",99,True,False,explicit_or_regex_estimated
1019960023200,1019980003887,1001843070000,소멸,소멸,포토레지스트 박리액 조성물,주식회사 동진쎄미켐,4,"4. <P>제1항에 있어서, 상기 포지형 포토레지스트가 노볼락수지와 퀴논디아지드계 감광성 화합물로 이루어진 것을 특징으로 하는 포지형 포토레지스트 박리액 조성물.</P>",94,True,False,explicit_or_regex_estimated
