application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020170160280,1020190061664,1024178340000,등록,등록,"네거티브 감광성 수지 조성물, 이를 사용한 유기절연막을 갖는 전자장치",(주)덕산테코피아
1020240071136,1020250171853,,공개,공개,테트라메틸실란의 합성 방법,(주)덕산테코피아
1020080010811,1020090084559,1009591020000,등록,등록,무연솔더 페이스트용 미세 무연 솔더 분말의 제조방법과 제조장치,(주)덕산테코피아
1020150170832,1020170065072,1018655630000,등록,등록,질소 건조식 글러브 박스,(주)덕산테코피아
1020170138477,1020190045649,1022510400000,등록,등록,아미노실란 전구체 화합물 및 이를 사용하는 박막 형성 방법,(주)덕산테코피아
1020130060632,1020140139919,1015182150000,등록,등록,사용 후 잔류 TMIn 회수 및 정제 시스템,한국기초과학지원연구원|(주)덕산테코피아
1020120067609,1020140000501,1013792570000,등록,등록,트리메틸갈륨(TMGa) 정제 장치,한국기초과학지원연구원|(주)덕산테코피아
1020070043366,1020080098108,1009544480000,등록,등록,하이드리도 알루미늄 보로하이드라이드 트리알킬아민착물의 제조방법,(주)덕산테코피아
1020160160831,1020180061572,1026801260000,등록,등록,"네거티브 감광성 수지 조성물, 필름 및 전자장치",(주)덕산테코피아
1020240036070,1020250139134,1029101140000,등록,등록,고순도 다이아이오도실란의 제조방법,(주)덕산테코피아
1020160052203,1020170123050,1025088220000,등록,등록,포토레지스트 박리액 조성물,(주)덕산테코피아|정병현
1020080060837,1020100001077,1009844660000,등록,등록,"구리2가 착화합물, 그 제조 방법, 그를 이용한 구리 박막제조 방법 및 그를 이용하여 제조된 반도체 기판",(주)덕산테코피아
1020120067610,,1013265540000,등록,등록,트리메틸갈륨(TMGa)의 재활용 방법,(주)덕산테코피아|한국기초과학지원연구원
1020080009115,1020090083129,1009238870000,등록,등록,반도체 패키지용 솔더볼,(주)덕산테코피아
1020080126205,1020100067702,1015459620000,등록,등록,접착층이 형성된 솔더볼,(주)덕산테코피아
1020100128523,1020120067093,1011631720000,등록,등록,방열성 에폭시 솔더링 플럭스 및 이를 이용한 반도체 소자 실장 방법,(주)덕산테코피아
1020100014281,1020110094714,1010610480000,등록,등록,솔더 잉크 및 이를 이용한 전자소자 패키지,(주)덕산테코피아
1020130060649,,1014365900000,등록,등록,회수 TMIn 재이용방법,한국기초과학지원연구원|(주)덕산테코피아
1020110106423,1020130042241,,취하,취하,방열성 에폭시 솔더링 플럭스 및 이를 이용한 반도체 소자 실장 방법,(주)덕산테코피아
1020110032552,1020120115444,1013683140000,등록,등록,비히클 조성물 및 이를 이용한 전도성 조성물,(주)덕산테코피아
1020050048492,1020060127481,1007194520000,소멸,소멸,무연솔더크림용 금속분말 제조방법과 장치 및 그 금속분말,(주)덕산테코피아
1020110037336,1020120119426,1012095170000,등록,등록,"솔더 페이스트용 플럭스, 솔더 페이스트 및 솔더 범프, 그리고 이들의 제조 방법",(주)덕산테코피아
1020150170834,1020170065073,1018194550000,등록,등록,화학 반응기 및 이를 포함하는 화학 반응 시스템,(주)덕산테코피아
1020090106483,1020110049466,1012254970000,등록,등록,도전성 접착제와 그 제조 방법 및 이를 포함하는 전자 장치,(주)덕산테코피아
1020180082116,1020200008678,1024535990000,등록,등록,4차 암모늄-시클로덱스트린 또는 그 유도체를 포함하는 포토레지스트 박리액 조성물,(주)덕산테코피아|정병현
1020090012302,,1009291360000,등록,등록,도전성 접착제와 그 제조 방법 및 이를 포함하는 전자 장치,(주)덕산테코피아
1020100014807,1020110095021,1012939140000,등록,등록,도전성 잉크 및 이를 이용한 전자소자,(주)덕산테코피아
1020170054245,1020180120397,,거절,거절,포토레지스트 박리액 조성물,(주)덕산테코피아|정병현
1020220106037,1020240028029,1027231680000,등록,등록,고순도의 몰리브덴옥시할라이드를 연속적으로 제조하는 방법 및 그 시스템,(주)덕산테코피아
1020200163557,1020220075465,1027218670000,등록,등록,수지 조성물 및 이를 이용한 표시장치,(주)덕산테코피아
1020180150063,1020200064274,1026891830000,등록,등록,"감광성 수지 조성물, 필름 및 전자장치",(주)덕산테코피아
1020210142539,1020230058843,1027169210000,등록,등록,반도체 제조장비용 캐니스터,(주)덕산테코피아
1020210093453,1020230012771,1025812370000,등록,등록,산화 반응을 이용한 고리형 설페이트 화합물을 제조하는 방법,(주)덕산테코피아
1020190119979,1020210037393,,거절,거절,아미노실란 화합물 및 이를 포함하는 실리콘 함유 박막 증착용 조성물,(주)덕산테코피아
1020190002578,1020200086434,,거절,거절,트리플루오로메탄을 재사용하여 트리플루오로요오드를 제조하는 방법 및 그 시스템,(주)덕산테코피아
1020090058444,1020100093452,,취하,취하,도전성 접착제와 그 제조 방법 및 이를 포함하는 전자 장치,(주)덕산테코피아
1020170138476,1020190045648,,거절,거절,"지르코늄 금속을 함유하는 유기금속화합물, 그 제조방법 및 이를 사용하는 박막 형성 방법",(주)덕산테코피아
1020180026800,1020190105970,,거절,거절,SiC 전구체 화합물 및 이를 사용하는 박막 형성 방법,(주)덕산테코피아
