record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020070043366|1009544480000|하이드리도 알루미늄 보로하이드라이드 트리알킬아민착물의 제조방법|(주)덕산테코피아,하이드리도 알루미늄 보로하이드라이드 트리알킬아민착물의 제조방법,(주)덕산테코피아,1020070043366,1020080098108,1009544480000,등록,2007,2008,2010,C07F; C23C,,전구체; 기판; 반도체; 소자,True,True,False,53.0,C:\Agent_6.9\data\반도체\덕산테코피아\tech\source\duksan_kipris_plus_bibliographic_raw.csv,8
1020220106037|1027231680000|고순도의 몰리브덴옥시할라이드를 연속적으로 제조하는 방법 및 그 시스템|(주)덕산테코피아,고순도의 몰리브덴옥시할라이드를 연속적으로 제조하는 방법 및 그 시스템,(주)덕산테코피아,1020220106037,1020240028029,1027231680000,등록,2022,2024,2024,C01G; B01J,,고순도,True,True,False,52.0,C:\Agent_6.9\data\반도체\덕산테코피아\tech\source\duksan_kipris_plus_bibliographic_raw.csv,29
"1020170160280|1024178340000|네거티브 감광성 수지 조성물, 이를 사용한 유기절연막을 갖는 전자장치|(주)덕산테코피아","네거티브 감광성 수지 조성물, 이를 사용한 유기절연막을 갖는 전자장치",(주)덕산테코피아,1020170160280,1020190061664,1024178340000,등록,2017,2019,2022,G03F; C08L; C08G; G02F; H10K,,공정,True,True,False,51.0,C:\Agent_6.9\data\반도체\덕산테코피아\tech\source\duksan_kipris_plus_bibliographic_raw.csv,1
1020170138477|1022510400000|아미노실란 전구체 화합물 및 이를 사용하는 박막 형성 방법|(주)덕산테코피아,아미노실란 전구체 화합물 및 이를 사용하는 박막 형성 방법,(주)덕산테코피아,1020170138477,1020190045649,1022510400000,등록,2017,2019,2021,C07F; C23C,,전구체; 공정,True,True,False,51.0,C:\Agent_6.9\data\반도체\덕산테코피아\tech\source\duksan_kipris_plus_bibliographic_raw.csv,5
1020240036070|1029101140000|고순도 다이아이오도실란의 제조방법|(주)덕산테코피아,고순도 다이아이오도실란의 제조방법,(주)덕산테코피아,1020240036070,1020250139134,1029101140000,등록,2024,2025,2026,C01B,,고순도,True,True,False,50.5,C:\Agent_6.9\data\반도체\덕산테코피아\tech\source\duksan_kipris_plus_bibliographic_raw.csv,10
1020210142539|1027169210000|반도체 제조장비용 캐니스터|(주)덕산테코피아,반도체 제조장비용 캐니스터,(주)덕산테코피아,1020210142539,,1027169210000,등록,2021,2024,2024,C23C,,반도체,True,True,False,50.5,C:\Agent_6.9\data\반도체\덕산테코피아\tech\source\kipris_duksan_patents.csv,32
1020100128523|1011631720000|방열성 에폭시 솔더링 플럭스 및 이를 이용한 반도체 소자 실장 방법|(주)덕산테코피아,방열성 에폭시 솔더링 플럭스 및 이를 이용한 반도체 소자 실장 방법,(주)덕산테코피아,1020100128523,1020120067093,1011631720000,등록,2010,2012,2012,H10W; B23K,,반도체; 소자; 방열,True,True,False,50.0,C:\Agent_6.9\data\반도체\덕산테코피아\tech\source\duksan_kipris_plus_bibliographic_raw.csv,16
1020210093453|1025812370000|산화 반응을 이용한 고리형 설페이트 화합물을 제조하는 방법|(주)덕산테코피아,산화 반응을 이용한 고리형 설페이트 화합물을 제조하는 방법,(주)덕산테코피아,1020210093453,,1025812370000,등록,2021,2023,2023,C07D; H01M,,,True,True,False,49.0,C:\Agent_6.9\data\반도체\덕산테코피아\tech\source\kipris_duksan_patents.csv,33
1020130060632|1015182150000|사용 후 잔류 TMIn 회수 및 정제 시스템|한국기초과학지원연구원|(주)덕산테코피아,사용 후 잔류 TMIn 회수 및 정제 시스템,한국기초과학지원연구원|(주)덕산테코피아,1020130060632,1020140139919,1015182150000,등록,2013,2014,2015,C23C; H10H; H10P,,공정; 반도체,True,True,False,48.5,C:\Agent_6.9\data\반도체\덕산테코피아\tech\source\duksan_kipris_plus_bibliographic_raw.csv,6
"1020160160831|1026801260000|네거티브 감광성 수지 조성물, 필름 및 전자장치|(주)덕산테코피아","네거티브 감광성 수지 조성물, 필름 및 전자장치",(주)덕산테코피아,1020160160831,1020180061572,1026801260000,등록,2016,2018,2024,G03F; H10K,,공정,True,True,False,48.0,C:\Agent_6.9\data\반도체\덕산테코피아\tech\source\duksan_kipris_plus_bibliographic_raw.csv,9
