source_application_number,source_invention_title,source_ipc_number,source_application_date,source_register_status,source_final_disposal,source_right_holder,citation_record_index,citation_direction,cited_application_number,citing_application_number,citing_invention_title,citing_applicant_name,citation_date,citation_category,is_self_citation_estimated,parse_type,http_status_code,request_ok,request_url
1020150139500,포토레지스트 박리액 조성물,G03F 7/42|H10P 50/28,2015-10-05,등록,등록,주식회사 이엔에프테크놀로지,1,BACKWARD_CITATION_ESTIMATED,1020150139500,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020150139500&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020180072689,실리콘 질화막 식각 조성물,C09K 13/06|C09K 13/08|H10P 50/00,2018-06-25,등록,등록,주식회사 이엔에프테크놀로지,1,BACKWARD_CITATION_ESTIMATED,1020180072689,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020180072689&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020180103854,실리콘 질화막 식각 조성물,C09K 13/06|C09K 13/08|H10P 50/00|H10P 50/26,2018-08-31,등록,등록,주식회사 이엔에프테크놀로지,1,BACKWARD_CITATION_ESTIMATED,1020180103854,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020180103854&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020190050216,실리콘 질화막 식각 조성물,C09K 13/06|C09K 13/08|H10P 50/00,2019-04-30,등록,등록,주식회사 이엔에프테크놀로지,1,BACKWARD_CITATION_ESTIMATED,1020190050216,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020190050216&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020190104332,실리콘 질화막 식각 조성물 및 이를 이용한 방법,C09K 13/06|C09K 13/08|H10P 50/00|H10P 50/26,2019-08-26,등록,등록,주식회사 이엔에프테크놀로지,1,BACKWARD_CITATION_ESTIMATED,1020190104332,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020190104332&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210083719,포토레지스트 박리액 조성물,G03F 7/42|C11D 7/32|C11D 7/50|C11D 11/00,2021-06-28,등록,등록,주식회사 이엔에프테크놀로지,1,BACKWARD_CITATION_ESTIMATED,1020210083719,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210083719&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230030053,식각 조성물,C23F 1/18|C23F 1/26|C23F 1/44|C23F 11/14|C23F 11/16,2023-03-07,등록,등록,주식회사 이엔에프테크놀로지,1,BACKWARD_CITATION_ESTIMATED,1020230030053,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230030053&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020150051908,고순도 글리콜계 화합물의 제조방법,C07C 29/80|C07C 31/20,2015-04-13,등록,등록,삼성디스플레이 주식회사|주식회사 이엔에프테크놀로지,1,BACKWARD_CITATION_ESTIMATED,1020150051908,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020150051908&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020160059966,"트리아진 유도체, 이를 포함하는 안료 분산 조제 및 이를 포함하는 안료 분산액",C07D 251/54|C07D 401/12|C07D 403/12|C09C 3/08|C09B 67/46|G03F 7/105|G03F 7/004,2016-05-17,등록,등록,주식회사 이엔에프테크놀로지,1,BACKWARD_CITATION_ESTIMATED,1020160059966,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020160059966&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020160070066,칼라 필터용 박리액 조성물,G03F 7/42|C11D 1/66|C11D 11/00|C11D 3/30|C07D 249/18|G03F 7/34,2016-06-07,등록,등록,주식회사 이엔에프테크놀로지,1,BACKWARD_CITATION_ESTIMATED,1020160070066,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020160070066&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
