application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder,claim_no,claim_text,claim_char_len,is_dependent_estimated,is_independent_estimated,dependency_source
1020140111020,1020160025081,1022555770000,등록,등록,식각액 조성물,엘지디스플레이 주식회사|주식회사 이엔에프테크놀로지,1,"1. 5 내지 40 중량%의 과산화수소;0.1 내지 5 중량%의 식각억제제;0.1 내지 5 중량%의 킬레이트제;0.1 내지 5 중량%의 식각첨가제;0.1 내지 3 중량%의 산화물 반도체 보호제;0.1 내지 3 중량%의 pH 조절제; 및전체 조성물 총 중량이 100 중량%가 되도록 하는 물;을 포함하고, 상기 산화물 반도체 보호제는 헥사메틸렌테트라민(Hexamethylenetetramine)이고, 불소계 화합물을 포함하지 않고 pH가 3.5 내지 6인 것을 특징으로 하는 식각액 조성물.",273,False,True,explicit_or_regex_estimated
1020140111020,1020160025081,1022555770000,등록,등록,식각액 조성물,엘지디스플레이 주식회사|주식회사 이엔에프테크놀로지,2,"2. 제 1항에 있어서,상기 식각억제제는,산소, 황 또는 질소 중에서 선택되는 하나 이상의 헤테로 원자를 포함하는 탄소수 1 내지 10의 헤테로고리 화합물인 것을 특징으로 하는 식각액 조성물.",107,True,False,explicit_or_regex_estimated
1020140111020,1020160025081,1022555770000,등록,등록,식각액 조성물,엘지디스플레이 주식회사|주식회사 이엔에프테크놀로지,3,"3. 제 1항에 있어서,상기 킬레이트제는 아미노기와 카르복실산기를 동시에 갖는 화합물인 것을 특징으로 하는 식각액 조성물.",68,True,False,explicit_or_regex_estimated
1020140111020,1020160025081,1022555770000,등록,등록,식각액 조성물,엘지디스플레이 주식회사|주식회사 이엔에프테크놀로지,4,"4. 제 1항에 있어서,상기 식각첨가제는 유기산, 무기산 또는 이들의 염, 질소 및 황을 동시에 포함하는 화합물인 것을 특징으로 하는 식각액 조성물.",83,True,False,explicit_or_regex_estimated
1020140111020,1020160025081,1022555770000,등록,등록,식각액 조성물,엘지디스플레이 주식회사|주식회사 이엔에프테크놀로지,6,"6. 제 1항에 있어서,상기 pH 조절제는 탄산나트륨, 수산화나트륨, 수산화칼륨 또는 암모니아를 하나 이상 포함하는 것을 특징으로 하는 식각액 조성물.",84,True,False,explicit_or_regex_estimated
1020150051908,1020160122328,1023953860000,등록,등록,고순도 글리콜계 화합물의 제조방법,삼성디스플레이 주식회사|주식회사 이엔에프테크놀로지,1,"1. 글리콜계 화합물, 및 상기 글리콜계 화합물의 부가 반응으로 생성된 포름알데히드(formaldehyde)를 포함하는 제1 글리콜(glycol)계 화합물, 히드라지드(hydrazide)계 화합물 및 설폰산(sulfonic acid)계 화합물의 혼합물을 교반하는 단계; 및교반 결과물을 분별 증류하여 포름알데히드(formaldehyde)의 함량이 0 ppm 인 제2 글리콜계 화합물을 회수하는 단계를 포함하고, 상기 히드라지드계 화합물은 상기 제1 글리콜계 화합물 100 중량부에 대하여 0.005중량부 이상 내지 1.0 중량부 이하의 함량으로 상기 제1 글리콜계 화합물에 첨가되는 글리콜계 화합물 제조방법.",340,False,True,explicit_or_regex_estimated
1020150051908,1020160122328,1023953860000,등록,등록,고순도 글리콜계 화합물의 제조방법,삼성디스플레이 주식회사|주식회사 이엔에프테크놀로지,2,"2. 제1 항에 있어서, 상기 제1 글리콜계 화합물, 히드라지드계 화합물 및 설폰산계 화합물의 교반은 3 이상 내지 5 이하의 수소이온농도(pH)를 유지하면서 20 ℃ 이상 내지 200 ℃ 이하의 온도에서 1분 이상 내지 60 분 동안 이루어지는 글리콜계 화합물 제조방법.",152,True,False,explicit_or_regex_estimated
1020150051908,1020160122328,1023953860000,등록,등록,고순도 글리콜계 화합물의 제조방법,삼성디스플레이 주식회사|주식회사 이엔에프테크놀로지,3,"3. 제1 항에 있어서, 상기 분별 증류는 수분 및 저비점 불순물을 제거하는 제1 증류 공정과,고비점의 포름알데히드를 제거하는 제2 증류 공정을 포함하는 글리콜계 화합물 제조방법.",100,True,False,explicit_or_regex_estimated
1020150051908,1020160122328,1023953860000,등록,등록,고순도 글리콜계 화합물의 제조방법,삼성디스플레이 주식회사|주식회사 이엔에프테크놀로지,4,"4. 제1 항에 있어서, 제2 글리콜계 화합물에 포함된 미세 입자를 제거하는 여과 공정을 더 포함하는 글리콜계 화합물 제조방법.",71,True,False,explicit_or_regex_estimated
1020150051908,1020160122328,1023953860000,등록,등록,고순도 글리콜계 화합물의 제조방법,삼성디스플레이 주식회사|주식회사 이엔에프테크놀로지,5,"5. 제1 항에 있어서, 상기 제1 글리콜계 화합물은, C1 ~ C6 알킬렌 글리콜, C1 ~ C6 알킬렌 글리콜의 C1 ~ C6 알킬 에테르계 화합물 및 C1 ~ C6 알킬렌 글리콜의 C1 ~ C6 알킬 에테르 아세테이트계 화합물로 구성된 군에서 선택된 하나 이상인 글리콜계 화합물 제조방법.",164,True,False,explicit_or_regex_estimated
