source_application_number,family_id,family_type,country_code,application_country_code,publication_country_code,priority_country_code,family_application_number,family_application_date,family_publication_number,family_publication_date,family_registration_number,priority_number,pct_application_number,title,applicant,legal_status,_raw_keys,jurisdictions_inferred,is_overseas_family
1020210097192,85060873,,CN,CN,CN,,202210867213,20220722,115678685,20230203,,,202210867213,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020210097192,85060873,,US,US,US,,202217871094,20220722,2023086417,20230323,,,202217871094,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020210097192,85060873,,TW,TW,TW,,111127597,20220722,202319528,20230516,,,111127597,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020220137664,90765181,,CN,CN,CN,,202311372527,20231023,117925337,20240426,,,202311372527,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020220137664,90765181,,US,US,US,,202318487868,20231016,2024150681,20240509,,,202318487868,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020220137664,90765181,,TW,TW,TW,,112140505,20231024,I900914,20251011,,,112140505,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020220137664,90765181,,TW,TW,TW,,112140505,20231024,202424171,20240616,,,112140505,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020210121626,85482595,,CN,CN,CN,,202211096569,20220908,115806823,20230317,,,202211096569,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020210121626,85482595,,US,US,US,,202217903104,20220906,2023092160,20230323,,,202217903104,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020190104332,69810010,,CN,CN,CN,,201910835738,20190903,110872516,20200310,,,201910835738,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020190104332,69810010,,CN,CN,CN,,201910835738,20190903,110872516,20220415,,,201910835738,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020190104332,69810010,,TW,TW,TW,,108131597,20190903,I828746,20240111,,,108131597,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020190104332,69810010,,TW,TW,TW,,108131597,20190903,202020228,20200601,,,108131597,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020150051908,57111231,,US,US,US,,201514865493,20150925,2016297732,20161013,,,201514865493,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020150051908,57111231,,US,US,US,,201514865493,20150925,10040741,20180807,,,201514865493,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020170140072,62184050,,TW,TW,TW,,106137392,20171030,I731189,20210621,,,106137392,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020170140072,62184050,,TW,TW,TW,,106137392,20171030,201829744,20180816,,,106137392,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020210083719,84841857,,CN,CN,CN,,202210742158,20220627,115598941,20230113,,,202210742158,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020210083719,84841857,,CN,CN,CN,,202210742158,20220627,115598941,20260123,,,202210742158,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020210083719,84841857,,US,US,US,,202418785912,20240726,2024384168,20241121,,,202418785912,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020210083719,84841857,,US,US,US,,202217844107,20220620,2023017238,20230119,,,202217844107,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020210083719,84841857,,TW,TW,TW,,111123899,20220627,202313951,20230401,,,111123899,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020180072689,68968469,,CN,CN,CN,,201910520688,20190617,110628435,20191231,,,201910520688,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020180072689,68968469,,CN,CN,CN,,201910520688,20190617,110628435,20220405,,,201910520688,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020180072689,68968469,,US,US,US,,201916416089,20190517,2019390110,20191226,,,201916416089,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020180072689,68968469,,US,US,US,,201916416089,20190517,11149201,20211019,,,201916416089,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020180072689,68968469,,TW,TW,TW,,108121676,20190621,I788577,20230101,,,108121676,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020180072689,68968469,,TW,TW,TW,,108121676,20190621,202000994,20200101,,,108121676,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020230030053,63250184,,KR,KR,KR,,20220124284,20220929,20220139260,20221014,,,20220124284,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020230030053,63250184,,KR,KR,KR,,20180005973,20180117,20180088282,20180803,,,20180005973,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020230030053,63250184,,TW,TW,TW,,107102105,20180119,201833386,20180916,,,107102105,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020230030053,63250184,,TW,TW,TW,,107102105,20180119,I769216,20220701,,,107102105,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020220124070,90393180,,CN,CN,CN,,202311097054,20230829,117778012,20240329,,,202311097054,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020220124070,90393180,,TW,TW,TW,,112135270,20230915,202414120,20240401,,,112135270,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020140111020,55347802,,CN,CN,CN,,201510236752,20150511,105369249,20160302,,,201510236752,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020140111020,55347802,,CN,CN,CN,,201510236752,20150511,105369249,20180529,,,201510236752,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020140111020,55347802,,JP,JP,JP,,2015100944,20150518,2016046514,20160404,,,2015100944,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020140111020,55347802,,JP,JP,JP,,2017133231,20170707,6574221,20190911,,,2017133231,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020140111020,55347802,,JP,JP,JP,,2019091983,20190515,2019165240,20190926,,,2019091983,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020140111020,55347802,,JP,JP,JP,,2017133231,20170707,2017201712,20171109,,,2017133231,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020140111020,55347802,,US,US,US,,201514709110,20150511,2016053382,20160225,,,201514709110,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020140111020,55347802,,TW,TW,TW,,104115057,20150512,201608062,20160301,,,104115057,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020140111020,55347802,,TW,TW,TW,,104115057,20150512,I546417,20160821,,,104115057,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020210192264,86969932,,CN,CN,CN,,202211643405,20221220,116376553,20230704,,,202211643405,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020210192264,86969932,,US,US,US,,202218077499,20221208,2023212457,20230706,,,202218077499,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020210192264,86969932,,US,US,US,,202519277166,20250722,2025346812,20251113,,,202519277166,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020240042587,97168730,,CN,CN,CN,,202510374399,20250327,120719299,20250930,,,202510374399,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020240042587,97168730,,US,US,US,,202519079711,20250314,2025305150,20251002,,,202519079711,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
