record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020210016225|1026921460000|마스킹 테이프 박리장치|한미반도체 주식회사,마스킹 테이프 박리장치,한미반도체 주식회사,1020210016225,,1026921460000,등록,2021,2024,2024,H10P; H10W; C23C; B65H,,EMI; 차폐; 공정; 반도체,True,True,False,64.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,28
1020240081233|1027549130000|열압착 본딩장치|한미반도체 주식회사,열압착 본딩장치,한미반도체 주식회사,1020240081233,,1027549130000,등록,2024,2025,2025,H10W; H10P,,열압착; 기판; 반도체; 웨이퍼,True,True,False,61.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,141
1020230044948|1028438350000|열압착 본딩장치|한미반도체 주식회사,열압착 본딩장치,한미반도체 주식회사,1020230044948,,1028438350000,등록,2023,2025,2025,H10W; H10P,,열압착; 기판; 반도체; 웨이퍼,True,True,False,61.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,146
1020230150247|1028736860000|반도체 제조장치의 처리방법|한미반도체 주식회사,반도체 제조장치의 처리방법,한미반도체 주식회사,1020230150247,,1028736860000,등록,2023,2025,2025,H10P; G06T,,자동화; 공정; 기판; 반도체,True,True,False,61.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,329
1020210049001|1026217930000|스퍼터링 전처리 방법|한미반도체 주식회사,스퍼터링 전처리 방법,한미반도체 주식회사,1020210049001,,1026217930000,등록,2021,2024,2024,H10W; C23C; H10P,,생산성; 공정; 반도체,True,True,False,59.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,7
1020230162780|1027799860000|본딩장치|한미반도체 주식회사,본딩장치,한미반도체 주식회사,1020230162780,,1027799860000,등록,2023,2025,2025,H10W; H10P,,열압착; 기판; 반도체,True,True,False,58.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,492
1020200175188|1029488140000|본딩장치|한미반도체 주식회사,본딩장치,한미반도체 주식회사,1020200175188,1020220085263,1029488140000,등록,2020,2022,2026,H10P; H05K; B01D; B08B,,공정; 기판; 반도체,True,True,False,57.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv,10
1020170037607|1020751980000|본딩장치 및 이의 제어방법|한미반도체 주식회사,본딩장치 및 이의 제어방법,한미반도체 주식회사,1020170037607,,1020751980000,등록,2017,2020,2020,H10W; H10P,,생산성; 공정; 기판; 반도체,True,True,False,57.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,150
1020170082708|1023235390000|열압착 본딩장치 및 열압착 본딩방법|한미반도체 주식회사,열압착 본딩장치 및 열압착 본딩방법,한미반도체 주식회사,1020170082708,,1023235390000,등록,2017,2021,2021,H10P; H10W,,열압착; 공정; 기판; 반도체,True,True,False,57.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,187
1020210034267|1027996090000|반도체 자재 절단장치의 절단 셋팅방법|한미반도체 주식회사,반도체 자재 절단장치의 절단 셋팅방법,한미반도체 주식회사,1020210034267,,1027996090000,등록,2021,2025,2025,H10P; H10W; G05B,,기판; 반도체,True,True,False,56.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,142
1020210077465|1028187210000|반도체 자재 세척장치|한미반도체 주식회사,반도체 자재 세척장치,한미반도체 주식회사,1020210077465,,1028187210000,등록,2021,2025,2025,H10P; B24B; F26B,,공정; 반도체,True,True,False,56.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,461
1020200165820|1024750980000|반도체 자재 처리 장치 및 이의 튜브 오프로딩 방법|한미반도체 주식회사,반도체 자재 처리 장치 및 이의 튜브 오프로딩 방법,한미반도체 주식회사,1020200165820,,1024750980000,등록,2020,2022,2022,H10P,,생산성; 패키징; 공정; 반도체,True,True,False,55.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,203
1020210039902|1028736940000|반도체 기판 절단장치|한미반도체 주식회사,반도체 기판 절단장치,한미반도체 주식회사,1020210039902,,1028736940000,등록,2021,2025,2025,H10P; B28D,,기판; 반도체,True,True,False,55.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,57
1020240082960|1027549140000|본딩장치|한미반도체 주식회사,본딩장치,한미반도체 주식회사,1020240082960,,1027549140000,등록,2024,2025,2025,H10W; H10P,,기판; 반도체,True,True,False,55.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,120
1020230119243|1027997360000|본딩장치의 본딩 포스 제어방법|한미반도체 주식회사,본딩장치의 본딩 포스 제어방법,한미반도체 주식회사,1020230119243,,1027997360000,등록,2023,2025,2025,H10P; H10W,,기판; 반도체,True,True,False,55.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,123
1020210077463|1028827520000|반도체 자재 연마시스템|한미반도체 주식회사,반도체 자재 연마시스템,한미반도체 주식회사,1020210077463,,1028827520000,등록,2021,2025,2025,H10P; B24B,,공정; 반도체,True,True,False,55.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,246
1020100043528|1014543190000|반도체 패키지 제조용 싱귤레이션장치|한미반도체 주식회사,반도체 패키지 제조용 싱귤레이션장치,한미반도체 주식회사,1020100043528,,1014543190000,등록,2010,2014,2014,H10P; H10W; B08B,,후공정; 공정; 반도체; 웨이퍼,True,True,False,54.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,148
1020180035634|1025318170000|반도체 자재의 부분 차폐방법|한미반도체 주식회사,반도체 자재의 부분 차폐방법,한미반도체 주식회사,1020180035634,1020190113231,1025318170000,등록,2018,2019,2023,H10W; H10P,,차폐; 공정; 반도체,True,True,False,54.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv,5
1020160070411|1025070650000|반도체칩 본딩장치|한미반도체 주식회사,반도체칩 본딩장치,한미반도체 주식회사,1020160070411,,1025070650000,등록,2016,2023,2023,H10W; H10P,,공정; 반도체; 웨이퍼,True,True,False,54.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,4
1020180063002|1024580500000|마이크로 LED 소자용 본딩장치 및 마이크로 LED 소자용 본딩 방법|한미반도체 주식회사,마이크로 LED 소자용 본딩장치 및 마이크로 LED 소자용 본딩 방법,한미반도체 주식회사,1020180063002,,1024580500000,등록,2018,2022,2022,H10P; H10H,,공정; 기판; 소자,True,True,False,54.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,53
1020180022195|1024173230000|반도체 자재의 부분 차폐방법|한미반도체 주식회사,반도체 자재의 부분 차폐방법,한미반도체 주식회사,1020180022195,,1024173230000,등록,2018,2022,2022,H10P; H10W,,차폐; 공정; 반도체,True,True,False,54.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,443
1020200025979|1027323840000|본딩 장치|한미반도체 주식회사,본딩 장치,한미반도체 주식회사,1020200025979,,1027323840000,등록,2020,2024,2024,H10P; H10W,,공정; 기판; 반도체,True,True,False,54.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,485
1020210012566|1024973050000|전자파 차폐시트 부착장치|한미반도체 주식회사,전자파 차폐시트 부착장치,한미반도체 주식회사,1020210012566,,1024973050000,등록,2021,2023,2023,H05K,,차폐; 공정,True,True,False,53.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,151
1020170096944|1019177200000|웨이퍼 마킹 장치 및 웨이퍼 마킹방법|한미반도체 주식회사,웨이퍼 마킹 장치 및 웨이퍼 마킹방법,한미반도체 주식회사,1020170096944,,1019177200000,소멸,2017,2019,2018,H10P; H10W; H01S,,수율; 공정; 반도체; 웨이퍼,True,True,True,53.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,366
1020160098627|1017880210000|열압착 본딩장치|한미반도체 주식회사,열압착 본딩장치,한미반도체 주식회사,1020160098627,1020170056415,1017880210000,등록,2016,2017,2017,H10P,,열압착; 기판; 반도체,True,True,False,52.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv,55
1020200160708|1024578760000|레이저 가공 방법|한미반도체 주식회사,레이저 가공 방법,한미반도체 주식회사,1020200160708,,1024578760000,등록,2020,2022,2022,H10W,,수율; 공정; 반도체,True,True,False,52.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,340
1020210159931|1026468860000|반도체 자재 연삭장치의 두께 측정방법|한미반도체 주식회사,반도체 자재 연삭장치의 두께 측정방법,한미반도체 주식회사,1020210159931,,1026468860000,등록,2021,2024,2024,B24B; H10P,,반도체,True,True,False,52.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,199
1020210181074|1027043590000|반도체 자재 절단장치|한미반도체 주식회사,반도체 자재 절단장치,한미반도체 주식회사,1020210181074,,1027043590000,등록,2021,2024,2024,H10P; B24B,,반도체,True,True,False,52.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,245
1020230162741|1027624170000|본딩장치|한미반도체 주식회사,본딩장치,한미반도체 주식회사,1020230162741,,1027624170000,등록,2023,2025,2025,H10W; H10P,,반도체,True,True,False,52.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,250
1020210091847|1026859630000|반도체 자재 절단방법|한미반도체 주식회사,반도체 자재 절단방법,한미반도체 주식회사,1020210091847,,1026859630000,등록,2021,2024,2024,H10P; B28D,,반도체,True,True,False,52.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,287
1020210037705|1027142820000|스크랩 배출장치|한미반도체 주식회사,스크랩 배출장치,한미반도체 주식회사,1020210037705,,1027142820000,등록,2021,2024,2024,H10P; B28D,,반도체,True,True,False,52.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,302
1020100013807|1012283340000|반도체 패키지 가공시스템|한미반도체 주식회사,반도체 패키지 가공시스템,한미반도체 주식회사,1020100013807,,1012283340000,등록,2010,2013,2013,H10W,,생산성; 자동화; 공정; 반도체,True,True,False,51.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,240
1020190048538|1021425360000|반도체 자재 절단 장치|한미반도체 주식회사,반도체 자재 절단 장치,한미반도체 주식회사,1020190048538,,1021425360000,등록,2019,2020,2020,H10P; B08B,,공정; 반도체,True,True,False,51.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,15
1020200177668|1028192710000|본딩장치 및 본딩방법|한미반도체 주식회사,본딩장치 및 본딩방법,한미반도체 주식회사,1020200177668,,1028192710000,등록,2020,2025,2025,H10P; B08B; B01D; H10W,,기판,True,True,False,51.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,143
1020170035233|1018769340000|비전 검사장치|한미반도체 주식회사,비전 검사장치,한미반도체 주식회사,1020170035233,,1018769340000,등록,2017,2018,2018,H10P; G02B,,기판; 반도체,True,True,False,51.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,168
1020230162740||본딩장치|한미반도체 주식회사,본딩장치,한미반도체 주식회사,1020230162740,,,공개,2023,,,H10W; H10P,,열압착; 기판; 반도체; 웨이퍼,True,False,False,51.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,230
1020200174522|1028915480000|본딩장치 및 본딩장치의 보정방법|한미반도체 주식회사,본딩장치 및 본딩장치의 보정방법,한미반도체 주식회사,1020200174522,,1028915480000,등록,2020,2025,2025,H10P; H05K,,기판; 반도체,True,True,False,51.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,362
1020160103218|1018206670000|반도체 패키지 처리장치|한미반도체 주식회사,반도체 패키지 처리장치,한미반도체 주식회사,1020160103218,,1018206670000,등록,2016,2018,2018,H10W; H10P,,공정; 반도체,True,True,False,51.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,419
1020210058998|1025548410000|반도체 자재 검사 장치|한미반도체 주식회사,반도체 자재 검사 장치,한미반도체 주식회사,1020210058998,1020220152452,1025548410000,등록,2021,2022,2023,H10P,,반도체,True,True,False,50.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv,37
1020230095167|1028548990000|반도체 자재 절단장치|한미반도체 주식회사,반도체 자재 절단장치,한미반도체 주식회사,1020230095167,1020250014705,1028548990000,등록,2023,2025,2025,H10P,,반도체,True,True,False,50.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv,39
1020220098676|1028381760000|바형 자재 절단장치 및 이의 정렬방법|한미반도체 주식회사,바형 자재 절단장치 및 이의 정렬방법,한미반도체 주식회사,1020220098676,1020240020521,1028381760000,등록,2022,2024,2025,H10P,,공정,True,True,False,50.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv,42
1020210130128|1026341740000|반도체 자재 절단장치|한미반도체 주식회사,반도체 자재 절단장치,한미반도체 주식회사,1020210130128,,1026341740000,등록,2021,2024,2024,H10P,,반도체,True,True,False,50.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,260
1020230145985|1026731730000|반도체 자재 처리장치 및 이의 처리방법|한미반도체 주식회사,반도체 자재 처리장치 및 이의 처리방법,한미반도체 주식회사,1020230145985,,1026731730000,등록,2023,2024,2024,H10P,,반도체,True,True,False,50.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,379
1020130033522|1014256130000|플립칩 본딩장치 및 플립칩 본딩방법|한미반도체 주식회사,플립칩 본딩장치 및 플립칩 본딩방법,한미반도체 주식회사,1020130033522,,1014256130000,등록,2013,2014,2014,H10W; H10P,,기판; 반도체; 웨이퍼,True,True,False,50.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,436
1020230162777||열압착 본딩장치|한미반도체 주식회사,열압착 본딩장치,한미반도체 주식회사,1020230162777,1020250075375,,공개,2023,2025,,H10P; H10W; H05K,,열압착; 기판; 반도체,True,False,False,49.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv,2
1020200122699|1029322230000|반도체 자재 절단 및 세척방법|한미반도체 주식회사,반도체 자재 절단 및 세척방법,한미반도체 주식회사,1020200122699,,1029322230000,등록,2020,2026,2026,H10P,,생산성; 반도체,True,True,False,49.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,109
1020160011587|1024404510000|반도체 패키지 처리장치|한미반도체 주식회사,반도체 패키지 처리장치,한미반도체 주식회사,1020160011587,,1024404510000,등록,2016,2022,2022,H10P,,공정; 반도체,True,True,False,49.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,175
1020240063915||열압착 본딩헤드|한미반도체 주식회사,열압착 본딩헤드,한미반도체 주식회사,1020240063915,,,공개,2024,,,H10P,,열압착; 기판; 반도체; 방열,True,False,False,49.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,272
1020190082838|1021203510000|비전시스템의 조명 설정 방법|한미반도체 주식회사,비전시스템의 조명 설정 방법,한미반도체 주식회사,1020190082838,,1021203510000,등록,2019,2020,2020,G01N; H10P; G06T,,반도체,True,True,False,49.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,355
1020140105728|1016176710000|와플 트레이 공급장치 및 이를 구비하는 반도체칩 본딩 시스템|한미반도체 주식회사,와플 트레이 공급장치 및 이를 구비하는 반도체칩 본딩 시스템,한미반도체 주식회사,1020140105728,1020160020705,1016176710000,등록,2014,2016,2016,H10P; H10W; H05K,,반도체; 웨이퍼,True,True,False,48.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv,19
1020100081376|1016178060000|반도체 패키지 제조장치용 픽커 헤드의 위치 설정 방법|한미반도체 주식회사,반도체 패키지 제조장치용 픽커 헤드의 위치 설정 방법,한미반도체 주식회사,1020100081376,1020120018503,1016178060000,등록,2010,2012,2016,H10P,,공정; 반도체; 웨이퍼,True,True,False,48.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv,22
1020100048752|1012756970000|반도체 자재 정렬방법|한미반도체 주식회사,반도체 자재 정렬방법,한미반도체 주식회사,1020100048752,1020110129229,1012756970000,등록,2010,2011,2013,H10P,,공정; 반도체; 웨이퍼,True,True,False,48.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv,36
1020080107040|1014462740000|반도체 패키지 제조장치용 가이드슈트|한미반도체 주식회사,반도체 패키지 제조장치용 가이드슈트,한미반도체 주식회사,1020080107040,,1014462740000,등록,2008,2014,2014,H10P,,후공정; 공정; 반도체,True,True,False,48.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,48
1020080055036|1013806530000|비전검사장비의 비전검사방법|한미반도체 주식회사,비전검사장비의 비전검사방법,한미반도체 주식회사,1020080055036,,1013806530000,등록,2008,2014,2014,H10P; G01N; G01B,,공정; 반도체,True,True,False,48.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,111
1020120063195|1013723790000|반도체 패키지용 회로기판의 검사방법|한미반도체 주식회사,반도체 패키지용 회로기판의 검사방법,한미반도체 주식회사,1020120063195,,1013723790000,등록,2012,2014,2014,G01N; G06T; H05K,,기판; 반도체,True,True,False,48.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,117
1020060006011|1006853730000|공압식 분할 시스템 및 펀치툴|한미반도체 주식회사,공압식 분할 시스템 및 펀치툴,한미반도체 주식회사,1020060006011,,1006853730000,등록,2006,2007,2007,H10P,,생산성; 자동화; 반도체,True,True,False,48.5,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,350
1020240122547||본딩장치 및 이의 제어방법|한미반도체 주식회사,본딩장치 및 이의 제어방법,한미반도체 주식회사,1020240122547,1020260036888,,공개,2024,2026,,H10W; H10P,,열압착; 기판; 반도체,True,False,False,48.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv,25
1020190125607|1023341380000|반도체 자재 절단 장치|한미반도체 주식회사|에스케이하이닉스 주식회사,반도체 자재 절단 장치,한미반도체 주식회사|에스케이하이닉스 주식회사,1020190125607,,1023341380000,등록,2019,2021,2021,H10P; B08B,,반도체,True,True,False,48.0,C:\Agent_6.9\data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,66
