application_number,application_no,open_number,publication_no,register_number,registration_no,register_status,final_disposal,legal_status,invention_title,title,right_holder,applicant,inventor,application_date,application_year,open_date,publication_date,register_date,registration_date,ipc_number,ipc,cpc_number,cpc,abstract,claim_text,claims,url,drawing,is_registered,is_alive_estimated,has_negative_disposal_estimated,tech_keyword_match_count,source_file,source_sheet,source_row
1020170180723,1020170180723,1020190078928,1020190078928,1024304310000,1024304310000,소멸,소멸,소멸,반도체 패키지 처리장치 및 반도체 패키지 처리방법,반도체 패키지 처리장치 및 반도체 패키지 처리방법,한미반도체 주식회사,한미반도체 주식회사,,20171227,2017,20190705,20190705,20220803,20220803,H10P 72/00|H10P 72/30,H10P 72/00|H10P 72/30,,,본 발명은 스퍼터링 공정이 완료된 반도체 패키지에 대하여 브러쉬 또는 에어 블로워를 사용하여 스퍼터링 버를 제거한 후에도 제거된 스퍼터링 버가 공기 중에 부유하여 반도체 패키지의 범프면에 잔류하는 미세버(burr)를 효율적으로 제거한 후 반도체 패키지를 반출하는 반도체 패키지 처리장치 및 반도체 패키지 처리방법에 관한 것이다.,,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93d0a6a92317127eda477cb73a30800be48c1cbdca13a6c3844adaf412eab4dca7fe9cb239fa568c206d00eea4bf63ef89bb90acd71d1a15db,True,False,True,3,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,1
1020230162777,1020230162777,1020250075375,1020250075375,,,공개,공개,공개,열압착 본딩장치,열압착 본딩장치,한미반도체 주식회사,한미반도체 주식회사,,20231121,2023,20250528,20250528,,,H10P 72/00|H10W 72/00|H10P 72/30|H10P 72/50|H10P 72/70|H05K 13/04,H10P 72/00|H10W 72/00|H10P 72/30|H10P 72/50|H10P 72/70|H05K 13/04,,,"본 발명은 개별화된 반도체칩이 부착된 테이프로부터 상기 반도체칩을 픽업하여 상하 반전하는 플립오버 픽커; 상기 플립오버 픽커로부터 상기 반도체칩을 수수받는 다이픽커; 상기 반도체칩의 하면을 플럭스에 딥핑하기 위한 플럭스가 수용되는 플럭스부; 상기 반도체칩의 하면과 크랙유무를 검사하는 업룩킹 비전; 내부에 히팅부재가 장착되어 상기 반도체칩을 기판에 열압착 본딩하는 본딩헤드; 상기 본딩헤드에 픽업된 반도체칩과 상기 반도체칩이 본딩될 기판의 상면을 동시에 촬상하여 반도체칩의 정렬상태를 검사하는 슬릿 비전; 및 상기 다이픽커와 상기 본딩헤드의 이동경로 하부에 고정 배치되어 플럭스가 도포된 반도체칩이 전달되며, 상기 반도체칩의 하면에 도포된 플럭스를 도피하기 위한 도피홈을 구비하는 다이블록을 포함하고, 상기 업룩킹 비전은 상기 플럭스가 도포되지 않은 상태에서 상기 반도체칩의 크랙유무를 검사하고 상기 플럭스가 도포된 상태에서 상기 반도체칩의 하면을 검사하며, 상기 다이픽커가 상기 반도체칩과 이격된 상태에서 음압을 형성하여 상기 플립오버 픽커로부터 상기 반도체칩을 흡인하여 흡착한 후 상기 반도체칩의 하면을 상기 플럭스에 딥핑하여 상기 다이블록에 전달하고, 상기 본딩헤드가 상기 반도체칩과 이격된 상태에서 음압을 형성하여 상기 다이블록으로부터 플럭스가 도포된 반도체칩을 흡인하여 흡착한 후 상기 기판에 열압착 본딩하...(이하생략)",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9385f595290fd0a5ae9795b1d907314b6261124e330c35d8bca45306e02d6a92b45b3699bf90a05d6c2e6f261b216da4e7ef930fc6bc659b7d,False,False,False,3,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,2
1020150046069,1020150046069,,,1016273360000,1016273360000,등록,등록,등록,반도체 패키지 정렬장치 및 반도체 패키지 정렬방법,반도체 패키지 정렬장치 및 반도체 패키지 정렬방법,한미반도체 주식회사,한미반도체 주식회사,,20150401,2015,20160608,20160608,20160530,20160530,H10P 72/50|H10P 72/30|H10B 80/00,H10P 72/50|H10P 72/30|H10B 80/00,,,"반도체 패키지 정렬장치 및 반도체 패키지 정렬방법이 개시된다. 본 발명의 일 실시예에 따른 반도체 패키지 정렬장치는 개별화된 반도체 패키지들이 안착되는 건조 테이블과, 반도체 패키지가 적재되는 제1 적재홈들과 적재되지 않는 제1 비 적재영역들이 교호적으로 배치된 제1 적재부와, 반도체 패키지가 적재되는 제2 적재홈들과 적재되지 않는 제2 비 적재영역들이 상기 제1 적재부와 반대 패턴을 이루며 교호적으로 배치된 제2 적재부를 구비한 정렬 테이블과 상기 건조 테이블 상에 안착된 반도체 패키지의 열 개수보다 n열이 더 연장 형성되어 있고, 각각의 행 방향 및 열 방향으로 흡착홀 및 비 흡착영역이 교번적으로 배열되어 있으며, 상기 건조 테이블 상에 안착된 반도체 패키지들을 픽업하여 복수 회에 걸쳐 상기 정렬 테이블의 제1 적재홈과 제2 적재홈으로 이송하는 픽업유닛을 포함한다. 상기 픽업유닛은 상기 픽업유닛의 좌측 최외곽열의 흡착홀과 상기 건조 테이블 상에 안착된 좌측 최외곽 열의 반도체 패키지들을 일치시킨 상태에서 반도체 패키지들을 픽업하여 상기 정렬 테이블의 제1 적재홈으로 이송하고, 상기 픽업유닛을 임의의 열을 기준으로 x축 양의 방향으로 n 피치 이동한 상태에서 건조 테이블 상에 안착된 남아있는 반도체 패키지들을 픽업하여 정렬 테이블의 제2 적재홈으로 이송할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e0044a5c669ddd812feaf8c57a51f2b5513e7f704bd22f17e697708bf9ce61926a26a270cfa4df94dcf1e2f04632bffe52d86608da4f87d59bf,True,True,False,2,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,3
1020130127230,1020130127230,1020150047305,1020150047305,1015194700000,1015194700000,등록,등록,등록,반도체 자재 절단장치 및 반도체 자재 절단방법,반도체 자재 절단장치 및 반도체 자재 절단방법,한미반도체 주식회사,한미반도체 주식회사,,20131024,2013,20150504,20150504,20150506,20150506,H10P 72/00|H10P 54/00,H10P 72/00|H10P 54/00,,,"반도체 자재의 워페이지를 완화하는 반도체 자재 절단장치 및 반도체 자재 절단방법이 개시된다. 본 발명의 실시 예에 따른 반도체 자재 절단장치는 공급장치로부터 반출되는 반도체 자재가 안착되는 인렛부와, 인렛부의 반도체 자재를 픽업하여 반도체 자재를 개별단위로 절단하는 절단부로 반송하는 자재픽커를 포함하고, 인렛부는 반도체 자재를 가열하는 가열부를 포함하여 반도체 자재의 워페이지를 완화시켜 절단부에서 반도체 자재를 안정적으로 흡착 고정할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e0087ec9c7dcef9df01b2b47920830d0b16d77a7df23de1c261390f0b98dc36b7ec74ca3cae646f54ed88dd2fdf1c5f3c5f478641c143488190,True,True,False,1,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,4
1020180035634,1020180035634,1020190113231,1020190113231,1025318170000,1025318170000,등록,등록,등록,반도체 자재의 부분 차폐방법,반도체 자재의 부분 차폐방법,한미반도체 주식회사,한미반도체 주식회사,,20180328,2018,20191008,20191008,20230509,20230509,H10W 74/01|H10P 10/00|H10P 74/00|H10P 34/42,H10W 74/01|H10P 10/00|H10P 74/00|H10P 34/42,,,"본 발명은 스퍼터링된 반도체 자재의 일부 영역의 상면과 측면의 스퍼터링층을 제거하는 공정의 효율을 극대화하고, 반도체 자재별로 크기 편차가 존재하여도 실제 자재의 엣지에 맞게 스퍼터링층을 제거하여 정확하게 전자파 차폐가 불필요한 영역에 형성된 스퍼터링층을 제거할 수 있는 반도체 자재의 부분 전자파 차폐방법에 관한 것이다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93248f2995ab0a14eab6c2fc1392960175391aee28d3ccec8a3aefbc806e530efc582a403ae9e9e4e250ef3c039bc5abc77c3cbe87d5aaf32b,True,True,False,1,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,5
1020070083036,1020070083036,1020090018539,1020090018539,1014046640000,1014046640000,등록,등록,등록,반도체 패키지 제조장치,반도체 패키지 제조장치,한미반도체 주식회사,한미반도체 주식회사,,20070817,2007,20090220,20090220,20140530,20140530,H10W 70/40,H10W 70/40,,,"본 발명은 리드프레임-제1서브플레이트 접합체에서 제1서브플레이트를 분리하고 제2서브플레이트를 부착시키는 작업을 자동으로 수행하는 반도체 패키지 제조장치에 관한 것으로, 본 발명의 반도체 패키지 제조장치는, 상면에 리드프레임이 부착되어 있는 제1서브플레이트-리드프레임 접합체를 매거진에서 반출하여 다음 공정 위치로 공급하는 로딩부와; 상기 로딩부에 의해 반송된 제1서브플레이트-리드프레임 접합체의 상면에 양면 접착필름을 부착시키는 접착필름 부착부와; 상기 접착필름 부착부에서 반송된 제1서브플레이트-리드프레임 접합체의 리드프레임 상면에 제2서브플레이트를 부착시키는 제2서브플레이트 부착부와; 상기 제2서브플레이트 부착부에서 반송된 제1서브플레이트-리드프레임-제2서브플레이트 접합체를 가열하여 제1서브플레이트와 리드프레임을 상호 분리시키는 제1서브플레이트 분리부와; 상기 제1서브플레이트 분리부에서 반송된 제2서브플레이트-리드프레임 접합체에서 잔존 테이프를 제거하는 오프로딩부를 포함하여 구성된 것을 특징으로 한다. 반도체 패키지, 리드프레임, 제1서브플레이트, 제2서브플레이트",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00e8d49067bfb0ab9645b3d0b5494e334e3e38e20ee7f7660d6d165920e7d919d11a549a6c9fd85efc9e31803926c7df5c18d9100513a369da,True,True,False,2,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,6
1020090002285,1020090002285,1020100082963,1020100082963,1015194770000,1015194770000,등록,등록,등록,반도체 패키지 방향전환장치,반도체 패키지 방향전환장치,한미반도체 주식회사,한미반도체 주식회사,,20090112,2009,20100721,20100721,20150506,20150506,H10P 72/76|H10W 29/00|H10W 72/00,H10P 72/76|H10W 29/00|H10W 72/00,,,"본 발명은 개별화된 반도체 패키지를 수직한 축을 중심으로 일정 각도 회전시킴으로써 반도체 패키지들의 방향(orientation)을 전환시키는 반도체 패키지 방향전환장치에 관한 것으로, 본 발명에 따른 반도체 패키지 방향전환장치는, 반도체 패키지가 안착되는 안착면이 서로 다른 높이에 형성되며, 수직한 축을 중심으로 회전하여 반도체 패키지의 방향을 전환시키는 복수개의 로테이트블록과; 상기 로테이트블록들을 원하는 각도로 회전시키는 회전수단 및; 상기 로테이트블록의 안착면에 반도체 패키지를 안착시키거나 로테이트블록의 안착면에서 반도체 패키지를 픽업하여 반송하는 픽커를 포함하여 구성된 것을 특징으로 한다. 이러한 본 발명에 따르면, 복수개의 로테이트블록들의 안착면의 높이가 다르게 형성되므로 반도체 패키지의 크기가 크더라도 로테이트블록들의 회전시 반도체 패키지들이 서로 간섭되는 현상이 발생하지 않게 된다. 반도체 패키지, 방향 전환, 로테이트블록, 간섭",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e0056413a27dac7424f4cf782d9dba8c6e3317b084ec6799c885f3fd4e5bf3d82662e362bd5908ede824c8abb4bda7693eb5e9731d9192ec018,True,True,False,2,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,7
1020120120573,1020120120573,1020140054728,1020140054728,1014045160000,1014045160000,등록,등록,등록,전자부품 실장장치의 교정방법,전자부품 실장장치의 교정방법,한미반도체 주식회사,한미반도체 주식회사,,20121029,2012,20140509,20140509,20140530,20140530,H10P 72/50|H10P 72/00,H10P 72/50|H10P 72/00,,,"전자부품 실장장치의 교정방법을 개시한다. 본 발명의 실시 예에 따른 전자부품 실장장치의 교정방법은 본딩픽커로 교정지그를 픽업하는 단계; 이동카메라의 중심을 교정테이블의 설정된 기준위치로 이동하여 촬영하고 촬영된 결과값으로부터 이동카메라의 중심과 교정테이블의 중심이 서로 일치하도록 오프셋을 보정하는 단계; 교정지그를 픽업한 본딩픽커를 고정카메라의 설정된 중심위치로 이동시킨 후, 교정지그의 회전각을 변경시키면서 고정카메라로 교정지그를 복수회 촬영하여 각각 위치정보를 구하고, 이들 위치정보를 기초로 본딩픽커의 회전중심을 검출하는 단계; 고정카메라 중심에 대한 본딩픽커 회전중심의 오프셋을 보정하는 단계; 및 고정카메라로 본딩픽커에 픽업된 교정지그를 촬영하여 교정지그의 위치값을 검출한 후, 고정카메라 중심에 대한 교정지그의 오프셋을 보정하는 단계를 포함한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00de80b1c8c3fe45bea193dc8bd5077ad3484c78867d50ab23a51bcba31f8c7ef9d4affc05a67c8939340c797ea79a681d5d3fd36b44da9d01,True,True,False,0,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,8
1020210164855,1020210164855,1020230077511,1020230077511,,,공개,공개,공개,반도체 자재 연삭장치 및 이의 연삭방법,반도체 자재 연삭장치 및 이의 연삭방법,한미반도체 주식회사,한미반도체 주식회사,,20211125,2021,20230601,20230601,,,B24B 7/22|B24B 41/06|H10P 72/00,B24B 7/22|B24B 41/06|H10P 72/00,,,"본 발명은 상면에 반도체 자재를 흡착하는 척테이블과 상기 척테이블에 흡착된 반도체 자재의 상면을 연삭하는 연삭숫돌이 장착된 연삭헤드를 포함하는 반도체 자재 연삭장치에 있어서, 상기 척테이블은 복수개의 흡착 관로가 형성되는 흡착부를 구비하는 흡착 바디; 및 상기 흡착 바디와 결합되고 상기 흡착 관로에 공압을 인가하는 공압 관로가 형성되는 베이스 부재를 구비하고, 상기 흡착 바디의 저면에 착탈 가능하게 구비되는 플레이트를 더 포함하며, 상기 연삭숫돌은 상기 플레이트가 상기 흡착 바디의 저면에 체결되고 상기 공압 관로에 공압이 인가된 상태에서 상기 척테이블의 흡착 바디 상면을 연삭하는 것을 특징으로 한다. 본 발명에 따르면 반도체 자재를 연삭하기 전에 반도체 자재 흡착에 따른 척테이블의 변형을 반영하여 평행도를 맞출 수 있으며, 반도체 자재의 연삭공정에서의 반도체 자재의 TTV(Total Thickness Variation: 두께 균일도)가 향상될 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93ea5faaf49118c1e49418eae930a93dd7ef348383fc861a4dab8f2871402cb3ec0921b8680b320307790a5a4a0b7e4b9d7f315d511b939d6b,False,False,False,1,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,9
1020200175188,1020200175188,1020220085263,1020220085263,1029488140000,1029488140000,등록,등록,등록,본딩장치,본딩장치,한미반도체 주식회사,한미반도체 주식회사,,20201215,2020,20220622,20220622,20260401,20260401,H10P 72/00|H10P 72/30|H10P 72/70|H05K 13/04|B01D 46/44|B08B 5/02|B08B 5/04,H10P 72/00|H10P 72/30|H10P 72/70|H05K 13/04|B01D 46/44|B08B 5/02|B08B 5/04,,,"본 발명은 개별적으로 다이싱된 반도체 자재를 기판에 본딩시키는 본딩장치에 관한 것이다. 본 발명에 따른 본딩장치는 기류 발생부, 필터, 배기부와 흡입배관을 통해 본딩장치 내부에 에어 공급에 의한 하강기류의 흐름을 발생시킬 수 있으며, 이를 통해, 본딩장치 내부의 청정도를 높게 유지할 수 있다. 또한, 픽커들의 이동에 의해 발생되는 이물질을 효과적으로 제거하여 장비 내부의 청정도를 유지시킴으로써, 본딩 공정 시 이물질에 의해 발생되는 본딩 불량을 줄일 수 있으며, 본딩 결합력을 향상시킬 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c931e29801e589c7b644af28b7ef4d33177b0901e5b21bb081bfc405de801663f5d60575963c5a37f266e38c9a33d8477ddd9cd68e438f23a8c,True,True,False,2,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,10
