source_application_number,family_id,family_type,country_code,application_country_code,publication_country_code,priority_country_code,family_application_number,family_application_date,family_publication_number,family_publication_date,family_registration_number,priority_number,pct_application_number,title,applicant,legal_status,_raw_keys,jurisdictions_inferred,is_overseas_family
1020250144120,86058318,,US,US,US,,202218702243,20221017,2025231218,20250717,,,202218702243,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020250144120,86058318,,KR,KR,WO,,2022015759,20221017,2023068708,20230427,,,2022015759,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020250144120,86058318,,TW,TW,TW,,111139155,20221017,I874827,20250301,,,111139155,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020250144120,86058318,,TW,TW,TW,,111139155,20221017,202317997,20230501,,,111139155,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020180086717,66811149,,CN,CN,CN,,201980049553,20190723,112470012,20210309,,,201980049553,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020180086717,66811149,,CN,CN,CN,,201980049553,20190723,112470012,20240726,,,201980049553,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020180086717,66811149,,KR,KR,WO,,2019009081,20190723,2020022745,20200130,,,2019009081,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020180086717,66811149,,TW,TW,TW,,108126225,20190724,202012940,20200401,,,108126225,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020180086717,66811149,,TW,TW,TW,,108126225,20190724,I753277,20220121,,,108126225,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020170110659,65525916,,KR,KR,WO,,2018009938,20180829,2019045425,20190307,,,2018009938,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020170110659,65525916,,TW,TW,TW,,107130321,20180830,I684008,20200201,,,107130321,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020170110659,65525916,,TW,TW,TW,,107130321,20180830,201920962,20190601,,,107130321,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020160057822,59051140,,CN,CN,CN,,201780015272,20170511,108700614,20181023,,,201780015272,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020160057822,59051140,,CN,CN,CN,,201780015272,20170511,108700614,20201201,,,201780015272,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020160057822,59051140,,KR,KR,WO,,2017004871,20170511,2017196093,20171116,,,2017004871,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020160057822,59051140,,TW,TW,TW,,106115603,20170511,201826290,20180716,,,106115603,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
