source_application_number,source_invention_title,source_ipc_number,source_application_date,source_register_status,source_final_disposal,source_right_holder,citation_record_index,citation_direction,cited_application_number,citing_application_number,citing_invention_title,citing_applicant_name,citation_date,citation_category,is_self_citation_estimated,parse_type,http_status_code,request_ok,request_url
1020190082405,검사장치,G01R 31/28|G01R 1/04|H10P 72/00,2019-07-09,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020190082405,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020190082405&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020060033231,양면 사용 칩 테스트 소켓,H01R 33/76|H05K 1/02|H10P 74/00|G01R 1/067,2006-04-12,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020060033231,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020060033231&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020060105424,플럭스 돗팅 툴,H10W 72/00|H10W 70/40,2006-10-30,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020060105424,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020060105424&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020080029728,반도체 칩 검사용 소켓,H10P 74/00|G01R 31/28,2008-03-31,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020080029728,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020080029728&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020100063058,프로브,H10P 74/00,2010-06-30,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020100063058,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020100063058&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020110007889,프로브 카드 및 반도체 디바이스 테스트 소켓,H10P 74/00|G01R 1/073|G01R 31/28,2011-01-26,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020110007889,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020110007889&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020110091552,반도체 디바이스의 검사장치,G01R 1/067|H01R 33/76|H10P 74/00,2011-09-09,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020110091552,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020110091552&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020120076471,프로브 카드 및 반도체 디바이스 테스트 소켓,H10P 74/00|G01R 1/04|G01R 1/073,2012-07-13,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020120076471,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020120076471&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020120130742,검사장치,G01R 31/28|G01R 1/04|G01R 1/073|H10P 74/00,2012-11-19,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020120130742,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020120130742&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020130044195,컨택트 프로브 및 그 제조방법,G01R 3/00|H10P 74/00|G01R 1/067,2013-04-22,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020130044195,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020130044195&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240014344,접촉팁 제조 방법 및 접촉팁을 포함하는 전기 전도성 핀,G01R 1/067|G01R 3/00,2024-01-30,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020240014344,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240014344&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240037217,전기 전도핀,G01R 1/067|G01R 1/04|G01R 3/00|G01R 31/28,2024-03-18,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020240037217,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240037217&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020170093880,검사프로브,G01R 1/067|G01R 31/28,2017-07-25,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020170093880,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020170093880&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020170102270,검사장치,G01R 1/067|G01R 1/18|G01R 1/073,2017-08-11,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020170102270,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020170102270&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020170106770,검사프로브 및 이를 사용한 검사장치,G01R 1/067|G01R 1/073|G01R 3/00|G01R 31/28,2017-08-23,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020170106770,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020170106770&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020060126955,실장 테스트용 검사 소켓과 이를 장착한 실장테스트용회로기판 및 실장테스트용 회로기판의 제조방법,G01R 31/26|G01R 1/06|H01R 33/76|H01R 43/00|H01R 12/70,2006-12-13,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020060126955,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020060126955&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020080051366,검사용 탐침 장치,G01R 1/067|G01R 31/26|G01R 31/28|G01R 3/00,2008-06-02,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020080051366,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020080051366&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020080071818,이차 전지의 충방전용 테스트 프로브,G01R 1/067|G01R 31/36|H01M 10/42|F16B 4/00,2008-07-23,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020080071818,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020080071818&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020090060509,검사용 탐침 장치,G01R 1/067|G01R 31/303,2009-07-03,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020090060509,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020090060509&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020100018708,마이크로 니들 장치,A61M 37/00,2010-03-02,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020100018708,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020100018708&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020110115094,검사용 프로브,G01R 1/067|G01R 31/28,2011-11-07,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020110115094,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020110115094&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020120014301,반도체디바이스 테스트용 프로브,G01R 1/067|G01R 31/26,2012-02-13,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020120014301,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020120014301&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020140175940,검사장치,G01R 1/02|G01R 31/34,2014-12-09,등록,등록,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020140175940,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020140175940&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020250078819,검사프로브,G01R 1/067|G01R 3/00,2025-06-16,공개,공개,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020250078819,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020250078819&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020250117106,검사장치,G01R 31/28|G01R 1/04|G01R 1/073,2025-08-22,공개,공개,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020250117106,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020250117106&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020250117113,검사장치,G01R 31/28|G01R 1/04|G01R 1/073,2025-08-22,공개,공개,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020250117113,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020250117113&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020050101213,메모리 모듈 테스트 소켓,H01R 33/76|H01R 13/24|G01R 31/26|H10W 78/00,2005-10-26,소멸,소멸,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020050101213,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020050101213&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020050097061,동축 접촉 프로브,G01R 1/067|G01R 3/00,2005-10-14,소멸,소멸,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020050097061,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020050097061&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020050102273,동축 접촉 프로브,G01R 1/067|H01R 9/05|H01R 13/24|H01R 103/00,2005-10-28,소멸,소멸,리노공업주식회사,1,BACKWARD_CITATION_ESTIMATED,1020050102273,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020050102273&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
