application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020110091552,,1011497590000,등록,등록,반도체 디바이스의 검사장치,리노공업주식회사
1020130044195,,1013985500000,등록,등록,컨택트 프로브 및 그 제조방법,리노공업주식회사
1020090060509,1020110002959,1011497600000,등록,등록,검사용 탐침 장치,리노공업주식회사
1020100018708,1020110099588,1011497610000,등록,등록,마이크로 니들 장치,리노공업주식회사
1020100063058,1020120002264,1011497580000,등록,등록,프로브,리노공업주식회사
1020250078819,1020260023961,,공개,공개,검사프로브,리노공업주식회사
1020240014344,1020250106162,1029649910000,등록,등록,접촉팁 제조 방법 및 접촉팁을 포함하는 전기 전도성 핀,리노공업주식회사
1020060105424,1020080038485,1008301900000,등록,등록,플럭스 돗팅 툴,리노공업주식회사
1020080071818,1020100010780,1009581360000,등록,등록,이차 전지의 충방전용 테스트 프로브,리노공업주식회사
1020080051366,1020090093738,1009581350000,등록,등록,검사용 탐침 장치,리노공업주식회사
1020080029728,1020090104341,1009581340000,등록,등록,반도체 칩 검사용 소켓,리노공업주식회사
1020050105481,1020050109445,1007268320000,소멸,소멸,휴대폰 슬라이딩 힌지용 핀,리노공업주식회사
1020050102273,1020050109274,1007152690000,소멸,소멸,동축 접촉 프로브,리노공업주식회사
1020050101213,1020050107364,1006535470000,소멸,소멸,메모리 모듈 테스트 소켓,리노공업주식회사
1020250117106,1020260056017,,공개,공개,검사장치,리노공업주식회사
1020250117113,1020260056018,,공개,공개,검사장치,리노공업주식회사
1020120076471,1020120095335,1012604090000,등록,등록,프로브 카드 및 반도체 디바이스 테스트 소켓,리노공업주식회사
1020110007889,1020110088442,1012604050000,등록,등록,프로브 카드 및 반도체 디바이스 테스트 소켓,리노공업주식회사
1020170102270,1020190017427,1019758360000,등록,등록,검사장치,리노공업주식회사
1020110115094,,1012562150000,등록,등록,검사용 프로브,리노공업주식회사
1020050097061,1020050109246,1006503070000,소멸,소멸,동축 접촉 프로브,리노공업주식회사
1020240037217,1020250140302,1029512190000,등록,등록,전기 전도핀,리노공업주식회사
1020140175940,,1016113540000,등록,등록,검사장치,리노공업주식회사
1020120014301,1020130092786,1017270320000,등록,등록,반도체디바이스 테스트용 프로브,리노공업주식회사
1020170093880,1020190011847,1019697710000,등록,등록,검사프로브,리노공업주식회사
1020060126955,,1008216810000,등록,등록,실장 테스트용 검사 소켓과 이를 장착한 실장테스트용회로기판 및 실장테스트용 회로기판의 제조방법,리노공업주식회사
1020170106770,1020190021693,1019626440000,등록,등록,검사프로브 및 이를 사용한 검사장치,리노공업주식회사
1020060033231,,1007043940000,등록,등록,양면 사용 칩 테스트 소켓,리노공업주식회사
1020120130742,,1013802800000,등록,등록,검사장치,리노공업주식회사
1020190082405,1020210006596,1022332830000,등록,등록,검사장치,리노공업주식회사
