query_applicant,index_no,register_status,invention_title,ipc_number,register_number,register_date,application_number,application_date,open_number,open_date,publication_number,publication_date,abstract,drawing,big_drawing,applicant_name
엘티씨,1,공개,멀티-팩터 임계 비밀 공유를 위한 지분 강화 방법,H04L 9/08,,,1020230046386,20230407,1020240150284,20241015,,,"본 발명은 멀티-팩터 임계 비밀 공유를 위한 지분 강화 방법에 관한 것으로서, 더욱 상세하게는, 사용자가 사전에 지정하는 임의의 지분을 포함하되 보안성을 보장할 수 있는 임계 비밀공유 방법에 관한 것이다. 다양한 실시예들에 따른, 멀티-팩터 임계 비밀 공유를 위한 지분 강화 방법은, 미리 지정된 적어도 하나의 제 1 지분 값을 확인하는 동작; 미리 지정된 적어도 하나의 제 1 지분 값에 대응하는 적어도 하나의 제 2 지분 값을 랜덤하게 생성하는 동작; 미리 지정된 적어도 하나의 제 1 지분 값 및 적어도 하나의 제 2 지분 값을 이용하여 취합지분(aggregate share)을 결정하는 동작; 결정된 취합지분에 기초하여 임계 비밀공유를 위한 다항식(polynomial)을 생성하는 동작; 및 생성된 다항식에 기초하여 나머지 완전지분(full share)들을 생성하는 동작을 포함할 수 있다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfcb7e719508a7bbaf0ff4a8daed9b34cb4387c78f8d901c90ab2d5a7313ad576d52e34b0609c198a0f17fa013cec7d932c4e04884aa7ba6c5,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c934cb379fa631e1307a54f870eb7c8d700eed14d82b85c17960c8376aa47cdef39c29043cf7c8cb44929edeab699a5e3f7d710e595052710f8,한양대학교 산학협력단|주식회사 엘티씨웨어
엘티씨,2,공개,"신규 디아민, 이를 포함하는 폴리아믹산 및 폴리이미드 중합체",C07D 209/48|C07D 493/04|C08G 73/10|C08L 79/08|C08J 5/18,,,1020240167256,20241121,1020250077376,20250530,,,"본 발명은 신규 디아민, 상기 디아민을 포함하는 폴리아믹산과 폴리이미드 중합체와 상기 디아민을 가교제로 사용하는 가교 조성물, 이를 이용하는 필름 및 전자기기용 고분자 코팅 소재를 제공한다.",,,엘티씨 (주)
엘티씨,3,등록,고내열성 폴리실세스퀴녹산계 감광성 수지 조성물,C08G 77/04|C08G 77/42|G03F 7/004,1015207930000,20150511,1020140113197,20140828,,,,20150518,"본 발명은 액정표시 장치 또는 유기EL 표시 장치용 고내열성 실세스퀴녹산 (Silsesquinoxane)계 감광성 수지 조성물 및 이로부터 제조된 포지티브 레지스트 절연막에 관한 것으로 상세하게는 박막트랜지스터 (TFT)의 비아 홀 (via hole)을 형성하는 절연막으로 사용이 가능하고, 또한 유기EL 표시 장치의 화소를 구분하는 격벽 (Bank) 패턴 형성용 절연막으로 동시에 사용이 가능한 고내열성, 저유전 특성의 실세스퀴녹산계 감광성 수지 조성물에 관한 것이다. 본 발명의 포지티브 레지스트 조성물은, (a) 대표적으로 카르복시산 또는 페놀기 말단과 같이 알칼리 수용액에 현상이 가능한 유기 실란 단량체; (b) 각종 기능성 유기 실란계 화합물을 포함하는 단량체들을 졸-겔 반응법으로 공중합시켜 제조되는 실세스퀴녹산계 공중합체를 바인더 수지로 사용하고 나프토퀴논 디아지드 술폰산 에스테르기가 치환된 구조의 감광제를 혼합하여 제조된 포지티브 레지스트 조성물이다. 본 발명의 포지티브 레지스트 조성물은 TMAH (tetramethylammonium hydroxide), KOH, Na 2 CO 3 등 현재 양산 공정에 사용 중인 묽은 알칼리 수계 현상액으로 현상이 가능하여 고해상도의 패턴 형성이 용이하고 고감도, 내열성 및 전기절연성이 우수하다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfa2d2aeb3a6d3037062573b0904aa7a765cfb87ac0395dfd1ea483208e0f8ca5f5f656fd93f8e02ce6197a4497fd16fa50caec0d2797dc08c,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e0015cb4c41f36fe90ddad84d31f4a1b301b629900065bf14f84bffa830fdd8af088b60dddddb05e07bec9b5c82fa9ffecbc914498dd1082025,엘티씨 (주)
엘티씨,4,포기,근적외선 분광법을 이용한 혈당측정장치 및 이를 이용한 혈당측정방법,A61B 5/145|A61B 5/1455|A61B 5/00,,,1020220073727,20220616,1020230072389,20230524,,,"근적외선 분광법을 이용한 혈당측정장치 및 이를 이용한 혈당측정방법이 개시된다. 개시된 혈당측정장치는, 손가락을 통한 비침습적 혈당측정이 이루어지도록 손가락 말단이 올려지는 측정구가 구비되는 본체부; 상기 본체부에 구비되며, 상기 측정구 상에 올려진 손가락 말단에 근적외선 광을 조사하는 광원부; 상기 본체부에 구비되며, 상기 광원부에서 조사되고 손가락 말단에서 반사된 근적외선 광을 수신하고, 수신된 광을 분광시켜 스펙트럼 데이터를 획득하는 광검출부; 상기 본체부에 구비되며, 획득된 스펙트럼 데이터를 바탕으로 피검자의 혈당수치를 산출하는 데이터 연산부가 구성되고, 상기 데이터 연산부를 통해 산출된 혈당수치를 디스플레이부에 출력하는 제어부; 상기 측정구로부터 연장 형성되며, 손가락을 삽입하여 상기 측정구측으로 전달되는 외부 빛을 차단하여 상기 손가락 말단 주변의 암흑상태를 조성하는 암전조성채널부;를 포함하는 것을 특징으로 한다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfb143de20cbfccc4c0582ba6aa27056131a808d539c0f3e7d6214e2e0ae65afc823b44a182d843bfb6cf021a9ef52750f097ae4c21b30b6d1,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93ce6a950083abfb0cea11ba59bd92ce1a23ceb1e8b28aa74eadd714313ca3dcdd508752c926520326002acb56aa401b2690cff82f9c5f9f04,주식회사 무송엘티씨
엘티씨,5,포기,비침습적 생체정보 측정 장치,A61B 5/145|A61B 5/1455|A61B 5/00,,,1020220073734,20220616,1020230139740,20231005,,,"비침습적 생체정보 측정 장치가 개시된다. 개시된 비침습적 생체정보 측정 장치는 손가락을 통해 비침습적 생체정보 측정이 이루어지도록 손가락 말단부가 올려지는 측정구와, 상기 측정구 상에 올려진 손가락 말단에 근적외선 광을 조사하는 광원부와, 상기 광원부에서 조사되고 손가락 말단에서 반사된 근적외선 광을 수신하며, 수신된 광을 분광시켜 스펙트럼을 획득하는 광검출부와, 회득된 스펙트럼을 바탕으로 피검자의 생체정보를 산출하는 제어부를 포함하도록 구성된 정보측정모듈; 상기 정보측정모듈을 내장하며 상기 측정구가 후측부 상면에 노출되도록 구성된 장치본체부; 상기 장치본체부의 선단과 힌지부에 의해 접철가능하게 구성되어 상기 장치본체부에 대해 후측부가 벌어지거나 상기 장치본체부의 둘레와 밀착되게 오므려지는 것이 가능하도록 구성되며, 상기 측정구 상에 올려진 손가락을 덮어 외부 빛의 유입을 차단하며, 후측부에는 손가락이 수용되는 수용홈이 형성된 빛차단커버부; 상기 장치본체부의 상면 후측부에 형성되고, 중간부에는 상기 측정구 상에 올려진 손가락의 하부를 밀착하는 하부 밀착단이 구비되며, 손가락과 상기 수용홈 사이공간의 하부영역을 차단하는 하부 빛차단패널; 상기 수용홈의 내주면에 형성되고, 중간부에는 상기 측정구 상에 올려진 손가락의 상부를 밀착하는 상부 밀착단이 구비되며, 손가락과 상기 수용홈 사이공간의 상부영역을 차...(이하생략)",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfbd98389d5627f72138235c03acdeedc14ad4adc9bd2b62463957becfb6b4f80f0deb5f6831abe0aa798e07c5123f4ff6e68a25a5bfb962bb,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9367e202351212a4204132a8b5e1b9e1c9d4fd46930d95c7710b47919a7d052ac8b13c7fb659e654fd4467484b35633966786e318c4418ba1f,주식회사 무송엘티씨
엘티씨,6,공개,감광성 수지 조성물 및 이를 이용한 표시 장치의 제조 방법,G03F 7/075|G03F 7/022|G03F 7/20|G03F 7/26|C08G 77/28|C08G 77/14|C08G 77/16|H10K 59/00,,,1020210126823,20210927,1020230045621,20230405,,,"본 발명의 일 실시예에 따른 감광성 수지 조성물은 화학식 1로 표시되는 제1 단량체, 화학식 2로 표시되는 제2 단량체, 화학식 3으로 표시되는 제3 단량체, 및 화학식 4로 표시되는 제4 단량체를 공중합하여 얻어지는 실세스퀴옥산계 공중합체를 포함한다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf9515544601e183acdee855b112a4db4317ea34e1085c2833fecf261ae244f957bcbf0c164390bb3e84b05aca86aa1b876c227f7149b0f01d,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c930553ff19307a37d55fc13e99e493b823818adcf98717a65e69e57ac6cebd0afe7f8acc1ef278f0f789a5acaf2bf8409e2e781183deb11b82,삼성디스플레이 주식회사|엘티씨 (주)
엘티씨,7,공개,표시 장치의 제조 장치 및 표시 장치의 제조 방법,H10K 71/00|H10P 72/00|H10K 99/00|H10P 72/76|H10P 10/00,,,1020220069144,20220607,1020230168652,20231215,,,"본 발명은 불산 가스 및 암모니아 가스를 이용하여 기판의 표면에 형성된 산화막을 제거하는 식각 단계; 및 상기 산화막이 제거된 상기 기판을 열처리하는 열처리 단계;를 포함하고, 상기 식각 단계에서 불산 가스와 암모니아 가스의 유량비는 0.8:1 내지 1:1인, 표시 장치의 제조 방법이 제공된다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf6d1815af8c7dab2071fb4f02ad9d08234b29202b7a71df3fda2dada8f3f0ee6672ff4a07d8d9eb727ee14369293330736bc7babb43b5189d,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c935ffb7af845992d8639ddcdc131af6f232df02f34aa8d8462defd8f55ea32c30e335af7560f82962f182e6dff0f4d303800613cd08e8cedc9,삼성디스플레이 주식회사|주식회사 테스|엘티씨 (주)
엘티씨,8,공개,박리액 조성물 및 이를 이용한 패턴 형성 방법,G03F 7/42|C11D 7/32|C11D 7/26|C11D 7/50|H10P 76/00|H10P 10/00,,,1020230107834,20230817,1020250027375,20250226,,,"본 발명은 박리액 조성물 및 이를 이용한 패턴 형성 방법에 관한 것이다. 일 실시예의 박리액 조성물은 아민 화합물, 환형 알코올, 양자성 극성 유기 용매, 비양자성 극성 유기 용매, 및 탄소수 4 이상 6 이하의 다가 알코올을 특정 함량범위로 포함할 수 있다. 또한, 일 실시예의 박리액 조성물에서 아민 화합물은 분자량이 80g/mol 이하이고, 식 1에 따른 HSPo 값이 27 이상 32 이하일 수 있다. 일 실시예의 박리액 조성물은 하부막 상에 형성된 포토레지스트 패턴의 제거 공정 중에 이용될 수 있고, 포토레지스트에 대한 우수한 박리력 및 하부막의 손상을 방지하는 특성을 제공할 수 있다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf1e4b3e2cf2e2cd497f43f5ca562ed311760bf7d6bf1a62266af4a85ce614a5e233988f0f45b44796373f8707c93d0493456f7e6d4c13c928,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c931c12830797ea2496843880fd8e11c05443e93a80e53bdecfa68902cf0309165b16bac55078c2fb9590c99c48844e3431124dc224c874742b,삼성디스플레이 주식회사|엘티씨 (주)
엘티씨,9,거절,반도체 및 디스플레이 제조공정용 세정제 조성물,C11D 7/60|C09K 13/06,,,1020130004370,20130115,1020140092077,20140723,,,"본 발명의 세정제 조성물은, pH 8~13의 알칼리 수계이며, 파티클 및 유기 오염물을 제거하고, 구리 부식을 방지하는 것과 함께 역흡착을 방지할 수 있도록, 아미노산(Amino Acid)계 킬레이트제(Chelating Agent) 0.01~3wt%, 유기산(Organic Acid) 0.01~0.5wt%, 무기산(Inorganic Acid) 0.01~1.0wt%, 염기 화합물(Alkali Compound) 0.01~5wt% 및 초순수(DI water) 0.01~98wt%를 포함하여 이루어지는 것이 바람직하다. 또한 본 발명의 세정제 조성물은, 상기 조성물에 벤조카르복실산(Benzene Carboxylic Acid)계 또는 벤조트리아졸(Benzotriazole)계 부식방지제가 더 포함될 수 있으며, 벤조카르복실산(Benzene Carboxylic Acid)계 또는 벤조트리아졸(Benzotriazole)계 부식방지제가 상기 아미노산(Amino Acid)계 킬레이트제(Chelating Agent)를 대체하여 구성될 수도 있다. 이러한 본 발명은 금속 불순물 제거 능력이 향상되고 유기 오염물질도 제거할 수 있으며, 이와 함께 구리 부식을 방지하고 역흡착도 방지할 수 있는 기능을 모두 수행할 수 있는 세정제 조성물을 제공할 수 있다. 그리하여 식각율(Etch Rate)의 조절을 통하여 구리용 에칭, 잔유...(이하생략)",,,엘티씨에이엠 주식회사
엘티씨,10,공개,표시 장치의 제조 방법,H10D 86/00|H10K 71/00|H10K 59/00,,,1020220053809,20220429,1020230154377,20231108,,,"본 발명은 기판 상에 반도체층을 형성하는 단계; 상기 반도체층 상에 절연층을 형성하는 단계; 상기 절연층 상에 포토레지스트 패턴을 형성하는 단계; 상기 절연층을 식각하여 상기 반도체층의 적어도 일부를 노출시키는 콘택홀을 형성하는 단계; 및 불소 함유 가스 및 수소 함유 가스를 포함하는 세정 가스를 이용하여 상기 콘택홀이 형성된 상기 절연층을 1차 세정하는 단계;를 포함하는, 표시 장치의 제조 방법이 제공된다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfe08027f5e24d600e23d97c0f5b7d0f3dc84bc7d3b0c802331cee670ed9b7b889ba334f1ccbf2c64c5dc277acf467a50fd9db592dff32d781,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93f4a30bb97d802ea01934d77a2532e7aa066cb2f579ede40a5f4d0eb8b282fff479db91fe880a24f53bdf0c9bbc006eee4efad4abdfb4c66c,삼성디스플레이 주식회사|주식회사 테스|엘티씨 (주)
