source_application_number,source_invention_title,source_ipc_number,source_application_date,source_register_status,source_final_disposal,source_right_holder,citation_record_index,citation_direction,cited_application_number,citing_application_number,citing_invention_title,citing_applicant_name,citation_date,citation_category,is_self_citation_estimated,parse_type,http_status_code,request_ok,request_url
1020200178115,터치 디스플레이 장치,G06F 3/041,2020-12-18,등록,등록,주식회사 엘엑스세미콘,1,BACKWARD_CITATION_ESTIMATED,1020200178115,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200178115&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200178629,터치 디스플레이 장치 및 그 구동 방법,G06F 3/041,2020-12-18,등록,등록,주식회사 엘엑스세미콘,1,BACKWARD_CITATION_ESTIMATED,1020200178629,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200178629&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020180088352,터치구동장치 및 디스플레이장치,G06F 3/041|G06F 3/044|H10K 59/35|H10K 59/40|H10K 50/856|H10K 50/86|H03M 1/08,2018-07-30,등록,등록,주식회사 엘엑스세미콘,1,BACKWARD_CITATION_ESTIMATED,1020180088352,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020180088352&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020180171297,전류구동방식의 터치센싱장치 및 터치센싱장치 구동방법,G06F 3/041|G06F 3/044|H03K 17/96,2018-12-27,등록,등록,주식회사 엘엑스세미콘,1,BACKWARD_CITATION_ESTIMATED,1020180171297,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020180171297&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020190172325,노이즈를 센싱하는 터치센싱장치 및 이를 포함하는 표시장치,G06F 3/041|G06F 3/044,2019-12-20,등록,등록,주식회사 엘엑스세미콘,1,BACKWARD_CITATION_ESTIMATED,1020190172325,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020190172325&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020190172905,"메모리 장치를 제어하는 타이밍 컨트롤러와 이의 동작 방법, 및 이를 포함하는 전자 장치",G06F 13/16|G06F 13/40|G06F 13/42,2019-12-23,등록,등록,주식회사 엘엑스세미콘,1,BACKWARD_CITATION_ESTIMATED,1020190172905,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020190172905&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020110041793,화상 안정화를 위한 액정패널 구동 회로,G09G 3/36|G06F 1/26,2011-05-03,등록,등록,주식회사 엘엑스세미콘,1,BACKWARD_CITATION_ESTIMATED,1020110041793,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020110041793&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200054902,저전력 모드를 지원하는 디스플레이 구동장치 및 디스플레이 구동방법,G09G 3/3291,2020-05-08,등록,등록,주식회사 엘엑스세미콘,1,BACKWARD_CITATION_ESTIMATED,1020200054902,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200054902&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200074703,디스플레이 구동 장치,G09G 3/20,2020-06-19,등록,등록,주식회사 엘엑스세미콘,1,BACKWARD_CITATION_ESTIMATED,1020200074703,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200074703&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200136143,"화면의 결함 보상을 위한 보상식의 계수값 압축 장치 및 방법 그리고, 압축값들을 이용하는 디스플레이 데이터의 보상 회로",H04N 5/21|H04N 17/00,2020-10-20,등록,등록,주식회사 엘엑스세미콘,1,BACKWARD_CITATION_ESTIMATED,1020200136143,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200136143&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200165519,디스플레이 구동장치 및 디스플레이 구동방법,G09G 3/3275|G05F 1/10,2020-12-01,등록,등록,주식회사 엘엑스세미콘,1,BACKWARD_CITATION_ESTIMATED,1020200165519,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200165519&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200166598,무라 보상을 위한 무라 보상장치 및 데이터처리회로,G09G 3/3225,2020-12-02,등록,등록,주식회사 엘엑스세미콘,1,BACKWARD_CITATION_ESTIMATED,1020200166598,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200166598&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200172277,데이터구동장치 및 데이터구동장치의 패널 구동 방법,G09G 3/30,2020-12-10,등록,등록,주식회사 엘엑스세미콘,1,BACKWARD_CITATION_ESTIMATED,1020200172277,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200172277&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200178632,출력 버퍼 및 그를 갖는 데이터 드라이버 회로,G09G 3/36,2020-12-18,등록,등록,주식회사 엘엑스세미콘,1,BACKWARD_CITATION_ESTIMATED,1020200178632,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200178632&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210017540,엘이디 구동 장치 및 방법,G09G 3/32,2021-02-08,등록,등록,주식회사 엘엑스세미콘,1,BACKWARD_CITATION_ESTIMATED,1020210017540,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210017540&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210131771,디스플레이 장치의 타이밍 컨트롤러,G09G 5/00,2021-10-05,등록,등록,주식회사 엘엑스세미콘,1,BACKWARD_CITATION_ESTIMATED,1020210131771,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210131771&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210157366,"타이밍 컨트롤러, 이를 포함하는 디스플레이 구동장치 및 타이밍 컨트롤러를 구동하는 방법",G09G 5/00,2021-11-16,등록,등록,주식회사 엘엑스세미콘,1,BACKWARD_CITATION_ESTIMATED,1020210157366,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210157366&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210183618,백라이트 유닛 제어 시스템 및 방법,G09G 3/36|G09G 5/10,2021-12-21,등록,등록,주식회사 엘엑스세미콘,1,BACKWARD_CITATION_ESTIMATED,1020210183618,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210183618&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210185133,디스플레이 드라이버 집적회로 및 디스플레이 드라이버 집적회로의 동작 방법,G09G 3/3225,2021-12-22,등록,등록,주식회사 엘엑스세미콘,1,BACKWARD_CITATION_ESTIMATED,1020210185133,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210185133&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210187929,디스플레이 구동 장치 및 디스플레이 구동 방법,G09G 3/3208|G09G 3/20,2021-12-27,등록,등록,주식회사 엘엑스세미콘,1,BACKWARD_CITATION_ESTIMATED,1020210187929,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210187929&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210192952,직류-직류 변환기 및 직류-직류 변환기를 포함하는 디스플레이 구동장치,G09G 3/36,2021-12-30,등록,등록,주식회사 엘엑스세미콘,1,BACKWARD_CITATION_ESTIMATED,1020210192952,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210192952&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
