query_applicant,index_no,register_status,invention_title,ipc_number,register_number,register_date,application_number,application_date,open_number,open_date,publication_number,publication_date,abstract,drawing,big_drawing,applicant_name
네패스,1,등록,EMI 차폐필름,H05K 9/00|C09J 7/21|C09J 9/02|C09J 11/04|C09J 7/20,1020667300000,20200109,1020180096318,20180817,1020190019874,20190227,,20200115,"본 발명은 EMI 차폐필름에 관한 것으로, 더욱 상세하게는 단차나 굴곡이 있는 피착면에 우수한 밀착력으로 부착되는 동시에 차폐성능이 뛰어난 EMI 차폐필름에 관한 것이다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf7f841a23097cddc5dd5f75c7c93e304b3c263e370fd3d3f82c9f09379d8ee0f8cec707268ecb325dcb2a9bd894bb8a7153f44ad260e286a3,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00450291ff9f65018e3309c19ba9cf509cbffefe2d793af07d6cd69d24f4032a5c71aae372ccfab7d9d62f6bdcc294506b63fb0b8031584837,주식회사 네패스
네패스,2,등록,반도체 패키지,H10B 80/00|H10W 74/10|H10W 40/22|H10W 42/20,1027511860000,20250102,1020220168091,20221205,1020240083954,20240613,,20250110,"본 발명의 기술적 사상은, 성능 및 신뢰성이 향상되고, 공정이 단순화된 반도체 패키지를 제공한다. 본 발명의 기술적 사상의 반도체 패키지는 제1 반도체 칩, 상기 제1 반도체 칩의 측면을 덮는 제1 밀봉층, 및 상기 제1 반도체 칩의 패드에 연결된 제1 재배선 패턴을 포함하는 제1 패키지; 및 제1 패키지 상에 마련된 제2 패키지로서, 제2 반도체 칩, 상기 제2 반도체 칩을 덮는 제2 밀봉층 및 상기 제2 반도체 칩의 패드에 연결된 제2 재배선 패턴을 포함하는 제2 패키지를 포함하고, 상기 제1 재배선 패턴은 상기 제1 밀봉층을 관통하여 상기 제2 재배선 패턴에 연결된다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf2cfb5fe4032a1745241963d8978becc2d36b4e0dc4243cbf70417df81721702c81c7d1f4e011733a01054d0e99c5a1dc95d697cc3ec7d36b,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93aef205ad81442f7bb865a18d5238f66374630a4149f7b663abb2f0f7d57a9b12dfa9eed01bd4a9d009989e198fdbff9449f219213b46368c,주식회사 네패스
네패스,3,등록,리드 실란트 필름,H01M 50/178|H01M 50/124|H01M 50/121|H01M 50/55|H01M 50/557|B32B 27/08|B32B 37/15|B32B 27/32,1019837100000,20190523,1020170182516,20171228,1020180092821,20180820,,20190604,"본 발명은 리드 실란트 필름에 관한 것으로, 더욱 구체적으로 고분자 조성물이 공압출된 제1층, 제2층 및 제3층으로 구성되는 라미네이트 구조를 포함하는 리드 실란트 필름에 관한 것이다. 본 발명에 따르면, 본 발명에 의한 리드용 실란트 필름은 복수개의 고분자 성분을 블렌딩하여 공압출된 제1층, 제2층 및 제3층으로 구성되는 라미네이트 구조를 포함하여 접착성이 높으면서도 열에 의한 변성에 강한 효과를 나타낸다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf92466591d547ce315ab8556a63a53e1625c9451479832b561acd3ea2b6aafc03c6c7f287d74402ae0d6209c0edbb6e5552ebeddf107c1de2,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e004018126a28b87ca6db5ed03f2fd5f2ef193ced1feaaf1eb27ec9642f7029d62f349b19e125f76d4909e5be6f8a107e11e7422a9947fb721c,주식회사 네패스
네패스,4,취하,"전기전도도가 향상된 전도성 접착제 조성물, 이를 포함하는 전도성 접착제 및 이들의 제조방법",C09J 9/02|C09J 11/04|C09J 163/00|C09J 119/00|C08L 63/00|C08L 19/00|C08K 3/08|C08K 9/02,,,1020190178121,20191230,1020210085260,20210708,,,"본 발명은 전기전도도가 향상된 전도성 접착제 조성물, 이를 포함하는 전도성 접착제 및 그 제조방법에 관한 것으로서, 좀 더 구체적으로는 종래의 전도성 접착제에 비하여 열경화 과정에 의하여 전기전도도가 현저히 향상될 수 있는 전도성 접착제 조성물, 이를 포함하는 전도성 접착제 및 그 제조방법에 관한 것이다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf856ed44ec11d85ddeb9c90f469f5500cf107d8f0d9976b9be2bc620374d6fba0424a49ee730c9a44c8a30790854c444b28de5378e0b79678,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93d814add8dba18ada7191ead4a1424af07030e35818ab213b0a9769748ed29b6caa9d2a3861bf86fbb9b5506057e64d946fa42f572844964d,주식회사 네패스
네패스,5,등록,반도체 패키지,H10W 20/43|H10W 20/49|H10W 70/40|H10W 20/40,1026847070000,20240709,1020210172271,20211203,1020220081919,20220616,,20240715,"본 발명의 기술적 사상은 도전층을 포함하는 패키지 기판; 상기 패키지 기판 상의 반도체 칩; 상기 반도체 칩을 덮도록 상기 패키지 기판 상에 제공되고, 제1 관통홀을 포함하는 밀봉층; 상기 밀봉층의 제1 관통홀 내에 매립된 부분과 상기 밀봉층의 상면으로부터 돌출된 부분을 포함하고, 상기 패키지 기판의 상기 도전층에 전기적으로 연결된 수직 연결 도전체; 상기 밀봉층의 제1 관통홀을 정의하는 상기 밀봉층의 측벽을 따라 연장되고, 상기 수직 연결 도전체와 상기 밀봉층 사이 및 상기 수직 연결 도전체와 상기 패키지 기판의 상기 도전층 사이에 배치된 도전성 연결 패턴; 상기 밀봉층 상에 제공되고, 상기 수직 연결 도전체에 접촉된 커버 절연층; 및 상기 커버 절연층 상에 제공되고, 상기 수직 연결 도전체에 전기적으로 연결된 도전성 배선 구조를 포함하는 재배선 구조체;를 포함하는 반도체 패키지를 제공한다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf7f50d5ddbf848cc7fb0dc846df3b9a3906d9d0be3b2beb36acb13c22f9c147c4986474005283cbea776f00f671d9c0ce9e4e533bce14a3ef,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=348aaf18c46825cf02d6c2de1c78338ebf751acd33015345a6d3e3f1bd648f4bd24ad782c19b2d476a7e17a7e6fcb829d44d2333d90148062e4df2d931ea0001bf23bec6fb66b72f,주식회사 네패스|주식회사 네패스라웨
네패스,6,등록,알칼리 용해성 중합체 및 이를 포함하는 감광성과 절연성을지니는 조성물,C08F 232/00|C08F 32/00|G03F 7/004,1008496190000,20080725,1020060108361,20061103,1020070049564,20070511,,20080731,"본 발명은 하기 화학식 1로 표시되며, 1,000~100,000의 중량평균분자량을 가지는 알칼리 용해성 중합체를 제공한다. [화학식 1] [상기 식에서, R 1 은 탄소수 1~4의 알킬기이고, R 2 는 탄소수 1~4의 알켄기이며, m, n, o, p는 각 단량체의 몰분율로서, 각각 0.01 내지 0.9를 나타낸다.] 본 발명에 의한 중합체의 경우, 알칼리용액으로 현상가능한 네거티브형 감광성 조성물에 사용될 수 있으며, 이 경우 고분자 사슬 내에 광가교결합이 가능한 작용기를 함께 포함하고 있어 광산발생제가 필요 없게 된다. 또한, 본 발명에 의한 중합체는 유전상수가 낮기 때문에 반도체 패키지 등에서 층간절연물질로서도 사용이 가능하다. 반도체, 패키지, 절연물질, 포토레지스트, 노보넨",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e2d625a3dcb0746fe46c22163f668395d4943256a6c714b7e4049f654eef41f400211ac964649f230c,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd035bfb5ff666db4c9cfe49d03e6a3dce01febb6fa4194ac0264de3b0696f041f5863075ada5db4668f,주식회사 네패스
네패스,7,공개,반도체 패키지,H10W 70/62,,,1020240019554,20240208,1020240138463,20240920,,,"반도체 패키지가 개시된다. 본 발명의 일 측면에 따른 반도체 패키지는 반도체 칩; 상기 반도체 칩을 매립하며, 상기 반도체 칩을 보호하는 제1 절연층; 상기 제1 절연층의 일면상에 배치되는 재배선층; 상기 제1 절연층의 일면상에 배치되어 상기 재배선층을 매립하며, 상기 재배선층을 보호하는 제2 절연층;을 포함하며, 상기 제1 절연층과 상기 제2절연층의 모듈러스는 서로 상이한 재질일 수 있다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf4cefca99ddc9543e1a76b5b06009e7cfb29345cec809b710a9d251589cf4c8cacba3fff001187da1a21cfcd25532edb88b23703610cf1130,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93cfee614daddf932494916502aa543095a9def0c47d0168a66bb106b6325ad3e8428018d1a87f68f6f65d5007347d974abba9960f77dc7787,주식회사 네패스
네패스,8,거절,발광 패키지,H10H 20/85|H10H 20/812|H10H 20/822|H10H 20/83|H10H 20/857|H10H 20/851|H10H 20/00,,,1020180139404,20181113,1020190093494,20190809,,,"본 발명의 기술적 사상은 제1 면 및 상기 제1 면에 반대된 제2 면을 가지고, 상기 제1 면으로부터 상기 제2 면을 향하는 방향으로 차례로 적층된 제1 반도체층, 활성층, 및 제2 반도체층을 포함하는 발광 구조물, 상기 발광 구조물의 제1 면 상에 마련된 전극, 상기 발광 구조물의 제1 면 상에 마련된 재배선 구조체로서, 상기 발광 구조물의 상기 제1 면 상의 절연 패턴 및 상기 절연 패턴의 개구부를 통해 상기 전극에 연결된 배선 패턴을 포함하는 상기 재배선 구조체, 및 상기 발광 구조물의 상기 제2 면 상에 마련된 파장 변환층을 포함하는 발광 패키지를 제공한다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf017eb50b4e50fea43dbde16149672a267fe91f058dab22c3638dba40848012aa470f1789e9b292829399c847a87cb4a5146bb91a943e7198,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e0024dbe3d0793b35d1210911637406884088d66c0f37d4e33cbc5fe82f2f92008b920fee2410490cc05cb7217a510744aff256da8fe03dc6c1,주식회사 네패스
네패스,9,공개,반도체 패키지,H10W 70/00|H10W 20/43|H10W 74/10|H10W 76/40|H10B 80/00|H10W 29/00,,,1020240133634,20241002,1020260048382,20260410,,,"실시 예에 따른 반도체 패키지는 연결 패드를 포함하는 브릿지 칩; 상기 브릿지 칩 상에 배치되고, 상기 브릿지 칩의 상기 연결 패드와 연결된 재배선 라인을 포함하는 재배선 구조체; 및 상기 재배선 구조체 상에 수평 방향을 따라 서로 이격되며 배치되고, 상기 재배선 라인과 연결된 단자 패드를 포함하는 제1 반도체 칩 및 제2 반도체 칩;을 포함하고, 상기 연결 패드 및 상기 단자 패드 중 어느 하나의 패드와 상기 재배선 구조체는 동일 평면 상에 위치하고, 상기 연결 패드 및 상기 단자 패드 중 다른 하나의 패드와 상기 재배선 구조체는 서로 다른 평면 상에 위치하며, 상기 다른 하나의 패드와 상기 재배선 구조체 사이에는 제1 도전성 범프가 배치된다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfca75a482526924a7f365ef39ea47826bc67e571ef8202698fa4a67ae6027385ff0d38e7777a1f1426616d395f09869352e5cd7606220f285,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c931eb030fee3770e3302eb992ed6decaf6ba05221a12d85f0b172a66366c42dc2bba56a102844634c030b6d08fc527eefc8c0fadb96a48ad9c,주식회사 네패스
네패스,10,등록,홍채를 이용한 건강 관리 예측 시스템,A61B 5/00|A61B 3/12|G16H 50/70|G06T 7/00|G06F 21/60,1021122680000,20200512,1020180029276,20180313,1020190107932,20190923,,20200519,"홍채를 이용하여 건강 관리 예측을 하며, 개인 정보가 보호될 수 있는 건강 관리 예측 시스템을 제공한다. 본 발명에 따른 홍채를 이용한 건강 관리 예측 시스템은 피검진자의 홍채 이미지에 대한 이미지 처리를 수행하는 이미지 처리부; 복수의 영역을 가지는 홍채 영역 맵이 저장되는 홍채 영역 맵 저장부; 홍채 이미지에 대한 이미지 분석 결과를 홍채 영역 맵의 복수의 영역 각각 별로 분리하여, 분리된 복수의 영역 각각을 정상 영역과 이상 영역으로 판단하는 맵핑부; 맵핑부에서 정상 영역과 이상 영역으로 판단된 정보를 코드화한 홍채 코딩 정보로 생성하는 코딩부; 및 홍채 코딩 정보를 기초로, 피검진자에게 이상 영역에 대응하는 장기 또는 조직에 대한 정보를 제공하는 사용자 건강 관리부;를 포함한다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf7e38f7c49fa5efe84e5a7c766eea4f7d1b8df8456a1ffdc6e76a95b1e825280c8afff6a607d8d2a3c6cd0884e384ae584369a1bf8ee76a18,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00e5fd6dd34b153d160a2878212b2760952763a845433beec9b9e9a31751c29debe6e1d756e1eb910a43c82aa272cfb899187b6b078922c24e,주식회사 네패스
