source,corp_code,company,company_dir,stock_code,year,fs_div,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,amount,frmtrm_amount,currency,ord
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 12 기,59559552194.0,45335988036.0,KRW,1
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 12 기,15286105765.0,14863276212.0,KRW,2
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 12 기,11467148654.0,7059580525.0,KRW,3
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 12 기,11467148654.0,7059580525.0,KRW,4
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,단기기타채권,-,제 12 기,648443238.0,1639228411.0,KRW,5
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 12 기,1945479007.0,1043784679.0,KRW,6
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기기타금융자산,-,제 12 기,12123092923.0,10308297594.0,KRW,7
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 12 기,23814324.0,0.0,KRW,8
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 12 기,18065468283.0,10421820615.0,KRW,9
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 12 기,16420026802.0,8923294606.0,KRW,10
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,-표준계정코드 미사용-,장기기타채권,-,제 12 기,1364436259.0,918006735.0,KRW,11
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 12 기,8510558762.0,6968975604.0,KRW,12
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 12 기,6567976.0,12020406.0,KRW,13
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 12 기,5800107702.0,0.0,KRW,14
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 12 기,163804919.0,166263440.0,KRW,15
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,-표준계정코드 미사용-,순확정급여자산,-,제 12 기,167178801.0,157710885.0,KRW,16
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 12 기,407372383.0,700317536.0,KRW,17
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 12 기,75979578996.0,54259282642.0,KRW,18
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 12 기,9528614723.0,7637756338.0,KRW,20
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,-,제 12 기,1928052484.0,3319901262.0,KRW,21
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,dart_ShortTermTradePayables,단기매입채무,-,제 12 기,1208493483.0,2558997443.0,KRW,22
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_CurrentContractLiabilities,유동계약부채,-,제 12 기,345948410.0,375099647.0,KRW,23
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_ShorttermBorrowings,단기차입금,-,제 12 기,0.0,117147176.0,KRW,24
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_CurrentLeaseLiabilities,유동리스부채,-,제 12 기,373610591.0,268656996.0,KRW,25
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_OtherCurrentFinancialLiabilities,기타단기채무,-,제 12 기,2260319737.0,1216984448.0,KRW,26
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,-표준계정코드 미사용-,파생상품부채,-,제 12 기,0.0,1018034247.0,KRW,27
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_CurrentProvisions,유동충당부채,-,제 12 기,188089032.0,250453500.0,KRW,28
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 12 기,961971097.0,560874367.0,KRW,29
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 12 기,4190182373.0,1271508514.0,KRW,30
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 12 기,823388544.0,733850518.0,KRW,31
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무 및 기타비유동채무,-,제 12 기,522824618.0,522520085.0,KRW,32
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,dart_LongTermOtherPayablesGross,기타장기채무,-,제 12 기,58459561.0,0.0,KRW,33
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_NoncurrentLeaseLiabilities,비유동리스부채,-,제 12 기,464365057.0,522520085.0,KRW,34
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,dart_PostemploymentBenefitObligations,퇴직급여부채,-,제 12 기,0.0,0.0,KRW,35
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_NoncurrentProvisions,비유동충당부채,-,제 12 기,20038161.0,10454456.0,KRW,36
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,dart_OtherNonCurrentLiabilities,기타비유동부채,-,제 12 기,280525765.0,200875977.0,KRW,37
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_Liabilities,부채총계,-,제 12 기,10352003267.0,8371606856.0,KRW,38
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 12 기,65627575729.0,45887675786.0,KRW,40
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 12 기,4841190000.0,1579900000.0,KRW,41
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,dart_CapitalSurplus,자본잉여금,-,제 12 기,31663240680.0,43137960721.0,KRW,42
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,-,제 12 기,610647211.0,299057763.0,KRW,43
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,-,제 12 기,-121214898.0,-101963061.0,KRW,44
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_RetainedEarnings,이익잉여금(결손금),-,제 12 기,28633712736.0,972720363.0,KRW,45
OpenDART_fnlttSinglAcntAll,01080252,넥스틴,nextin,348210,2021,CFS,BS,재무상태표,ifrs-full_Equity,자본총계,-,제 12 기,65627575729.0,45887675786.0,KRW,46
