source,corp_code,company,company_dir,stock_code,year,share_class,shares_outstanding,raw
OpenDART_stockTotqySttus,01080252,넥스틴,nextin,348210,2021,보통주,9682380.0,"{""rcept_no"": ""20220321001176"", ""corp_cls"": ""K"", ""corp_code"": ""01080252"", ""corp_name"": ""넥스틴"", ""se"": ""보통주"", ""isu_stock_totqy"": ""50,000,000"", ""now_to_isu_stock_totqy"": ""9,682,380"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""9,682,380"", ""tesstk_co"": ""-"", ""distb_stock_co"": ""9,682,380"", ""stlm_dt"": ""2021-12-31""}"
OpenDART_stockTotqySttus,01080252,넥스틴,nextin,348210,2021,우선주,504982.0,"{""rcept_no"": ""20220321001176"", ""corp_cls"": ""K"", ""corp_code"": ""01080252"", ""corp_name"": ""넥스틴"", ""se"": ""우선주"", ""isu_stock_totqy"": ""-"", ""now_to_isu_stock_totqy"": ""504,982"", ""now_to_dcrs_stock_totqy"": ""504,982"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""504,982"", ""istc_totqy"": ""-"", ""tesstk_co"": ""-"", ""distb_stock_co"": ""-"", ""stlm_dt"": ""2021-12-31""}"
OpenDART_stockTotqySttus,01080252,넥스틴,nextin,348210,2021,합계,9682380.0,"{""rcept_no"": ""20220321001176"", ""corp_cls"": ""K"", ""corp_code"": ""01080252"", ""corp_name"": ""넥스틴"", ""se"": ""합계"", ""isu_stock_totqy"": ""50,000,000"", ""now_to_isu_stock_totqy"": ""10,187,362"", ""now_to_dcrs_stock_totqy"": ""504,982"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""504,982"", ""istc_totqy"": ""9,682,380"", ""tesstk_co"": ""-"", ""distb_stock_co"": ""9,682,380"", ""stlm_dt"": ""2021-12-31""}"
OpenDART_stockTotqySttus,01080252,넥스틴,nextin,348210,2021,비고,,"{""rcept_no"": ""20220321001176"", ""corp_cls"": ""K"", ""corp_code"": ""01080252"", ""corp_name"": ""넥스틴"", ""se"": ""비고"", ""isu_stock_totqy"": ""종류주식의 한도는 3,000,000주"", ""now_to_isu_stock_totqy"": ""-"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""보통주 전환"", ""istc_totqy"": ""-"", ""tesstk_co"": ""-"", ""distb_stock_co"": ""-"", ""stlm_dt"": ""2021-12-31""}"
OpenDART_stockTotqySttus,01080252,넥스틴,nextin,348210,2022,보통주,9956674.0,"{""rcept_no"": ""20230317000481"", ""corp_cls"": ""K"", ""corp_code"": ""01080252"", ""corp_name"": ""넥스틴"", ""se"": ""보통주"", ""isu_stock_totqy"": ""50,000,000"", ""now_to_isu_stock_totqy"": ""9,956,674"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""9,956,674"", ""tesstk_co"": ""92,081"", ""distb_stock_co"": ""9,864,593"", ""stlm_dt"": ""2022-12-31""}"
OpenDART_stockTotqySttus,01080252,넥스틴,nextin,348210,2022,우선주,504982.0,"{""rcept_no"": ""20230317000481"", ""corp_cls"": ""K"", ""corp_code"": ""01080252"", ""corp_name"": ""넥스틴"", ""se"": ""우선주"", ""isu_stock_totqy"": ""-"", ""now_to_isu_stock_totqy"": ""504,982"", ""now_to_dcrs_stock_totqy"": ""504,982"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""504,982"", ""istc_totqy"": ""-"", ""tesstk_co"": ""-"", ""distb_stock_co"": ""-"", ""stlm_dt"": ""2022-12-31""}"
OpenDART_stockTotqySttus,01080252,넥스틴,nextin,348210,2022,합계,9956674.0,"{""rcept_no"": ""20230317000481"", ""corp_cls"": ""K"", ""corp_code"": ""01080252"", ""corp_name"": ""넥스틴"", ""se"": ""합계"", ""isu_stock_totqy"": ""50,000,000"", ""now_to_isu_stock_totqy"": ""10,461,656"", ""now_to_dcrs_stock_totqy"": ""504,982"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""504,982"", ""istc_totqy"": ""9,956,674"", ""tesstk_co"": ""92,081"", ""distb_stock_co"": ""9,864,593"", ""stlm_dt"": ""2022-12-31""}"
OpenDART_stockTotqySttus,01080252,넥스틴,nextin,348210,2022,비고,,"{""rcept_no"": ""20230317000481"", ""corp_cls"": ""K"", ""corp_code"": ""01080252"", ""corp_name"": ""넥스틴"", ""se"": ""비고"", ""isu_stock_totqy"": ""종류주식의 한도는 3,000,000주"", ""now_to_isu_stock_totqy"": ""-"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""보통주 전환"", ""istc_totqy"": ""-"", ""tesstk_co"": ""-"", ""distb_stock_co"": ""-"", ""stlm_dt"": ""2022-12-31""}"
OpenDART_stockTotqySttus,01080252,넥스틴,nextin,348210,2023,보통주,10278332.0,"{""rcept_no"": ""20240320001253"", ""corp_cls"": ""K"", ""corp_code"": ""01080252"", ""corp_name"": ""넥스틴"", ""se"": ""보통주"", ""isu_stock_totqy"": ""50,000,000"", ""now_to_isu_stock_totqy"": ""10,278,332"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""10,278,332"", ""tesstk_co"": ""92,081"", ""distb_stock_co"": ""10,186,251"", ""stlm_dt"": ""2023-12-31""}"
OpenDART_stockTotqySttus,01080252,넥스틴,nextin,348210,2023,우선주,504982.0,"{""rcept_no"": ""20240320001253"", ""corp_cls"": ""K"", ""corp_code"": ""01080252"", ""corp_name"": ""넥스틴"", ""se"": ""우선주"", ""isu_stock_totqy"": ""-"", ""now_to_isu_stock_totqy"": ""504,982"", ""now_to_dcrs_stock_totqy"": ""504,982"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""504,982"", ""istc_totqy"": ""-"", ""tesstk_co"": ""-"", ""distb_stock_co"": ""-"", ""stlm_dt"": ""2023-12-31""}"
OpenDART_stockTotqySttus,01080252,넥스틴,nextin,348210,2023,합계,10278332.0,"{""rcept_no"": ""20240320001253"", ""corp_cls"": ""K"", ""corp_code"": ""01080252"", ""corp_name"": ""넥스틴"", ""se"": ""합계"", ""isu_stock_totqy"": ""50,000,000"", ""now_to_isu_stock_totqy"": ""10,783,314"", ""now_to_dcrs_stock_totqy"": ""504,982"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""504,982"", ""istc_totqy"": ""10,278,332"", ""tesstk_co"": ""92,081"", ""distb_stock_co"": ""10,186,251"", ""stlm_dt"": ""2023-12-31""}"
OpenDART_stockTotqySttus,01080252,넥스틴,nextin,348210,2023,비고,,"{""rcept_no"": ""20240320001253"", ""corp_cls"": ""K"", ""corp_code"": ""01080252"", ""corp_name"": ""넥스틴"", ""se"": ""비고"", ""isu_stock_totqy"": ""종류주식의 한도는 \n3,000,000주"", ""now_to_isu_stock_totqy"": ""-"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""보통주 전환"", ""istc_totqy"": ""-"", ""tesstk_co"": ""-"", ""distb_stock_co"": ""-"", ""stlm_dt"": ""2023-12-31""}"
OpenDART_stockTotqySttus,01080252,넥스틴,nextin,348210,2024,보통주,10457250.0,"{""rcept_no"": ""20250814003642"", ""corp_cls"": ""K"", ""corp_code"": ""01080252"", ""corp_name"": ""넥스틴"", ""se"": ""보통주"", ""isu_stock_totqy"": ""50,000,000"", ""now_to_isu_stock_totqy"": ""10,457,250"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""10,457,250"", ""tesstk_co"": ""179,613"", ""distb_stock_co"": ""10,277,637"", ""stlm_dt"": ""2024-12-31""}"
OpenDART_stockTotqySttus,01080252,넥스틴,nextin,348210,2024,우선주,504982.0,"{""rcept_no"": ""20250814003642"", ""corp_cls"": ""K"", ""corp_code"": ""01080252"", ""corp_name"": ""넥스틴"", ""se"": ""우선주"", ""isu_stock_totqy"": ""-"", ""now_to_isu_stock_totqy"": ""504,982"", ""now_to_dcrs_stock_totqy"": ""504,982"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""504,982"", ""istc_totqy"": ""-"", ""tesstk_co"": ""-"", ""distb_stock_co"": ""-"", ""stlm_dt"": ""2024-12-31""}"
OpenDART_stockTotqySttus,01080252,넥스틴,nextin,348210,2024,합계,10457250.0,"{""rcept_no"": ""20250814003642"", ""corp_cls"": ""K"", ""corp_code"": ""01080252"", ""corp_name"": ""넥스틴"", ""se"": ""합계"", ""isu_stock_totqy"": ""50,000,000"", ""now_to_isu_stock_totqy"": ""10,962,232"", ""now_to_dcrs_stock_totqy"": ""504,982"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""504,982"", ""istc_totqy"": ""10,457,250"", ""tesstk_co"": ""179,613"", ""distb_stock_co"": ""10,277,637"", ""stlm_dt"": ""2024-12-31""}"
OpenDART_stockTotqySttus,01080252,넥스틴,nextin,348210,2024,비고,,"{""rcept_no"": ""20250814003642"", ""corp_cls"": ""K"", ""corp_code"": ""01080252"", ""corp_name"": ""넥스틴"", ""se"": ""비고"", ""isu_stock_totqy"": ""종류주식의 한도는\n3,000,000주"", ""now_to_isu_stock_totqy"": ""-"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""보통주 전환"", ""istc_totqy"": ""-"", ""tesstk_co"": ""-"", ""distb_stock_co"": ""-"", ""stlm_dt"": ""2024-12-31""}"
OpenDART_stockTotqySttus,01080252,넥스틴,nextin,348210,2025,보통주,10477005.0,"{""rcept_no"": ""20260323000883"", ""corp_cls"": ""K"", ""corp_code"": ""01080252"", ""corp_name"": ""넥스틴"", ""se"": ""보통주"", ""isu_stock_totqy"": ""50,000,000"", ""now_to_isu_stock_totqy"": ""10,477,005"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""10,477,005"", ""tesstk_co"": ""280,577"", ""distb_stock_co"": ""10,196,428"", ""stlm_dt"": ""2025-12-31""}"
OpenDART_stockTotqySttus,01080252,넥스틴,nextin,348210,2025,우선주,504982.0,"{""rcept_no"": ""20260323000883"", ""corp_cls"": ""K"", ""corp_code"": ""01080252"", ""corp_name"": ""넥스틴"", ""se"": ""우선주"", ""isu_stock_totqy"": ""-"", ""now_to_isu_stock_totqy"": ""504,982"", ""now_to_dcrs_stock_totqy"": ""504,982"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""504,982"", ""istc_totqy"": ""-"", ""tesstk_co"": ""-"", ""distb_stock_co"": ""-"", ""stlm_dt"": ""2025-12-31""}"
OpenDART_stockTotqySttus,01080252,넥스틴,nextin,348210,2025,합계,10477005.0,"{""rcept_no"": ""20260323000883"", ""corp_cls"": ""K"", ""corp_code"": ""01080252"", ""corp_name"": ""넥스틴"", ""se"": ""합계"", ""isu_stock_totqy"": ""50,000,000"", ""now_to_isu_stock_totqy"": ""10,981,987"", ""now_to_dcrs_stock_totqy"": ""504,982"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""504,982"", ""istc_totqy"": ""10,477,005"", ""tesstk_co"": ""280,577"", ""distb_stock_co"": ""10,196,428"", ""stlm_dt"": ""2025-12-31""}"
OpenDART_stockTotqySttus,01080252,넥스틴,nextin,348210,2025,비고,,"{""rcept_no"": ""20260323000883"", ""corp_cls"": ""K"", ""corp_code"": ""01080252"", ""corp_name"": ""넥스틴"", ""se"": ""비고"", ""isu_stock_totqy"": ""종류주식의 한도는\n3,000,000주"", ""now_to_isu_stock_totqy"": ""-"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""보통주 전환"", ""istc_totqy"": ""-"", ""tesstk_co"": ""-"", ""distb_stock_co"": ""-"", ""stlm_dt"": ""2025-12-31""}"
