source_application_number,source_invention_title,source_ipc_number,source_application_date,source_register_status,source_final_disposal,source_right_holder,citation_record_index,citation_direction,cited_application_number,citing_application_number,citing_invention_title,citing_applicant_name,citation_date,citation_category,is_self_citation_estimated,parse_type,http_status_code,request_ok,request_url
1020220113708,기판 처리 방법,H10P 72/00|H01J 37/32|G06T 7/00,2022-09-07,등록,등록,피에스케이 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020220113708,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020220113708&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020250077259,웨이퍼 절단 방법,H10P 54/00|H10P 50/20|H10P 50/00|B23K 26/364,2025-06-12,등록,등록,피에스케이홀딩스 (주),1,BACKWARD_CITATION_ESTIMATED,1020250077259,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020250077259&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210042683,플라즈마 발생 유닛 및 기판 처리 장치,H01J 37/32|H05H 1/46,2021-04-01,등록,등록,피에스케이 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020210042683,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210042683&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210190689,플라즈마 발생 유닛 및 이를 포함하는 기판 처리 장치,H01J 37/32,2021-12-29,등록,등록,피에스케이 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020210190689,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210190689&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020150136296,양방향 게이트밸브,F16K 3/02|F16K 3/314|F16K 3/316|F16K 27/04|F16K 51/02,2015-09-25,등록,등록,프리시스 주식회사|피에스케이홀딩스 (주),1,BACKWARD_CITATION_ESTIMATED,1020150136296,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020150136296&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020190050686,공압 밸브 장치 및 공압 밸브 모니터링 방법,F16K 37/00,2019-04-30,등록,등록,피에스케이 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020190050686,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020190050686&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020220133515,기판 처리 장치 및 기판 처리 방법,H10P 50/28|H10P 76/40|H10P 72/00,2022-10-17,공개,공개,피에스케이 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020220133515,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020220133515&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020220140564,기판 처리 방법,H10P 50/28|H01J 37/32,2022-10-27,공개,공개,피에스케이 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020220140564,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020220140564&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020220152622,기판 처리 장치,H10P 72/76|H10P 72/00|H10P 72/70|H01J 37/32,2022-11-15,공개,공개,피에스케이 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020220152622,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020220152622&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230009677,기판 처리 장치 및 로드락 챔버에서의 기판 검사 방법,H10P 72/00|H10P 72/50|H10P 74/00|H10P 72/76,2023-01-25,공개,공개,피에스케이 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020230009677,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230009677&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230030088,기판 처리 장치 및 배플,H10P 72/00|H01J 37/32,2023-03-07,공개,공개,피에스케이 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020230030088,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230030088&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230033266,기판 처리 장치 및 기판 처리 장치의 제어 방법,H10P 72/00|H10P 72/76|H01J 37/32|G01B 11/14,2023-03-14,공개,공개,피에스케이 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020230033266,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230033266&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230086877,기판 처리 장치 및 척,H10P 72/76|H10P 72/00|H01J 37/32,2023-07-05,공개,공개,피에스케이 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020230086877,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230086877&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240143632,기판처리장치 및 그 동작방법,H10P 72/00|H01S 3/00|H01S 5/183,2024-10-21,공개,공개,피에스케이홀딩스 (주),1,BACKWARD_CITATION_ESTIMATED,1020240143632,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240143632&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240153155,레이저 빔 편향 시스템을 이용한 기판 절단 방법,H10P 52/00|H10P 54/00|B23K 26/082|B23K 26/402|B23K 26/06|B23K 101/40,2024-11-01,공개,공개,피에스케이홀딩스 (주),1,BACKWARD_CITATION_ESTIMATED,1020240153155,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240153155&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230049239,기판 처리 장치,H01J 37/32,2023-04-14,공개,공개,피에스케이 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020230049239,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230049239&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230050730,기판 처리 장치,H01J 37/32,2023-04-18,공개,공개,피에스케이 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020230050730,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230050730&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230060663,기판 처리 장치용 유지보수 기구,H01J 37/32,2023-05-10,공개,공개,피에스케이 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020230060663,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230060663&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230099910,기판 처리 장치 및 플라즈마 발생 유닛,H01J 37/32|H05H 1/46,2023-07-31,공개,공개,피에스케이 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020230099910,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230099910&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230100139,기판 처리 장치 및 플라즈마 발생 유닛,H01J 37/32,2023-08-01,공개,공개,피에스케이 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020230100139,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230100139&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240019040,기판 처리 장치,H01J 37/32,2024-02-07,공개,공개,피에스케이 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020240019040,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240019040&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240019041,기판 처리 장치,H01J 37/32,2024-02-07,공개,공개,피에스케이 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020240019041,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240019041&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240019573,기판 처리 장치,H01J 37/32,2024-02-08,공개,공개,피에스케이 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020240019573,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240019573&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240142225,정전척 탈부착용 지그 및 이를 이용한 분리 방법,B25B 27/14|B25B 11/02,2024-10-17,공개,공개,피에스케이 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020240142225,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240142225&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020160103619,동작 여부를 확인할 수 있는 솔레노이드 밸브,F16K 31/06|F16K 11/07|F16K 37/00,2016-08-16,포기,포기,피에스케이홀딩스 (주),1,BACKWARD_CITATION_ESTIMATED,1020160103619,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020160103619&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
