application_number,application_no,open_number,publication_no,register_number,registration_no,register_status,final_disposal,legal_status,invention_title,title,right_holder,applicant,inventor,application_date,application_year,open_date,publication_date,register_date,registration_date,ipc_number,ipc,cpc_number,cpc,abstract,claim_text,claims,url,drawing,is_registered,is_alive_estimated,has_negative_disposal_estimated,tech_keyword_match_count,source_file,source_sheet,source_row,ipc_subclass_refined,ipc_main_refined,has_h01l_refined,has_semiconductor_related_ipc_refined,tech_keyword_match_count_refined,is_registered_bool,is_alive_estimated_bool,application_year_num
1020230033266,1020230033266,1020240139355.0,1020240139355.0,,,공개,공개,공개 공개,기판 처리 장치 및 기판 처리 장치의 제어 방법,기판 처리 장치 및 기판 처리 장치의 제어 방법,피에스케이 주식회사,피에스케이 주식회사,,20230314,2023,20240923,20240923,,,H10P 72/00|H10P 72/76|H01J 37/32|G01B 11/14,H10P 72/00|H10P 72/76|H01J 37/32|G01B 11/14,,,"본 발명은 기판 처리 장치의 제어 방법을 제공한다. 제어 방법은, 하부 전극을 미리 설정된 높이로 이동시키는 척 이동 단계; 상기 기판의 상면과 상기 하부 전극의 상방에 위치하는 유전체 판 사이의 간격을 측정하는 간격 측정 단계; 상기 간격 측정 단계에서 측정된 상기 간격과 미리 기억된 공정 레시피와 비교하여 상기 간격을 보정하는 보정 동작이 필요한지 여부를 판단하는 보정 여부 판단 단계; 및 상기 보정 동작이 필요하다고 판단된 경우 상기 간격이 상기 공정 레시피와 부합하도록 상기 하부 전극을 이동시키는 보정 단계를 포함할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93d5894752ad9aa64df1908528a445c633017b4f467873425e2fe8769edfa73ea6cba32f5f0bcf48a654fea88e85c174beda55b7b72c1c2f3b,False,False,False,1,C:\Agent_6.9\data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,,2,H10P,H10P 72,False,False,1,False,False,2023.0
1020230060663,1020230060663,1020240163429.0,1020240163429.0,,,공개,공개,공개 공개,기판 처리 장치용 유지보수 기구,기판 처리 장치용 유지보수 기구,피에스케이 주식회사,피에스케이 주식회사,,20230510,2023,20241119,20241119,,,H01J 37/32,H01J 37/32,,,"기판 처리 장치의 유지보수 작업시, 작업자가 큰 중량을 가지는 소스 등의 일부 구성물을 용이하게 장착 및/또는 탈거할 수 있도록 보조하는 기구를 제공한다. 제공되는 기구는, 기판 처리 장치의 유지보수에 사용되는 기구로서, 메인 프레임; 상기 메인 프레임에 제공되고, 상기 메인 프레임의 높이 방향으로 이동 가능한 리프터; 및 상기 리프터에 제공되고, 상기 리프트의 전후 방향으로 이동 가능한 소스-트레이;를 포함한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93e93e5c5673eaec41c1a079ea13416db2e8a3001d1d116ec14941aa74f39c521520f1914ed50b1a41488431018e7420b49612111806ec060b,False,False,False,1,C:\Agent_6.9\data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,,3,H01J,H01J 37,False,False,1,False,False,2023.0
1020220140564,1020220140564,1020240059375.0,1020240059375.0,,,공개,공개,공개 공개,기판 처리 방법,기판 처리 방법,피에스케이 주식회사,피에스케이 주식회사,,20221027,2022,20240507,20240507,,,H10P 50/28|H01J 37/32,H10P 50/28|H01J 37/32,,,"본 발명은 기판을 처리하는 방법을 제공한다. 일 실시예에 의한 기판 처리 방법은 챔버 내에 공정 가스를 공급하여 기판을 처리하되, 상기 공정 가스 중 일부는 플라즈마 상태로 여기되고, 상기 플라즈마는 기판 상에 형성된 하드 마스크 막을 기판으로부터 제거하고, 상기 공정 가스 중 다른 일부는 기판 상에 형성된 박막과 반응하여 상기 박막의 표면에 패시베이션 막(Passivation film)을 형성하되, 상기 공정 가스는 CHF 계열의 가스일 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c931199face00b2ed4759dcbf3c903a5ab36ec97fd31a4e4c401639dcfb1702ded70b4eb86c977e633f2a54d98923cb032258c3d0402a773a9d,False,False,False,1,C:\Agent_6.9\data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,,4,H10P,H10P 50,False,False,1,False,False,2022.0
1020230099910,1020230099910,1020250018803.0,1020250018803.0,,,공개,공개,공개 공개,기판 처리 장치 및 플라즈마 발생 유닛,기판 처리 장치 및 플라즈마 발생 유닛,피에스케이 주식회사,피에스케이 주식회사,,20230731,2023,20250207,20250207,,,H01J 37/32|H05H 1/46,H01J 37/32|H05H 1/46,,,"기판을 처리하는 장치에 있어서, 처리 공간을 가지는 하우징; 상기 처리 공간 내부에 배치되며, 기판을 지지하는 지지 유닛; 상기 처리 공간 내에 공정 가스를 공급하는 가스 공급 유닛; 및 상기 처리 공간 내에 유도 자기장을 형성하여 상기 공정 가스를 플라즈마 상태로 여기시키는 플라즈마 발생 유닛; 을 포함하며, 상기 플라즈마 발생 유닛은 서로 간에 직렬로 배치된 복수의 분절체를 가지고, 인접하는 상기 분절체들 사이에 분절 공간이 형성된 안테나; 및 상기 분절 공간에 삽입되는 유전체; 를 포함하는 기판 처리 장치가 제공된다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9362e815cb512ea72b959f625e970fd32597c34962abe5fa5aa872e7c1cbc886c77ae0d30fbce8b9345770f5453ecf8574f71aceb574088c19,False,False,False,1,C:\Agent_6.9\data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,,5,H01J,H01J 37,False,False,1,False,False,2023.0
1020230100139,1020230100139,1020250019240.0,1020250019240.0,,,공개,공개,공개 공개,기판 처리 장치 및 플라즈마 발생 유닛,기판 처리 장치 및 플라즈마 발생 유닛,피에스케이 주식회사,피에스케이 주식회사,,20230801,2023,20250210,20250210,,,H01J 37/32,H01J 37/32,,,"기판을 처리하는 장치에 있어서, 처리 공간을 가지는 하우징; 상기 처리 공간 내부에 배치되며, 기판을 지지하는 지지 유닛; 상기 처리 공간 내에 공정 가스를 공급하는 가스 공급 유닛; 및 상기 처리 공간 내에 유도 자기장을 형성하여 상기 공정 가스를 플라즈마 상태로 여기시키는 플라즈마 발생 유닛; 을 포함하며, 상기 플라즈마 발생 유닛은 서로 간에 직렬로 배치된 복수의 분절체를 가지고, 인접하는 상기 분절체들 사이에 분절 공간이 형성된 안테나; 및 상기 분절 공간에 삽입되며 그 위치가 조절가능하게 제공되는 조절체; 를 포함하는 기판 처리 장치가 제공된다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93ddcc54292b2bc31949ce0e54de8416e006479a04398880a66d2e25aa1fd67ac65831c9a3ed0d720550bb6c7df6b629099ad972afd1a060a9,False,False,False,1,C:\Agent_6.9\data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,,6,H01J,H01J 37,False,False,1,False,False,2023.0
1020220113708,1020220113708,1020240034549.0,1020240034549.0,1029655950000.0,1029655950000.0,등록,등록,등록 등록,기판 처리 방법,기판 처리 방법,피에스케이 주식회사,피에스케이 주식회사,,20220907,2022,20240314,20240314,20260512.0,20260512.0,H10P 72/00|H01J 37/32|G06T 7/00,H10P 72/00|H01J 37/32|G06T 7/00,,,"본 발명은 기판을 처리하는 방법을 제공한다. 일 실시예에 의한 기판 처리 방법은, 플라즈마를 이용하여 기판의 가장자리 영역을 처리하는 처리 단계; 및 상기 처리 단계에서 처리가 완료된 기판을 촬상하여 판정 대상 이미지를 획득하고, 상기 판정 대상 이미지와 데이터 베이스에 저장된 이미지를 비교하여, 상기 처리 단계에서 처리된 기판의 처리 불량 여부를 판정하는 판정 단계를 포함하되, 상기 데이터 베이스에 저장된 이미지는, 상기 판정 단계에서 불량으로 판정되어 상기 데이터 베이스에 기 저장된 기판의 불량 이미지일 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c937307e90534ec1c8413b8cb1c3d490cf6f13abdaaa53ae0691b6a5a7c64d915890297447d386b0d547ec8912dc063abdda4b9d73286b1b53a,True,True,False,1,C:\Agent_6.9\data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,,7,H10P,H10P 72,False,False,1,True,True,2022.0
1020230049239,1020230049239,1020240153054.0,1020240153054.0,,,공개,공개,공개 공개,기판 처리 장치,기판 처리 장치,피에스케이 주식회사,피에스케이 주식회사,,20230414,2023,20241022,20241022,,,H01J 37/32,H01J 37/32,,,"듀얼 공정 챔버 구조를 가지는 기판 처리 장치에 있어서, 초기 가동 성능이 개선된 기판 처리 장치를 제공하는 것을 목적으로 한다. 제공되는 기판 처리 장치는, 제1 플라즈마 소스; 제2 플라즈마 소스; 상기 제1 플라즈마 소스로부터 플라즈마를 제공받아 기판을 처리하는 제1 공정 챔버; 상기 제2 플라즈마 소스로부터 플라즈마를 제공받아 기판을 처리하는 제2 공정 챔버; 가스공급원과 연결되는 메인 라인과, 상기 메인 라인에서 분기되어 상기 제1 플라즈마 소스와 연결되는 제1 분기 라인과, 상기 메인 라인에서 분기되어 상기 제2 플라즈마 소스와 연결되는 제2 분기 라인을 가지는 가스공급관; 상기 제1 분기 라인에 제공되는 제1 오리피스 유닛; 및 상기 제2 분기 라인에 제공되는 제2 오리피스 유닛;을 포함한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c936073187627fa9005a9b787b3664aec4709637aa3e85344b18bb706fca57af97dfbfcca155e9700a333d86c5d93d0adef866aa59d2a5c7034,False,False,False,1,C:\Agent_6.9\data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,,8,H01J,H01J 37,False,False,1,False,False,2023.0
1020220152622,1020220152622,1020240071009.0,1020240071009.0,,,공개,공개,공개 공개,기판 처리 장치,기판 처리 장치,피에스케이 주식회사,피에스케이 주식회사,,20221115,2022,20240522,20240522,,,H10P 72/76|H10P 72/00|H10P 72/70|H01J 37/32,H10P 72/76|H10P 72/00|H10P 72/70|H01J 37/32,,,"기판의 후면에 잔류하는 하드마스크 잔류물과 같은 프로세스 잔류물을 효율적으로 제거하는 기판 처리 장치를 제공한다. 제공되는 기판을 처리하는 장치에 있어서, 처리 공간을 가지는 하우징; 상기 처리 공간에서 기판을 지지하는 지지 유닛; 상기 처리 공간으로 공정 가스를 공급하는 가스 공급 유닛; 상기 공정 가스로부터 플라즈마를 발생시키는 플라즈마 발생부;를 포함하되, 상기 지지 유닛은, 기판의 하면을 지지하는 지지플레이트;를 포함하고, 상기 지지플레이트는 기판의 하면 가장자리가 상기 처리 공간의 대기에 노출되도록 기판을 지지하도록 이루어진다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93a22c639832dc47dcab21ea31cbffe36f09b0e969a6de1aa7f467a20773f802eb1325a37144daea999da5fe037b452f5a3e02c9ba935f470a,False,False,False,1,C:\Agent_6.9\data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,,9,H10P,H10P 72,False,False,1,False,False,2022.0
1020250077259,1020250077259,,,1029623820000.0,1029623820000.0,등록,등록,등록 등록,웨이퍼 절단 방법,웨이퍼 절단 방법,피에스케이홀딩스 (주),피에스케이홀딩스 (주),,20250612,2025,20260508,20260508,20260504.0,20260504.0,H10P 54/00|H10P 50/20|H10P 50/00|B23K 26/364,H10P 54/00|H10P 50/20|H10P 50/00|B23K 26/364,,,"본 개시는 기판의 표면에 적층된 다층 구조물에 의해 복수의 디바이스가 형성된 웨이퍼를, 상기 복수의 디바이스를 구획하는 복수의 스크라이브 라인을 따라 절단하는 웨이퍼 절단 방법으로서, 상기 웨이퍼 상에 보호막을 형성하는 단계; 상기 보호막이 형성된 상기 웨이퍼 상으로 제1 레이저 광을 조사하는 레이저 그루빙 공정을 수행하여 상기 기판의 일부 표면을 노출시키는 제1 그루브를 형성하는 단계; 상기 제1 그루브를 통해 노출된 상기 기판의 일부 표면 상으로 제2 레이저 광을 조사하는 레이저 어블레이션 공정을 수행하여 제2 그루브를 형성하는 단계; 상기 보호막을 마스크로 하여 상기 제2 그루브를 따라 플라즈마 식각을 행하는 단계; 및 상기 보호막을 제거하는 단계를 포함하는 웨이퍼 절단 방법을 제공한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9368411ab1e9d5975d8eb3b414861edb936cc5e2c0e02a9f68683793be852bb5ccaf122b1c644dec07491431178cdd425d1264407d15635104,True,True,False,2,C:\Agent_6.9\data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,,10,H10P,H10P 54,False,False,2,True,True,2025.0
1020240153155,1020240153155,1020260065140.0,1020260065140.0,,,공개,공개,공개 공개,레이저 빔 편향 시스템을 이용한 기판 절단 방법,레이저 빔 편향 시스템을 이용한 기판 절단 방법,피에스케이홀딩스 (주),피에스케이홀딩스 (주),,20241101,2024,20260508,20260508,,,H10P 52/00|H10P 54/00|B23K 26/082|B23K 26/402|B23K 26/06|B23K 101/40,H10P 52/00|H10P 54/00|B23K 26/082|B23K 26/402|B23K 26/06|B23K 101/40,,,"본 발명의 실시예에 따른 기판 절단 방법은, 기판 및 배선층을 포함하는 기판 상에 보호막을 형성하는 단계, 레이저 그루빙 공정을 수행하여 상기 배선층의 적어도 일부를 제거하여 상기 기판을 노출시키는 단계, 다이싱 공정을 수행하여 노출된 상기 기판을 절단하는 단계, 및 상기 보호막을 제거하는 단계를 포함하고, 상기 레이저 그루빙 공정은 레이저 빔 편향 시스템에 의해 수행된다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9368411ab1e9d5975d919e2d886549a80679cf7f96fa9398cf080cba12834ffcfcd625014e35f5f68a88571f98ec2f0ea412bf76fe543c3a49,False,False,False,1,C:\Agent_6.9\data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,,11,H10P,H10P 52,False,False,1,False,False,2024.0
