application_number,application_no,open_number,publication_no,register_number,registration_no,register_status,final_disposal,legal_status,invention_title,title,right_holder,applicant,inventor,application_date,application_year,open_date,publication_date,register_date,registration_date,ipc_number,ipc,cpc_number,cpc,abstract,claim_text,claims,url,drawing,is_registered,is_alive_estimated,has_negative_disposal_estimated,tech_keyword_match_count,source_file,source_sheet,source_row
1020140116676,1020140116676,1020160028116,1020160028116,1016131150000,1016131150000,등록,등록,등록 등록,적층형 반도체 패키지 제조방법,적층형 반도체 패키지 제조방법,주식회사 에스에프에이반도체,주식회사 에스에프에이반도체,,20140903,2014,20160311,20160311,20160411,20160411,H10W 70/40|H10W 74/00,H10W 70/40|H10W 74/00,,,"본 발명은 적층형 반도체 패키지 제조방법에 관한 것으로, 더욱 상세하게는 감광성 필름을 이용하여 에칭홀을 형성하고, 건식 또는 습식 식각 방식으로 비아홀을 형성하기 때문에 비아홀가공 및 표면 개질 공정을 연속적으로 진행할 수 있으며, 레이저 가공을 통해 비아홀(TMV,through mold via)를 형성하는 것에 비해 비용 및 공정 소요 시간을 절감할 수 있는 적층형 반도체 패키지 제조방법에 관한 것이다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e002f08143e8edcc73d0bc366ffc4e917df890f8d28e71cd1f31c3a310019ffa28a533bab1ed7c0fdbff567cca3fcfd1b7fc3ca5cf360e1e796,True,True,False,2,C:\Agent_6.9\data\반도체\SFA반도체\tech\source\sfa_semicon_kipris_plus_bibliographic_raw.csv,,2
1020150135147,1020150135147,1020170036236,1020170036236,1017343820000,1017343820000,등록,등록,등록 등록,히트 스프레더가 부착된 웨이퍼 레벨의 팬 아웃 패키지 및 그 제조 방법,히트 스프레더가 부착된 웨이퍼 레벨의 팬 아웃 패키지 및 그 제조 방법,주식회사 에스에프에이반도체,주식회사 에스에프에이반도체,,20150924,2015,20170403,20170403,20170502,20170502,H10W 29/00|H10W 40/25|H10W 42/20,H10W 29/00|H10W 40/25|H10W 42/20,,,본 발명에 따른 히트 스프레더가 부착된 웨이퍼 레벨의 팬 아웃 패키지 제조 방법은 웨이퍼 상의 일 면에 형성된 IO 패턴의 일부 영역에 반도체 칩을 부착하는 단계; 상기 반도체 칩 및 상기 웨이퍼의 표면에 제 1 보호막을 형성하는 단계; 상기 제 1 보호막 및 상기 반도체 칩의 상면에 서멀 페이스트를 형성하는 단계; 상기 서멀 페이스트의 표면에 히트 스프레더를 부착하는 단계 및 상기 웨이퍼를 연마하여 상기 반도체 칩의 저면이 노출되도록 상기 웨이퍼를 제거하는 단계; 각 패키지 소잉라인을 따라 소잉하는 단계를 포함하는 웨이퍼 레벨의 팬 아웃 패키지 제조 방법.,,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e0052397f0f904a674f0c7e8780fe701e73414e7143fc6a4a6719be5f41ef7558f7ad2cebc258cabb53ac7a7f90ebf7e0dbe4a2b3a7a31fdda7,True,True,False,4,C:\Agent_6.9\data\반도체\SFA반도체\tech\source\sfa_semicon_kipris_plus_bibliographic_raw.csv,,3
1020150118794,1020150118794,1020170023531,1020170023531,1017434670000,1017434670000,등록,등록,등록 등록,팬-아웃형 웨이퍼 레벨 패키지의 제조 방법,팬-아웃형 웨이퍼 레벨 패키지의 제조 방법,주식회사 에스에프에이반도체,주식회사 에스에프에이반도체,,20150824,2015,20170306,20170306,20170530,20170530,H10W 29/00|H10W 46/00|H10W 74/01|H10P 54/00,H10W 29/00|H10W 46/00|H10W 74/01|H10P 54/00,,,"팬-아웃형 웨이퍼 레벨 패키지의 제조 방법이 제공된다. 이 제조 방법은 프레임 상에 피듀셜 마크 패턴을 형성하는 단계와, 상기 피듀셜 마크 패턴을 기준으로 상기 프레임 상에 반도체 다이를 부착하는 단계와, 상기 반도체 다이를 웨이퍼 레벨로 재구성하기 위해, 상기 반도체 다이를 패시베이션층으로 인캡슐레이션하는 단계 및 상기 패시베이션층의 오프닝 영역에 의해 상부로 노출되는 상기 반도체 다이의 본딩 패드 상에 금속 시드층, 재배선층(ReDistribution Layer), UBM(Under Bump Metal) 시드층, UBM층, 솔더 볼을 순차적으로 형성하여, 팬-아웃형 웨이퍼 레벨 패키지를 완성하는 단계를 포함한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00e5732dd050a0e8812a4ccd67b6b0029ce01742297b94f87cb6f762cddd8ad4b74e10fc62b72ad562e3a9bd37747d7923bae29b7ff8e1392f,True,True,False,4,C:\Agent_6.9\data\반도체\SFA반도체\tech\source\sfa_semicon_kipris_plus_bibliographic_raw.csv,,4
1020160014660,1020160014660,,,1017481320000,1017481320000,등록,등록,등록 등록,차폐부 형성 방법 및 이에 따라 제조된 시스템 인 패키지,차폐부 형성 방법 및 이에 따라 제조된 시스템 인 패키지,주식회사 에스에프에이반도체,주식회사 에스에프에이반도체,,20160205,2016,20170619,20170619,20170612,20170612,H01L 23/60|H01L 23/31|H01L 25/065|H01L 23/528|H01L 23/522|H01L 25/00,H01L 23/60|H01L 23/31|H01L 25/065|H01L 23/528|H01L 23/522|H01L 25/00,,,본 발명에 따른 시스템 인 패키지의 차폐부(Shielding) 형성 방법은 (a) 회로 배선 패턴이 형성된 배선 기판 상에 복수의 반도체 패키지를 실장하는 단계; (b) 차폐 물질을 디스펜싱하는 노즐을 이용하여 상기 복수의 반도체 패키지 사이에 차폐부를 형성하는 단계 및 (c) 몰딩 공정을 진행하여 상기 복수의 반도체 패키지 및 차폐부를 몰딩하는 단계를 포함한다.,,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00f4b8ccb3636543fa5d5ec5048936c1c3eb4da80dd87734172cbaddf81459549b070f99fd51d69e23fba52499cbc958a53b6685c04d2f634c,True,True,False,3,C:\Agent_6.9\data\반도체\SFA반도체\tech\source\sfa_semicon_kipris_plus_bibliographic_raw.csv,,5
1020160021653,1020160021653,1020170099514,1020170099514,1018620040000,1018620040000,등록,등록,등록 등록,임베디드 몰드형 코어리스 기판 제조방법,임베디드 몰드형 코어리스 기판 제조방법,주식회사 에스에프에이반도체,주식회사 에스에프에이반도체,,20160224,2016,20170901,20170901,20180523,20180523,H10W 74/10|H10W 70/40|H10W 29/00|H10W 74/01|H10P 34/42|H10W 20/49,H10W 74/10|H10W 70/40|H10W 29/00|H10W 74/01|H10P 34/42|H10W 20/49,,,"임베디드 몰드형 코어리스 기판 제조방법이 개시된다. 본 발명의 일 실시예에 따른 임베디드 몰드형 코어리스 기판 제조방법은, 전기가 통전되되 코어(core)가 없는 코어리스(coreless) 도전판을 준비하는 코어리스 도전판 준비 단계; 코어리스 도전판에 몰드(mold)가 충전될 몰드 충전용 패턴을 형성시키는 몰드 충전용 패턴 형성 단계; 몰드 충전용 패턴이 형성된 코어리스 도전판의 일측면에 제1 커버레이 테이프(coverlay tape)를 부착시키는 제1 커버레이 테이프 부착 단계; 및 제1 커버레이 테이프가 일측면에 부착된 코어리스 도전판의 타측면을 통해 몰드 충전용 패턴으로 몰드를 충전시키는 몰드 충전 단계를 포함한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00928ba065f9eef27482cbed4dce5f4bea8c89192327ecd470dadcc1f82063133989642fe2d5c39d5ea893d23000290663dbd69cfe4991dac0,True,True,False,1,C:\Agent_6.9\data\반도체\SFA반도체\tech\source\sfa_semicon_kipris_plus_bibliographic_raw.csv,,6
1020160002104,1020160002104,,,1017482780000,1017482780000,등록,등록,등록 등록,인캡슐레이션 방법,인캡슐레이션 방법,주식회사 에스에프에이반도체,주식회사 에스에프에이반도체,,20160107,2016,20170628,20170628,20170612,20170612,H10W 74/01|H10W 74/10|H10W 29/00,H10W 74/01|H10W 74/10|H10W 29/00,,,본 발명에 따른 인쇄회로기판을 인캡슐레이션하는 방법은 인쇄회로기판에 형성된 IO 패턴에 대응되도록 포스트부를 와이어 본딩시키는 단계; 노즐을 구비한 디스펜서(Dispenser)로 필러를 투입하여 상기 포스트부의 양 측면에 지지부를 형성하는 단계 및 상기 형성된 지지부 사이로 상기 필러를 투입하는 단계를 포함한다.,,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e0053e3127069af059e748fb71a8f28f9ef623ed56eed866eeb9e9daf724cd514711ad70a183edc94126b4637b92dc67e61eca74f65ab617e3c,True,True,False,1,C:\Agent_6.9\data\반도체\SFA반도체\tech\source\sfa_semicon_kipris_plus_bibliographic_raw.csv,,7
102020110010271,102020110010271,2020130003158,2020130003158,,,거절,거절,거절 거절,반도체 패키지 조립공정의 웨이퍼 링 카세트,반도체 패키지 조립공정의 웨이퍼 링 카세트,주식회사 에스에프에이반도체,주식회사 에스에프에이반도체,,20111118,2011,20130528,20130528,,,H10P 72/10,H10P 72/10,,,"카세트에 담겨있는 웨이퍼 링의 이탈을 방지할 수 있는 웨이퍼 링 카세트에 관해 개시한다. 이를 위해 본 고안은 이격되어 평행 상태를 유지하는 제1 및 제2 가로축 지지대와, 상기 제1 및 제2 가로축 지지대의 중앙에서 상호 연결하는 세로축 지지대와, 상기 제1 및 제2 가로축 지지대의 내측에 형성되고 내부에 웨이퍼 링이 삽입될 수 있는 복수개의 슬롯과, 상기 제1 및 제2 가로축 지지대에 각각 설치되어 상기 슬롯에 삽입된 웨이퍼 링의 이탈을 방지하는 락킹 바(locking bar)를 구비하는 것을 특징으로 하는 반도체 패키지 조립공정의 웨이퍼 카세트상기 을 제공한다. 따라서 락킹 방의 작동에 의해 카세트를 공정 진행을 위해 취급하거나 이동시에 웨이퍼 링이 외부로 이탈되는 문제점을 해결할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd03bf8e5ba4e1dbf7269399fb7513a1282cd945abde9e57fbd3330b6edc11530772ff94da70ade41fb657e27ef5338cbac1736b6fe498bbeb18736b26ae0cf7b11e,False,False,True,3,C:\Agent_6.9\data\반도체\SFA반도체\tech\source\sfa_semicon_kipris_plus_bibliographic_raw.csv,,8
1020190132696,1020190132696,1020210048712,1020210048712,,,거절,거절,거절 거절,더블 사이드 반도체 패키지 및 더블 사이드 반도체 패키지의 제조방법,더블 사이드 반도체 패키지 및 더블 사이드 반도체 패키지의 제조방법,주식회사 에스에프에이반도체,주식회사 에스에프에이반도체,,20191024,2019,20210504,20210504,,,H10B 80/00|H10W 90/00|H10W 70/68|H10W 74/10|H10W 70/40|H10W 70/62|H10W 20/49|H10W 29/00,H10B 80/00|H10W 90/00|H10W 70/68|H10W 74/10|H10W 70/40|H10W 70/62|H10W 20/49|H10W 29/00,,,"더블 사이드 반도체 패키지가 개시된다. 본 발명에 따른 더블 사이드 반도체 패키지는, 제1 회로패턴이 형성된 기판의 일면에 실장되는 제1 반도체 칩과, 제1 회로패턴에 접속되는 제2 회로패턴이 형성된 기판의 타면에 실장되는 제2 반도체 칩과, 기판의 일면에 배치되고 제1 회로패턴에 접속되며 세로 방향으로 연장되어 형성되는 포스트형 와이어를 포함한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93f7d332a6d478b23ea4339d47e1b1231f9ada924338b8fd9c80c8cf1c8bb6af11d4ba31077f429a25893d3e59b02161cdbb3d478a5250a297,False,False,True,4,C:\Agent_6.9\data\반도체\SFA반도체\tech\source\sfa_semicon_kipris_plus_bibliographic_raw.csv,,9
1020140072011,1020140072011,1020150143053,1020150143053,1015815610000,1015815610000,소멸,소멸,소멸 소멸,와이어 본딩용 에어 블로우 장치,와이어 본딩용 에어 블로우 장치,주식회사 에스에프에이반도체,주식회사 에스에프에이반도체,,20140613,2014,20151223,20151223,20151223,20151223,H10W 29/00,H10W 29/00,,,"본 발명은 와이어 본딩용 에어 블로우 장치에 관한 것으로, 일측이 에어(air) 발생기에 연결되어 에어의 통로로 사용되는 에어 호스와; 일측이 상기 에어 호스의 타측에 연결되며 타측이 막힌 원통형의 몸체로서, 상기 몸체 내부를 양분하도록 형성된 중앙분리대와, 상기 중앙분리대를 기준으로 상기 몸체의 왼쪽과 오른쪽에 각각 다수 개 형성되어 에어를 배출하는 왼쪽 에어홀과 오른쪽 에어홀을 구비하는 상기 몸체를 포함하는 것을 특징으로 한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00586f0e73fc351bde4eb5ed6b0d42a27f7afa931ee9bfc03cfd5b092c1d533272e43780d6b36442b057de5cab5e32694a9a35133ea1b88e27,True,False,True,0,C:\Agent_6.9\data\반도체\SFA반도체\tech\source\sfa_semicon_kipris_plus_bibliographic_raw.csv,,10
1020190132695,1020190132695,,,1022336490000,1022336490000,등록,등록,등록 등록,적층형 반도체 패키지 및 적층형 반도체 패키지의 제조방법,적층형 반도체 패키지 및 적층형 반도체 패키지의 제조방법,주식회사 에스에프에이반도체,주식회사 에스에프에이반도체,,20191024,2019,20210330,20210330,20210324,20210324,H10W 90/00|H10B 80/00|H10W 70/40|H10W 20/43|H10W 29/00,H10W 90/00|H10B 80/00|H10W 70/40|H10W 20/43|H10W 29/00,,,"적층형 반도체 패키지가 개시된다. 본 발명에 따른 적층형 반도체 패키지는, 제1 회로패턴이 형성된 제1 기판 상에 제1 회로패턴에 접속되는 반도체 칩이 실장된 제1 반도체 패키지와, 제1 반도체 패키지의 상부에 배치되며 제2 회로패턴이 형성된 제2 기판을 구비하는 제2 반도체 패키지와, 제1 반도체 패키지에 실장되며 하단부가 제1 회로패턴에 접속되고 상단부가 제2 회로패턴에 접속되는 접속용 포스트부를 포함한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c932f471fe9c4260ce781ae99193e47c162506b335237e9804b3300881bdb6679910fddfd57e70ebd87e628cf4ac45b1f10cdecbcaef461df71,True,True,False,4,C:\Agent_6.9\data\반도체\SFA반도체\tech\source\sfa_semicon_kipris_plus_bibliographic_raw.csv,,11
