application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder,claim_no,claim_text,claim_char_len,is_dependent_estimated,is_independent_estimated,dependency_source
1020090084846,1020110026969,1011399100000,등록,등록,실리콘 카바이드 복합체 및 그 제조방법,주식회사 티씨케이,1,"1. 실리콘 카바이드의 그레인들 사이에 열분해 카본이 충진되며,상기 실리콘 카바이드와 상기 열분해 카본의 원자비가 99.9:0.1 내지 30:70인 것을 특징으로 하는 실리콘 카바이드 복합체.",107,False,True,explicit_or_regex_estimated
1020090084846,1020110026969,1011399100000,등록,등록,실리콘 카바이드 복합체 및 그 제조방법,주식회사 티씨케이,2,"2. 제1항에 있어서,상기 실리콘 카바이드와 상기 열분해 카본은,화학적 기상증착법으로 동시에 증착되어진 것을 특징으로 하는 실리콘 카바이드 복합체.",82,True,False,explicit_or_regex_estimated
1020090084846,1020110026969,1011399100000,등록,등록,실리콘 카바이드 복합체 및 그 제조방법,주식회사 티씨케이,3,"3. 제1항 또는 제2항에 있어서,상기 열분해 카본은, CxHy의 화학식을 가지는 것으로, x가 1이상, y가 2 이상의 정수인 것을 특징으로 하는 실리콘 카바이드 복합체.",96,True,False,explicit_or_regex_estimated
1020090084846,1020110026969,1011399100000,등록,등록,실리콘 카바이드 복합체 및 그 제조방법,주식회사 티씨케이,4,"4. 제3항에 있어서,상기 실리콘 카바이드는 그레인 사이의 열분해 탄소에 의해 10Ωcm 이하의 저항을 가지며, 광 투과율이 3% 이하의 투과도를 갖는 실리콘 카바이드 복합체.",98,True,False,explicit_or_regex_estimated
1020090084846,1020110026969,1011399100000,등록,등록,실리콘 카바이드 복합체 및 그 제조방법,주식회사 티씨케이,5,"5. 제4항에 있어서,상기 열분해 카본은,하이드로 카본을 증착로에 공급하고, 열분해를 통해 형성한 것을 특징으로 하는 실리콘 카바이드 복합체.",79,True,False,explicit_or_regex_estimated
1020090084846,1020110026969,1011399100000,등록,등록,실리콘 카바이드 복합체 및 그 제조방법,주식회사 티씨케이,6,"6. a) 기판을 준비하는 단계;b) 상기 기판의 전면에 실리콘 카바이드를 증착함과 아울러 그 실리콘 카바이드의 그레인 사이에 열분해 카본을 증착하여 실리콘 카바이드 복합체층을 형성하는 단계;c) 상기 실리콘 카바이드 복합체층의 측면을 절단하여 상기 기판의 측면을 노출시키고, 그 노출된 기판의 측면을 가로로 절단하여 상기 실리콘 카바이드 복합체층과 상기 기판의 적층구조물을 획득하는 단계; 및d) 상기 적층구조물에서 상기 기판을 제거하는 단계를 포함하는 윤활성이 개선되고 투과도가 감소하는 실리콘 카바이드 복합체 제조방법.",293,False,True,explicit_or_regex_estimated
1020090084846,1020110026969,1011399100000,등록,등록,실리콘 카바이드 복합체 및 그 제조방법,주식회사 티씨케이,7,"7. 제6항에 있어서,상기 b) 단계는,증착온도를 1000 내지 1500℃로 하고, 성막 속도를 20 내지 400μm/hour로 하고, 상기 실리콘 카바이드의 증착을 위한 원료가스와 상기 열분해 카본의 증착을 위한 하이드로 카본의 체류시간은 7 내지 110초로 하며,상기 원료가스와 상기 하이드로 카본의 유량은 원료가스 30 내지 99.9%에 대하여 하이드로 카본의 유량이 70 내지 0.1%로 공급하는 것을 특징으로 하는 윤활성이 개선되고 투과도가 감소하는 실리콘 카바이드 복합체 제조방법.",275,True,False,explicit_or_regex_estimated
1020100056108,1020110136240,,거절,거절,웨이퍼 지지장치 및 그 제조방법,주식회사 티씨케이,1,1. 배면에 히터가 삽입되는 홈이 마련되는 AlN 소재의 원판형의 열전도 지지층;상기 열전도 지지층의 상면에서 상향 돌출된 다수의 핀; 및상기 다수의 핀의 상면에 위치하여 웨이퍼의 배면을 접촉 지지하는 SiC 코팅층을 포함하는 웨이퍼 지지장치.,136,False,True,explicit_or_regex_estimated
1020100056108,1020110136240,,거절,거절,웨이퍼 지지장치 및 그 제조방법,주식회사 티씨케이,2,"2. 제1항에 있어서,상기 다수의 핀의 상면 면적의 총합이 상기 열전도 지지층의 상면 면적의 0.1 내지 3%인 것을 특징으로 하는 웨이퍼 지지장치.",83,True,False,explicit_or_regex_estimated
1020100056108,1020110136240,,거절,거절,웨이퍼 지지장치 및 그 제조방법,주식회사 티씨케이,3,"3. 제1항 또는 제2항에 있어서,SiC 코팅층은 15 내지 25㎛의 두께인 것을 특징으로 하는 웨이퍼 지지장치.",63,True,False,explicit_or_regex_estimated
1020100056108,1020110136240,,거절,거절,웨이퍼 지지장치 및 그 제조방법,주식회사 티씨케이,4,"4. 제3항에 있어서,상기 SiC 코팅층의 상면은,중앙부가 더 높은 곡면이며, 상기 웨이퍼의 배면에 점접촉되는 것을 특징으로 하는 웨이퍼 지지장치.",82,True,False,explicit_or_regex_estimated
1020100056108,1020110136240,,거절,거절,웨이퍼 지지장치 및 그 제조방법,주식회사 티씨케이,5,"5. a) 소결된 AlN 소재의 원판형 열전도 지지층을 준비하고, 상기 열전도 지지층의 전면에 SiC를 코팅하여 SiC 코팅층을 형성하는 단계;b) 상기 열전도 지지층의 측면과 배면에 증착된 SiC 코팅층을 선택적으로 제거하는 단계; 및c) 상기 열전도 지지층의 상부에 위치하는 SiC 코팅층의 일부를 선택적으로 제거하여 웨이퍼의 배면에 접촉되는 부분에만 선택적으로 SiC 코팅층을 잔류시키는 단계를 포함하는 웨이퍼 지지장치 제조방법.",243,False,True,explicit_or_regex_estimated
1020100056108,1020110136240,,거절,거절,웨이퍼 지지장치 및 그 제조방법,주식회사 티씨케이,6,"6. 제5항에 있어서,상기 열전도 지지층의 상면은 평탄한 것이며, 상기 c) 단계에서 SiC 코팅층을 제거함과 아울러 제거된 SiC 코팅층의 하부측 열전도 지지층을 소정 깊이로 제거하여 다수의 핀과 다수의 상기 핀의 상부에 위치하는 SiC 코팅층을 잔류시키는 것을 특징으로 하는 웨이퍼 지지장치 제조방법.",170,True,False,explicit_or_regex_estimated
1020100056108,1020110136240,,거절,거절,웨이퍼 지지장치 및 그 제조방법,주식회사 티씨케이,7,"7. 제5항에 있어서,상기 열전도 지지층의 상면에는 상향 돌출된 다수의 핀이 형성된 것이며, 상기 c) 단계에서 상기 핀의 측면과 상기 핀들의 사이에 증착된 SiC 코팅층을 제거하여 상기 핀의 상부에 위치하는 SiC 코팅층을 잔류시키는 것을 특징으로 하는 웨이퍼 지지장치 제조방법.",157,True,False,explicit_or_regex_estimated
1020100056108,1020110136240,,거절,거절,웨이퍼 지지장치 및 그 제조방법,주식회사 티씨케이,8,"8. 제6항 또는 제7항에 있어서,다수의 상기 핀의 상면 면적의 총합이 상기 열전도 지지층의 상면 면적의 0.1 내지 3%인 것을 특징으로 하는 웨이퍼 지지장치 제조방법.",95,True,False,explicit_or_regex_estimated
1020100056108,1020110136240,,거절,거절,웨이퍼 지지장치 및 그 제조방법,주식회사 티씨케이,9,"9. 제8항에 있어서,SiC 코팅층은 15 내지 25㎛의 두께로 증착된 것을 특징으로 하는 웨이퍼 지지장치 제조방법.",65,True,False,explicit_or_regex_estimated
1020100056108,1020110136240,,거절,거절,웨이퍼 지지장치 및 그 제조방법,주식회사 티씨케이,10,"10. 제8항에 있어서,상기 c) 단계를 수행한 후, 잔류하는 SiC 코팅층을 연마하여 상기 SiC 코팅층의 상면을 중앙부가 더 높은 곡면으로 가공하는 단계를 더 포함하는 웨이퍼 지지장치 제조방법.",110,True,False,explicit_or_regex_estimated
1020110135667,1020130068137,1012815510000,등록,등록,건식식각장치의 포커스링 제조방법,주식회사 티씨케이,1,"1. a) 원주형의 그라파이트괴를 준비하는 단계; b) 상기 그라파이트괴의 전면에 화학적 기상 증착법으로 SiC를 증착하여 SiC층을 형성하는 단계; c) 상기 그라파이트괴의 원형인 양단부의 측면에 증착된 SiC층을 절단하여 제거하고, 상기 그라파이트괴와 상기 그라파이트괴의 둘레를 감싸는 SiC층을 원판형으로 다분할 되도록 절단하는 단계; 및 d) 상기 원판형으로 절단된 상기 그라파이트괴와 상기 절단된 그라파이트괴의 외측을 둘러싼 형태의 SiC층 구조에서, 상기 그라파이트괴를 제거하여 SiC재질의 다수의 SiC링을 획득하는 단계를 포함하는 건식식각장치의 포커스링 제조방법.",323,False,True,explicit_or_regex_estimated
1020110135667,1020130068137,1012815510000,등록,등록,건식식각장치의 포커스링 제조방법,주식회사 티씨케이,2,"2. 제1항에 있어서,상기 b) 단계는,상기 SiC의 증착과정을 다수회로 분할하여, 상기 그라파이트괴를 원형인 양단부의 중심을 기준으로 회전시키면서 단계적으로 증착하는 것을 특징으로 하는 건식식각장치의 포커스링 제조방법.",123,True,False,explicit_or_regex_estimated
1020110135667,1020130068137,1012815510000,등록,등록,건식식각장치의 포커스링 제조방법,주식회사 티씨케이,4,"4. 제1항 또는 제2항에 있어서,상기 그라파이트괴는,직경이 상기 SiC링의 내경과 동일하며, 길이는 상기 SiC링의 두께와 제조할 SiC링의 수량 및 절단에 의해 소실되는 두께를 감안하여 결정되는 것을 특징으로 하는 건식식각장치의 포커스링 제조방법.",140,True,False,explicit_or_regex_estimated
1020110135667,1020130068137,1012815510000,등록,등록,건식식각장치의 포커스링 제조방법,주식회사 티씨케이,5,"5. 제1항 또는 제2항에 있어서,상기 d) 단계는,상기 원판형의 그라파이트괴를 물리적 또는 화학적인 방법으로 제거하거나, 산소분위기에서 열처리하여 제거하는 것을 특징으로 하는 건식식각장치의 포커스링 제조방법.",117,True,False,explicit_or_regex_estimated
1020110135671,1020130068138,1013084060000,등록,등록,홀가공장치의 핀 각도 조절용 지그,주식회사 티씨케이,1,"1. 핀의 배치와 동일한 배치를 가지는 다수의 관통홀을 구비하는 바디; 및상기 바디에 마련된 다수의 관통홀을 가로질러 마련되어, 상기 관통홀에 일부가 절개된 핀이 삽입될 때, 상기 핀의 절개부분에 삽입되어 핀의 배치 각도를 정하는 선형의 가이드를 포함하는 홀가공장치의 핀 각도 조절용 지그.",162,False,True,explicit_or_regex_estimated
1020110135671,1020130068138,1013084060000,등록,등록,홀가공장치의 핀 각도 조절용 지그,주식회사 티씨케이,2,"2. 제1항에 있어서,상기 관통홀은,원형인 것을 특징으로 하는 홀가공장치의 핀 각도 조절용 지그.",54,True,False,explicit_or_regex_estimated
1020110135671,1020130068138,1013084060000,등록,등록,홀가공장치의 핀 각도 조절용 지그,주식회사 티씨케이,3,"3. 제1항에 있어서,상기 바디의 하부측에서 상기 관통홀에 삽입되는 핀의 끝단을 보호하는 공간을 제공하는 하부케이스를 더 포함하는 홀가공장치의 핀 각도 조절용 지그.",92,True,False,explicit_or_regex_estimated
1020110135671,1020130068138,1013084060000,등록,등록,홀가공장치의 핀 각도 조절용 지그,주식회사 티씨케이,4,"4. 제3항에 있어서,상기 바디의 주변부 상부측으로 돌출되어, 저면에 접착층이 마련된 진동기재가 바디와 정위치에 위치하도록 가이드하는 진동기재 가이드부를 더 포함하는 홀가공장치의 핀 각도 조절용 지그.",112,True,False,explicit_or_regex_estimated
1020110135671,1020130068138,1013084060000,등록,등록,홀가공장치의 핀 각도 조절용 지그,주식회사 티씨케이,5,"5. 제1항에 있어서,상기 가이드는,상기 바디에 접합되는 선형 부재인 것을 특징으로 하는 홀가공장치의 핀 각도 조절용 지그.",69,True,False,explicit_or_regex_estimated
