source_application_number,family_id,family_type,country_code,application_country_code,publication_country_code,priority_country_code,family_application_number,family_application_date,family_publication_number,family_publication_date,family_registration_number,priority_number,pct_application_number,title,applicant,legal_status,_raw_keys,jurisdictions_inferred,is_overseas_family
1020180163532,71102866,,CN,CN,CN,,201980074336,20191205,113169319,20240607,,,201980074336,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020180163532,71102866,,CN,CN,CN,,201980074336,20191205,113169319,20210723,,,201980074336,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020180163532,71102866,,JP,JP,JP,,2021529867,20191205,7541979,20240829,,,2021529867,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020180163532,71102866,,JP,JP,JP,,2021529867,20191205,2022510190,20220126,,,2021529867,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020180163532,71102866,,US,US,US,,201917414128,20191205,2022069304,20220303,,,201917414128,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020180163532,71102866,,KR,KR,WO,,2019017098,20191205,2020130434,20200625,,,2019017098,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020180163532,71102866,,TW,TW,TW,,108145805,20191213,I728597,20210521,,,108145805,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020180163532,71102866,,TW,TW,TW,,108145805,20191213,202030910,20200816,,,108145805,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020150164251,56107594,,KR,KR,WO,,2015002164,20150306,2016093431,20160616,,,2015002164,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020150164251,56107594,,TW,TW,TW,,104141785,20151211,I585895,20170601,,,104141785,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020150164251,56107594,,TW,TW,TW,,104141785,20151211,201633450,20160916,,,104141785,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020190044449,73006204,,KR,KR,KR,,20210071308,20210602,20210068362,20210609,,,20210071308,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020190044449,73006204,,KR,KR,KR,,20210071308,20210602,102521277,20230414,,,20210071308,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020180103710,69643782,,CN,CN,CN,,201880095734,20180913,112566871,20210326,,,201880095734,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020180103710,69643782,,JP,JP,JP,,2021510926,20180913,2021535064,20211216,,,2021510926,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020180103710,69643782,,US,US,US,,201817269306,20180913,2021179435,20210617,,,201817269306,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020180103710,69643782,,KR,KR,WO,,2018010720,20180913,2020045721,20200305,,,2018010720,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020180103710,69643782,,TW,TW,TW,,107132526,20180914,202010709,20200316,,,107132526,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020180103710,69643782,,TW,TW,TW,,107132526,20180914,I700249,20200801,,,107132526,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020200165741,81854139,,CN,CN,CN,,202180080515,20211122,116529908,20230801,,,202180080515,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020200165741,81854139,,JP,JP,JP,,2023533287,20211122,7757406,20251021,,,2023533287,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020200165741,81854139,,JP,JP,JP,,2023533287,20211122,2023552345,20231215,,,2023533287,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020200165741,81854139,,US,US,US,,202118039762,20211122,12371324,20250729,,,202118039762,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020200165741,81854139,,US,US,US,,202118039762,20211122,2024025746,20240125,,,202118039762,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020200165741,81854139,,KR,KR,WO,,2021017124,20211122,2022119197,20220609,,,2021017124,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020210071308,73006204,,KR,KR,KR,,20190044449,20190416,20200121642,20201026,,,20190044449,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020210071308,73006204,,KR,KR,KR,,20190044449,20190416,102262330,20210609,,,20190044449,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020110145513,46689225,,JP,JP,JP,,2012193077,20120903,5769680,20150826,,,2012193077,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020110145513,46689225,,JP,JP,JP,,2012193077,20120903,2013139622,20130718,,,2012193077,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020110145513,46689225,,US,US,US,,201213609622,20120911,2013168697,20130704,,,201213609622,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020110145513,46689225,,US,US,US,,201213609622,20120911,8865519,20141021,,,201213609622,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020240027809,96921145,,KR,KR,WO,,2025000973,20250117,2025183364,20250904,,,2025000973,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020240027809,96921145,,TW,TW,TW,,114107267,20250227,202535630,20250916,,,114107267,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020220189403,91718355,,KR,KR,WO,,2023019663,20231201,2024143947,20240704,,,2023019663,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020220189403,91718355,,TW,TW,TW,,112149672,20231220,202426411,20240701,,,112149672,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
