record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020190160741|1021817280000|층간 경계를 덮는 증착층을 포함하는 반도체 제조용 부품 및 그 제조방법|주식회사 티씨케이,층간 경계를 덮는 증착층을 포함하는 반도체 제조용 부품 및 그 제조방법,주식회사 티씨케이,1020190160741,1020190140885,1021817280000,등록,2019,2019,2020,H10P; H05H,,공정; 기판; 반도체; 소자; 웨이퍼,True,True,False,60.0,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,23
1020210059849|1022927830000|슬러리 막힘 방지 구조를 갖는 CMP용 멀티노즐|(주)티씨케이,슬러리 막힘 방지 구조를 갖는 CMP용 멀티노즐,(주)티씨케이,1020210059849,,1022927830000,등록,2021,2021,2021,B24B; H10P,,EMI; 공정; 웨이퍼,True,True,False,58.0,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,29
1020210071308|1025212770000|반도체 제조용 부품의 재생 방법 및 재생된 반도체 제조용 부품|주식회사 티씨케이,반도체 제조용 부품의 재생 방법 및 재생된 반도체 제조용 부품,주식회사 티씨케이,1020210071308,1020210068362,1025212770000,등록,2021,2021,2023,H10P,,공정; 반도체,True,True,False,53.5,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,9
1020210122697|1025958040000|투과도가 다른 복수 개의 층을 갖는 SiC 반도체 제조용 부품 및 그 제조방법|주식회사 티씨케이,투과도가 다른 복수 개의 층을 갖는 SiC 반도체 제조용 부품 및 그 제조방법,주식회사 티씨케이,1020210122697,1020210118014,1025958040000,등록,2021,2021,2023,H10D; H10P,,반도체,True,True,False,52.0,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,22
1020190044449|1022623300000|반도체 제조용 부품의 재생 방법 및 재생된 반도체 제조용 부품|주식회사 티씨케이,반도체 제조용 부품의 재생 방법 및 재생된 반도체 제조용 부품,주식회사 티씨케이,1020190044449,1020200121642,1022623300000,등록,2019,2020,2021,H10P,,공정; 반도체,True,True,False,49.5,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,4
1020190074213|1021178880000|CVD 방식으로 형성된 SIC 구조체|주식회사 티씨케이,CVD 방식으로 형성된 SIC 구조체,주식회사 티씨케이,1020190074213,,1021178880000,등록,2019,2020,2020,H10P,,CVD; 반도체,True,True,False,49.5,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,12
1020190074396|1021505100000|CVD 방식으로 형성된 SIC 구조체|주식회사 티씨케이,CVD 방식으로 형성된 SIC 구조체,주식회사 티씨케이,1020190074396,,1021505100000,등록,2019,2020,2020,H10P,,CVD; 반도체,True,True,False,49.5,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,25
"1020160174736|1019412320000|반도체 제조용 부품, 복합체 코팅층을 포함하는 반도체 제조용 부품 및 그 제조방법|주식회사 티씨케이","반도체 제조용 부품, 복합체 코팅층을 포함하는 반도체 제조용 부품 및 그 제조방법",주식회사 티씨케이,1020160174736,1020180071747,1019412320000,등록,2016,2018,2019,H10P; H01J; H10W,,반도체,True,True,False,49.5,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,26
1020190130432|1022082520000|투과도가 다른 복수 개의 층을 갖는 SiC 반도체 제조용 부품 및 그 제조방법|주식회사 티씨케이,투과도가 다른 복수 개의 층을 갖는 SiC 반도체 제조용 부품 및 그 제조방법,주식회사 티씨케이,1020190130432,1020190124177,1022082520000,등록,2019,2019,2021,H10D; H10P; C23C,,반도체,True,True,False,49.5,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,30
1020200081411|1022623400000|탄화붕소 소재|주식회사 티씨케이,탄화붕소 소재,주식회사 티씨케이,1020200081411,,1022623400000,등록,2020,2021,2021,C01B; C30B; F41H; H01J; B23B; B23C,,,True,True,False,48.0,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,3
1020170104300|1019142890000|투과도가 다른 복수 개의 층을 갖는 SiC 반도체 제조용 부품 및 그 제조방법|주식회사 티씨케이,투과도가 다른 복수 개의 층을 갖는 SiC 반도체 제조용 부품 및 그 제조방법,주식회사 티씨케이,1020170104300,1020180020912,1019142890000,등록,2017,2018,2018,H10D; H10P,,반도체,True,True,False,48.0,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,17
1020150164251|1017521750000|반도체 공정 부품 재생방법|주식회사 티씨케이,반도체 공정 부품 재생방법,주식회사 티씨케이,1020150164251,1020160072018,1017521750000,등록,2015,2016,2017,H10P,,공정; 반도체,True,True,False,45.5,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,2
"1020180163532|1022436100000|음극 활물질, 그의 제조 방법 및 그를 포함하는 리튬이차전지|주식회사 티씨케이","음극 활물질, 그의 제조 방법 및 그를 포함하는 리튬이차전지",주식회사 티씨케이,1020180163532,1020200075209,1022436100000,등록,2018,2020,2021,H01M; C01B,,,True,True,False,45.0,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,1
1020200165741|1025360730000|탄소-실리콘 복합체 및 이의 제조방법|주식회사 티씨케이,탄소-실리콘 복합체 및 이의 제조방법,주식회사 티씨케이,1020200165741,1020220077281,1025360730000,등록,2020,2022,2023,H01M; C01B,,,True,True,False,45.0,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,7
1020170175077|1020694230000|접합 세라믹 및 이의 제조방법|주식회사 티씨케이,접합 세라믹 및 이의 제조방법,주식회사 티씨케이,1020170175077,1020190073863,1020694230000,등록,2017,2019,2020,C04B; H10P,,,True,True,False,45.0,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,24
1020110145513|1011583430000|실리콘 카바이드 구조물 및 그 제조방법|주식회사 티씨케이,실리콘 카바이드 구조물 및 그 제조방법,주식회사 티씨케이,1020110145513,,1011583430000,등록,2011,2012,2012,H10P; C30B,,CVD,True,True,False,44.0,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,11
1020180103710|1021137190000|활성탄 및 이의 제조방법|주식회사 티씨케이,활성탄 및 이의 제조방법,주식회사 티씨케이,1020180103710,1020200025804,1021137190000,등록,2018,2020,2020,C01B,,,True,True,False,43.5,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,6
1020110135667|1012815510000|건식식각장치의 포커스링 제조방법|주식회사 티씨케이,건식식각장치의 포커스링 제조방법,주식회사 티씨케이,1020110135667,1020130068137,1012815510000,등록,2011,2013,2013,H10P,,공정,True,True,False,42.5,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,5
1020090084846|1011399100000|실리콘 카바이드 복합체 및 그 제조방법|주식회사 티씨케이,실리콘 카바이드 복합체 및 그 제조방법,주식회사 티씨케이,1020090084846,1020110026969,1011399100000,등록,2009,2011,2012,C23C,,기판,True,True,False,42.5,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,8
1020150051673|1016317970000|건식식각장치의 SiC 구조물 및 그 제조방법|주식회사 티씨케이,건식식각장치의 SiC 구조물 및 그 제조방법,주식회사 티씨케이,1020150051673,,1016317970000,등록,2015,2016,2016,H10P,,공정,True,True,False,42.5,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,10
1020110135671|1013084060000|홀가공장치의 핀 각도 조절용 지그|주식회사 티씨케이,홀가공장치의 핀 각도 조절용 지그,주식회사 티씨케이,1020110135671,1020130068138,1013084060000,등록,2011,2013,2013,B26D; B26F; H10P,,,True,True,False,42.5,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,21
1020220171241||리크센서를 이용한 갈덴 냉매 누액 모니터링 시스템|(주)티씨케이|추인철,리크센서를 이용한 갈덴 냉매 누액 모니터링 시스템,(주)티씨케이|추인철,1020220171241,1020240086842,,취하,2022,2024,,G01M; G06Q; G08B; G08C,,반도체,True,False,True,40.0,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,18
1020240027809||흑연 및 실리콘을 포함하는 음극활물질 및 이의 제조방법|주식회사 티씨케이,흑연 및 실리콘을 포함하는 음극활물질 및 이의 제조방법,주식회사 티씨케이,1020240027809,1020250131864,,공개,2024,2025,,H01M; C01B,,,True,False,False,39.0,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,15
1020240027818||SiC 단결정 제조장치|주식회사 티씨케이,SiC 단결정 제조장치,주식회사 티씨케이,1020240027818,1020250131403,,공개,2024,2025,,C30B,,,True,False,False,37.5,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,14
1020100056108||웨이퍼 지지장치 및 그 제조방법|주식회사 티씨케이,웨이퍼 지지장치 및 그 제조방법,주식회사 티씨케이,1020100056108,1020110136240,,거절,2010,2011,,H10P,,수율; 공정; 반도체; 웨이퍼,True,False,True,36.5,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,27
1020150051670|1016317960000|건식식각장치의 포커스링 제조장치|주식회사 티씨케이,건식식각장치의 포커스링 제조장치,주식회사 티씨케이,1020150051670,,1016317960000,소멸,2015,2016,2016,H10P,,,True,True,True,34.5,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,28
1020220189403||탄화탄탈 복합재|주식회사 티씨케이,탄화탄탈 복합재,주식회사 티씨케이,1020220189403,1020240106512,,취하,2022,2024,,C23C; H10P,,,True,False,True,34.0,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,16
1020120068345||단결정 잉곳의 마운팅 장치|주식회사 티씨케이,단결정 잉곳의 마운팅 장치,주식회사 티씨케이,1020120068345,1020140006142,,거절,2012,2014,,B28D; H10P,,공정; 웨이퍼,True,False,True,32.0,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,20
1020140065106||포켓 보호기재를 갖는 서셉터|주식회사 티씨케이,포켓 보호기재를 갖는 서셉터,주식회사 티씨케이,1020140065106,1020150138493,,거절,2014,2015,,H10H; H10P,,기판,True,False,True,29.0,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,19
102020110008837||판재의 홀 가공용 지그|주식회사 티씨케이,판재의 홀 가공용 지그,주식회사 티씨케이,102020110008837,2020130002243,,거절,2011,2013,,B26D; B26F; H10P,,,True,False,True,27.5,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,13
