source_application_number,family_id,family_type,country_code,application_country_code,publication_country_code,priority_country_code,family_application_number,family_application_date,family_publication_number,family_publication_date,family_registration_number,priority_number,pct_application_number,title,applicant,legal_status,_raw_keys,jurisdictions_inferred,is_overseas_family
1020210080048,79023372,,KR,KR,KR,,20240181422,20241209,20250006752,20250113,,,20240181422,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020210080048,79023372,,US,US,US,,202318536029,20231211,12345756,20250701,,,202318536029,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020210080048,79023372,,US,US,US,,202016986037,20200805,11493551,20221108,,,202016986037,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020210080048,79023372,,US,US,US,,202217832348,20220603,11841392,20231212,,,202217832348,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020210080048,79023372,,US,US,US,,202016986037,20200805,2021396801,20211223,,,202016986037,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020210080048,79023372,,US,US,US,,202217832348,20220603,2022299563,20220922,,,202217832348,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020210080048,79023372,,US,US,US,,202318536029,20231211,2024133943,20240425,,,202318536029,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020210080048,79023372,,TW,TW,TW,,110118714,20210524,202217345,20220501,,,110118714,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020210080048,79023372,,TW,TW,TW,,110118714,20210524,I795785,20230311,,,110118714,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020220142573,86229824,,US,US,US,,202117520202,20211105,2023143240,20230511,,,202117520202,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020220142573,86229824,,US,US,US,,202117520202,20211105,11656273,20230523,,,202117520202,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020220142573,86229824,,TW,TW,TW,,111139714,20221019,202332913,20230816,,,111139714,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020220142573,86229824,,TW,TW,TW,,111139714,20221019,I817779,20231001,,,111139714,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020257006092,83005839,,CN,CN,CN,,202380063846,20230413,119816738,20250411,,,202380063846,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020257006092,83005839,,CN,CN,CN,,202380067215,20230413,119907922,20250429,,,202380067215,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020257006092,83005839,,CN,CN,CN,,202380069831,20230413,119968568,20250509,,,202380069831,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020257006092,83005839,,DE,DE,DE,,112023003366,20230413,112023003366,20250515,,,112023003366,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020257006092,83005839,,DE,DE,DE,,112023003310,20230413,112023003310,20250515,,,112023003310,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020257006092,83005839,,DE,DE,DE,,112023003271,20230413,112023003271,20250618,,,112023003271,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020257006092,83005839,,JP,JP,JP,,2025504817,20230413,2025525074,20250801,,,2025504817,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020257006092,83005839,,JP,JP,JP,,2025504816,20230413,2025525672,20250805,,,2025504816,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020257006092,83005839,,JP,JP,JP,,2025504818,20230413,2025524208,20250725,,,2025504818,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020257006092,83005839,,KR,KR,KR,,20257006091,20230413,20250044341,20250331,,,20257006091,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020257006092,83005839,,KR,KR,KR,,20257006089,20230413,20250044889,20250401,,,20257006089,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020257006092,83005839,,US,US,US,,202519038983,20250128,2025172613,20250529,,,202519038983,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020257006092,83005839,,US,US,US,,202519038974,20250128,2025172612,20250529,,,202519038974,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020257006092,83005839,,US,US,US,,202519038992,20250128,2025172600,20250529,,,202519038992,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020257006092,83005839,,EP,EP,WO,,2023059654,20230413,2024022627,20240201,,,2023059654,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP|WO,Y
1020257006092,83005839,,EP,EP,WO,,2023059653,20230413,2024022626,20240201,,,2023059653,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP|WO,Y
1020257006092,83005839,,EP,EP,WO,,2023059652,20230413,2024022625,20240201,,,2023059652,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP|WO,Y
1020257006092,83005839,,TW,TW,TW,,112128230,20230727,I877703,20250321,,,112128230,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020257006092,83005839,,TW,TW,TW,,112127981,20230726,202405461,20240201,,,112127981,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020257006092,83005839,,TW,TW,TW,,112128230,20230727,202405462,20240201,,,112128230,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020257006092,83005839,,TW,TW,TW,,112127361,20230721,202409598,20240301,,,112127361,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020257006091,83005839,,CN,CN,CN,,202380063846,20230413,119816738,20250411,,,202380063846,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020257006091,83005839,,CN,CN,CN,,202380067215,20230413,119907922,20250429,,,202380067215,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020257006091,83005839,,CN,CN,CN,,202380069831,20230413,119968568,20250509,,,202380069831,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020257006091,83005839,,DE,DE,DE,,112023003366,20230413,112023003366,20250515,,,112023003366,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020257006091,83005839,,DE,DE,DE,,112023003310,20230413,112023003310,20250515,,,112023003310,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020257006091,83005839,,DE,DE,DE,,112023003271,20230413,112023003271,20250618,,,112023003271,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020257006091,83005839,,JP,JP,JP,,2025504817,20230413,2025525074,20250801,,,2025504817,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020257006091,83005839,,JP,JP,JP,,2025504816,20230413,2025525672,20250805,,,2025504816,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020257006091,83005839,,JP,JP,JP,,2025504818,20230413,2025524208,20250725,,,2025504818,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020257006091,83005839,,KR,KR,KR,,20257006092,20230413,20250044709,20250401,,,20257006092,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020257006091,83005839,,KR,KR,KR,,20257006089,20230413,20250044889,20250401,,,20257006089,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020257006091,83005839,,US,US,US,,202519038983,20250128,2025172613,20250529,,,202519038983,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020257006091,83005839,,US,US,US,,202519038974,20250128,2025172612,20250529,,,202519038974,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020257006091,83005839,,US,US,US,,202519038992,20250128,2025172600,20250529,,,202519038992,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020257006091,83005839,,EP,EP,WO,,2023059654,20230413,2024022627,20240201,,,2023059654,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP|WO,Y
1020257006091,83005839,,EP,EP,WO,,2023059653,20230413,2024022626,20240201,,,2023059653,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP|WO,Y
1020257006091,83005839,,EP,EP,WO,,2023059652,20230413,2024022625,20240201,,,2023059652,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP|WO,Y
1020257006091,83005839,,TW,TW,TW,,112128230,20230727,I877703,20250321,,,112128230,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020257006091,83005839,,TW,TW,TW,,112127981,20230726,202405461,20240201,,,112127981,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
