source_application_number,family_id,family_type,country_code,application_country_code,publication_country_code,priority_country_code,family_application_number,family_application_date,family_publication_number,family_publication_date,family_registration_number,priority_number,pct_application_number,title,applicant,legal_status,_raw_keys,jurisdictions_inferred,is_overseas_family
1020060072177,38601472,,CN,CN,CN,,200680038179,20060901,101288160,20110223,,,200680038179,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020060072177,38601472,,CN,CN,CN,,200680038179,20060901,101288160,20081015,,,200680038179,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020060072177,38601472,,EP,EP,EP,,06798618,20060901,2047503,20090415,,,06798618,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP,Y
1020060072177,38601472,,EP,EP,EP,,06798618,20060901,2047503,20091223,,,06798618,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP,Y
1020060072177,38601472,,JP,JP,JP,,2009522696,20060901,2009545874,20091224,,,2009522696,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020060072177,38601472,,US,US,US,,8901006,20060901,2008265737,20081030,,,8901006,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020060072177,38601472,,KR,KR,WO,,2006003472,20060901,2008016200,20080207,,,2006003472,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020060072177,38601472,,TW,TW,TW,,96127906,20070730,200830404,20080716,,,96127906,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020150134559,58283141,,US,US,US,,201615191557,20160624,2017084477,20170323,,,201615191557,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020070131384,40283997,,CN,CN,CN,,200810187101,20081212,101503295,20090812,,,200810187101,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020070131384,40283997,,JP,JP,JP,,2010537855,20081205,2011506251,20110303,,,2010537855,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020070131384,40283997,,KR,KR,WO,,2008007182,20081205,2009078605,20090625,,,2008007182,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020070131384,40283997,,KR,KR,WO,,2008007182,20081205,2009078605,20100722,,,2008007182,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020070131384,40283997,,TW,TW,TW,,97147725,20081208,200930688,20090716,,,97147725,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
