record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020230128731|1028591060000|반도체 에칭장치에 체결되는 그라파이트 기반 CVD-SiC 코팅 제품 세정방법|주식회사 월덱스,반도체 에칭장치에 체결되는 그라파이트 기반 CVD-SiC 코팅 제품 세정방법,주식회사 월덱스,1020230128731,1020250045614,1028591060000,등록,2023,2025,2025,H01J; H10P; B08B; C11D,,CVD; 반도체,True,True,False,58.0,C:\Agent_6.9\data\반도체\월덱스\tech\source\woldex_kipris_plus_bibliographic_raw.csv,19
1020210123464|1027007170000|곡면 가공 효율성을 향상시킨 반도체 부품소재 가공 장치|주식회사 월덱스,곡면 가공 효율성을 향상시킨 반도체 부품소재 가공 장치,주식회사 월덱스,1020210123464,1020230040181,1027007170000,등록,2021,2023,2024,B24B; H10P,,반도체,True,True,False,52.0,C:\Agent_6.9\data\반도체\월덱스\tech\source\woldex_kipris_plus_bibliographic_raw.csv,17
1020130077833|1014959010000|세라믹소재의 보트 결합 구조 및 그 접합 방법|주식회사 월덱스,세라믹소재의 보트 결합 구조 및 그 접합 방법,주식회사 월덱스,1020130077833,1020150004975,1014959010000,등록,2013,2015,2015,H10P,,CVD; 수율; 공정; 반도체,True,True,False,51.5,C:\Agent_6.9\data\반도체\월덱스\tech\source\woldex_kipris_plus_bibliographic_raw.csv,7
1020170065963|1019379610000|평탄화 작업이 필요 없는 질화규소 기판 및 그 제조방법|주식회사 월덱스,평탄화 작업이 필요 없는 질화규소 기판 및 그 제조방법,주식회사 월덱스,1020170065963,1020180130192,1019379610000,등록,2017,2018,2019,H10P; H10W,,공정; 기판,True,True,False,51.0,C:\Agent_6.9\data\반도체\월덱스\tech\source\woldex_kipris_plus_bibliographic_raw.csv,18
1020100010996|1011139870000|캐소드 결합을 위한 체결구 구조|주식회사 월덱스,캐소드 결합을 위한 체결구 구조,주식회사 월덱스,1020100010996,1020110091253,1011139870000,등록,2010,2011,2012,H10P; H01J,,공정; 반도체; 웨이퍼,True,True,False,50.0,C:\Agent_6.9\data\반도체\월덱스\tech\source\woldex_kipris_plus_bibliographic_raw.csv,9
1020210047960|1024988960000|샤워헤드 전극판용 부시 조립체 및 전극판과 플레이트의 결합구조체|주식회사 월덱스,샤워헤드 전극판용 부시 조립체 및 전극판과 플레이트의 결합구조체,주식회사 월덱스,1020210047960,1020220141622,1024988960000,등록,2021,2022,2023,H01J; H10P,,,True,True,False,49.0,C:\Agent_6.9\data\반도체\월덱스\tech\source\woldex_kipris_plus_bibliographic_raw.csv,8
1020070106681|1009015170000|플라즈마 챔버 캐소드의 볼트 체결구 및 그 체결방법|주식회사 월덱스,플라즈마 챔버 캐소드의 볼트 체결구 및 그 체결방법,주식회사 월덱스,1020070106681,1020090041132,1009015170000,등록,2007,2009,2009,H10P,,공정; 반도체; 웨이퍼,True,True,False,48.5,C:\Agent_6.9\data\반도체\월덱스\tech\source\woldex_kipris_plus_bibliographic_raw.csv,20
1020060072177|1007446390000|실리콘 단일재질의 플라즈마 챔버 캐소드 및 아웃링|주식회사 월덱스,실리콘 단일재질의 플라즈마 챔버 캐소드 및 아웃링,주식회사 월덱스,1020060072177,,1007446390000,등록,2006,2007,2007,H10P,,공정; 반도체; 웨이퍼,True,True,False,48.5,C:\Agent_6.9\data\반도체\월덱스\tech\source\woldex_kipris_plus_bibliographic_raw.csv,27
1020180124015|1021501640000|접합력을 향상시킨 세라믹소재의 웨이퍼 케리어 및 그 웨이퍼케리어 접합방법|주식회사 월덱스,접합력을 향상시킨 세라믹소재의 웨이퍼 케리어 및 그 웨이퍼케리어 접합방법,주식회사 월덱스,1020180124015,1020200043204,1021501640000,등록,2018,2020,2020,H10P; C09J,,웨이퍼,True,True,False,48.0,C:\Agent_6.9\data\반도체\월덱스\tech\source\woldex_kipris_plus_bibliographic_raw.csv,25
"1020240066669||고저항 및 낮은 잔류 실리콘 함량을 갖는 반응소결 탄화규소 소재, 그 조성물 및 그 제조방법|주식회사 월덱스","고저항 및 낮은 잔류 실리콘 함량을 갖는 반응소결 탄화규소 소재, 그 조성물 및 그 제조방법",주식회사 월덱스,1020240066669,1020250167401,,공개,2024,2025,,C04B,,전구체; 공정; 반도체,True,False,False,46.5,C:\Agent_6.9\data\반도체\월덱스\tech\source\woldex_kipris_plus_bibliographic_raw.csv,2
