source,corp_code,company,company_dir,stock_code,year,fs_div,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,amount,frmtrm_amount,currency,ord
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 6 기,674847713442.0,656887279237.0,KRW,1
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 6 기,37675321602.0,135099998502.0,KRW,2
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타유동채권,-,제 6 기,72402771662.0,54364056797.0,KRW,3
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,ifrs-full_CurrentContractAssets,유동계약자산,-,제 6 기,48331866926.0,28375071513.0,KRW,4
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,-표준계정코드 미사용-,유동당기손익-공정가치측정금융자산,-,제 6 기,143811537676.0,,KRW,5
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 6 기,330091795160.0,381059162422.0,KRW,6
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,-,제 6 기,24354436607.0,26422154122.0,KRW,7
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 6 기,18179983809.0,28380545021.0,KRW,8
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 6 기,,3186290860.0,KRW,9
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 6 기,492737877973.0,442754183744.0,KRW,10
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,ifrs-full_NoncurrentContractAssets,비유동계약자산,-,제 6 기,49165277781.0,50393190182.0,KRW,11
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,-표준계정코드 미사용-,비유동당기손익-공정가치측정금융자산,-,제 6 기,21937436868.0,16644165103.0,KRW,12
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,ifrs-full_InvestmentAccountedForUsingEquityMethod,관계기업및공동기업투자,-,제 6 기,10611827498.0,6053840740.0,KRW,13
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 6 기,333622496749.0,273194242957.0,KRW,14
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 6 기,42986995501.0,46273709085.0,KRW,15
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 6 기,5074077381.0,12075234686.0,KRW,16
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 6 기,503691750.0,504579750.0,KRW,17
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 6 기,26695444030.0,35516122768.0,KRW,18
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 6 기,2140630415.0,2099098473.0,KRW,19
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 6 기,1167585591415.0,1099641462981.0,KRW,20
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 6 기,359397009130.0,429851413083.0,KRW,22
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타유동채무,-,제 6 기,83535571480.0,87242499210.0,KRW,23
OpenDART_fnlttSinglAcntAll,1135941,원익IPS,wonik_ips,240810,2021,CFS,BS,재무상태표,dart_CurrentFirmCommitmentLiabilities,계약부채,-,제 6 기,232793375201.0,266676495863.0,KRW,24
