record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020210116692|1026091950000|황화카보닐(COS)의 신규 합성방법|(주)원익머트리얼즈,황화카보닐(COS)의 신규 합성방법,(주)원익머트리얼즈,1020210116692,1020230034451,1026091950000,등록,2021,2023,2023,C01B; B01J; H10P,,공정; 반도체,True,True,False,56.5,C:\Agent_6.9\data\반도체\원익머트리얼즈\tech\source\wonik_materials_kipris_plus_bibliographic_raw.csv,5
1020210185401|1026424690000|유기금속 전구체를 이용한 금속 박막 증착 방법|(주)원익머트리얼즈,유기금속 전구체를 이용한 금속 박막 증착 방법,(주)원익머트리얼즈,1020210185401,1020230096216,1026424690000,등록,2021,2023,2024,C23C,,전구체; Precursor; CVD,True,True,False,56.5,C:\Agent_6.9\data\반도체\원익머트리얼즈\tech\source\wonik_materials_kipris_plus_bibliographic_raw.csv,29
1020230040302|1028050570000|암모니아 기화기 시스템|(주)원익머트리얼즈,암모니아 기화기 시스템,(주)원익머트리얼즈,1020230040302,1020240145618,1028050570000,등록,2023,2024,2025,C01C; C01B; F17C; F28D,,공정,True,True,False,55.0,C:\Agent_6.9\data\반도체\원익머트리얼즈\tech\source\wonik_materials_kipris_plus_bibliographic_raw.csv,2
1020220091044|1026650710000|고순도 황화카르보닐(COS)의 제조반응 시스템|(주)원익머트리얼즈,고순도 황화카르보닐(COS)의 제조반응 시스템,(주)원익머트리얼즈,1020220091044,1020240013981,1026650710000,등록,2022,2024,2024,C01B; B01D,,고순도; 반도체,True,True,False,55.0,C:\Agent_6.9\data\반도체\원익머트리얼즈\tech\source\wonik_materials_kipris_plus_bibliographic_raw.csv,15
1020230119792|1029274470000|고순도 디보란(B2H6)의 제조방법|(주)원익머트리얼즈,고순도 디보란(B2H6)의 제조방법,(주)원익머트리얼즈,1020230119792,1020250037222,1029274470000,등록,2023,2025,2026,C01B,,고순도; 수율,True,True,False,53.5,C:\Agent_6.9\data\반도체\원익머트리얼즈\tech\source\wonik_materials_kipris_plus_bibliographic_raw.csv,6
1020120097931|1012557570000|암모니아 보란의 합성 시스템 및 이를 이용한 암모니아 보란의 제조방법|(주)원익머트리얼즈,암모니아 보란의 합성 시스템 및 이를 이용한 암모니아 보란의 제조방법,(주)원익머트리얼즈,1020120097931,,1012557570000,등록,2012,2013,2013,C01B; B01D; B01J,,고순도; 수율; 공정,True,True,False,51.5,C:\Agent_6.9\data\반도체\원익머트리얼즈\tech\source\wonik_materials_kipris_plus_bibliographic_raw.csv,8
"1020200184689|1022471990000|암모니아를 이용한 고순도 수소 제조방법, 이를 위한 제조장치 및 on-site형 모듈 시스템|(주)원익머트리얼즈|주식회사 원익홀딩스","암모니아를 이용한 고순도 수소 제조방법, 이를 위한 제조장치 및 on-site형 모듈 시스템",(주)원익머트리얼즈|주식회사 원익홀딩스,1020200184689,,1022471990000,등록,2020,2021,2021,C01B; B01D,,고순도; 공정,True,True,False,51.0,C:\Agent_6.9\data\반도체\원익머트리얼즈\tech\source\wonik_materials_kipris_plus_bibliographic_raw.csv,22
1020240011930|1027146630000|몰리브데넘 디옥시 디클로라이드의 제조방법|(주)원익머트리얼즈|원익머트리얼즈 노스 아메리카 엘엘씨,몰리브데넘 디옥시 디클로라이드의 제조방법,(주)원익머트리얼즈|원익머트리얼즈 노스 아메리카 엘엘씨,1020240011930,,1027146630000,등록,2024,2024,2024,C01G,,수율,True,True,False,50.5,C:\Agent_6.9\data\반도체\원익머트리얼즈\tech\source\wonik_materials_kipris_plus_bibliographic_raw.csv,16
1020170173004|1020214130000|반도체 제조 공정용 건식 세정 가스 및 이를 사용하는 세정 방법|(주)원익머트리얼즈,반도체 제조 공정용 건식 세정 가스 및 이를 사용하는 세정 방법,(주)원익머트리얼즈,1020170173004,1020190072006,1020214130000,등록,2017,2019,2019,H10P,,공정; 반도체,True,True,False,49.5,C:\Agent_6.9\data\반도체\원익머트리얼즈\tech\source\wonik_materials_kipris_plus_bibliographic_raw.csv,17
1020170011256|1018688110000|플루오르화붕소 정제방법|(주)원익머트리얼즈,플루오르화붕소 정제방법,(주)원익머트리얼즈,1020170011256,,1018688110000,등록,2017,2018,2018,C01B; B01D; B01J,,고순도,True,True,False,49.5,C:\Agent_6.9\data\반도체\원익머트리얼즈\tech\source\wonik_materials_kipris_plus_bibliographic_raw.csv,27
