application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020210102720,1020230020836,1029670700000,등록,등록,감광성 수지 조성물 및 이를 포함하는 표시 장치,주식회사 동진쎄미켐
1020210111834,1020230029396,1029662590000,등록,등록,신규한 캡핑층용 유기화합물 및 이를 포함하는 유기 발광 소자,주식회사 동진쎄미켐
1020230093118,1020230115273,,공개,공개,신규한 캡핑층용 화합물 및 이를 포함하는 유기 발광 소자,주식회사 동진쎄미켐
1020210181042,1020230092100,,공개,공개,"염 화합물 및 이를 포함하는 산확산 억제제, 포토레지스트 조성물",주식회사 동진쎄미켐
1020210084673,1020220004560,,공개,공개,휘발산을 포함하지 않는 식각액 조성물,주식회사 동진쎄미켐
1020210030932,1020210114353,,공개,공개,"광경화 접착성 조성물, 적층체 및 기재 제조 방법",주식회사 동진쎄미켐|삼성디스플레이 주식회사
1020210193377,1020230102906,1029641180000,등록,등록,태양 전지 및 이를 형성하는 방법,주식회사 동진쎄미켐
1020220093907,1020240015965,,공개,공개,"경화막, 이를 형성하는 감광성 수지 조성물 및 표시장치",주식회사 동진쎄미켐
1020210188962,1020230099525,,공개,공개,"산화 흑연, 산화 그래핀 및 환원된 산화 그래핀",주식회사 동진쎄미켐
1020210194071,1020230103290,,공개,공개,입체 영상 가변 장치 및 이를 포함하는 디스플레이 장치,주식회사 동진쎄미켐|가천대학교 산학협력단
1020210186382,1020230096667,,거절,거절,"이차전지 전극용 도전재 슬러리, 이를 포함하는 이차전지 전극 및 이차전지",주식회사 동진쎄미켐
1020200181127,1020220090179,,공개,공개,이차전지 전극용 도전재 선분산 슬러리와 그 제조방법 및 도전재 선분산 슬러리를 적용하여 제조된 전극과 상기 전극을 구비한 이차전지,주식회사 동진쎄미켐
1020230057963,1020240161875,,공개,공개,포토레지스트 박리용 조성물,주식회사 동진쎄미켐|삼성디스플레이 주식회사
1020190136335,1020200050407,,공개,공개,신규한 캡핑층용 화합물 및 이를 포함하는 유기 발광 소자,주식회사 동진쎄미켐
1020050102805,1020070046290,1012074460000,소멸,소멸,포토레지스트용 폴리머 및 이를 포함하는 포토레지스트조성물,주식회사 동진쎄미켐
1020240145471,1020260059043,,공개,공개,"광경화성 조성물, 경화막, 이를 포함하는 전자소자, 및 전자소자의 제조방법",주식회사 동진쎄미켐
1020230050613,1020240154256,,공개,공개,박막 형성용 전구체 화합물 및 이를 사용한 반도체 장치의 제조방법,에스케이하이닉스 주식회사|주식회사 동진쎄미켐
1020230065590,1020230082002,,공개,공개,신규한 캡핑층용 화합물 및 이를 포함하는 유기 발광 소자,주식회사 동진쎄미켐
1020150062006,1020160130046,1024025980000,등록,등록,표시 장치용 포지티브형 감광성 수지 조성물 및 이를 포함하는 표시 장치,삼성디스플레이 주식회사|주식회사 동진쎄미켐
1020150177871,1020170070871,1025299510000,등록,등록,포토 레지스트 박리제 조성물 및 이를 이용한 박막 트랜지스터 어레이의 제조 방법,삼성디스플레이 주식회사|주식회사 동진쎄미켐
1020130124924,1020150045331,1022569300000,등록,등록,식각액 조성물 및 이를 이용한 금속 패턴 제조방법,삼성디스플레이 주식회사|주식회사 동진쎄미켐
1020050101224,1020070044913,1012804780000,소멸,소멸,감광성 수지 조성물,주식회사 동진쎄미켐
1020090042173,1020100123131,1016193800000,등록,등록,식각액 조성물 및 이를 이용한 어레이 기판의 제조방법,삼성디스플레이 주식회사|주식회사 동진쎄미켐
1020200145671,1020210056910,,공개,공개,원자층 증착 및 기상 증착용 기판 표면 개질제 및 이를 이용한 기판 표면의 개질 방법,주식회사 동진쎄미켐
1020250044540,1020260053984,,공개,공개,금속막 형성용 전구체 화합물 및 이를 이용한 금속막,주식회사 동진쎄미켐
1020210068430,1020220161594,,공개,공개,식각액 조성물 및 이를 이용한 표시 장치의 제조 방법,삼성디스플레이 주식회사|주식회사 동진쎄미켐
1020210109576,1020220023313,,공개,공개,아조 화합물의 제조장치,주식회사 동진쎄미켐
1020210109575,1020220023312,,공개,공개,아조 화합물의 제조방법,주식회사 동진쎄미켐
1020210121273,1020220034704,,공개,공개,반사성 전극 보호층용 화합물 및 이를 포함하는 배면 발광 소자,주식회사 동진쎄미켐
1020220007427,1020230111497,,공개,공개,포토레지스트 조성물,주식회사 동진쎄미켐|삼성디스플레이 주식회사
1020170147820,1020190052727,1023459800000,등록,등록,감광성 수지 조성물 및 이를 이용한 패턴 형성 방법,삼성디스플레이 주식회사|주식회사 동진쎄미켐
1020050017291,1020060096629,1011150890000,소멸,소멸,유기 반사방지막 형성용 유기 중합체 및 이를 포함하는 유기 조성물,주식회사 동진쎄미켐
1020050038213,1020060045957,1011672400000,소멸,소멸,레지스트 제거용 조성물,주식회사 동진쎄미켐
1020170119292,1020180043726,1026504090000,등록,등록,신규 화합물 및 이를 포함하는 유기 발광 소자,주식회사 동진쎄미켐
1020170078423,1020180138333,,거절,거절,신규 화합물 및 이를 포함하는 유기 발광 소자,주식회사 동진쎄미켐
1020180136723,1020200053284,1027501460000,등록,등록,신규 화합물 및 이를 포함하는 유기발광 소자,주식회사 동진쎄미켐
1020130087572,1020140015202,1021692730000,등록,등록,아크리딘 유도체를 포함하는 유기발광 화합물 및 이를 포함하는 유기발광소자,주식회사 동진쎄미켐
1020200148318,1020220015893,,취하,취하,신규한 캡핑층용 화합물 및 이를 포함하는 유기 발광 소자,주식회사 동진쎄미켐
1020210049983,1020210128363,1025598760000,등록,등록,신규한 캡핑층용 화합물 및 이를 포함하는 유기 발광 소자,주식회사 동진쎄미켐
1020120072295,1020140005411,1019226250000,등록,등록,금속 배선 식각액 및 이를 이용한 금속 배선 형성 방법,삼성디스플레이 주식회사|주식회사 동진쎄미켐
1020200153658,1020220015894,,취하,취하,신규한 캡핑층용 화합물 및 이를 포함하는 유기 발광 소자,주식회사 동진쎄미켐
1020090120130,1020110063175,1015667890000,등록,등록,"술폰산기를 갖는 폴리(아릴렌에테르) 공중합체, 이의 제조방법 및 이를 이용한 연료전지용 고분자 전해질 막",현대자동차주식회사|주식회사 동진쎄미켐
1020130113420,1020150033821,1021753130000,등록,등록,"식각액 조성물, 및 이를 이용한 금속 배선과 박막 트랜지스터 기판 형성 방법",삼성디스플레이 주식회사|주식회사 동진쎄미켐
1020030020360,1020040085609,1009341520000,소멸,소멸,유기 전기발광 소자,주식회사 동진쎄미켐
1020050091723,1020070095496,,거절,거절,유기발광 다이오드(OLED)의 캡가공용 감광성 수지 조성물,주식회사 동진쎄미켐
1020030020069,1020040085400,1009155460000,소멸,소멸,유기 전기발광 디스플레이 소자의 음극격벽,주식회사 동진쎄미켐
1020050030378,1020060108176,1011842050000,소멸,소멸,"감광성 화합물, 감광성 고분자 수지 및 이를 포함하는 화학증폭형 포토레지스트 조성물",주식회사 동진쎄미켐
