source,corp_code,company,company_dir,stock_code,year,share_class,common_shares,raw,diluted_shares
OpenDART_stockTotqySttus,563545,두산테스나,doosan_tesna,131970,2021,보통주,14759577.0,"{""rcept_no"": ""20220321001055"", ""corp_cls"": ""K"", ""corp_code"": ""00563545"", ""corp_name"": ""두산테스나"", ""se"": ""보통주"", ""isu_stock_totqy"": ""40,000,000"", ""now_to_isu_stock_totqy"": ""14,759,577"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""14,759,577"", ""tesstk_co"": ""88,705"", ""distb_stock_co"": ""14,670,872"", ""stlm_dt"": ""2021-12-31""}",14759577.0
OpenDART_stockTotqySttus,563545,두산테스나,doosan_tesna,131970,2021,우선주,2320672.0,"{""rcept_no"": ""20220321001055"", ""corp_cls"": ""K"", ""corp_code"": ""00563545"", ""corp_name"": ""두산테스나"", ""se"": ""우선주"", ""isu_stock_totqy"": ""10,000,000"", ""now_to_isu_stock_totqy"": ""2,320,672"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""2,320,672"", ""tesstk_co"": ""-"", ""distb_stock_co"": ""2,320,672"", ""stlm_dt"": ""2021-12-31""}",2320672.0
OpenDART_stockTotqySttus,563545,두산테스나,doosan_tesna,131970,2021,합계,17080249.0,"{""rcept_no"": ""20220321001055"", ""corp_cls"": ""K"", ""corp_code"": ""00563545"", ""corp_name"": ""두산테스나"", ""se"": ""합계"", ""isu_stock_totqy"": ""50,000,000"", ""now_to_isu_stock_totqy"": ""17,080,249"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""17,080,249"", ""tesstk_co"": ""88,705"", ""distb_stock_co"": ""16,991,544"", ""stlm_dt"": ""2021-12-31""}",17080249.0
OpenDART_stockTotqySttus,563545,두산테스나,doosan_tesna,131970,2021,비고,,"{""rcept_no"": ""20220321001055"", ""corp_cls"": ""K"", ""corp_code"": ""00563545"", ""corp_name"": ""두산테스나"", ""se"": ""비고"", ""isu_stock_totqy"": ""-"", ""now_to_isu_stock_totqy"": ""-"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""-"", ""tesstk_co"": ""-"", ""distb_stock_co"": ""-"", ""stlm_dt"": ""2021-12-31""}",
OpenDART_stockTotqySttus,563545,두산테스나,doosan_tesna,131970,2022,보통주,14759577.0,"{""rcept_no"": ""20230321001018"", ""corp_cls"": ""K"", ""corp_code"": ""00563545"", ""corp_name"": ""두산테스나"", ""se"": ""보통주"", ""isu_stock_totqy"": ""40,000,000"", ""now_to_isu_stock_totqy"": ""14,759,577"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""14,759,577"", ""tesstk_co"": ""88,705"", ""distb_stock_co"": ""14,670,872"", ""stlm_dt"": ""2022-12-31""}",14759577.0
OpenDART_stockTotqySttus,563545,두산테스나,doosan_tesna,131970,2022,우선주,2320672.0,"{""rcept_no"": ""20230321001018"", ""corp_cls"": ""K"", ""corp_code"": ""00563545"", ""corp_name"": ""두산테스나"", ""se"": ""우선주"", ""isu_stock_totqy"": ""10,000,000"", ""now_to_isu_stock_totqy"": ""2,320,672"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""2,320,672"", ""tesstk_co"": ""-"", ""distb_stock_co"": ""2,320,672"", ""stlm_dt"": ""2022-12-31""}",2320672.0
OpenDART_stockTotqySttus,563545,두산테스나,doosan_tesna,131970,2022,합계,17080249.0,"{""rcept_no"": ""20230321001018"", ""corp_cls"": ""K"", ""corp_code"": ""00563545"", ""corp_name"": ""두산테스나"", ""se"": ""합계"", ""isu_stock_totqy"": ""50,000,000"", ""now_to_isu_stock_totqy"": ""17,080,249"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""17,080,249"", ""tesstk_co"": ""88,705"", ""distb_stock_co"": ""16,991,544"", ""stlm_dt"": ""2022-12-31""}",17080249.0
OpenDART_stockTotqySttus,563545,두산테스나,doosan_tesna,131970,2022,비고,,"{""rcept_no"": ""20230321001018"", ""corp_cls"": ""K"", ""corp_code"": ""00563545"", ""corp_name"": ""두산테스나"", ""se"": ""비고"", ""isu_stock_totqy"": ""-"", ""now_to_isu_stock_totqy"": ""-"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""-"", ""tesstk_co"": ""-"", ""distb_stock_co"": ""-"", ""stlm_dt"": ""2022-12-31""}",
OpenDART_stockTotqySttus,563545,두산테스나,doosan_tesna,131970,2023,보통주,17006566.0,"{""rcept_no"": ""20240320000768"", ""corp_cls"": ""K"", ""corp_code"": ""00563545"", ""corp_name"": ""두산테스나"", ""se"": ""보통주"", ""isu_stock_totqy"": ""40,000,000"", ""now_to_isu_stock_totqy"": ""17,006,566"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""17,006,566"", ""tesstk_co"": ""88,705"", ""distb_stock_co"": ""16,917,861"", ""stlm_dt"": ""2023-12-31""}",17006566.0
OpenDART_stockTotqySttus,563545,두산테스나,doosan_tesna,131970,2023,우선주,2320672.0,"{""rcept_no"": ""20240320000768"", ""corp_cls"": ""K"", ""corp_code"": ""00563545"", ""corp_name"": ""두산테스나"", ""se"": ""우선주"", ""isu_stock_totqy"": ""10,000,000"", ""now_to_isu_stock_totqy"": ""2,320,672"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""2,320,672"", ""tesstk_co"": ""-"", ""distb_stock_co"": ""2,320,672"", ""stlm_dt"": ""2023-12-31""}",2320672.0
