application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020210103801,1020230021880,,공개,공개,신규한 중합체 및 이를 포함하는 감광성 수지 조성물,주식회사 이엔에프테크놀로지
1020200087899,1020220009561,,공개,공개,식각액 조성물,주식회사 이엔에프테크놀로지
1020230070111,1020240171763,,공개,공개,슬러리 및 이를 이용한 연마 방법,주식회사 이엔에프테크놀로지|한양대학교 산학협력단
1020230070110,1020240171762,,공개,공개,슬러리 및 이를 이용한 연마 방법,주식회사 이엔에프테크놀로지|한양대학교 산학협력단
1020210097192,1020230015718,,공개,공개,반도체 기판 처리용 조성물,주식회사 이엔에프테크놀로지
1020220137664,1020240057201,,공개,공개,반도체 기판 세정제 조성물 및 이를 이용한 세정방법,주식회사 이엔에프테크놀로지|에스케이하이닉스 주식회사
1020210121626,1020230038933,,공개,공개,실리콘 선택적 식각액 조성물,주식회사 이엔에프테크놀로지|에스케이하이닉스 주식회사
1020220111828,1020240033328,,공개,공개,신규한 중합체 및 이를 포함하는 감광성 수지 조성물,주식회사 이엔에프테크놀로지
1020260069967,1020260060273,,공개,공개,포토레지스트 박리액 조성물,주식회사 이엔에프테크놀로지
1020160059966,1020170129369,1025398410000,등록,등록,"트리아진 유도체, 이를 포함하는 안료 분산 조제 및 이를 포함하는 안료 분산액",주식회사 이엔에프테크놀로지
1020150139500,1020170040477,1023987550000,등록,등록,포토레지스트 박리액 조성물,주식회사 이엔에프테크놀로지
1020180069142,1020190142077,1022504330000,등록,등록,폴리실록산계 화합물 및 이를 포함하는 실리콘 질화막 식각 조성물,주식회사 이엔에프테크놀로지
1020190104332,1020200026716,1022583070000,등록,등록,실리콘 질화막 식각 조성물 및 이를 이용한 방법,주식회사 이엔에프테크놀로지
1020160070066,1020170138106,1025402530000,등록,등록,칼라 필터용 박리액 조성물,주식회사 이엔에프테크놀로지
1020180103854,1020200025887,1022582960000,등록,등록,실리콘 질화막 식각 조성물,주식회사 이엔에프테크놀로지
1020190050216,1020200126500,1022607430000,등록,등록,실리콘 질화막 식각 조성물,주식회사 이엔에프테크놀로지
1020150051908,1020160122328,1023953860000,등록,등록,고순도 글리콜계 화합물의 제조방법,삼성디스플레이 주식회사|주식회사 이엔에프테크놀로지
1020170140072,1020180048344,1024042260000,등록,등록,식각 조성물,주식회사 이엔에프테크놀로지
1020170056239,1020180122141,1023985930000,등록,등록,실리콘 질화막에 대한 선택적 에칭을 위한 식각 조성물,주식회사 이엔에프테크놀로지
1020210083719,1020230001155,1029565340000,등록,등록,포토레지스트 박리액 조성물,주식회사 이엔에프테크놀로지
1020180072689,1020200000640,1022583160000,등록,등록,실리콘 질화막 식각 조성물,주식회사 이엔에프테크놀로지
1020230030053,1020230039621,1025377040000,등록,등록,식각 조성물,주식회사 이엔에프테크놀로지
1020220138200,1020240057696,,공개,공개,실리콘 산화질화막 선택적 식각 조성물,주식회사 이엔에프테크놀로지|에스케이하이닉스 주식회사
1020220124070,1020240044708,,공개,공개,IGZO 기판용 박리액 조성물,주식회사 이엔에프테크놀로지
1020140111020,1020160025081,1022555770000,등록,등록,식각액 조성물,엘지디스플레이 주식회사|주식회사 이엔에프테크놀로지
1020240054171,1020250155325,,공개,공개,몰리브덴을 함유하는 금속막용 식각액 조성물,주식회사 이엔에프테크놀로지
1020240054157,1020250155317,,공개,공개,몰리브덴을 함유하는 금속막용 식각액 조성물,주식회사 이엔에프테크놀로지
1020210076650,1020220167545,,공개,공개,신규한 중합체 및 이를 포함하는 감광성 수지 조성물,주식회사 이엔에프테크놀로지
1020210192264,1020230102276,,공개,공개,실리콘 선택적 식각액 조성물,주식회사 이엔에프테크놀로지
1020240042587,1020250147787,,공개,공개,은 함유 금속막 식각액 조성물 및 그 제조방법,주식회사 이엔에프테크놀로지|삼성디스플레이 주식회사
