record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020210083719|1029565340000|포토레지스트 박리액 조성물|주식회사 이엔에프테크놀로지,포토레지스트 박리액 조성물,주식회사 이엔에프테크놀로지,1020210083719,1020230001155,1029565340000,등록,2021,2023,2026,G03F; C11D,,공정; 반도체; 소자,True,True,False,58.0,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,20
1020210097192||반도체 기판 처리용 조성물|주식회사 이엔에프테크놀로지,반도체 기판 처리용 조성물,주식회사 이엔에프테크놀로지,1020210097192,1020230015718,,공개,2021,2023,,C09K; C11D; H10P,,수율; 공정; 기판; 반도체; 웨이퍼,True,False,False,55.5,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,5
1020220137664||반도체 기판 세정제 조성물 및 이를 이용한 세정방법|주식회사 이엔에프테크놀로지|에스케이하이닉스 주식회사,반도체 기판 세정제 조성물 및 이를 이용한 세정방법,주식회사 이엔에프테크놀로지|에스케이하이닉스 주식회사,1020220137664,1020240057201,,공개,2022,2024,,C11D; H10P,,수율; 공정; 기판; 반도체; 소자,True,False,False,54.0,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,6
1020160070066|1025402530000|칼라 필터용 박리액 조성물|주식회사 이엔에프테크놀로지,칼라 필터용 박리액 조성물,주식회사 이엔에프테크놀로지,1020160070066,1020170138106,1025402530000,등록,2016,2017,2023,G03F; C11D; C07D,,공정; 기판,True,True,False,52.5,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,14
1020190104332|1022583070000|실리콘 질화막 식각 조성물 및 이를 이용한 방법|주식회사 이엔에프테크놀로지,실리콘 질화막 식각 조성물 및 이를 이용한 방법,주식회사 이엔에프테크놀로지,1020190104332,1020200026716,1022583070000,등록,2019,2020,2021,C09K; H10P,,반도체; 소자,True,True,False,51.0,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,13
1020180103854|1022582960000|실리콘 질화막 식각 조성물|주식회사 이엔에프테크놀로지,실리콘 질화막 식각 조성물,주식회사 이엔에프테크놀로지,1020180103854,1020200025887,1022582960000,등록,2018,2020,2021,C09K; H10P,,반도체; 소자,True,True,False,51.0,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,15
1020190050216|1022607430000|실리콘 질화막 식각 조성물|주식회사 이엔에프테크놀로지,실리콘 질화막 식각 조성물,주식회사 이엔에프테크놀로지,1020190050216,1020200126500,1022607430000,등록,2019,2020,2021,C09K; H10P,,반도체; 소자,True,True,False,51.0,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,16
1020180072689|1022583160000|실리콘 질화막 식각 조성물|주식회사 이엔에프테크놀로지,실리콘 질화막 식각 조성물,주식회사 이엔에프테크놀로지,1020180072689,1020200000640,1022583160000,등록,2018,2020,2021,C09K; H10P,,공정; 반도체,True,True,False,51.0,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,21
1020260069967||포토레지스트 박리액 조성물|주식회사 이엔에프테크놀로지,포토레지스트 박리액 조성물,주식회사 이엔에프테크놀로지,1020260069967,1020260060273,,공개,2026,2026,,G03F; C11D,,공정; 반도체; 소자,True,False,False,48.0,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,9
"1020160059966|1025398410000|트리아진 유도체, 이를 포함하는 안료 분산 조제 및 이를 포함하는 안료 분산액|주식회사 이엔에프테크놀로지","트리아진 유도체, 이를 포함하는 안료 분산 조제 및 이를 포함하는 안료 분산액",주식회사 이엔에프테크놀로지,1020160059966,1020170129369,1025398410000,등록,2016,2017,2023,C07D; C09C; C09B; G03F,,,True,True,False,48.0,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,10
