source,corp_code,company,company_dir,stock_code,year,fs_div,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,amount,frmtrm_amount,currency,ord
OpenDART_fnlttSinglAcntAll,531014,유진테크,eugene_tech,84370,2021,CFS,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 22 기,141912611745.0,133619387210.0,KRW,1
OpenDART_fnlttSinglAcntAll,531014,유진테크,eugene_tech,84370,2021,CFS,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 22 기,94914467848.0,86234503120.0,KRW,2
OpenDART_fnlttSinglAcntAll,531014,유진테크,eugene_tech,84370,2021,CFS,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 22 기,37962596547.0,39864653974.0,KRW,3
OpenDART_fnlttSinglAcntAll,531014,유진테크,eugene_tech,84370,2021,CFS,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,비유동 기타포괄손익-공정가치 측정 금융자산,-,제 22 기,2312360000.0,2417240000.0,KRW,4
OpenDART_fnlttSinglAcntAll,531014,유진테크,eugene_tech,84370,2021,CFS,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 22 기,5610989642.0,4226928633.0,KRW,5
OpenDART_fnlttSinglAcntAll,531014,유진테크,eugene_tech,84370,2021,CFS,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 22 기,842640539.0,639566772.0,KRW,6
OpenDART_fnlttSinglAcntAll,531014,유진테크,eugene_tech,84370,2021,CFS,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동비금융자산,-,제 22 기,269557169.0,236494711.0,KRW,7
OpenDART_fnlttSinglAcntAll,531014,유진테크,eugene_tech,84370,2021,CFS,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 22 기,240979230283.0,160340273812.0,KRW,8
OpenDART_fnlttSinglAcntAll,531014,유진테크,eugene_tech,84370,2021,CFS,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 22 기,78436611157.0,56206266723.0,KRW,9
OpenDART_fnlttSinglAcntAll,531014,유진테크,eugene_tech,84370,2021,CFS,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 22 기,20591063226.0,11032211622.0,KRW,10
OpenDART_fnlttSinglAcntAll,531014,유진테크,eugene_tech,84370,2021,CFS,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 22 기,,,KRW,11
OpenDART_fnlttSinglAcntAll,531014,유진테크,eugene_tech,84370,2021,CFS,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,-,제 22 기,110057432294.0,68570133172.0,KRW,12
OpenDART_fnlttSinglAcntAll,531014,유진테크,eugene_tech,84370,2021,CFS,BS,재무상태표,dart_OtherCurrentAssets,기타유동비금융자산,-,제 22 기,1886004693.0,1645524652.0,KRW,13
