application_number,application_no,open_number,publication_no,register_number,registration_no,register_status,final_disposal,legal_status,invention_title,title,right_holder,applicant,inventor,application_date,application_year,open_date,publication_date,register_date,registration_date,ipc_number,ipc,cpc_number,cpc,abstract,claim_text,claims,url,drawing,is_registered,is_alive_estimated,has_negative_disposal_estimated,tech_keyword_match_count,source_file,source_sheet,source_row
1020040098987,1020040098987,1020050053496,1020050053496,,,취하,취하,취하 취하,패턴화된 멀티레벨 수직 자기 기록 매체,패턴화된 멀티레벨 수직 자기 기록 매체,에이취지에스티 네덜란드 비.브이.,에이취지에스티 네덜란드 비.브이.,,20041130,2004,20050608,20050608,,,G11B 5/66|G11B 5/74|G11B 5/855|G11B 5/127|G11B 5/00,G11B 5/66|G11B 5/74|G11B 5/855|G11B 5/127|G11B 5/00,,,"패턴화된 수직 자기 기록 매체는 멀티레벨 기록을 제공하도록 개개의 자성 셀들의 적층들을 포함하는 자성 섬을 갖는다. 자성 섬의 각 셀은 그 셀에 수직 자기 이방성을 제공하도록 하나의 재료 또는 재료 세트로 형성되고, 단일의 자기 도메인이다. 각 셀은 자신이 속해 있는 자성 섬 내의 비자성 스페이서층에 의해 다른 셀과 자기적으로 분리되어 있다. 따라서, 각 셀은 2개의 방향(셀을 형성하는 층의 평면에 대한 입력 방향 또는 출력 방향) 중 하나의 방향의 자화(자기 모멘트)를 가질 수 있고, 이 자화는 자신이 속해 있는 자성 섬 내의 다른 셀의 자화와는 독립 상태에 있다. 이것에 의해서, 다수의 자기 신호 레벨 또는 상태가 각 자성 섬마다 기록될 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd035bfb5ff666db4c9ccf2ab65a39879348fe36765fbcee9f437bdd8c95c504f8060d683400166b3e2c,False,False,True,0,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,,2
1020040057167,1020040057167,1020050012153,1020050012153,,,거절,거절,거절 거절,자기 레코딩용의 자기 이방성 조절식 적층형 자기 박막,자기 레코딩용의 자기 이방성 조절식 적층형 자기 박막,에이취지에스티 네덜란드 비.브이.,에이취지에스티 네덜란드 비.브이.,,20040722,2004,20050131,20050131,,,G11B 5/66|G11B 5/012|G11B 5/65|G11B 5/74|G11B 5/851|G11B 5/00,G11B 5/66|G11B 5/012|G11B 5/65|G11B 5/74|G11B 5/851|G11B 5/00,,,"자기 이방성이 상이한 적어도 2개의 적층형 강자성 층을 포함하는 본 발명의 다수의 실시예가 개시되어 있다. 레코딩 헤드로부터 멀리 떨어진 독립적인 강자성 층은 레코딩 헤드의 자장이 이 레코딩 헤드로부터의 거리가 증가됨에 따라 감소되더라도 다중 자기층의 자기 스위칭이 대략 동일한 헤드 기록 전류에서 발생되게 하는 낮은 자기 이방성을 갖도록 선택된다. 개선된 스위칭은 자기 레코딩 성능을 향상시킨다. 본 발명에 따른 적층형 자기 매체는 표준화 DC 소거 잡음 대 헤드 기록 전류 플롯에서 단일의 피크를 가질 수 있으며, 이는 비슬레이브 자기층의 자기 변환이 동일한 헤드 기록 전류에서 기록된다는 것을 나타낸다. 그 결과, 자기 펄스폭( PW 50 )이 감소되고, 오버라이트( OW )가 개선되며, 매체의 신호 대 잡음비( S o NR )가 개선된다. 별법으로서, 적층형 강자성 층의 한쪽 또는 양쪽은 반강자성(AF) 결합식 층 구조로 대체될 수 있는데, 이 층 구조는 스페이서층에 의해 분리된 AFC-마스터 층과 AFC-슬레이브 층을 구비하고, 상기 스페이서층은 AFC-마스터 층과 AFC-슬레이브 층을 반강자성으로 결합시키도록 선택된다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd035bfb5ff666db4c9ccf2ab65a3987934899e37afbb1dfa5f948502c2764db0cc52f14381bff49f155,False,False,True,0,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,,3
1020060080307,1020060080307,1020070041317,1020070041317,,,취하,취하,취하 취하,"고-모멘트, 고내식성 연성 하부층(SUL)을 갖는 수직자기 기록 시스템 및 매체","고-모멘트, 고내식성 연성 하부층(SUL)을 갖는 수직자기 기록 시스템 및 매체",에이취지에스티 네덜란드 비.브이.,에이취지에스티 네덜란드 비.브이.,,20060824,2006,20070418,20070418,,,G11B 5/66|G11B 5/68|G11B 5/706|G11B 5/73|G11B 5/127|G11B 5/00,G11B 5/66|G11B 5/68|G11B 5/706|G11B 5/73|G11B 5/127|G11B 5/00,,,"본 발명의 수직 자기 기록 디스크는 고내식성 뿐만 아니라 고모멘트를 갖는 연성 하부층(SUL)을 포함한다. SUL의 재료는 Co, Fe, X, 및 Y를 함유하는 합금으로, X는 Ta 또는 Nb이고, Y는 Zr 또는 Hf이다. 또한 합금 내 X와 Y의 혼합비는 약 10 내지 20 원자 퍼센트이다. 합금 내 Co 대 Fe의 원자 비율은 약 90:10 내지 10:90이며, 바람직하게는 25:75 내지 35:65이다. SUL은 단일층의 SUL이거나, 또는 하나 또는 그 이상의 층간막에 의해 분리된 다수의 연성 자기층으로 형성된 다층의 SUL일 수 있다. 하드 디스크, 기록 디스크, 기록 매체, 수직 자기 기록, 연성 하부층, SUL",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd035bfb5ff666db4c9cfe49d03e6a3dce010913a4c03b3e18e895016648c2ea9e473a676fe891a0aaaf,False,False,True,0,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,,4
1020040012917,1020040012917,1020040076819,1020040076819,,,취하,취하,취하 취하,쓰기 지원층이 있는 자기 기록 매체,쓰기 지원층이 있는 자기 기록 매체,에이취지에스티 네덜란드 비.브이.,에이취지에스티 네덜란드 비.브이.,,20040226,2004,20040903,20040903,,,G11B 5/66|B32B 27/08,G11B 5/66|B32B 27/08,,,"자기 기록 디스크는 강자성 기록층과 접촉하고 교환 결합되는 강자성 기록층 및 상자성 쓰기 지원층을 갖는다. 그 쓰기 지원층은, 동작 온도에서 그리고 쓰기 자기장의 부재시, 쓰기 지원층이 상자성 상태에 있고 잔류 자화가 없도록 디스크 드라이브의 동작 온도 이하의 퀴리 온도를 갖는 상자성 물질이다. 그 강자성 기록층의 이전에 쓰여진 영역에서 자화와 반대 방향으로 쓰기 자기장이 인가되는 경우에, 그 쓰기 지원층은 쓰기 자기장에 정렬된 자화를 나타내고, 강자성 기록층에서 자화를 교환 결합에 의해 반대로 할 때 쓰기 자기장을 지원한다. 그 쓰기 지원층에 의해 높은 이방성 물질이 강자성 기록층에 이용될 수 있으며, 이로 인하여, 쓰기 동안에 강자성 기록층의 유효 이방성이 줄어들기 때문에 매체의 열적 안정성이 향상된다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd035bfb5ff666db4c9ccf2ab65a398793482e10b88503e5fe103bb14d381fd2f7f54135d62c70dfe59e,False,False,True,0,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,,5
1020010034451,1020010034451,1020010114151,1020010114151,1004707720000,1004707720000,소멸,소멸,소멸 소멸,이온 조사에 의해 패터닝된 자성 비트 영역을 갖는 자기 기록 매체,이온 조사에 의해 패터닝된 자성 비트 영역을 갖는 자기 기록 매체,에이취지에스티 네덜란드 비.브이.,에이취지에스티 네덜란드 비.브이.,,20010618,2001,20011229,20011229,20050131,20050131,G11B 5/84|G11B 5/65|G11B 5/82|G11B 5/74|G11B 5/00,G11B 5/84|G11B 5/65|G11B 5/82|G11B 5/74|G11B 5/00,,,"패터닝된 자기 기록 디스크는 실질적으로 화학 조성이 동일한 불연속적인 자성 영역과 비자성 영역으로 패터닝된 자기 기록층을 갖는다. 비자성 영역은 화학적으로 정렬된 L1 2 결정 구조를 갖고, 자성 영역은 화학적으로 비정렬된 결정 구조를 갖는다. 비강자성인 화학적으로 정렬된 금속간 화합물 FePt 3 는 이온 조사에 의해 강자성이 부여된다. 이 FePt 3 물질은 마스크를 통한 국부 영역의 이온 조사에 의해 패터닝되어 자성 비트로서 작용하는 자성 영역을 생성시킨다. 이온은 마스크중의 개구를 통과하여 마스크중의 구멍의 패턴에 상응하는 선택된 영역에서 화학적으로 정렬된 FePt 3 에 충돌한다. 이온은 단위 셀중의 Fe 및 Pt 원자의 정렬을 교란시키고, FePt 3 을 마스크 패턴에 상응하는 자성 영역으로 변환시키고, 이온과 충돌하지 않은 영역은 그들의 화학적으로 정렬된 구조를 보유한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd035bfb5ff666db4c9cfad0bf93f73520e6070e4b28e31323a61001ce2b43505e989e0ef199e2d0ed45,True,False,True,0,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,,6
1020040100158,1020040100158,1020050053501,1020050053501,,,취하,취하,취하 취하,패터닝된 다중 레벨 수직 자기 기록 매체를 구비한 자기기록 시스템,패터닝된 다중 레벨 수직 자기 기록 매체를 구비한 자기기록 시스템,에이취지에스티 네덜란드 비.브이.,에이취지에스티 네덜란드 비.브이.,,20041202,2004,20050608,20050608,,,G11B 5/66|G11B 5/127|G11B 5/74|G11B 5/855|G11B 5/00,G11B 5/66|G11B 5/127|G11B 5/74|G11B 5/855|G11B 5/00,,,"본 발명은 패터닝된 수직 자기 기록 매체를 이용하는 자기 기록 디스크 드라이브와 같은 자기 기록 시스템에 관한 것으로서, 각각의 자기 블럭, 즉 아일랜드(island)는 다중 레벨 기록을 제공하기 위해 개개의 자기 셀들(magnetic cells)의 스택(stack)을 포함한다. 아일랜드 내의 각각의 셀은 각각의 셀에 수직 자기 이방성을 제공하는 재료 또는 한 세트의 재료들로 형성되며, 단일 자기 영역(single magnetic domain)이다. 각각의 셀은 비자성 스페이서 층들에 의해 아일랜드 내의 다른 셀들로부터 자기적으로 디커플링된다. 따라서, 각각의 셀은 2 개의 방향들(셀을 구성하는 층의 평면 내로 들어가는 방향 및 평면으로부터 나오는 방향) 중 한 방향으로 자화(자기 모멘트)를 가질 수 있고, 이러한 자화는 그 아일랜드 내의 다른 셀들의 자화와는 독립적이다. 이것은 복수의 자기 레벨들이거나 또는 상태들이 각각의 자기 아일랜드에 기록되는 것을 허용한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd035bfb5ff666db4c9ccf2ab65a39879348bbf9946e7c8264b8f243eeeae3da4d74c91cddd2cd6bc21a,False,False,True,0,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,,7
1020060066907,1020060066907,1020070024350,1020070024350,,,취하,취하,취하 취하,열어시스트 자기 기록 매체 및 자기 기록 재생 장치,열어시스트 자기 기록 매체 및 자기 기록 재생 장치,에이취지에스티 네덜란드 비.브이.,에이취지에스티 네덜란드 비.브이.,,20060718,2006,20070302,20070302,,,G11B 5/66|G11B 5/70|G11B 5/012|G11B 5/00,G11B 5/66|G11B 5/70|G11B 5/012|G11B 5/00,,,"본 발명은 RT에서의 열 요동 내성과 고온에서의 기록 용이성의 상극을 도모할 수 있고, 기록 온도 바로 아래에서의 보자력 온도에 대한 변화를 급준하게 할 수 있으며, 저온 형성이 가능한 열어시스트 자기 기록 매체를 제공하는 것을 목적으로 한다. 기판 상에 T W <T C 의 고 K F 의 하층 강자성막(301), T B <T W 의 저 K AF 의 중간층 반강자성막(401), T W <T C 의 기록 재생층인 상층 강자성막(501)을 순차 적층한다(T W : 기록 온도, T C : 퀴리 온도, T N : 니일 온도, T B : 블로킹 온도, K F : 강자성체의 결정 자기 이방성 에너지 상수(정수), K AF : 반강자성체의 결정 자기 이방성 에너지 정수). 자기 기록 매체",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd035bfb5ff666db4c9cfe49d03e6a3dce01eae9aacb3388a104417c626c20ceb68a0d088fd9c2c87484,False,False,True,1,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,,8
1020050085138,1020050085138,1020060051245,1020060051245,,,취하,취하,취하 취하,수직 자기 기록 매체 및 그 제조 방법,수직 자기 기록 매체 및 그 제조 방법,에이취지에스티 네덜란드 비.브이.,에이취지에스티 네덜란드 비.브이.,,20050913,2005,20060519,20060519,,,G11B 5/667|G11B 5/65|G11B 5/73|G11B 5/127|G11B 5/00,G11B 5/667|G11B 5/65|G11B 5/73|G11B 5/127|G11B 5/00,,,"본 발명은, 산화물 그래뉼러 매체의 결정 입자 사이의 교환 결합을 저감하여 높은 매체 S/N을 얻어, 1 평방 센티당 23 기가비트 이상의 면기록 밀도를 실현하는 것을 과제로 한다. 기판 상에, 연자성층, Ru를 함유하는 하부 중간층, Ru 결정 입자와 산화물로 이루어지는 결정 입자 경계를 갖는 상부 중간층, 결정 입자와 산화물로 이루어지는 결정 입자 경계를 갖는 자기 기록층을 순차 적층한 구조를 지니고, 자기 기록층의 결정 입자는 상부 중간층의 Ru 결정 입자 상에 에피택셜 성장하며, 자기 기록층의 결정 입자 경계는 상부 중간층의 결정 입자 경계 상에 성장하고 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd035bfb5ff666db4c9c592fb536ea920a4d1d398bce77953e988d5595f624fd23245c91135285a10120,False,False,True,1,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,,9
1020050014836,1020050014836,1020060043112,1020060043112,,,취하,취하,취하 취하,복수 개의 하부층들을 갖는 반강자성 결합 자기층을 구비한자기 기록 디스크,복수 개의 하부층들을 갖는 반강자성 결합 자기층을 구비한자기 기록 디스크,에이취지에스티 네덜란드 비.브이.,에이취지에스티 네덜란드 비.브이.,,20050223,2005,20060515,20060515,,,G11B 5/66|G11B 5/31|G11B 5/65,G11B 5/66|G11B 5/31|G11B 5/65,,,"본 발명의 자기 기록 디스크는 3개의 하부 강자성층(LL1, LL2, LL3)과 상부 강자성층(UL)을 가지고 있는 반강자성 결합(AFC; antiferromagnetically coupled) 구조를 구비하고, 4개의 강자성층들 모두는 대응하는 반강자성 결합층들의 양단에서 함께 반강자성 결합되고 있다. 상기 상부 강자성층(UL)은 상기 3개의 하부층들(LL1, LL2, LL3)의 각각의 Mrt보다 크고, LL1과 LL3의 Mrt 값들의 합계보다 더 큰 자화 잔류 자기 두께 곱(Mrt)을 가지고 있다. 중간 하부층(LL2)은 다른 하부층 LL1 및 LL3의 각각의 Mrt 미만의 Mrt를 가지고 있고, 그 결과, AFC 구조의 합성 Mrt는 하나의 하부층만이 있는 종래 기술의 AFC 구조의 합성 Mrt 미만이다. AFC 구조는 종래 기술의 AFC 구조 내의 하나의 하부층의 최대 Mrt 이상의 3개의 하부층들의 임의의 하나의 Mrt를 증가시키지 않고서 이와 같은 합성 Mrt의 축소를 달성한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd035bfb5ff666db4c9c592fb536ea920a4d4f89e1a6ebf4a9de967db29ac18f862291e6e79cae134b9e,False,False,True,0,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,,10
1020037000803,1020037000803,1020030024794,1020030024794,1006110870000,1006110870000,소멸,소멸,소멸 소멸,적층 자기 기록 매체,적층 자기 기록 매체,에이취지에스티 네덜란드 비.브이.,에이취지에스티 네덜란드 비.브이.,,20010706,2001,20030326,20030326,20060803,20060803,G11B 5/66|C23C 28/02|C23C 28/00,G11B 5/66|C23C 28/02|C23C 28/00,,,"데이터 기억 장치용 적층 자기 기록 매체는 비강자성 스페이서층에 의해 서로 떨어져 있는 적어도 2개의 반강자성 결합된(AFC) 층을 갖는 자기 기록층을 사용한다. 각각의 AFC층은 반강자성 결합막을 사이에 두고 서로 반강자성 결합된 2개의 강자성막으로 형성되어 있으며, 반강자성 결합막은 제2 박막을 제1 박막에 대해 반강자성 결합을 일으키도록 하는 조성 및 두께를 갖는다. 각각의 AFC층 내의 2개의 반강자성 결합막의 자기 모멘트는 반평행으로 배향되며, 따라서 각각의 AFC층의 순 잔류 자화-두께 곱(Mrt)은 2개의 강자성막의 Mrt 값들간의 차가 된다. 이웃하는 AFC층 사이에 있는 비강자성 스페이서층은 어느 한 AFC층의 강자성막과 그에 이웃하는 AFC층의 강자성막의 어떤 반강자성 결합도 방지하도록 하는 조성과 두께를 갖는다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd035bfb5ff666db4c9cc65478d250ecc0745b7f2d61e80212a8a83a5a3353a0ba6d8d7e41708b853a23,True,False,True,0,C:\Agent_6.9\data\반도체\GST\tech\source\gst_kipris_plus_bibliographic_raw.csv,,11
