application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020040098987,1020050053496,,취하,취하,패턴화된 멀티레벨 수직 자기 기록 매체,에이취지에스티 네덜란드 비.브이.
1020040057167,1020050012153,,거절,거절,자기 레코딩용의 자기 이방성 조절식 적층형 자기 박막,에이취지에스티 네덜란드 비.브이.
1020060080307,1020070041317,,취하,취하,"고-모멘트, 고내식성 연성 하부층(SUL)을 갖는 수직자기 기록 시스템 및 매체",에이취지에스티 네덜란드 비.브이.
1020040012917,1020040076819,,취하,취하,쓰기 지원층이 있는 자기 기록 매체,에이취지에스티 네덜란드 비.브이.
1020010034451,1020010114151,1004707720000,소멸,소멸,이온 조사에 의해 패터닝된 자성 비트 영역을 갖는 자기 기록 매체,에이취지에스티 네덜란드 비.브이.
1020040100158,1020050053501,,취하,취하,패터닝된 다중 레벨 수직 자기 기록 매체를 구비한 자기기록 시스템,에이취지에스티 네덜란드 비.브이.
1020060066907,1020070024350,,취하,취하,열어시스트 자기 기록 매체 및 자기 기록 재생 장치,에이취지에스티 네덜란드 비.브이.
1020050085138,1020060051245,,취하,취하,수직 자기 기록 매체 및 그 제조 방법,에이취지에스티 네덜란드 비.브이.
1020050014836,1020060043112,,취하,취하,복수 개의 하부층들을 갖는 반강자성 결합 자기층을 구비한자기 기록 디스크,에이취지에스티 네덜란드 비.브이.
1020037000803,1020030024794,1006110870000,소멸,소멸,적층 자기 기록 매체,에이취지에스티 네덜란드 비.브이.
1020047001500,1020040075852,,거절,거절,적층체 내의 개별 자성층의 하나로서 반강자성적으로결합된 층을 구비하는 적층 자기 기록 매체,에이취지에스티 네덜란드 비.브이.
1020027017003,1020030010707,1004880340000,소멸,소멸,자기 기록 매체 및 그 제조 방법,에이취지에스티 네덜란드 비.브이.
1020050081538,,1005384120000,소멸,소멸,창문 자동개폐장치,(주)지에스티기술산업
1020220168539,,1025555430000,등록,등록,회전드럼 내에서 부순모래가 파쇄 분리되면서 회전드럼에 일체로 형성된 미분분리실에서 에어폭기를 통해 연속적으로 미분이 분리되는 미분 분리장치,(주)지에스티
1020160082886,1020170003485,1019046020000,소멸,소멸,조절 가능한 셀 비트 형상을 가지는 비휘발성 메모리,에이취지에스티 네덜란드 비.브이.
1020110033130,,1011871070000,소멸,소멸,엔진 오일 품질 모니터링 장치,호서대학교 산학협력단|태성지에스티 주식회사
1020160082752,1020170003483,1018840630000,소멸,소멸,전기 도금된 상 변화 스위치,에이취지에스티 네덜란드 비.브이.
1020160146674,1020170058275,,거절,거절,집중된 전계를 갖는 저항성 RAM 셀,에이취지에스티 네덜란드 비.브이.
1020150138065,1020160037817,,거절,거절,붕소 확산 최소화를 위한 MgO 터널링 장벽층과 질소-함유층을 포함한 터널링 자기저항(TMR) 소자,에이취지에스티 네덜란드 비.브이.
1020190171105,1020210079039,,취하,취하,수소가스배관 풀로테이션 방폭 천공기,주식회사 케이지에스티가스안전장비
1020020025992,1020030088078,1004902140000,소멸,소멸,플라스마 용접기 및 이를 이용한 소형 용접형 벨로우즈제조방법,(주)지에스티산업
1020110054636,1020120135746,,거절,거절,고농도 질소 제거를 위한 폐수 처리 장치 및 그 장치를 이용한 폐수 처리 방법.,(주)엔지에스티|이재기
1020130151235,1020140076494,1016189250000,소멸,소멸,고착 고장을 갖는 메모리 셀에 비트를 저장하기 위한 기법,에이취지에스티 네덜란드 비.브이.
1020220050959,,1024582590000,등록,등록,전자부품용 핀프레임 절단장치,(주)지에스티
1020130021189,1020130100722,1015748440000,소멸,소멸,SMR RAID용의 대블록 무작위 쓰기 핫 스페어 SSD 구현,에이취지에스티 네덜란드 비.브이.
1020130066527,1020130139777,1015260480000,소멸,소멸,하드 디스크 드라이브 내의 원위치 접촉 퍼텐셜 측정,에이취지에스티 네덜란드 비.브이.
1020070055023,1020070117474,1013003720000,소멸,소멸,자기 디스크 장치,에이취지에스티 네덜란드 비.브이.
1020060037288,1020060113440,,취하,취하,판독/기입 오프셋과 호환 가능한 스터드형 후미 차폐를갖춘 수직 자기 기입 헤드,에이취지에스티 네덜란드 비.브이.
1020060080112,1020070037304,,취하,취하,결정적 로드로부터의 선행가산 정보에 응답하는 전압 조정시스템,에이취지에스티 네덜란드 비.브이.
1020050062226,1020060050044,,취하,취하,협소 트랙 초거대 자기 저항[EMR] 장치,에이취지에스티 네덜란드 비.브이.
