keyword,year,patent_application_count
advanced_packaging,1994,2
advanced_packaging,1998,1
advanced_packaging,2000,3
advanced_packaging,2001,1
advanced_packaging,2002,14
advanced_packaging,2003,15
advanced_packaging,2004,11
advanced_packaging,2005,15
advanced_packaging,2006,30
advanced_packaging,2007,48
advanced_packaging,2008,19
advanced_packaging,2009,9
advanced_packaging,2010,17
advanced_packaging,2011,12
advanced_packaging,2012,10
advanced_packaging,2013,2
advanced_packaging,2015,9
advanced_packaging,2016,4
advanced_packaging,2017,5
advanced_packaging,2018,1
advanced_packaging,2019,6
advanced_packaging,2020,4
advanced_packaging,2021,6
advanced_packaging,2023,2
hbm_ai_memory,1998,1
hbm_ai_memory,2000,1
hbm_ai_memory,2003,1
hbm_ai_memory,2007,2
hbm_ai_memory,2008,12
hbm_ai_memory,2012,1
fan_out_wlp,2010,1
bump_rdl_interposer,1996,1
bump_rdl_interposer,1999,2
bump_rdl_interposer,2003,1
bump_rdl_interposer,2005,1
bump_rdl_interposer,2007,4
bump_rdl_interposer,2008,3
bump_rdl_interposer,2010,12
bump_rdl_interposer,2011,3
bump_rdl_interposer,2012,10
bump_rdl_interposer,2013,2
bump_rdl_interposer,2015,1
bump_rdl_interposer,2016,1
bump_rdl_interposer,2017,4
bump_rdl_interposer,2018,1
bump_rdl_interposer,2019,1
bump_rdl_interposer,2020,5
bump_rdl_interposer,2021,2
bump_rdl_interposer,2023,13
bump_rdl_interposer,2024,5
semiconductor_test,1993,1
semiconductor_test,1998,2
semiconductor_test,1999,1
semiconductor_test,2000,1
semiconductor_test,2002,3
semiconductor_test,2003,4
semiconductor_test,2004,1
semiconductor_test,2005,4
semiconductor_test,2006,4
semiconductor_test,2007,10
semiconductor_test,2008,11
semiconductor_test,2009,5
semiconductor_test,2010,14
semiconductor_test,2011,3
semiconductor_test,2012,7
semiconductor_test,2013,4
semiconductor_test,2015,2
semiconductor_test,2016,2
semiconductor_test,2017,3
semiconductor_test,2018,1
semiconductor_test,2019,4
semiconductor_test,2020,1
semiconductor_test,2021,5
semiconductor_test,2022,1
semiconductor_test,2023,10
semiconductor_test,2024,2
semiconductor_materials,1999,1
semiconductor_materials,2008,1
semiconductor_materials,2009,1
semiconductor_materials,2014,1
semiconductor_materials,2021,1
process_yield_quality,1993,3
process_yield_quality,1994,4
process_yield_quality,1997,1
process_yield_quality,1998,6
process_yield_quality,1999,5
process_yield_quality,2000,3
process_yield_quality,2001,2
process_yield_quality,2002,17
process_yield_quality,2003,7
process_yield_quality,2004,8
process_yield_quality,2005,14
process_yield_quality,2006,19
process_yield_quality,2007,24
process_yield_quality,2008,19
process_yield_quality,2009,10
process_yield_quality,2010,17
process_yield_quality,2011,9
process_yield_quality,2012,15
process_yield_quality,2013,2
process_yield_quality,2015,7
process_yield_quality,2016,5
process_yield_quality,2017,5
process_yield_quality,2018,4
process_yield_quality,2019,8
process_yield_quality,2020,7
process_yield_quality,2021,12
process_yield_quality,2022,1
process_yield_quality,2023,5
process_yield_quality,2024,3
power_thermal_efficiency,1994,2
power_thermal_efficiency,1996,1
power_thermal_efficiency,1998,3
power_thermal_efficiency,1999,2
power_thermal_efficiency,2000,1
power_thermal_efficiency,2002,5
power_thermal_efficiency,2003,7
power_thermal_efficiency,2004,2
power_thermal_efficiency,2005,3
power_thermal_efficiency,2006,14
power_thermal_efficiency,2007,16
power_thermal_efficiency,2008,15
power_thermal_efficiency,2009,14
power_thermal_efficiency,2010,12
power_thermal_efficiency,2011,7
power_thermal_efficiency,2012,11
power_thermal_efficiency,2013,5
power_thermal_efficiency,2014,2
power_thermal_efficiency,2015,6
power_thermal_efficiency,2016,7
power_thermal_efficiency,2017,4
power_thermal_efficiency,2018,7
power_thermal_efficiency,2019,3
power_thermal_efficiency,2020,8
power_thermal_efficiency,2021,8
power_thermal_efficiency,2022,3
power_thermal_efficiency,2023,14
power_thermal_efficiency,2024,7
power_thermal_efficiency,2025,3
