source_application_number,family_id,family_type,country_code,application_country_code,publication_country_code,priority_country_code,family_application_number,family_application_date,family_publication_number,family_publication_date,family_registration_number,priority_number,pct_application_number,title,applicant,legal_status,_raw_keys,jurisdictions_inferred,is_overseas_family
1020220115649,88018004,,EP,EP,EP,,23196784,20230912,4340059,20240320,,,23196784,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP,Y
1020220115649,88018004,,US,US,US,,202318368160,20230914,2024097113,20240321,,,202318368160,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020230082470,93939305,,KR,KR,WO,,2024008949,20240627,2025005677,20250102,,,2024008949,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020230185358,96138568,,KR,KR,WO,,2024020705,20241219,2025135829,20250626,,,2024020705,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020230185358,96138568,,TW,TW,TW,,113148073,20241211,202528318,20250716,,,113148073,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020230161057,95826656,,KR,KR,WO,,2024016687,20241029,2025110528,20250530,,,2024016687,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020220139371,90831377,,CN,CN,CN,,202380073913,20231026,120112580,20250606,,,202380073913,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020220139371,90831377,,EP,EP,EP,,23883116,20231026,4610294,20250903,,,23883116,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP,Y
1020220139371,90831377,,KR,KR,WO,,2023016718,20231026,2024091011,20240502,,,2023016718,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020230147595,95582616,,KR,KR,WO,,2024016904,20241031,2025095619,20250508,,,2024016904,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020230170528,89619932,,EP,EP,EP,,23219591,20231222,4563651,20250604,,,23219591,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP,Y
1020230170528,89619932,,JP,JP,JP,,2023216847,20231222,2025088673,20250611,,,2023216847,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020230170528,89619932,,US,US,US,,202318392782,20231221,2025183477,20250605,,,202318392782,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020220161487,88975601,,EP,EP,EP,,23212444,20231127,4376109,20240529,,,23212444,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP,Y
1020220161487,88975601,,EP,EP,EP,,23212444,20231127,4376109,20240814,,,23212444,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP,Y
1020220161487,88975601,,JP,JP,JP,,2023200529,20231128,7709504,20250716,,,2023200529,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020220161487,88975601,,JP,JP,JP,,2023200529,20231128,2024077629,20240607,,,2023200529,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020220161487,88975601,,US,US,US,,202318519554,20231127,2024178377,20240530,,,202318519554,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020220162834,88978223,,EP,EP,EP,,23212726,20231128,4383368,20240612,,,23212726,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP,Y
1020220162834,88978223,,JP,JP,JP,,2023200527,20231128,2024078446,20240610,,,2023200527,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020220162834,88978223,,US,US,US,,202318520990,20231128,2024178378,20240530,,,202318520990,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020220112552,87060039,,CN,CN,CN,,202310878352,20230717,117673445,20240308,,,202310878352,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020220112552,87060039,,EP,EP,EP,,23182340,20230629,4336616,20240313,,,23182340,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP,Y
1020220112552,87060039,,US,US,US,,202318215954,20230629,2024079641,20240307,,,202318215954,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020220163040,88978339,,EP,EP,EP,,23212803,20231128,4379852,20240605,,,23212803,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP,Y
1020220163040,88978339,,JP,JP,JP,,2023201635,20231129,2024078455,20240610,,,2023201635,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020220163040,88978339,,JP,JP,JP,,2023201635,20231129,7690549,20250610,,,2023201635,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020220163040,88978339,,US,US,US,,202318522567,20231129,2024178382,20240530,,,202318522567,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
