record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020170087823|1023820140000|전원 공급 장치 및 이를 포함하는 번인 테스트 장치|주식회사 아이에스시,전원 공급 장치 및 이를 포함하는 번인 테스트 장치,주식회사 아이에스시,1020170087823,1020190006744,1023820140000,등록,2017,2019,2022,H02M; H02H; G01R,,테스트; 반도체,False,True,False,32.5,C:\Agent_6.9\data\반도체\ISC\tech\source\isc_kipris_plus_bibliographic_raw.csv,27
1020240202821|1029519610000|검사용 커넥터|주식회사 아이에스시,검사용 커넥터,주식회사 아이에스시,1020240202821,,1029519610000,등록,2024,2026,2026,G01R; H01G,,기판,False,True,False,32.0,C:\Agent_6.9\data\반도체\ISC\tech\source\isc_kipris_plus_bibliographic_raw.csv,26
1020150160837|1024006160000|인터페이스 보드|주식회사 아이에스시,인터페이스 보드,주식회사 아이에스시,1020150160837,1020170057563,1024006160000,등록,2015,2017,2022,H10P,,테스트; 기판; 반도체,False,True,False,28.5,C:\Agent_6.9\data\반도체\ISC\tech\source\isc_kipris_plus_bibliographic_raw.csv,1
1020140011988|1013963770000|반도체 검사용 소켓의 판형 검사용 콘택터|주식회사 아이에스시,반도체 검사용 소켓의 판형 검사용 콘택터,주식회사 아이에스시,1020140011988,,1013963770000,등록,2014,2014,2014,G01R,,테스트; 기판; 반도체,False,True,False,28.5,C:\Agent_6.9\data\반도체\ISC\tech\source\isc_kipris_plus_bibliographic_raw.csv,24
1020080034696|1009527120000|판형 도전입자를 포함한 실리콘 콘택터|주식회사 아이에스시,판형 도전입자를 포함한 실리콘 콘택터,주식회사 아이에스시,1020080034696,1020090071312,1009527120000,등록,2008,2009,2010,G01R,,테스트; 반도체; 소자,False,True,False,28.5,C:\Agent_6.9\data\반도체\ISC\tech\source\isc_kipris_plus_bibliographic_raw.csv,28
1020130162899|1015110330000|반도체 디바이스를 검사하기 위한 테스트 콘택터|주식회사 아이에스시,반도체 디바이스를 검사하기 위한 테스트 콘택터,주식회사 아이에스시,1020130162899,,1015110330000,등록,2013,2015,2015,G01R,,Test; 테스트; 반도체,False,True,False,28.5,C:\Agent_6.9\data\반도체\ISC\tech\source\isc_kipris_plus_bibliographic_raw.csv,29
1020110011929|1010326480000|테스트용 소켓|주식회사 아이에스시,테스트용 소켓,주식회사 아이에스시,1020110011929,,1010326480000,등록,2011,2011,2011,H01R; H10P; G01R,,테스트; 반도체,False,True,False,28.5,C:\Agent_6.9\data\반도체\ISC\tech\source\isc_kipris_plus_bibliographic_raw.csv,30
1020220049406|1027568410000|저항 감소를 통한 도전 강화 특징을 갖는 검사용 콘택터 및 그의 제조방법|가천대학교 산학협력단|주식회사 아이에스시,저항 감소를 통한 도전 강화 특징을 갖는 검사용 콘택터 및 그의 제조방법,가천대학교 산학협력단|주식회사 아이에스시,1020220049406,1020230150000,1027568410000,등록,2022,2023,2025,G01R,,,False,True,False,27.5,C:\Agent_6.9\data\반도체\ISC\tech\source\isc_kipris_plus_bibliographic_raw.csv,4
1020090003738|1011458860000|전기적 접속체 및 그 전기적 접속체를 포함한 테스트 소켓|주식회사 아이에스시,전기적 접속체 및 그 전기적 접속체를 포함한 테스트 소켓,주식회사 아이에스시,1020090003738,1020100084316,1011458860000,등록,2009,2010,2012,G01R; H10P,,테스트; 반도체,False,True,False,27.0,C:\Agent_6.9\data\반도체\ISC\tech\source\isc_kipris_plus_bibliographic_raw.csv,21
1020190032568|1021137320000|도전성 분말 및 이를 포함하는 검사용 커넥터|주식회사 아이에스시,도전성 분말 및 이를 포함하는 검사용 커넥터,주식회사 아이에스시,1020190032568,,1021137320000,등록,2019,2020,2020,H01B; C08L; H10P,,,False,True,False,26.5,C:\Agent_6.9\data\반도체\ISC\tech\source\isc_kipris_plus_bibliographic_raw.csv,17
