source_application_number,family_id,family_type,country_code,application_country_code,publication_country_code,priority_country_code,family_application_number,family_application_date,family_publication_number,family_publication_date,family_registration_number,priority_number,pct_application_number,title,applicant,legal_status,_raw_keys,jurisdictions_inferred,is_overseas_family
1020210126823,85718877,,CN,CN,CN,,202211150726,20220921,115877663,20230331,,,202211150726,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020210126823,85718877,,US,US,US,,202217867443,20220718,2023096077,20230330,,,202217867443,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020220069144,86692761,,CN,CN,CN,,202310653080,20230605,117202738,20231208,,,202310653080,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020220069144,86692761,,EP,EP,EP,,23177362,20230605,4290557,20231213,,,23177362,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP,Y
1020220069144,86692761,,US,US,US,,202318205370,20230602,2023395365,20231207,,,202318205370,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020220069144,86692761,,US,US,US,,202318205370,20230602,12400852,20250826,,,202318205370,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020130104201,52969469,,CN,CN,CN,,201410071795,20140228,104419326,20150318,,,201410071795,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020130104201,52969469,,CN,CN,CN,,201810790107,20140228,109054648,20181221,,,201810790107,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020160019718,59354539,,CN,CN,CN,,201680081981,20160909,108699245,20181023,,,201680081981,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020160019718,59354539,,JP,JP,JP,,2018541706,20160909,7009374,20220125,,,2018541706,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
