application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020190114945,,1021947400000,등록,등록,7-ADCA 제조를 위한 데아세트옥시세팔로스포린 C의 고농도 생산 재조합 아크레모니움 크리소제눔 균주의 제조방법 및 이 방법으로 제조된 균주,아미코젠주식회사
1020127014717,1020120085892,1017754090000,소멸,소멸,루테늄(0)-올레핀 착물의 제조방법,우미코레 아게 운트 코 카게
1020137030593,1020140053887,,취하,취하,면역 반응을 증진시키는 조성물 및 방법,"미코 바이오, 인크."
1020247014526,1020240070672,,공개,공개,에폭시 수지,"스폴렉 프로 케미코우 어 허트니 비로부, 아크시오바 스폴렉노스트"
1020257023635,1020250127105,,공개,공개,양극 활물질 및 양극 활물질의 제조 방법,유미코아
1020227023862,1020220108821,,공개,공개,높은 NO2 대 NOx 비에서의 효율적인 SCR을 위한 시스템 및 방법,우미코레 아게 운트 코 카게
1020257000857,1020250023495,,공개,공개,Ni 및/또는 Co를 포함하는 고체 금속 공급물의 황화,유미코아
1020137014080,1020130114172,1015298030000,등록,등록,표면에 대한 폴리아이소시아네이트 작용성 접착제의 접착성이 개선되도록 개질된 하나 이상의 표면을 갖는 폴리올레핀,다우 브라질 인더스트리아 이 코메르시오 디 프로두토스 퀴미코스 엘티디에이.
1020257023625,1020250123881,,공개,공개,황화물 고체 충전식 배터리용 양극 활물질로서의 리튬 니켈-기반 복합체 산화물,유미코아
1020247006649,1020240041984,,공개,공개,금속의 분리를 위한 결정화 방법,유미코아
1020240026434,,1027413390000,등록,등록,서셉터 제조 방법 및 그 방법에 의해 제조된 서셉터,주식회사 미코세라믹스
1020257002641,1020250027781,,공개,공개,고체 황화물 전해질의 제조 방법,유미코아
1020257023852,1020250124345,,공개,공개,금속으로 치환된 리튬 결핍 할로겐화물 풍부 고체 전해질,유미코아|상뜨르 나쇼날 드 라 러쉐르쉬 샹띠피끄|위니베르시떼 드 피카르디 쥘 베른
1020257000858,1020250024810,,공개,공개,금속 황화 방법,유미코아
