record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020210169158|1026239310000|반도체 패키지|주식회사 네패스,반도체 패키지,주식회사 네패스,1020210169158,,1026239310000,등록,2021,2024,2024,H10W; H10B,,재배선; 방열; 반도체; 소자,True,True,False,61.0,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,200
1020230179997|1029136770000|안테나층이 형성된 반도체 패키지 및 제조방법|주식회사 네패스,안테나층이 형성된 반도체 패키지 및 제조방법,주식회사 네패스,1020230179997,,1029136770000,등록,2023,2026,2026,H10W; H01Q; B33Y,,재배선; 기판; 반도체,True,True,False,59.5,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,207
"1020210113943|1026748910000|네거티브형 감광성 수지 전구체 및 조성물, 이를 이용한 층간 절연막의 제조방법 및 반도체 부품|주식회사 네패스","네거티브형 감광성 수지 전구체 및 조성물, 이를 이용한 층간 절연막의 제조방법 및 반도체 부품",주식회사 네패스,1020210113943,,1026748910000,등록,2021,2024,2024,G03F; C08G; C07D,,전구체; 기판; 반도체,True,True,False,59.5,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,316
1020220168091|1027511860000|반도체 패키지|주식회사 네패스,반도체 패키지,주식회사 네패스,1020220168091,,1027511860000,등록,2022,2025,2025,H10B; H10W,,재배선; 공정; 반도체,True,True,False,58.0,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,2
1020210178092|1026840020000|반도체 패키지 제조방법 및 이에 이용되는 가이드 프레임|주식회사 네패스|주식회사 네패스라웨,반도체 패키지 제조방법 및 이에 이용되는 가이드 프레임,주식회사 네패스|주식회사 네패스라웨,1020210178092,,1026840020000,등록,2021,2024,2024,H10W; H10P,,재배선; 반도체; 웨이퍼,True,True,False,58.0,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,27
1020220165971|1027511870000|반도체 패키지|주식회사 네패스,반도체 패키지,주식회사 네패스,1020220165971,,1027511870000,등록,2022,2025,2025,H10B; H10W,,재배선; 공정; 반도체,True,True,False,58.0,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,38
1020210039103|1026358460000|반도체 패키지 및 그 제조방법|주식회사 네패스,반도체 패키지 및 그 제조방법,주식회사 네패스,1020210039103,,1026358460000,등록,2021,2024,2024,H10W; H10B,,재배선; 반도체; 소자,True,True,False,58.0,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,39
1020220162458|1026877170000|반도체 소자의 성능 테스트에 대한 모니터링을 수행하는 전자장치 및 방법|주식회사 네패스아크,반도체 소자의 성능 테스트에 대한 모니터링을 수행하는 전자장치 및 방법,주식회사 네패스아크,1020220162458,,1026877170000,등록,2022,2024,2024,G01R; G06F,,테스트; 반도체; 소자,True,True,False,58.0,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,63
1020220162459|1026877180000|반도체 소자의 성능 테스트에 대한 모니터링을 수행하는 전자장치 및 방법|주식회사 네패스아크,반도체 소자의 성능 테스트에 대한 모니터링을 수행하는 전자장치 및 방법,주식회사 네패스아크,1020220162459,,1026877180000,등록,2022,2024,2024,G01R; G06F,,테스트; 반도체; 소자,True,True,False,58.0,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,64
1020210040479|1025365900000|반도체 패키지 제조 방법|주식회사 네패스라웨,반도체 패키지 제조 방법,주식회사 네패스라웨,1020210040479,,1025365900000,등록,2021,2023,2023,H10W; H10P,,재배선; 반도체; 웨이퍼,True,True,False,58.0,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,66
