keyword,year,patent_application_count
advanced_packaging,2001,2
advanced_packaging,2003,1
advanced_packaging,2004,2
advanced_packaging,2005,2
advanced_packaging,2006,7
advanced_packaging,2007,10
advanced_packaging,2008,2
advanced_packaging,2009,3
advanced_packaging,2010,6
advanced_packaging,2011,9
advanced_packaging,2012,10
advanced_packaging,2013,7
advanced_packaging,2014,5
advanced_packaging,2015,4
advanced_packaging,2016,10
advanced_packaging,2017,14
advanced_packaging,2018,18
advanced_packaging,2019,12
advanced_packaging,2020,12
advanced_packaging,2021,29
advanced_packaging,2022,19
advanced_packaging,2023,12
advanced_packaging,2024,7
advanced_packaging,2025,1
hbm_ai_memory,2007,1
hbm_ai_memory,2021,1
hbm_ai_memory,2022,2
hbm_ai_memory,2024,1
fan_out_wlp,2006,1
fan_out_wlp,2007,6
fan_out_wlp,2008,1
fan_out_wlp,2010,1
fan_out_wlp,2013,1
fan_out_wlp,2015,3
fan_out_wlp,2016,1
bump_rdl_interposer,1998,1
bump_rdl_interposer,2001,3
bump_rdl_interposer,2002,1
bump_rdl_interposer,2004,2
bump_rdl_interposer,2005,2
bump_rdl_interposer,2006,6
bump_rdl_interposer,2007,15
bump_rdl_interposer,2008,1
bump_rdl_interposer,2009,4
bump_rdl_interposer,2010,4
bump_rdl_interposer,2011,8
bump_rdl_interposer,2012,14
bump_rdl_interposer,2013,4
bump_rdl_interposer,2014,12
bump_rdl_interposer,2015,3
bump_rdl_interposer,2016,3
bump_rdl_interposer,2017,6
bump_rdl_interposer,2018,14
bump_rdl_interposer,2019,10
bump_rdl_interposer,2020,6
bump_rdl_interposer,2021,25
bump_rdl_interposer,2022,13
bump_rdl_interposer,2023,11
bump_rdl_interposer,2024,6
bump_rdl_interposer,2025,1
semiconductor_test,2007,2
semiconductor_test,2011,1
semiconductor_test,2012,1
semiconductor_test,2014,1
semiconductor_test,2020,1
semiconductor_test,2021,1
semiconductor_test,2022,5
semiconductor_test,2023,1
semiconductor_materials,1998,2
semiconductor_materials,2000,1
semiconductor_materials,2001,3
semiconductor_materials,2002,1
semiconductor_materials,2004,1
semiconductor_materials,2005,1
semiconductor_materials,2006,1
semiconductor_materials,2007,1
semiconductor_materials,2010,1
semiconductor_materials,2014,2
semiconductor_materials,2015,4
semiconductor_materials,2017,1
semiconductor_materials,2020,1
semiconductor_materials,2021,1
semiconductor_materials,2022,2
process_yield_quality,1998,3
process_yield_quality,2000,2
process_yield_quality,2001,4
process_yield_quality,2002,3
process_yield_quality,2003,1
process_yield_quality,2004,3
process_yield_quality,2005,3
process_yield_quality,2006,5
process_yield_quality,2007,7
process_yield_quality,2008,1
process_yield_quality,2009,4
process_yield_quality,2010,3
process_yield_quality,2012,9
process_yield_quality,2013,4
process_yield_quality,2014,4
process_yield_quality,2015,3
process_yield_quality,2016,1
process_yield_quality,2017,2
process_yield_quality,2018,1
process_yield_quality,2019,1
process_yield_quality,2020,3
process_yield_quality,2021,1
process_yield_quality,2022,2
process_yield_quality,2023,1
process_yield_quality,2024,1
power_thermal_efficiency,1998,1
power_thermal_efficiency,2000,1
power_thermal_efficiency,2001,2
power_thermal_efficiency,2002,2
power_thermal_efficiency,2004,1
power_thermal_efficiency,2005,2
power_thermal_efficiency,2006,2
power_thermal_efficiency,2007,3
power_thermal_efficiency,2009,1
power_thermal_efficiency,2010,4
power_thermal_efficiency,2011,6
power_thermal_efficiency,2012,1
power_thermal_efficiency,2013,4
power_thermal_efficiency,2014,2
power_thermal_efficiency,2015,4
power_thermal_efficiency,2016,2
power_thermal_efficiency,2017,9
power_thermal_efficiency,2018,6
power_thermal_efficiency,2019,5
power_thermal_efficiency,2020,8
power_thermal_efficiency,2021,2
power_thermal_efficiency,2022,8
power_thermal_efficiency,2023,1
power_thermal_efficiency,2024,1
