date,adj_close,close,high,low,open,volume
2023-05-11,17650.0,17650.0,18190.0,17640.0,17890.0,209159
2023-05-12,17660.0,17660.0,17900.0,17490.0,17600.0,139375
2023-05-15,17720.0,17720.0,17830.0,17270.0,17680.0,169088
2023-05-16,17600.0,17600.0,18250.0,17510.0,18170.0,123271
2023-05-17,17930.0,17930.0,17960.0,17300.0,17640.0,97242
2023-05-18,18360.0,18360.0,18360.0,17820.0,18130.0,137359
2023-05-19,19450.0,19450.0,19600.0,18760.0,18830.0,485888
2023-05-22,19800.0,19800.0,20100.0,19510.0,20000.0,407876
2023-05-23,19540.0,19540.0,20000.0,19500.0,20000.0,219872
2023-05-24,19390.0,19390.0,19490.0,19150.0,19210.0,142025
2023-05-25,19200.0,19200.0,20100.0,19110.0,19820.0,189405
2023-05-26,19310.0,19310.0,19930.0,19270.0,19540.0,239933
2023-05-30,20350.0,20350.0,20900.0,19610.0,19710.0,437787
2023-05-31,20000.0,20000.0,20450.0,19750.0,20400.0,251433
2023-06-01,20150.0,20150.0,20200.0,19630.0,19970.0,157550
2023-06-02,19850.0,19850.0,20450.0,19750.0,20400.0,180556
2023-06-05,19860.0,19860.0,20100.0,19600.0,19910.0,140316
2023-06-07,19860.0,19860.0,20100.0,19650.0,19860.0,139977
2023-06-08,20000.0,20000.0,20100.0,19490.0,19500.0,182535
2023-06-09,19940.0,19940.0,20350.0,19700.0,20150.0,169544
2023-06-12,19850.0,19850.0,20100.0,19630.0,20000.0,146081
2023-06-13,20200.0,20200.0,20800.0,20000.0,20000.0,391668
2023-06-14,19320.0,19320.0,20300.0,19280.0,20200.0,323224
2023-06-15,19890.0,19890.0,20100.0,19430.0,19490.0,269647
2023-06-16,19730.0,19730.0,20050.0,19610.0,19970.0,142247
2023-06-19,19510.0,19510.0,19930.0,19250.0,19730.0,186306
2023-06-20,19440.0,19440.0,19690.0,19120.0,19520.0,181939
2023-06-21,18830.0,18830.0,19590.0,18710.0,19440.0,227887
2023-06-22,18500.0,18500.0,18980.0,18500.0,18600.0,131112
2023-06-23,18650.0,18650.0,19050.0,18430.0,18700.0,181233
2023-06-26,20850.0,20850.0,20900.0,18670.0,18830.0,801943
2023-06-27,20900.0,20900.0,21050.0,20350.0,20800.0,509506
2023-06-28,20400.0,20400.0,21350.0,19990.0,21200.0,381506
2023-06-29,20200.0,20200.0,20800.0,19980.0,20500.0,280366
2023-06-30,19680.0,19680.0,20200.0,19290.0,20100.0,330345
2023-07-03,20500.0,20500.0,21150.0,19750.0,19860.0,518698
2023-07-04,20950.0,20950.0,21450.0,20200.0,20400.0,421257
2023-07-05,20800.0,20800.0,21600.0,20700.0,21450.0,509870
2023-07-06,19880.0,19880.0,20900.0,19870.0,20500.0,358434
2023-07-07,19400.0,19400.0,20350.0,19310.0,20000.0,301874
2023-07-10,18710.0,18710.0,19390.0,18530.0,19390.0,254567
2023-07-12,19580.0,19580.0,19730.0,18760.0,18760.0,276434
2023-07-13,20000.0,20000.0,20150.0,19660.0,19790.0,280285
2023-07-14,21650.0,21650.0,21650.0,20000.0,20200.0,984725
2023-07-17,22800.0,22800.0,23500.0,21800.0,22200.0,1825174
2023-07-18,23250.0,23250.0,23500.0,22400.0,23100.0,889430
2023-07-19,22150.0,22150.0,23650.0,21700.0,23600.0,856955
2023-07-20,22050.0,22050.0,22300.0,21500.0,21800.0,378854
2023-07-21,21550.0,21550.0,21800.0,21050.0,21650.0,321383
2023-07-24,21400.0,21400.0,21400.0,20750.0,21400.0,417353
2023-07-25,20550.0,20550.0,21800.0,20400.0,21200.0,562884
2023-07-26,19400.0,19400.0,20550.0,19240.0,20250.0,734915
2023-07-27,20500.0,20500.0,20500.0,19310.0,19590.0,515661
