application_number,application_no,open_number,publication_no,register_number,registration_no,register_status,final_disposal,legal_status,invention_title,title,right_holder,applicant,inventor,application_date,application_year,open_date,publication_date,register_date,registration_date,ipc_number,ipc,cpc_number,cpc,abstract,claim_text,claims,url,drawing,is_registered,is_alive_estimated,has_negative_disposal_estimated,tech_keyword_match_count,source_file,source_sheet,source_row
1020240067897,1020240067897,1020250168887,1020250168887,,,거절,거절,거절,기판에 트랩된 전하를 제거하는 방법 및 장치,기판에 트랩된 전하를 제거하는 방법 및 장치,(주)넥스틴,(주)넥스틴,,20240524,2024,20251202,20251202,,,H05F 3/06|H01T 23/00,H05F 3/06|H01T 23/00,,,"본 실시예는 기판에 트랩된 전하를 제거하는 방법으로, 상기 방법은: 패턴이 형성된 상기 기판을 챔버 내부의 척(chuck)에 고정하는 단계와, 상기 기판에 전자 샤워(electron shower)를 수행하여 상기 패턴의 스킨 큐어링(skin curing)을 수행하는 단계 및 상기 기판에 VUV를 조사하여 상기 트랩된 전하를 제거하는 단계를 포함한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c938c314aa81352cfa6309459dba4268c38787e4f1ccd871516bc06be10a201ed6ecb5e67e03afa9ab27231c40d1b8f5ba4a026c0aa13ff506e,False,False,True,1,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,1
1020240067898,1020240067898,1020250168888,1020250168888,,,거절,거절,거절,기판에 트랩된 전하를 제거하는 장치 및 방법,기판에 트랩된 전하를 제거하는 장치 및 방법,(주)넥스틴,(주)넥스틴,,20240524,2024,20251202,20251202,,,H05F 3/06|H05F 3/04|H01T 23/00,H05F 3/06|H05F 3/04|H01T 23/00,,,"본 실시예는 기판에 트랩된 전하를 제거하는 장치로, 상기 장치는: 챔버; 상기 챔버 내에 위치하여 패턴이 형성된 상기 기판이 장착되는 척(chuck); 상기 챔버 내부에 비활성 기체(noble gas)를 제공하는 가스 공급부; 상기 챔버 내부를 진공으로 형성하는 진공 형성부; 상기 비활성 기체를 광 이온화시켜 하전 입자를 형성하는 VUV(vacuum UV) 광원 및 상기 하전 입자들을 상기 기판으로 가속하는 그리드(grid)를 포함하며, 상기 그리드는, 상기 기판에 상기 트랩된 전하가 고르게 over charge 현상없이 제거되도록 트랩된 전하의 형상에 matching 되는 개구울을 갖는 그리드을 이용한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c938c314aa81352cfa6309459dba4268c38787e4f1ccd871516bc06be10a201ed6e20760de357e3ecd1410adacba0ab1828365893a9e29ff2f8,False,False,True,1,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,2
1020240067080,1020240067080,1020250167860,1020250167860,,,공개,공개,공개,반도체 웨이퍼의 임베디드 정전하 제거 시스템 및 이를 이용한 임베디드 정전하 제거 방법,반도체 웨이퍼의 임베디드 정전하 제거 시스템 및 이를 이용한 임베디드 정전하 제거 방법,(주)넥스틴,(주)넥스틴,,20240523,2024,20251202,20251202,,,H05F 3/06|H10P 72/00,H05F 3/06|H10P 72/00,,,"본 발명은 반도체 웨이퍼의 막질 변형 및 손상 없이 임베디드 정전하를 효과적으로 제거할 수 있는 반도체 웨이퍼의 임베디드 정전하 제거 시스템 및 이를 이용한 임베디드 정전하 제거 방법을 개시한다. 이를 위해, 본 발명은 진공 상태를 형성할 수 있고, 비활성 가스가 주입될 수 있도록 이루어지는 챔버; 상기 챔버의 내부에 반도체 웨이퍼를 고정할 수 있도록 형성되는 기판 서포트; 및 상기 챔버의 내부에 진공 자외선을 조사하여 상기 비활성 가스를 이온화 시킬 수 있도록 형성되는 진공 자외선 램프(Vacuum UV lamp)를 포함하며, 상기 진공 자외선 램프는, 상기 반도체 웨이퍼의 표면을 향해 진공 자외선을 조사하도록 형성된 제1 진공 자외선 램프; 및 상기 반도체 웨이퍼에 진공 자외선이 직접 닿지 않게 조사하도록 이루어지는 제2 진공 자외선 램프를 포함할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c938c314aa81352cfa6309459dba4268c38787e4f1ccd871516176fa7d9f14055b667b270d035970ac8067ab09091f2a77cbf2dec89d8d90319,False,False,False,3,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,3
1020250018174,1020250018174,1020260062780,1020260062780,,,공개,공개,공개,기판 처리 장치 및 방법,기판 처리 장치 및 방법,삼성전자주식회사|(주)넥스틴,삼성전자주식회사|(주)넥스틴,,20250212,2025,20260507,20260507,,,H10P 72/00|H05F 3/00,H10P 72/00|H05F 3/00,,,"기판 내에 유도된 전하를 효율적으로 제어하기 위한 기판 처리 방법이 제공된다. 상기 기판 처리 방법은 제1 컨디션의 제1 기판을 제1 챔버 내에 인입하고, 상기 제1 챔버 내에서 상기 제1 디스차지 공정을 통해서, 상기 제1 기판의 전하를 제어하고, 상기 제1 기판을 상기 제1 챔버로부터 빼내고, 제2 컨디션의 제2 기판을 상기 제1 챔버와 다른 제2 챔버 내에 인입하고, 상기 제2 챔버 내에서 상기 제1 디스차지 공정과 다른 제2 디스차지 공정을 통해서, 상기 제2 기판의 전하를 제어하고, 상기 제2 기판을 상기 제2챔버로부터 빼내는 것을 포함한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c931745e9cb461845bb2ae5890d9a9783240212a2efe23c07e87df8179fc2df4069db91677858d02cdda15522a1235e0b8e1562e4c87d438957,False,False,False,1,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,4
1020130025286,1020130025286,,,1014034690000,1014034690000,등록,등록,등록,이중 거울 방식을 이용한 웨이퍼 영상 검사 장치,이중 거울 방식을 이용한 웨이퍼 영상 검사 장치,(주)넥스틴,(주)넥스틴,,20130308,2013,20140603,20140603,20140528,20140528,G01N 21/95|H10P 74/00|G01N 21/21,G01N 21/95|H10P 74/00|G01N 21/21,,,"반도체 웨이퍼의 결함을 검사하기 위해 웨이퍼 영상을 획득, 검사하는 웨이퍼 영상 검사 장치로서, 주기적으로 조명광을 발생시키는 조명부, 조명광을 검사 대상 웨이퍼에 조사한 후 반사되는 웨이퍼 영상을 투과 및 반사시켜 얻은 두 개의 제1 분할 영상을 서로 다른 방향으로 진행시키는 빔스플리터; 상기 빔스플리터를 통해 얻은 각각의 상기 제1 분할 영상을 폭방향으로 분할하여 제2 분할 영상을 이루고, 상기 제2 분할 영상이 서로 다른 방향으로 투사되도록, 서로 이격되고 서로 다른 방향을 향하도록 설치된 이중 거울을 구비하여 이루어지는 폭분할용 미러 유닛; 분할된 영상을 받아 영상 데이타 신호를 발생시키는 영상검출부;를 구비하여 이루어지는 웨이퍼 영상 검사 장치가 개시된다. 본 발명에 따르면 조명에 비추어져 발생한 웨이퍼 영상의 폭방향으로 분할하는 미러 유닛을 이루는 두 개의 미러를 서로 이격되어 별개로 방향을 조절할 수 있도록 형성함으로서 결과적으로 영상검출부가 분할된 웨이퍼 영상의 적정 영역과 정확하게 정렬되어, 정확한 검사를 하도록 하는 셋팅작업과 그 이후의 유지, 보수 작업을 용이하게 할 수 있도록 한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e0007d2eb040cac7afdc40056d5ab1e8ef44a375d70e2ff8d7c6150903bfd3c01e5d581259af3e0ccf92ab3e1b39afd3d20c4c16b0a64b8220f,True,True,False,2,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,5
1020130103801,1020130103801,1020150025777,1020150025777,1015216200000,1015216200000,등록,등록,등록,다이 영상 분할 방법,다이 영상 분할 방법,(주)넥스틴,(주)넥스틴,,20130830,2013,20150311,20150311,20150511,20150511,G01N 21/95|H10P 74/00|G06T 7/00,G01N 21/95|H10P 74/00|G06T 7/00,,,"대상 다이에 대한 촬영을 실시하여 흑백 사진과 같은 2차원 입력 영상을 획득하는 단계, 입력 영상에서 전경 세부 영역을 도출하는 단계, 입력 영상에서 배경 세부 영역을 도출하는 단계, 이들 전경 및 배경 세부 영역을 크기 형태 밝기 정보에 의해 분류하는 단계를 구비하여 이루어지는 다이 영상 분할 방법이 개시된다. 본 발명에 따르면 대상 반도체 다이에 대한 영상에서 단위로서 의미를 가지는 세부 영역을 자동적으로 추출하고, 같은 특성의 세부 영역끼리 같은 종류로 자동 분류할 수 있으므로 영상 처리를 통한 다이 검사 효율을 높이고 비용을 절감할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e0015cb4c41f36fe90d0f0813f20abf79b1bc2b1ab916ac3d5293bf4e67c7487cc1bf52d494c085748c41b779fa7057a3bb126e4d89330d5733,True,True,False,1,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,6
1020130043287,1020130043287,,,1013918400000,1013918400000,등록,등록,등록,오엘이디 패널용 기판 어레이 검사장치 및 검사방법,오엘이디 패널용 기판 어레이 검사장치 및 검사방법,(주)넥스틴,(주)넥스틴,,20130419,2013,20140527,20140527,20140428,20140428,G01R 31/28|G01R 1/073|G09G 3/00|G06T 7/00,G01R 31/28|G01R 1/073|G09G 3/00|G06T 7/00,,,"OLED 패널용 기판을 진행시키면서 검사 위치에 차례로 기판상의 단자들을 정렬시키는 기판이송부, 이 검사 위치에서 정렬된 기판상의 단자 패드들과 접촉 및 이격 동작을 하는 프로브핀들을 가지는 테스트부, 기판상의 단자 패드들과 테스트부의 프로브핀들이 접촉하는 동안 그 접촉 상태를 촬영할 수 있는 촬영부, 촬영부에 의해 촬영된 영상 데이타를 가공하여 단자 패드들과 프로브핀들의 접촉상태의 이상을 판단하는 영상처리부를 구비하며, 기판이송부는 기판이 놓이는 이송테이블과 이 이송테이블 위의 기판을 이동시키는 이동부를 구비하고, 검사 위치에서 단자 패드들과 프로브핀들의 접촉상태를 시각적으로 확인하기 위해 상기 이송테이블 일부에는 상기 기판을 아래쪽에서 위쪽으로 볼 수 있도록 확인창이 형성되고, 촬영부의 촬상카메라가 확인창 아래쪽에 설치되는 것을 특징으로 하는 OLED 패널용 기판 어레이 검사장치가 개시된다. 본 발명에 따르면 OLED 패널용 기판의 화소 불량 검사에 있어서 특정 화소의 기능 이상이 해당 화소의 회로 제조상의 문제에 따른 것인지, 프로브핀과 기판의 단자 패드 접촉의 문제인지를 확인할 수 있으므로 검사 단계에서의 접촉 불량으로 인한 화소 불량 판정을 줄일 수 있고, OLED 패널 제조상의 불량율을 낮출 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e0097803719215c7b6bc2f8b5d6860df1cdeab31944294de30f21be0c7a4a49d1f86dc3278f1f6ff51fc9b8845aad99ff2d0c8d7569188eeeb9,True,True,False,3,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,7
1020140021568,1020140021568,,,1015233360000,1015233360000,등록,등록,등록,웨이퍼 영상 검사 장치,웨이퍼 영상 검사 장치,(주)넥스틴|삼성전자주식회사,(주)넥스틴|삼성전자주식회사,,20140224,2014,20150527,20150527,20150520,20150520,H10P 74/00|G01N 21/95|G01N 21/956|G02B 27/10,H10P 74/00|G01N 21/95|G01N 21/956|G02B 27/10,,,"반도체 웨이퍼의 결함을 검사하기 위해 웨이퍼 영상을 획득, 검사하되 검사 대상 부분에 대한 영상 빔을 분할하여 동시에 초점 위치를 달리하는 복수 영상을 얻도록 이루어지는 웨이퍼 영상 검사 장치가 개시된다. 이 장치는 조명광을 발생시키는 조명부, 조명광이 검사 대상 웨이퍼에 조사된 후 반사되는 웨이퍼 영상을 획득하여 일방으로 비추어 전달하는 렌즈부, 렌즈부로부터 전달된 웨이퍼 영상을 분할하는 분할광학요소, 이들 렌즈부 및 분할광학요소를 거친 영상이 각각 다른 초점 위치로 결상되도록 설치되는 복수의 촬상소자로 이루어진 영상검출부, 복수의 촬상소자에서 촬상된 서로다른 초점 위치의 영상을 결합하여 TSOM 영상을 구성하고, 이 TSOM 영상을 정상적인 반도체 장치 부분에 대한 TSOM 영상과 비교하여 대상물의 불량 여부를 판단하는 영상 처리부를 구비하며, 렌즈부를 이루는 렌즈들 상호 간의 거리를 조절할 수 있도록 이루어지는 것을 특징으로 한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00c097c6e10811ce6e9f85f587ab51d98ba8d9431a373976895ebba08d1a9387d74f5ba4d6c45b984fadc29c6e8359c10e4a86e7cf2ef7898e,True,True,False,3,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,8
1020220169291,1020220169291,1020240084706,1020240084706,1029463660000,1029463660000,등록,등록,등록,실시간 가변 기능을 갖는 암시야 검사 장치,실시간 가변 기능을 갖는 암시야 검사 장치,(주)넥스틴,(주)넥스틴,,20221207,2022,20240614,20240614,20260326,20260326,G01N 21/88,G01N 21/88,,,"본 발명은 암시야 검사 장치에 관한 것으로, 조명광의 파장이 가변 가능하고, 산란광의 파장을 선택적으로 수광하며, 조명광의 조사 영역을 조절할 수 있는 암시야 검사 장치에 관한 것이다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c937d05830653318e08ad4fb23689261ee026c4156777381b49caa6f488d049de99aceff48d58b258f68ca4c92ccb920d2c5e491d3e0b762cc5,True,True,False,0,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,9
1020240031979,1020240031979,1020250135522,1020250135522,,,공개,공개,공개,반도체의 결함 검사를 위한 레시피 생성 방법,반도체의 결함 검사를 위한 레시피 생성 방법,(주)넥스틴,(주)넥스틴,,20240306,2024,20250915,20250915,,,G01N 21/95|G01N 21/88|H10P 74/00,G01N 21/95|G01N 21/88|H10P 74/00,,,"본 발명은 반도체의 결함을 검사하기 위한 방법으로서, 반도체의 결함 검사 동안 불변인 정보를 포함하는 프로덕트 템플릿을 생성하는 프로덕트 템플릿 생성 단계; 반도체의 결함 검사 동안 가변인 정보를 포함하는 레이어 템플릿을 생성하는 레이어 템플릿 생성 단계; 및 프로덕트 템플릿 및 레이어 템플릿을 조합하여 검사 레시피를 작성하는 레시피 작성 단계를 포함할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c932c822fdd36411db22faa2afbe79440b9a24c2d995b6deb573525415921d2710ebb085177a794f4d70163f5688958aef9a57bf0400aafab13,False,False,False,1,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,10
1020240123135,1020240123135,1020260037356,1020260037356,,,공개,공개,공개,웨이퍼 검사 장치 및 방법,웨이퍼 검사 장치 및 방법,(주)넥스틴,(주)넥스틴,,20240910,2024,20260317,20260317,,,G01N 21/95|G01N 21/88|G01N 21/17|H10P 74/00,G01N 21/95|G01N 21/88|G01N 21/17|H10P 74/00,,,"본 개시는 웨이퍼를 검사하는 장치에 관한 것으로, 일 실시예에서 웨이퍼 검사 장치는 광원; 상기 광원이 방출한 빛의 진행 경로에 배치되는 조명 광학계; 상기 조명 광학계를 투과한 광을 검사 영역에 집광시키는 대물 렌즈; 상기 검사 영역으로부터의 반사광과 산란광을 상기 대물 렌즈를 통해 수광하는 수광 광학계; 및 상기 반사광의 신호와 상기 산란광의 신호를 각각 검출하는 검출부;를 포함하고, 상기 수광 광학계는 상기 대물 렌즈를 통과한 반사광과 산란광을 통과시키는 구경 조리개, 및 상기 구경 조리개의 후단에 배치되어 상기 반사광을 제1 경로로 안내하고 상기 산란광을 제1 경로와는 상이한 제2 경로로 안내하는 신호 분리기를 포함할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93811dff2fdb2b0f8a599c33646b0dee2d7f82898e7a5f6d6b032bf4ef0a7a591c50e2e2fe62fd67fbd510e0a102f5b91f0f31491c28f2d3dc,False,False,False,1,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,11
