source_application_number,source_invention_title,source_ipc_number,source_application_date,source_register_status,source_final_disposal,source_right_holder,citation_record_index,citation_direction,cited_application_number,citing_application_number,citing_invention_title,citing_applicant_name,citation_date,citation_category,is_self_citation_estimated,parse_type,http_status_code,request_ok,request_url
1020210136033,CIS 반도체 패키지의 제조방법,H10F 77/50|H10F 39/12|H10F 71/00|H10W 70/00|H10W 29/00,2021-10-13,등록,등록,주식회사 에스에프에이반도체,1,BACKWARD_CITATION_ESTIMATED,1020210136033,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210136033&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020150079377,웨이퍼 레벨의 팬 아웃 패키지 제조방법,H10W 29/00|H10W 74/01,2015-06-04,등록,등록,주식회사 에스에프에이반도체,1,BACKWARD_CITATION_ESTIMATED,1020150079377,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020150079377&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020150118794,팬-아웃형 웨이퍼 레벨 패키지의 제조 방법,H10W 29/00|H10W 46/00|H10W 74/01|H10P 54/00,2015-08-24,등록,등록,주식회사 에스에프에이반도체,1,BACKWARD_CITATION_ESTIMATED,1020150118794,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020150118794&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020150135147,히트 스프레더가 부착된 웨이퍼 레벨의 팬 아웃 패키지 및 그 제조 방법,H10W 29/00|H10W 40/25|H10W 42/20,2015-09-24,등록,등록,주식회사 에스에프에이반도체,1,BACKWARD_CITATION_ESTIMATED,1020150135147,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020150135147&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020160002104,인캡슐레이션 방법,H10W 74/01|H10W 74/10|H10W 29/00,2016-01-07,등록,등록,주식회사 에스에프에이반도체,1,BACKWARD_CITATION_ESTIMATED,1020160002104,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020160002104&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020160014660,차폐부 형성 방법 및 이에 따라 제조된 시스템 인 패키지,H01L 23/60|H01L 23/31|H01L 25/065|H01L 23/528|H01L 23/522|H01L 25/00,2016-02-05,등록,등록,주식회사 에스에프에이반도체,1,BACKWARD_CITATION_ESTIMATED,1020160014660,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020160014660&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020160021653,임베디드 몰드형 코어리스 기판 제조방법,H10W 74/10|H10W 70/40|H10W 29/00|H10W 74/01|H10P 34/42|H10W 20/49,2016-02-24,등록,등록,주식회사 에스에프에이반도체,1,BACKWARD_CITATION_ESTIMATED,1020160021653,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020160021653&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020190132695,적층형 반도체 패키지 및 적층형 반도체 패키지의 제조방법,H10W 90/00|H10B 80/00|H10W 70/40|H10W 20/43|H10W 29/00,2019-10-24,등록,등록,주식회사 에스에프에이반도체,1,BACKWARD_CITATION_ESTIMATED,1020190132695,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020190132695&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020140116676,적층형 반도체 패키지 제조방법,H10W 70/40|H10W 74/00,2014-09-03,등록,등록,주식회사 에스에프에이반도체,1,BACKWARD_CITATION_ESTIMATED,1020140116676,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020140116676&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020150067910,반도체 패키지 및 그 제조 방법,H10B 80/00|H10W 74/10|H10W 44/20,2015-05-15,거절,거절,주식회사 에스에프에이반도체,1,BACKWARD_CITATION_ESTIMATED,1020150067910,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020150067910&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
