source_application_number,source_invention_title,source_ipc_number,source_application_date,source_register_status,source_final_disposal,source_right_holder,citation_record_index,citation_direction,cited_application_number,citing_application_number,citing_invention_title,citing_applicant_name,citation_date,citation_category,is_self_citation_estimated,parse_type,http_status_code,request_ok,request_url
1020200133836,"유기 화합물, 이를 포함하는 유기발광다이오드 및 유기발광장치",C07D 491/147|H10K 99/00|H10K 50/00|C09K 11/06,2020-10-16,등록,등록,엘지디스플레이 주식회사|솔브레인 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020200133836,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200133836&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210115060,"산화 세륨 입자 및 이의 제조방법, 산화 세륨 입자를 포함하는 화학적 기계적 연마 슬러리 조성물의 제조방법",C09G 1/02|C09K 3/14|H10P 50/00|H10P 14/60,2021-08-30,등록,등록,솔브레인 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020210115060,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210115060&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020220138088,"계단율 개선제, 이를 이용한 박막 형성 방법, 이로부터 제조된 반도체 기판 및 반도체 소자",C23C 16/04|C23C 16/455|C23C 16/40|H10P 10/00|H10P 14/42,2022-10-25,등록,등록,솔브레인 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020220138088,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020220138088&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240189632,"원자층 식각 물질, 원자층 식각 방법, 이로부터 제조된 반도체 기판 및 반도체 소자",C09K 13/00|H10P 50/28,2024-12-18,등록,등록,솔브레인 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020240189632,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240189632&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020160170343,연마 슬러리 조성물 및 이를 이용한 연마 방법,C09G 1/02|C09K 3/14|H10P 52/00|H10P 14/40,2016-12-14,등록,등록,솔브레인 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020160170343,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020160170343&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020170178590,식각용 조성물 및 이를 이용한 반도체 소자의 제조방법,C09K 13/06|H10P 50/00|C09K 13/04,2017-12-22,등록,등록,솔브레인 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020170178590,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020170178590&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020080080626,화학적 기계적 연마 조성물 및 이를 이용한 반도체 소자의 제조 방법,C09G 1/04|C09K 3/14|H10P 14/60|H10P 50/00,2008-08-18,등록,등록,에스케이하이닉스 주식회사|솔브레인홀딩스 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020080080626,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020080080626&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020120097384,유기 절연막 연마용 슬러리 및 이를 이용한 기판 연마 방법,H10P 52/00|H10W 20/00|H10P 14/60|H10P 10/00,2012-09-03,등록,등록,에스케이하이닉스 주식회사|솔브레인홀딩스 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020120097384,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020120097384&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020140003344,도전 패턴의 형성 방법 및 이를 이용한 반도체 장치의 제조 방법,H10P 14/40,2014-01-10,등록,등록,삼성전자주식회사|솔브레인홀딩스 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020140003344,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020140003344&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200077334,"박막 형성용 프리커서, 이의 제조방법 및 이를 포함하는 박막 제조 방법",C23C 16/18|C23C 16/455|C23C 16/40|C23C 16/34|C07F 9/00,2020-06-24,등록,등록,솔브레인 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020200077334,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200077334&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
